X.SampleID,F_TOTAL,F_CITMLB,F_OTHER,F_JUICE,V_TOTAL,V_DRKGR,V_REDOR_TOTAL,V_REDOR_TOMATO,V_REDOR_OTHER,V_STARCHY_TOTAL,V_STARCHY_POTATO,V_STARCHY_OTHER,V_OTHER,V_LEGUMES,G_TOTAL,G_WHOLE,G_REFINED,PF_TOTAL,PF_MPS_TOTAL,PF_MEAT,PF_CUREDMEAT,PF_ORGAN,PF_POULT,PF_SEAFD_HI,PF_SEAFD_LOW,PF_EGGS,PF_SOY,PF_NUTSDS,PF_LEGUMES,D_TOTAL,D_MILK,D_YOGURT,D_CHEESE,OILS,SOLID_FATS,ADD_SUGARS,A_DRINKS
MCT.f.0001,1.1663,0.8888,0.2775,0,1.606475,0,0.3469,0.174,0.1729,1.081775,0.790575,0.2912,0.1778,0,3.4921,2.4418,1.0503,6.64606,5.54526,5.54526,0,0,0,0,0,0.1008,0,1,0,3.265577,2.05776,0.646,0.561817,14.66887,21.795872,4.82235,1.072512
MCT.f.0002,0.7559,0.4784,0.2775,0,1.09345,0,0.0375,0,0.0375,0.3255,0,0.3255,0.73045,0,8.21745,0.9718,7.24565,7.971265,6.971265,0,3.002265,0,0,3.969,0,0,0,1,0,4.156035,2.35656,0.646,1.153475,15.886225,19.139825,4.32597,1.008
MCT.f.0003,0.7559,0.4784,0.2775,0,2.1151,0,0.4328,0.087,0.3458,0.5824,0,0.5824,1.0999,0,6.727,2.9318,3.7952,6.92776,5.92776,0,5.92776,0,0,0,0,0,0,1,0,2.979655,1.12608,0.646,1.207575,11.83692,17.711575,4.75833,0
MCT.f.0004,0.671,0,0.4862,0.1848,4.621325,0.0666,0.260906,0.212906,0.048,1.0541,1.0541,0,3.239719,0,8.335875,0.9718,7.364075,6.20352,5.16752,0,4.00302,0,1.1645,0,0,0.036,0,1,0,3.63446,2.15186,0,1.4826,55.3081,19.9378,5.9171,3.0352
MCT.f.0005,0.189175,0.127575,0,0.0616,1.413312,0.361,0.131712,0.131712,0,0.06,0,0.06,0.8606,0,5.190663,0.9718,4.218863,7.931825,6.579075,1.8144,0,0,3.762675,0,1.002,0.35275,0,1,0,3.37971,2.32071,0,1.059,24.231213,54.613613,5.793898,3.11636
MCT.f.0006,0.0248,0,0,0.0248,3.61423,0.46953,0.7566,0.1086,0.648,0,0,0,2.3881,0,13.72284,0.4698,13.25304,14.21233,11.205678,6.29596,0,0.383168,3.68415,0,0.8424,1.93984,0,1.066812,0,1.50215,1.46375,0,0,40.935488,35.174608,19.685576,0
MCT.f.0007,0,0,0,0,2.1299,0,0.385125,0.385125,0,0.252,0,0.252,1.492775,0.483863,9.801598,0.9718,8.829798,14.769325,13.769325,7.938,5.831325,0,0,0,0,0,0,1,1.916475,3.895767,2.16516,0,1.730607,30.028046,54.861228,3.211952,2.016
MCT.f.0008,0.8189,0.4784,0.2775,0.063,2.822995,0.21978,0.119797,0.039797,0.08,0,0,0,2.483418,0,5.030938,1.255,3.775938,5.59629,5.59629,5.59629,0,0,0,0,0,0,0,0,0,4.326785,2.00736,0.646,1.673425,19.1032,32.706795,9.118657,2.39064
MCT.f.0009,0.4294,0,0,0.4294,1.8543,0,0.2439,0.2064,0.0375,0,0,0,1.6104,0,6.219,2.4418,3.7772,4.377505,2.616705,1.8144,0.802305,0,0,0,0,0.7608,0,1,0,3.50851,2.05776,0,1.45075,17.53483,54.672585,3.08629,2.2764
MCT.f.0010,2.0004,1.0892,0.9112,0,1.758475,0,0.087,0.087,0,0.277875,0.277875,0,1.3936,0,3.8355,2.1465,1.689,3.5224,2.077,2.077,0,0,0,0,0,0,0,1.4454,0,3.347835,2.03796,0.646,0.663875,10.0481,18.036875,6.2253,1.008
