	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
0	0.9347207	0.93438107	0.9352339	0.93356645	0.9351078	0.9349125	0.9345285	0.9353076	0.883574	0.9343844	0.9347208	0.9340924	0.9350852	0.9345788	0.9352742	0.93531394	0.9340351	0.9351844	0.9346281	0.9351701	0.93525344	0.93503517	0.9349408	0.93515706	0.9342902	0.93440706	0.9347394	0.9353156	0.9343896	0.93463814	0.93532056	0.93494123	0.93526804	0.9352931	0.93520814	0.93487483	0.9348464	0.935218	0.9350418	0.9350843	0.9348464	0.9347257	0.9352715	0.9348543	0.9342165	0.93506396	0.9149165
1	0.11381984	0.11777465	0.111572035	0.11953313	0.11165846	0.11256783	0.116302945	0.11043426	0.10570514	0.11786021	0.11532503	0.118536144	0.11184909	0.115592346	0.11086804	0.11067298	0.11839135	0.112262696	0.11652953	0.11229989	0.11031964	0.112560585	0.114150584	0.11118012	0.1182033	0.11755223	0.11376249	0.110912725	0.11781254	0.11587179	0.10996216	0.112487406	0.11049231	0.11051368	0.11332794	0.11292108	0.11439884	0.11326947	0.112877905	0.11361628	0.11439884	0.11425091	0.111499995	0.11323001	0.11938799	0.113326736	0.117998935
2	-0.47660118	-0.47475186	-0.47888938	-0.47370884	-0.47810146	-0.47731802	-0.47596714	-0.4790049	-0.4706402	-0.4747594	-0.47694477	-0.4751859	-0.47805792	-0.47289354	-0.47893533	-0.4790971	-0.4748847	-0.47876987	-0.4764952	-0.4787099	-0.47861892	-0.47824177	-0.47629115	-0.4783941	-0.47517163	-0.47583008	-0.4761763	-0.47902277	-0.47475234	-0.47649047	-0.47890005	-0.47759724	-0.47879052	-0.478944	-0.47803515	-0.4772316	-0.473687	-0.4781296	-0.47820455	-0.4772298	-0.473687	-0.47593442	-0.47906858	-0.47713244	-0.47465855	-0.47871512	-0.47334388
3	0.9169616	0.91501	0.9179118	0.9127944	0.9177918	0.91744363	0.91593087	0.91809934	0.9066492	0.9149671	0.9165453	0.91450715	0.91773546	0.9158923	0.9180298	0.9180911	0.91448224	0.91775435	0.91603917	0.91774416	0.9180683	0.91756123	0.917057	0.9178762	0.91480786	0.9153	0.9169639	0.91806936	0.914994	0.91629523	0.9181517	0.9174883	0.91804403	0.9180919	0.9177067	0.91733205	0.9168798	0.91772866	0.9175252	0.9174164	0.9168798	0.91681397	0.9179626	0.91723454	0.9139667	0.9175906	0.90570104
4	-0.89179075	-0.894062	-0.8911771	-0.89511806	-0.8911321	-0.8913491	-0.89292127	-0.8909799	-0.87891793	-0.8941437	-0.89235234	-0.8941466	-0.891157	-0.89387167	-0.8910301	-0.8910165	-0.8941661	-0.8913528	-0.89295584	-0.891377	-0.8909131	-0.89137304	-0.892268	-0.89107627	-0.89400953	-0.8936237	-0.89185584	-0.891084	-0.8941226	-0.8928597	-0.8909079	-0.89132667	-0.8910004	-0.8909535	-0.891683	-0.89145947	-0.89279485	-0.8916545	-0.89146745	-0.8919072	-0.89279485	-0.8920964	-0.8911802	-0.891545	-0.89484423	-0.8915671	-0.8869925
5	0.92843294	0.9296509	0.9283327	0.9311449	0.9282624	0.9282899	0.9289552	0.92822033	0.92752767	0.92971087	0.9287596	0.92969275	0.92828447	0.92952627	0.9282485	0.92825943	0.92968	0.9284162	0.929053	0.92842376	0.9281534	0.92835134	0.92877597	0.92822385	0.9296029	0.9293211	0.92849165	0.9283031	0.9296953	0.9289782	0.9281607	0.9282862	0.9282034	0.9282084	0.9286622	0.92832714	0.9290097	0.928652	0.92842996	0.9286888	0.9290097	0.92861724	0.9283577	0.9283738	0.9304153	0.92851794	0.9320273
6	-0.7969357	-0.7957187	-0.7975751	-0.7921241	-0.7973715	-0.7971535	-0.7965742	-0.7975564	-0.7256506	-0.7956815	-0.797039	-0.79519403	-0.7973673	-0.7959458	-0.79754674	-0.7975901	-0.79503614	-0.79758584	-0.79682004	-0.79757684	-0.7974465	-0.7973824	-0.7972163	-0.7974184	-0.79563344	-0.7961505	-0.79692674	-0.7976202	-0.7957045	-0.7968561	-0.797517	-0.7972044	-0.797516	-0.7975264	-0.7976381	-0.7971259	-0.79677004	-0.7976509	-0.7974213	-0.7974497	-0.79677004	-0.7969064	-0.7976312	-0.7971146	-0.79459465	-0.79755956	-0.7603851
7	0.07572676	0.1450108	0.047383346	0.22673133	0.051213685	0.061206594	0.10770743	0.040459935	0.5578256	0.14714819	0.08862876	0.15469013	0.05285673	0.13310382	0.042961072	0.041410357	0.15632345	0.052544504	0.105862156	0.053167637	0.041103773	0.056764334	0.0820191	0.04723236	0.1461428	0.1281238	0.07832871	0.043039102	0.14631549	0.099954374	0.03826548	0.05922935	0.04169793	0.040862463	0.06264378	0.064353414	0.10127388	0.061684575	0.059435945	0.07054506	0.10127388	0.08462665	0.046366584	0.06745008	0.18231095	0.05934775	0.46731082
8	0.30078128	0.29194686	0.30188674	0.28026593	0.30212823	0.3017598	0.29733014	0.30235943	0.34830293	0.29151654	0.2992586	0.2918469	0.30206183	0.29244947	0.30225426	0.30228725	0.2919171	0.30144185	0.29728124	0.30145574	0.30250096	0.30164662	0.2984749	0.3021873	0.2924427	0.29451725	0.30039343	0.30191344	0.2916295	0.29766914	0.30244884	0.3018488	0.30223697	0.30249465	0.30030483	0.30151668	0.29631877	0.30039507	0.30140227	0.299479	0.29631877	0.2996452	0.3018874	0.30129144	0.28616443	0.30169818	0.2948806
9	0.7499757	0.75092715	0.7524173	0.75654423	0.7516862	0.7507583	0.7498345	0.7528355	0.7408972	0.7510931	0.7502208	0.751169	0.7515716	0.7501526	0.75264305	0.7528558	0.7510498	0.75210565	0.7502567	0.7520532	0.7524841	0.7514738	0.75048417	0.7519848	0.75089645	0.7504175	0.7498211	0.75278497	0.7510475	0.7502238	0.7528935	0.7509671	0.7526042	0.7527693	0.75197	0.7506015	0.7497174	0.7520384	0.75144494	0.7512227	0.7497174	0.7497727	0.7525991	0.75046915	0.75346607	0.7518879	0.76507944
