	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
0	-0.13892281	-0.13558777	-0.25544348	0.057275753	-0.2258897	-0.22097301	-0.13801308	-0.28485304	0.15280165	-0.25660998	-0.10588784	-0.17582697	-0.22775742	-0.19533569	-0.28838417	-0.283109	-0.12089572	-0.27975884	-0.11098373	-0.27710912	-0.2904971	-0.28984427	-0.27534798	-0.2727325	-0.12675782	-0.097476855	-0.15944822	-0.28749958	-0.15685451	-0.18548983	-0.26577452	-0.17384793	-0.18553019	-0.28543967	-0.24798395	-0.22026393	-0.2292489	-0.24781807	-0.27552783	-0.2766065	-0.2292489	-0.25383842	-0.28267592	-0.15215203	-0.10743207	-0.08185722	-0.008740195
1	-0.30187547	-0.30192736	-0.24668173	-0.43304992	-0.30159053	-0.31407225	-0.30174503	-0.20982325	-0.71443754	-0.28089368	-0.29735303	-0.31333056	-0.28450724	-0.40495336	-0.21180895	-0.23689495	-0.31075674	-0.21731392	-0.29523423	-0.23812911	-0.20368244	-0.2073905	-0.25088438	-0.27608788	-0.30192852	-0.31757185	-0.32323033	-0.21692999	-0.32241985	-0.34179503	-0.24691197	-0.31814533	-0.2751778	-0.22560112	-0.2843308	-0.29901797	-0.29432046	-0.2843181	-0.22898918	-0.23528722	-0.29432046	-0.30430764	-0.2334506	-0.2959374	-0.3039832	-0.405108	-0.54058343
2	0.13355325	0.13649079	0.044008646	0.2760042	0.058198653	0.06015447	0.13439344	0.025036506	0.19343416	0.03637775	0.16426022	0.098530896	0.060454674	0.068128504	0.02297038	0.021702472	0.14717215	0.028170848	0.16027442	0.027435292	0.021472882	0.021992682	0.026256543	0.025751818	0.14431034	0.16779359	0.10986235	0.02044913	0.112926364	0.08518026	0.035287622	0.10017547	0.100558385	0.023372699	0.044205695	0.06364827	0.058722094	0.04432943	0.02957591	0.027032327	0.058722094	0.03549933	0.02428539	0.12358716	0.16110888	0.16985929	0.21102713
3	0.15186265	0.14868608	0.24208274	-0.044242337	0.2280363	0.22594166	0.15097073	0.2737383	0.035684712	0.253826	0.11796437	0.18719734	0.22732309	0.21353193	0.28315014	0.26786348	0.13627459	0.26756364	0.12281421	0.27055496	0.2846256	0.2844252	0.25491953	0.27313027	0.14015776	0.11149946	0.17455103	0.27551627	0.17168576	0.19410291	0.25812992	0.1855386	0.18454376	0.28138903	0.22196704	0.22295406	0.20643018	0.22180054	0.2653025	0.2573601	0.20643018	0.25634617	0.27800706	0.16273251	0.12079411	0.11152472	0.06380579
4	0.85291934	0.8522354	0.86497235	0.8218757	0.86634964	0.8669034	0.85272104	0.87038124	0.8115641	0.8702326	0.84468853	0.8598472	0.86518884	0.8726279	0.87229615	0.87223405	0.8503295	0.8694022	0.8456342	0.87125766	0.871906	0.87219876	0.86996585	0.874276	0.8503598	0.845022	0.8608031	0.87188786	0.8594559	0.86542344	0.86906976	0.86003697	0.8554068	0.8728774	0.8644436	0.8653569	0.86147743	0.8643975	0.8693366	0.8696949	0.86147743	0.8724022	0.87273103	0.85466266	0.8459391	0.85710174	0.86086017
5	0.26996437	0.27029523	0.27154922	0.293002	0.2664097	0.2655868	0.27006125	0.27505106	0.17291954	0.2692242	0.273944	0.2665149	0.26770523	0.26089665	0.27534598	0.27623466	0.27148655	0.27444822	0.27337384	0.27347296	0.27484122	0.27519238	0.27532026	0.2715752	0.27122548	0.27524152	0.26685208	0.27534592	0.26740173	0.26564637	0.27194548	0.266831	0.26910302	0.274835	0.27358305	0.26655895	0.272457	0.27356595	0.27326226	0.2756506	0.272457	0.26784763	0.2745565	0.26919	0.27353564	0.27556956	0.2788981
6	-0.5832814	-0.5782787	-0.732507	-0.2944561	-0.7017818	-0.69662774	-0.581909	-0.7695073	-0.06829947	-0.73928773	-0.53171986	-0.6363215	-0.70290065	-0.6717831	-0.77478695	-0.7671152	-0.5570023	-0.76318973	-0.53947014	-0.76179093	-0.7772516	-0.7764736	-0.75520575	-0.7596491	-0.56487626	-0.52063525	-0.6180649	-0.7732396	-0.6129855	-0.6530085	-0.74815965	-0.6337736	-0.6437296	-0.77200574	-0.7177168	-0.69449323	-0.6936653	-0.71749616	-0.7587237	-0.7580554	-0.6936653	-0.7383118	-0.7687324	-0.60202944	-0.5350035	-0.51152575	-0.4083123
7	-0.81342566	-0.8189974	-0.49905697	-0.9737613	-0.61464155	-0.63474774	-0.8149409	-0.37653017	-0.98547876	-0.5135213	-0.8618757	-0.7445528	-0.60159814	-0.74615806	-0.36549243	-0.40729755	-0.8430237	-0.39944622	-0.85494006	-0.42216033	-0.3495011	-0.35604858	-0.44598255	-0.46260566	-0.8329926	-0.87577695	-0.7832891	-0.3723289	-0.7877557	-0.7407589	-0.46431905	-0.7517684	-0.71357167	-0.38555446	-0.5557	-0.629335	-0.6154927	-0.5561379	-0.42017496	-0.42808858	-0.6154927	-0.53737265	-0.4014076	-0.7889375	-0.8606318	-0.9093084	-0.96322095
8	-0.09154162	-0.09305891	-0.048884027	-0.18199037	-0.058059976	-0.059658486	-0.091954306	-0.029494362	-0.21996735	-0.04659379	-0.107280776	-0.07646656	-0.057862706	-0.06629154	-0.025519522	-0.036285195	-0.09970511	-0.03398613	-0.1049018	-0.035807285	-0.021881815	-0.023410734	-0.043321572	-0.039182585	-0.097135335	-0.11194864	-0.08012566	-0.028643586	-0.08243326	-0.06974291	-0.042400803	-0.077645086	-0.0744806	-0.02890025	-0.057307307	-0.06015767	-0.06260998	-0.057348214	-0.036502108	-0.040864132	-0.06260998	-0.047772042	-0.032003365	-0.0859146	-0.10640742	-0.12224043	-0.16393007
9	0.109855644	0.11019736	0.08129856	0.13119707	0.091844015	0.09352013	0.10995064	0.07843062	0.20079066	0.08376885	0.11215345	0.10369673	0.09161192	0.1025771	0.079700336	0.07418018	0.11203166	0.07862171	0.11178138	0.07976951	0.07954414	0.07956642	0.07306968	0.081183	0.11105542	0.11238724	0.10890197	0.076027215	0.10848197	0.10110244	0.08191447	0.103947625	0.097642906	0.07960302	0.07443956	0.0935437	0.0785378	0.074464865	0.07932083	0.07459832	0.0785378	0.085713886	0.07942003	0.107831754	0.112180375	0.12289904	0.13992305
10	-0.9384288	-0.93820804	-0.9435359	-0.9379348	-0.94324607	-0.9433352	-0.9383654	-0.94688886	-0.9246908	-0.9454368	-0.93583775	-0.9405297	-0.94303036	-0.9451114	-0.94757545	-0.9473192	-0.9376865	-0.9463111	-0.93609494	-0.9466907	-0.94754505	-0.9476039	-0.94596946	-0.9473927	-0.93761504	-0.9362683	-0.9414457	-0.94749475	-0.9408404	-0.9427106	-0.945554	-0.94064915	-0.9388267	-0.94759274	-0.9422522	-0.9428745	-0.9404145	-0.94222695	-0.9460046	-0.946203	-0.9404145	-0.94608563	-0.9474165	-0.93898416	-0.93627256	-0.9428064	-0.9474321
11	-0.24277648	-0.2341595	-0.5070423	0.25196618	-0.4500267	-0.43987048	-0.2404108	-0.5646175	0.43868807	-0.5139677	-0.1549909	-0.335696	-0.45317054	-0.38236874	-0.57201207	-0.56177646	-0.19707616	-0.55519694	-0.16826406	-0.55213714	-0.575356	-0.57439727	-0.54425305	-0.5465125	-0.21116234	-0.13438848	-0.29764268	-0.57030946	-0.29039514	-0.35792384	-0.5303606	-0.33049506	-0.35306087	-0.5676996	-0.4853631	-0.43761605	-0.4449889	-0.48501426	-0.5479884	-0.5483487	-0.4449889	-0.5099404	-0.5627924	-0.2756349	-0.16019605	-0.099323824	0.08437313
12	0.13702586	0.13739675	0.11206803	0.1436781	0.12629315	0.12913094	0.13710634	0.10759784	0.2794366	0.121291794	0.13922079	0.1344185	0.12317299	0.14439523	0.11108464	0.10922355	0.14018446	0.10813481	0.13864532	0.11406504	0.10977608	0.11044417	0.10929343	0.12256535	0.13830319	0.14166169	0.13727564	0.108180895	0.13761617	0.13346222	0.11460769	0.13520986	0.12471648	0.11366901	0.11033495	0.1264301	0.1128314	0.11032799	0.11094725	0.10687034	0.1128314	0.12673563	0.11436255	0.13436812	0.1399359	0.15753153	0.185268
13	0.8783702	0.87667567	0.9188892	0.7429375	0.9121026	0.91110563	0.87791234	0.92801124	0.3205739	0.92165804	0.8596996	0.8940162	0.9120925	0.90931636	0.9289706	0.92984647	0.86942035	0.92657804	0.8625911	0.9265042	0.9291339	0.9291658	0.92731804	0.9270544	0.87204796	0.8552532	0.89159733	0.9298172	0.88918465	0.90279454	0.923161	0.8935579	0.8949089	0.92872155	0.918945	0.9101776	0.9124763	0.9188783	0.92539144	0.9275033	0.9124763	0.9221467	0.92826617	0.88438743	0.86090046	0.85779333	0.81666595
14	0.15655561	0.148007	0.40631935	-0.24652077	0.35620126	0.34738696	0.15418474	0.46684912	-0.30968443	0.41482764	0.06837095	0.24801323	0.35810146	0.3012317	0.4745098	0.46027356	0.11341263	0.45617807	0.080782935	0.4518194	0.48004934	0.47798476	0.4413145	0.44473574	0.12524498	0.051970523	0.21600842	0.47237197	0.20742916	0.2745126	0.4304244	0.2431263	0.2572859	0.46859625	0.38380468	0.34443787	0.34610623	0.38348547	0.44841728	0.44670814	0.34610623	0.41106167	0.46254092	0.18779887	0.07515094	0.035936147	-0.09871323
