	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
0	0.9355001	0.9368039	0.93616873	0.93791556	0.9390691	0.9352645	0.93627906	0.9384067	0.9334915	0.9386049	0.9383948	0.9365792	0.936716	0.9362376	0.9363058	0.93318766	0.92531794	0.93628776	0.9326163	0.9349786	0.93633366	0.9310791	0.9385234	0.9380416	0.9364947	0.935674	0.93354756	0.93642324	0.9359756	0.93917614	0.93430865	0.9344293	0.93883324	0.93566275	0.93671036	0.92241806	0.9374488	0.93668544	0.9383168	0.9365398	0.9370715	0.93629587	0.9373574	0.93723613	0.932502	0.93565935	0.9341172
1	0.11783716	0.11569669	0.11594829	0.11258903	0.110763736	0.1220663	0.11855259	0.11294064	0.119284816	0.111896664	0.11125858	0.11594435	0.1130722	0.11433036	0.1167566	0.11978764	0.11959856	0.11724845	0.12459095	0.12004088	0.115434445	0.12086798	0.109158866	0.11392781	0.11595351	0.10837527	0.122057505	0.116417296	0.11669612	0.11135036	0.12275877	0.12106063	0.11211462	0.11746103	0.1149841	0.13108087	0.11213806	0.1138168	0.11250792	0.118302755	0.11163822	0.11261371	0.11321063	0.11563428	0.12149204	0.11604758	0.116527095
2	-0.477761	-0.4782055	-0.4786396	-0.48030543	-0.48046333	-0.47452956	-0.47645858	-0.47927976	-0.4773951	-0.48022628	-0.48001587	-0.47808975	-0.48079473	-0.4803059	-0.47805148	-0.47566393	-0.48591155	-0.47750872	-0.47294816	-0.47590563	-0.47809854	-0.47703403	-0.48072505	-0.47880587	-0.4775765	-0.4769318	-0.47509003	-0.4781049	-0.4777935	-0.48006406	-0.47442433	-0.47574618	-0.47992235	-0.47767514	-0.47867867	-0.47327995	-0.48065135	-0.47944498	-0.47976142	-0.47650683	-0.48105168	-0.48180246	-0.4799189	-0.47819105	-0.47379404	-0.47911862	-0.47809106
3	0.91532993	0.91622186	0.9160291	0.9174676	0.9181179	0.9144854	0.91556746	0.9174239	0.91384023	0.91779894	0.91763324	0.9161095	0.91694677	0.91661114	0.9159147	0.9141053	0.91264504	0.91569334	0.91224736	0.9144771	0.91586787	0.912152	0.9176952	0.9172523	0.9160038	0.91496503	0.9133672	0.91604376	0.9155463	0.91813004	0.91383034	0.9142731	0.91787755	0.91564447	0.9161697	0.9058523	0.9170659	0.91629285	0.9175387	0.91575086	0.91688657	0.9169808	0.9170225	0.9165725	0.91320616	0.91562134	0.9146674
4	-0.8939552	-0.89192694	-0.8924267	-0.8893849	-0.8869903	-0.8959087	-0.894701	-0.88873863	-0.8949857	-0.88780755	-0.8882315	-0.8923634	-0.89051706	-0.89179295	-0.8931272	-0.8960874	-0.8987684	-0.8930364	-0.8985612	-0.89532703	-0.89140654	-0.89550483	-0.8864517	-0.889827	-0.89204806	-0.89174616	-0.8969944	-0.8928088	-0.8928172	-0.8876908	-0.8982175	-0.8967615	-0.8880228	-0.89347655	-0.8909538	-0.9040043	-0.8882775	-0.8899311	-0.88905793	-0.8945083	-0.8878965	-0.89090407	-0.8904261	-0.8918795	-0.89754623	-0.8918065	-0.8941873
5	0.93229556	0.93140453	0.9312215	0.9294014	0.9284563	0.935076	0.9338502	0.9298634	0.93162096	0.9291894	0.92904526	0.93154573	0.92892545	0.9297155	0.93229675	0.93327135	0.9280722	0.9329967	0.936303	0.93388796	0.93084633	0.9308028	0.92802763	0.930589	0.9321173	0.93141663	0.9342951	0.9318587	0.93162996	0.9292775	0.93621176	0.93481886	0.9294364	0.9321659	0.9304066	0.9331895	0.9288109	0.9294039	0.9296609	0.9338826	0.9278712	0.9284891	0.9299146	0.9316965	0.9346888	0.93158716	0.93129665
6	-0.79661274	-0.7981794	-0.797065	-0.79881555	-0.8008643	-0.7986036	-0.79879946	-0.80051047	-0.79391944	-0.8010813	-0.8001103	-0.7978885	-0.7958155	-0.79476976	-0.79815483	-0.79359215	-0.77860254	-0.79965824	-0.79525936	-0.7975978	-0.7967553	-0.7900252	-0.8004248	-0.80044484	-0.79944324	-0.7983993	-0.7954714	-0.7979572	-0.79694873	-0.8015483	-0.7975866	-0.7968316	-0.80123526	-0.7979058	-0.7979992	-0.7789248	-0.79926175	-0.79778796	-0.7999937	-0.7994325	-0.7981232	-0.7939966	-0.79827464	-0.7992074	-0.79432034	-0.7982942	-0.792524
7	0.21598394	0.14273684	0.14920534	0.01885578	-0.049704622	0.32599732	0.25654402	0.033067767	0.26055533	-0.0064453594	-0.00828993	0.15560794	0.023862336	0.07159724	0.18911879	0.22231705	0.19856237	0.21670866	0.45915443	0.3032564	0.13190757	0.30145445	-0.05137575	0.05285577	0.149545	0.1786932	0.36222363	0.17033494	0.18268186	-0.018322958	0.40352765	0.34281853	-0.0018290115	0.19632392	0.11401403	0.58555835	0.015632944	0.0732705	0.023813037	0.24785538	-0.0066270726	0.015362349	0.05804862	0.13775004	0.302791	0.17647368	0.20645027
8	0.28230852	0.2890235	0.2906831	0.3035129	0.30775857	0.26455688	0.27348095	0.29880396	0.28082076	0.3030506	0.30420712	0.28784838	0.3076953	0.30382356	0.2829703	0.2840951	0.3220326	0.2760189	0.24669345	0.26886043	0.29107296	0.28064933	0.3065432	0.29670763	0.28459704	0.28120828	0.2637644	0.28646	0.28568783	0.30334762	0.2539077	0.26431122	0.3021916	0.28367323	0.29279438	0.25044194	0.30182064	0.29791117	0.3008327	0.27360678	0.3063744	0.3116519	0.2996704	0.28833497	0.27055994	0.28300926	0.28841543
9	0.75534356	0.753801	0.75442517	0.75121963	0.74890316	0.758952	0.75687253	0.75088406	0.75415045	0.7498359	0.75038534	0.7539852	0.75211066	0.7539625	0.7547542	0.76089084	0.7649249	0.75448275	0.76019895	0.7565929	0.7534955	0.753968	0.74870807	0.7524189	0.7542574	0.7593123	0.7575512	0.75465703	0.7541338	0.7496776	0.7599792	0.7587297	0.75005794	0.7549654	0.751891	0.75881755	0.7489499	0.7504466	0.7507501	0.7566387	0.74802905	0.75278515	0.752187	0.7539024	0.76106405	0.7530816	0.7567248
