	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
0	-0.1259766	-0.20216767	-0.19965027	-0.32110736	-0.3782313	-0.008297352	-0.084437616	-0.3048795	-0.06813241	-0.34145844	-0.34182012	-0.18914066	-0.32069984	-0.28064275	-0.15446344	-0.1419686	-0.21024008	-0.121352375	0.1592873	-0.027647303	-0.21474288	-0.020354424	-0.3749988	-0.29082462	-0.1959989	-0.14418146	0.043546863	-0.1760226	-0.15959941	-0.35098347	0.087477565	0.012197614	-0.33685443	-0.15008517	-0.22542691	0.34466416	-0.315958	-0.26245043	-0.31409854	-0.09316649	-0.33423454	-0.33204374	-0.28398645	-0.20828326	-0.046349768	-0.16292365	-0.14280543
1	-0.30560583	-0.20708011	-0.307859	-0.2248357	-0.076466985	-0.15301545	-0.16431579	-0.053123686	-0.47995356	-0.07205577	-0.16690367	-0.22805694	-0.44092414	-0.46682316	-0.21842097	-0.6207889	-0.97825074	-0.10505171	-0.18155375	-0.21697232	-0.22808853	-0.6050559	-0.11913005	-0.13630481	-0.20653932	-0.4637613	-0.3219797	-0.2442804	-0.26515898	-0.021580713	-0.20768505	-0.26195738	-0.044419836	-0.3317435	-0.20938657	-0.87151426	-0.17016158	-0.2576658	-0.131187	-0.13796453	-0.2566918	-0.5310231	-0.2815067	-0.16971077	-0.5966803	-0.16064698	-0.51433474
2	0.15987313	0.1134843	0.10561684	0.009076597	-0.035992067	0.28733975	0.23342443	0.03392201	0.11611311	-0.0051129158	-0.021246402	0.12087526	-0.016033955	0.039436724	0.15773536	0.12561506	-0.05693763	0.19016331	0.39584008	0.24003048	0.113701396	0.10125813	-0.05255955	0.044240195	0.11413061	0.04736368	0.26268488	0.13255827	0.13202585	-0.0010449481	0.3546429	0.293347	0.006129074	0.13496071	0.062019676	0.23456766	-0.015024993	0.009265814	0.019016948	0.22678578	-0.061689712	-0.020151388	0.028170297	0.12178152	0.20076163	0.13673559	0.13916509
3	0.11653066	0.18902326	0.19251162	0.31090248	0.34797838	0.015109687	0.096803814	0.2727074	-0.017870847	0.30208528	0.308364	0.17533542	0.32564443	0.3194884	0.15038297	0.15667433	0.37918386	0.098904006	-0.15176797	-0.00043769498	0.21924756	-0.0957307	0.33966172	0.26561108	0.1642911	0.12529917	-0.08643487	0.16475958	0.13892587	0.31914115	-0.067524046	0.0051610707	0.30233017	0.13110031	0.17158063	-0.48741472	0.2595733	0.19517441	0.2877202	0.09788896	0.2606064	0.3709735	0.2706878	0.20333178	0.051939856	0.1262411	0.18532549
4	0.8568797	0.86524355	0.86648834	0.8793251	0.8814864	0.8393544	0.8538556	0.8731262	0.8403372	0.876117	0.87623787	0.8640867	0.882376	0.8831561	0.86040246	0.85269773	0.89434135	0.85098433	0.81116635	0.8400203	0.8681355	0.8281039	0.87650836	0.87174296	0.85744524	0.8323939	0.82768995	0.86293983	0.85978556	0.8785392	0.82890767	0.8401918	0.8765646	0.85893047	0.8626975	0.74951756	0.87056893	0.8648357	0.87620276	0.8535453	0.8706524	0.8886496	0.874721	0.8672309	0.8380881	0.85286397	0.8646147
5	0.29262695	0.28227025	0.28074974	0.26491553	0.2692106	0.2912597	0.28232026	0.2792288	0.35267916	0.27988213	0.27435642	0.28571197	0.25557122	0.24014698	0.2831799	0.23929375	0.17470375	0.29526687	0.31618142	0.3165371	0.26598975	0.37849292	0.26933584	0.27141985	0.2818268	0.2757182	0.33725494	0.28607178	0.29497293	0.27310088	0.30114934	0.2928133	0.27708194	0.2963968	0.30694184	0.4658048	0.29542896	0.31163928	0.27606034	0.2844848	0.30673027	0.23262222	0.27268437	0.27634272	0.25830507	0.2987784	0.25544822
6	-0.61357456	-0.70306057	-0.6971809	-0.80846643	-0.84806216	-0.45967388	-0.57232195	-0.7963946	-0.50740004	-0.82133687	-0.81999415	-0.6886994	-0.80495715	-0.7781434	-0.6516235	-0.608244	-0.66596556	-0.60904855	-0.15705225	-0.47637725	-0.71757203	-0.41260114	-0.8411362	-0.78317195	-0.6871046	-0.59260774	-0.35113448	-0.67396337	-0.6534346	-0.83105403	-0.3003617	-0.42304412	-0.820165	-0.6376888	-0.71843463	0.34981516	-0.79660773	-0.7488118	-0.8031048	-0.5826804	-0.8060861	-0.816042	-0.77641404	-0.71246177	-0.47491434	-0.6494693	-0.6323062
7	-0.90376425	-0.7641262	-0.76735383	-0.16376802	0.2565483	-0.980781	-0.94948983	-0.28170052	-0.93983734	-0.015771527	0.013348227	-0.7969751	-0.1464583	-0.43055168	-0.8707004	-0.8985566	-0.6444651	-0.9159536	-0.9976375	-0.9725285	-0.7357108	-0.96149987	0.27958602	-0.38885164	-0.7907876	-0.79380584	-0.98779225	-0.82826656	-0.8528922	0.03818496	-0.99428135	-0.98473555	-0.05903934	-0.8695178	-0.6620124	-0.99950135	-0.15232548	-0.4656085	-0.21589959	-0.9439711	0.026567796	-0.068091184	-0.3889089	-0.7549599	-0.9697735	-0.8492774	-0.8776274
8	-0.11229159	-0.0837354	-0.08340678	-0.025033997	0.010144571	-0.18883608	-0.16055126	-0.029482087	-0.0645147	-0.005230216	0.0020663382	-0.08836918	-0.019070283	-0.063019365	-0.11221395	-0.10931645	-0.08048777	-0.12343772	-0.2544609	-0.15191524	-0.09024591	-0.04796142	0.022715718	-0.039455578	-0.07893915	-0.033945378	-0.161085	-0.096510515	-0.092296496	-0.009500009	-0.234177	-0.19827263	-0.01281438	-0.09637393	-0.040761612	-0.11221033	0.006060222	-0.0057224794	-0.02421095	-0.1542132	0.038343504	-0.030337509	-0.03526134	-0.090931915	-0.14836507	-0.089057036	-0.11957345
9	0.109445	0.10160223	0.102284506	0.08531546	0.065937266	0.13999999	0.13645339	0.078011215	0.055026516	0.066179186	0.06612267	0.102263704	0.08735303	0.11702456	0.11398389	0.1126085	0.14769585	0.10995853	0.15681708	0.112757675	0.11136108	0.030907871	0.058882102	0.08332305	0.091208406	0.080022804	0.105318055	0.105401084	0.099365436	0.07254337	0.15859084	0.146414	0.07164414	0.09961393	0.06882157	0.004932025	0.053106543	0.050730683	0.07855599	0.13158272	0.0327835	0.10665306	0.0861411	0.10844736	0.12006254	0.09134564	0.13254274
