	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
660	0.87786466	0.8330254	0.892861	0.76235545	0.8909151	0.8857491	0.8587837	0.8962274	0.2674408	0.8314331	0.8705328	0.8257314	0.89008814	0.8414036	0.8950229	0.89577866	0.82444125	0.89028555	0.860002	0.88996595	0.8958977	0.8881074	0.87427855	0.8929058	0.8322444	0.84519196	0.87638634	0.8949819	0.8320525	0.8636361	0.89726216	0.8867946	0.8956174	0.8960346	0.88502365	0.88408667	0.8625929	0.8855341	0.8867303	0.88074094	0.8625929	0.8727796	0.89337224	0.8824349	0.8034094	0.88679874	0.43841082
1042	0.107492335	0.14706667	0.09427735	0.20869374	0.095980726	0.1005331	0.12436251	0.0913021	0.46612266	0.14847022	0.11399647	0.15340516	0.096710384	0.13968875	0.09236529	0.09169921	0.15451737	0.09655607	0.12330367	0.09683604	0.09158532	0.09846549	0.110710524	0.09422536	0.14773875	0.13634984	0.10880219	0.09240678	0.14792538	0.120078266	0.09038692	0.09961152	0.09183909	0.09146973	0.101217024	0.102002546	0.12101638	0.100766	0.099685356	0.10500333	0.12101638	0.1119957	0.09382746	0.1034646	0.17307918	0.0996173	0.44993666
806	0.0056681144	0.0074811117	0.0050310246	0.0103611825	0.0051181396	0.0053384453	0.006442828	0.004889212	0.049559195	0.0075441515	0.0059608496	0.007797131	0.0051531275	0.0071449727	0.004940443	0.0049079047	0.007855762	0.005138239	0.0063878903	0.0051524667	0.004905791	0.0052345893	0.0057992646	0.005033276	0.0075172815	0.0069926013	0.0057278895	0.0049404385	0.007519237	0.006245464	0.0048456634	0.0052940273	0.004915597	0.004898263	0.005353985	0.00540751	0.0062823347	0.0053327307	0.0052911197	0.005531432	0.0062823347	0.005873991	0.00500876	0.0054753334	0.008662364	0.005290587	0.029016893
539	0.003224573	0.004969658	0.0026891767	0.008412118	0.0027593405	0.0029419104	0.003931607	0.0025745963	0.16538048	0.005036317	0.003486115	0.005311008	0.0027881037	0.004616138	0.002615735	0.0025898493	0.005374458	0.0027768593	0.0038809355	0.002788673	0.0025871655	0.002856215	0.0033387456	0.0026900452	0.005009433	0.004469986	0.0032759688	0.0026157484	0.0050099213	0.0037477	0.0025394643	0.0029050198	0.0025952647	0.0025818963	0.0029567513	0.0030003397	0.0037743633	0.0029389574	0.0029036165	0.0031061638	0.0037743633	0.0034054236	0.0026713982	0.003058024	0.006282097	0.0029056233	0.053857286
4587	0.00033761282	0.00042858272	0.00030438512	0.00056905614	0.00030907802	0.00032061123	0.0003767454	0.00029698605	0.0024187542	0.000431685	0.00035228275	0.00044421625	0.00031090347	0.00041238058	0.00029967117	0.0002979389	0.0004471786	0.0003099533	0.00037382296	0.00031069823	0.0002979515	0.00031505706	0.00034422197	0.0003046362	0.00043028803	0.0004041985	0.00034072564	0.00029966174	0.00043045884	0.00036674543	0.00029474316	0.00031826945	0.000298421	0.00029746635	0.0003211343	0.00032416772	0.0003691597	0.000320025	0.0003179547	0.00033040022	0.0003691597	0.00034815623	0.00030318694	0.00032764862	0.00048642344	0.00031779538	0.0014429161
516	0.00061416556	0.00076641794	0.0005570095	0.0009937286	0.00056521175	0.0005850896	0.0006802257	0.00054426683	0.0036425001	0.00077150203	0.00063892815	0.0007922709	0.0005683537	0.0007397632	0.0005489057	0.0005458977	0.0007972349	0.0005665719	0.0006752138	0.0005678607	0.0005459934	0.0005754315	0.00062519	0.000557528	0.0007692716	0.0007259705	0.00061948784	0.0005488428	0.0007694838	0.00066329015	0.00054040557	0.000581046	0.0005467554	0.00054511894	0.0005857307	0.0005911736	0.00066757377	0.0005838277	0.0005803883	0.00060160283	0.00066757377	0.00063208747	0.0005549238	0.0005971271	0.0008608492	0.0005800781	0.0023002408
1232	0.0015655659	0.0021408433	0.0013698422	0.0030969614	0.0013963555	0.0014638251	0.0018084444	0.0013266518	0.017422374	0.0021612819	0.0016569502	0.0022418972	0.0014070519	0.0020328304	0.001342231	0.0013323185	0.0022606044	0.001402632	0.0017912316	0.0014069332	0.0013316673	0.0014319861	0.001607204	0.001370442	0.0021521724	0.0019832682	0.0015842745	0.0013423044	0.0021532192	0.0017459657	0.001313458	0.0014501485	0.0013346983	0.0013293772	0.0014691794	0.0014850852	0.001758831	0.001462625	0.0014493653	0.0015240691	0.001758831	0.0016298812	0.0013630362	0.0015060493	0.002528189	0.001448889	0.009851096
643	0.0008724096	0.0010509563	0.0008028177	0.0013067942	0.0008129829	0.0008372778	0.00095068704	0.0007871592	0.0040654773	0.001056789	0.00090174197	0.0010810687	0.00081682304	0.0010204425	0.0007928783	0.000789161	0.0010868896	0.00081449293	0.0009446422	0.00081608375	0.0007893597	0.0008254047	0.0008853188	0.0008035569	0.0010542684	0.001004178	0.00087878155	0.0007927829	0.0010544708	0.00093077554	0.00078241294	0.0008323461	0.000790248	0.0007882247	0.00083775487	0.0008446402	0.0009359521	0.0008354432	0.0008314056	0.0008569566	0.0009359521	0.0008937948	0.0008002411	0.00085180777	0.0011582149	0.00083105825	0.002676248
754	0.00047914605	0.0005806897	0.0004397901	0.0007278623	0.00044557307	0.0004592936	0.0005234866	0.0004310293	0.0023455345	0.00058401993	0.00049566844	0.00059775007	0.00044773452	0.00056356814	0.0004342268	0.00043213146	0.0006011056	0.0004463479	0.0005199971	0.0004472461	0.0004323045	0.00045252303	0.000486493	0.00044027378	0.00058250176	0.0005538708	0.00048280263	0.000434169	0.0005826977	0.0005121324	0.00042839732	0.00045649076	0.00043279104	0.0004316222	0.00045944884	0.00046344099	0.00051541894	0.0004581384	0.00045589253	0.00047037573	0.00051541894	0.0004913062	0.00043832703	0.00046748584	0.00064211874	0.00045560236	0.0015295991
629	0.0011367488	0.0015320366	0.0010000131	0.0021914707	0.001018876	0.0010660606	0.0013038014	0.0009699737	0.0152792	0.001545983	0.0011991843	0.0016033063	0.0010263323	0.0014580574	0.0009808468	0.00097390317	0.0016167379	0.0010227201	0.0012915267	0.0010257834	0.0009736615	0.0010435247	0.0011641736	0.0010007449	0.0015402022	0.0014239753	0.001149584	0.000980748	0.0015404507	0.0012608233	0.00096079335	0.0010565087	0.0009756088	0.000971952	0.0010686495	0.0010807889	0.0012691802	0.0010641052	0.0010555201	0.0011066049	0.0012691802	0.0011809156	0.0009952273	0.0010952516	0.0017970477	0.0010554462	0.0074570635
