	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
660	0.7487961	0.7458736	0.845691	0.5793611	0.8187409	0.81349653	0.74800855	0.87023866	0.39185202	0.8430118	0.7193131	0.7785249	0.82225114	0.7813488	0.8723077	0.8648682	0.7326818	0.86603296	0.7239534	0.86186415	0.87484914	0.873845	0.8570674	0.8540918	0.7381043	0.710742	0.7654236	0.87098825	0.76282877	0.7824521	0.8535216	0.7761294	0.7883028	0.8687855	0.8324623	0.8149333	0.8172153	0.83234936	0.8620137	0.86078817	0.8172153	0.8379572	0.8659227	0.76043516	0.72059685	0.6955397	0.63242733
1042	0.20533437	0.20817621	0.11634042	0.3568304	0.13737206	0.14123777	0.20611443	0.096207194	0.44049084	0.11623224	0.23442389	0.1751143	0.13564822	0.1626796	0.09425293	0.09927837	0.22022617	0.09959445	0.23010285	0.102061555	0.092343636	0.09307837	0.10533363	0.10645656	0.2157459	0.24092716	0.18724644	0.09497001	0.18978171	0.16850382	0.10917727	0.17703176	0.16893914	0.09660039	0.12528911	0.14130005	0.13874574	0.12539361	0.102490425	0.10311382	0.13874574	0.11904634	0.09869779	0.19453266	0.23256493	0.24853256	0.29507628
806	0.016446197	0.016499836	0.012764055	0.023937296	0.014906391	0.015389696	0.016456094	0.0108980285	0.04156289	0.013503149	0.016824875	0.01625928	0.014321809	0.019092074	0.010734726	0.011780741	0.016989648	0.011242185	0.016680354	0.011751425	0.010504623	0.01059889	0.01254373	0.012797932	0.016634602	0.017614959	0.016765127	0.011053521	0.016804285	0.017207766	0.012313072	0.016444929	0.015100781	0.011135751	0.014645266	0.014938393	0.015498864	0.01465064	0.011630211	0.012002829	0.015498864	0.014182069	0.011431945	0.016068589	0.017012838	0.02008644	0.025303805
539	0.015398851	0.015359454	0.013722653	0.019236892	0.01631721	0.016958935	0.015380572	0.012291757	0.08146772	0.015413053	0.014752288	0.016489966	0.015425319	0.022218313	0.012436703	0.01327016	0.01561034	0.012563896	0.014718814	0.013472575	0.012148417	0.012279167	0.013811967	0.015246523	0.015246553	0.015583967	0.016705114	0.012553915	0.0166499	0.017965864	0.013807699	0.016693786	0.014609723	0.012987954	0.01517287	0.01613176	0.015586258	0.01517202	0.013064332	0.013151676	0.015586258	0.016632989	0.013293374	0.015256897	0.015093659	0.01988176	0.028280623
4587	0.00071107945	0.00070746127	0.0008078205	0.0006657314	0.0008267014	0.0008328225	0.00070992485	0.0007915829	0.0014644185	0.00083881704	0.00067395734	0.00077175244	0.00080821424	0.0008890397	0.00079139275	0.00081750646	0.00069967605	0.00079540035	0.0006767618	0.00081038836	0.0007894766	0.0007902319	0.00083112804	0.0008411787	0.0006979951	0.00068298576	0.0007523019	0.00080313685	0.0007497888	0.0008118127	0.0008102931	0.00077206356	0.00075063214	0.00080137805	0.0008526242	0.00081530714	0.00084456033	0.0008525463	0.00080431724	0.00081381435	0.00084456033	0.0008565024	0.0008070582	0.00072070427	0.00068147253	0.00070818263	0.0007335361
516	0.0012361064	0.0012312044	0.0013612856	0.0012325501	0.0013995307	0.0014108287	0.0012344866	0.001326906	0.0027992919	0.0014113947	0.0011850959	0.0013247062	0.0013689058	0.0015082005	0.0013253057	0.0013711451	0.0012233836	0.0013346791	0.0011880507	0.0013599631	0.0013210985	0.0013227692	0.0013954069	0.0014111504	0.0012183901	0.0012038709	0.0012976422	0.0013455303	0.0012945265	0.0013866933	0.0013626675	0.0013258742	0.0012864565	0.001342706	0.0014365972	0.0013825269	0.0014278472	0.0014365058	0.001350331	0.0013668232	0.0014278472	0.0014406195	0.0013530235	0.0012476183	0.0011973779	0.0012533118	0.0013275252
1232	0.0044669844	0.004528009	0.0027017458	0.009484414	0.0031690856	0.0032638211	0.0044831377	0.0022465214	0.017730081	0.0027319454	0.0051085283	0.0039028889	0.0030959498	0.0038784123	0.0021962523	0.002355365	0.0048189033	0.0023242135	0.004999782	0.0023889455	0.0021564	0.002171316	0.0025144669	0.0025163253	0.0046929065	0.0053380937	0.004135923	0.0022398797	0.004193834	0.003853581	0.0025403788	0.003949246	0.0037206397	0.0022570174	0.0030093351	0.003232247	0.0032995958	0.003011647	0.0023957796	0.0024382481	0.0032995958	0.0028121797	0.0023098537	0.004226888	0.00508848	0.005682861	0.0075061675
643	0.0016450968	0.0016448081	0.0015225501	0.0018143483	0.0016440959	0.0016702213	0.0016447111	0.0013996015	0.0036419006	0.0015728945	0.0016346558	0.0016786205	0.0016053674	0.001852591	0.0013883052	0.0014582783	0.0016574509	0.0014230298	0.0016314619	0.0014587184	0.0013746707	0.0013800276	0.0015103904	0.0015294406	0.0016436145	0.001667243	0.001679185	0.0014118454	0.0016810505	0.001733813	0.0014934915	0.0016852181	0.0016191227	0.0014162759	0.0016394366	0.0016400199	0.0016823903	0.0016397599	0.0014512027	0.0014721763	0.0016823903	0.001614969	0.001436363	0.0016364849	0.0016466044	0.0017356062	0.0018688177
754	0.0010357725	0.0010348996	0.000998679	0.0011671464	0.001068321	0.0010842581	0.0010353104	0.0009283713	0.002671503	0.001034961	0.0010233884	0.0010702455	0.0010416674	0.0012019487	0.0009221351	0.0009683279	0.001041525	0.0009420869	0.0010216293	0.00096567336	0.0009141208	0.0009172907	0.0010006815	0.0010129947	0.0010324778	0.0010463238	0.0010646918	0.0009386442	0.0010655433	0.001111991	0.0009838922	0.0010742301	0.001031252	0.0009402239	0.0010763075	0.0010623676	0.0010962436	0.0010764494	0.0009597821	0.0009745513	0.0010962436	0.0010629453	0.0009527715	0.00103266	0.0010321137	0.0010983237	0.0012092196
629	0.0031536708	0.0031582722	0.0026310154	0.0038227586	0.0029966838	0.0030769052	0.003154125	0.0023445988	0.011829081	0.0027879598	0.0031716793	0.0031743643	0.0028956407	0.0036402931	0.0023382953	0.0024675045	0.0032177826	0.0023969035	0.003156583	0.0025003126	0.0023002266	0.0023162225	0.0025729572	0.0026960853	0.0031689266	0.0032726494	0.0032182585	0.0023658376	0.0032256932	0.0032892984	0.0025821761	0.0031984958	0.002971955	0.002408607	0.002853852	0.0029956284	0.0029737286	0.0028545344	0.0024683222	0.0024871351	0.0029737286	0.0029151882	0.0024546115	0.0031060462	0.0032023208	0.0036008665	0.004257967
