	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
660	0.7767084	0.83658445	0.8309369	0.9064676	0.9328126	0.6639468	0.73972774	0.9009264	0.73239833	0.9175724	0.9181097	0.82708764	0.9030411	0.87875116	0.80088353	0.76710504	0.765652	0.77829605	0.4952902	0.6896515	0.843462	0.68551415	0.9333558	0.8911588	0.83214504	0.81078047	0.6188019	0.8157273	0.80573803	0.9222897	0.5684401	0.642616	0.9158836	0.7938798	0.85604733	0.3212744	0.908231	0.87994266	0.9048332	0.74881333	0.91701674	0.90599513	0.8877736	0.84040016	0.68532574	0.8113374	0.78219473
1042	0.19732054	0.1445471	0.14901303	0.08218427	0.059040975	0.29886827	0.2312733	0.08754963	0.23572877	0.0726285	0.07209412	0.152925	0.08461979	0.105824746	0.17632028	0.20435084	0.18950005	0.19719152	0.44788027	0.27557674	0.13815202	0.2752673	0.058589756	0.09618225	0.14888225	0.16863954	0.33761874	0.16294083	0.1717727	0.06854225	0.38351563	0.3166672	0.07420327	0.18205072	0.12722431	0.57978934	0.08078104	0.10582726	0.08391603	0.22343595	0.07279505	0.081575766	0.098752856	0.14130776	0.2774086	0.16706137	0.19089097
806	0.009473816	0.0071491236	0.007531575	0.004475548	0.0032796287	0.012869965	0.010444351	0.0045567243	0.011286189	0.003910186	0.003906627	0.0075260983	0.0048153894	0.005909372	0.00846217	0.010235379	0.014514736	0.009041446	0.017886588	0.012174372	0.00697449	0.013397522	0.0032451174	0.0049699177	0.007196541	0.0077548884	0.014624933	0.007973159	0.008355246	0.0036758801	0.015779577	0.013842911	0.0039557754	0.008863137	0.0064131552	0.026063599	0.0043491665	0.0055267164	0.004450278	0.010063468	0.0040439917	0.0048304764	0.005249746	0.00695687	0.012852585	0.008072083	0.00972639
539	0.007231948	0.0046141264	0.0050366917	0.0022496937	0.0013929284	0.011978096	0.008447319	0.0022893364	0.009613239	0.0018166512	0.0018172548	0.0050055985	0.0025462834	0.0034998	0.0060208295	0.008273688	0.015697587	0.0066514197	0.02196134	0.01088832	0.0044501186	0.012824677	0.0013674636	0.0026199669	0.0046392656	0.005194339	0.014969048	0.0054888264	0.0059048277	0.0016504201	0.017269187	0.013624038	0.0018463653	0.0065005664	0.0038872203	0.04766074	0.0021380854	0.003091024	0.0022164134	0.007938728	0.0019201222	0.002584568	0.0028719606	0.0044170064	0.011997533	0.005568229	0.0076244576
4587	0.00052008656	0.00040873827	0.00042917382	0.00027561604	0.00021089967	0.0006661257	0.0005597473	0.00027810253	0.00060646044	0.00024463507	0.0002446691	0.00042710543	0.00029594387	0.00035267882	0.00047116794	0.00056031306	0.0008131143	0.00049590564	0.0008700969	0.0006377756	0.00040176738	0.00070717046	0.00020918231	0.00029956308	0.00040993452	0.00043449982	0.00074448774	0.0004485935	0.00046730522	0.0002314701	0.0007855657	0.0007104022	0.00024665217	0.0004919726	0.00037323273	0.0012166821	0.00026890726	0.00032987402	0.00027309524	0.0005416781	0.00025379498	0.0002985215	0.00031563398	0.00039865208	0.00067439576	0.0004536065	0.0005376204
516	0.0009138282	0.000732455	0.00076667406	0.00050844	0.00039571285	0.0011391725	0.00097487506	0.0005123688	0.0010520626	0.0004545801	0.0004547927	0.00076272525	0.00054394396	0.0006404278	0.00083425717	0.0009808058	0.0013960203	0.00087290833	0.0014317139	0.00109655	0.00072124554	0.0012106443	0.00039256059	0.000549188	0.00073390396	0.00077379006	0.001258526	0.00079793815	0.0008286011	0.00043159723	0.0013138842	0.0012069739	0.00045806583	0.0008685683	0.0006736798	0.0019091418	0.00049664656	0.00060103	0.0005038588	0.00094600965	0.00047081098	0.000548633	0.0005768638	0.00071549945	0.0011568556	0.0008053855	0.0009440073
1232	0.0028075892	0.002041423	0.0021555843	0.0012016287	0.0008537129	0.004053929	0.0031642346	0.0012337771	0.0034243471	0.0010385728	0.001036646	0.002162676	0.001294034	0.0016242074	0.0024737066	0.003045283	0.0042014765	0.0026842903	0.0060739685	0.00378361	0.0019809885	0.004155578	0.0008446412	0.0013584234	0.0020645391	0.002262613	0.0046945163	0.0023077955	0.0024346765	0.0009710317	0.0051838486	0.004393137	0.0010531556	0.0025999118	0.0018055758	0.009523822	0.0011671879	0.0015249401	0.0011986496	0.0030353991	0.0010736077	0.0012908415	0.0014362398	0.001981587	0.0039965124	0.0023457343	0.0028646684
643	0.0012093482	0.0010062054	0.0010500546	0.0007442481	0.0005995944	0.001424526	0.0012633802	0.0007442821	0.0013606143	0.0006739168	0.000674737	0.0010409472	0.0007944825	0.00091300835	0.0011193588	0.0012946402	0.001874273	0.0011546375	0.001671162	0.0013872411	0.0009962489	0.0015330103	0.0005951706	0.00078997744	0.0010048421	0.0010414334	0.0015445133	0.0010809759	0.001115177	0.0006436087	0.0015788849	0.0014966553	0.0006774233	0.0011614435	0.0009390276	0.002088935	0.0007280643	0.000855409	0.0007355087	0.0012314447	0.00069802377	0.0008050444	0.00082768337	0.0009855299	0.0014649058	0.0010877236	0.0012554096
754	0.0006719918	0.0005552252	0.0005795358	0.00040622306	0.00032580298	0.0008012435	0.0007053171	0.00040693898	0.000759679	0.00036730114	0.00036769555	0.0005750967	0.000433469	0.0004999997	0.0006204346	0.00071772933	0.0010322835	0.0006421196	0.00095692	0.00077866757	0.00054919225	0.0008597355	0.00032356687	0.00043232486	0.00055466435	0.000578193	0.0008728631	0.0005979521	0.00061779073	0.00035052453	0.0008970154	0.0008436565	0.00036934685	0.0006439972	0.00051691657	0.0012145756	0.00039756476	0.00046923934	0.0004017693	0.0006868509	0.00038050103	0.00043879947	0.0004532066	0.000543548	0.00081991573	0.0006023907	0.0006967118
629	0.0019666967	0.0014495233	0.001541046	0.0008841626	0.0006329978	0.0027223073	0.0021690628	0.0008940678	0.002387431	0.00076157827	0.0007619792	0.0015322799	0.0009657949	0.0012034838	0.0017354083	0.0021631909	0.003429263	0.0018520507	0.003935658	0.0025655385	0.0014166771	0.002902277	0.0006255912	0.0009816195	0.001454205	0.0015685703	0.0031481204	0.0016310135	0.0017157884	0.0007115285	0.0034100516	0.0029613448	0.0007698011	0.0018312159	0.0012908761	0.006300631	0.0008548627	0.0011041142	0.0008742386	0.002080032	0.0007945861	0.00097653235	0.001047362	0.0014053873	0.0027527406	0.0016489866	0.002048037
