	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
660	0.73662716	0.7996303	0.7914784	0.8985096	0.93808556	0.6584267	0.71247196	0.89427125	0.6814309	0.91936713	0.91639835	0.78824097	0.880584	0.84531987	0.76091176	0.6987913	0.6440162	0.74033725	0.5328883	0.67237306	0.80682236	0.6256361	0.9360538	0.87680763	0.78970295	0.7358568	0.616848	0.7765171	0.76434594	0.92621267	0.58778685	0.639643	0.9172474	0.7517407	0.822488	0.28490043	0.90032095	0.85383135	0.8983054	0.719277	0.90859413	0.8770847	0.8671456	0.80537254	0.6379688	0.7693993	0.72874016
1042	0.21981193	0.16627775	0.16581835	0.0701914	0.040930726	0.31124574	0.25772262	0.08346124	0.23876224	0.058490198	0.05594998	0.17579691	0.066787615	0.0981696	0.20423217	0.20807572	0.118726	0.23126815	0.43090928	0.29024598	0.15863383	0.25539294	0.039911717	0.09583382	0.17442901	0.18476397	0.33264047	0.18625624	0.19537047	0.054652177	0.37783673	0.32271007	0.062011883	0.20149314	0.14066288	0.40731093	0.069506764	0.10519627	0.075785816	0.2522202	0.054264013	0.059624635	0.094742104	0.16410847	0.27465346	0.19735317	0.20356983
806	0.016299952	0.012169363	0.015026694	0.00918218	0.005693147	0.0109554995	0.010533429	0.0072029056	0.037377477	0.0067368257	0.008248587	0.013008555	0.014261562	0.014966685	0.012574216	0.03028387	0.04156252	0.010696474	0.013104575	0.014855666	0.011584871	0.061108686	0.0066261487	0.008918247	0.013321891	0.03138272	0.021348288	0.013500311	0.0151986405	0.0055818125	0.01226416	0.013563562	0.0063018766	0.017655283	0.014256017	0.18020853	0.010154265	0.015648903	0.008115409	0.010187872	0.01248782	0.014463135	0.012166827	0.010583565	0.030994602	0.012851553	0.021407489
539	0.014224204	0.01123338	0.015527878	0.012809671	0.007913119	0.0078803385	0.008893885	0.0071973163	0.02075164	0.0076324474	0.01044823	0.011823766	0.02582957	0.028950775	0.011211793	0.04251442	0.16636068	0.0073900325	0.0072050663	0.009313554	0.012507658	0.027780084	0.009103103	0.009478584	0.011058469	0.02646843	0.011704221	0.01231011	0.012785446	0.006586796	0.008498466	0.010938467	0.007030372	0.015616287	0.010938523	0.03684938	0.010138071	0.01287211	0.009290037	0.008186684	0.01306302	0.03574119	0.015101473	0.010119819	0.03490442	0.009104884	0.030503
4587	0.000615787	0.00059599953	0.0007002156	0.00081268535	0.00077707256	0.00036134015	0.0003951479	0.0006104716	0.0010658324	0.0007125023	0.0008595102	0.000602624	0.001175152	0.0009798991	0.00053326733	0.001110053	0.0021816122	0.0004339573	0.00034401537	0.00046850825	0.00059854734	0.0014717572	0.00090080895	0.0006670896	0.00063100934	0.0013117658	0.0005633225	0.00059612305	0.0006306392	0.00064381165	0.00034661154	0.00041361598	0.00065500435	0.00069125515	0.00073995895	0.0025808953	0.0008785399	0.0009476416	0.00070424954	0.00039097684	0.0011810372	0.0012817868	0.000844587	0.00054051616	0.0009309589	0.0005601712	0.0008274155
516	0.0010814446	0.0010294173	0.0011983674	0.001341337	0.0012683977	0.000674988	0.0007202642	0.0010283093	0.0018342736	0.0011792016	0.0014074695	0.0010434242	0.0018950144	0.001609922	0.0009377341	0.0018658404	0.0034780107	0.00077806186	0.00066852674	0.00085720525	0.001030342	0.002509774	0.0014591936	0.0011213816	0.0010865547	0.0021828823	0.0010382783	0.0010360276	0.00109662	0.0010687409	0.00066477194	0.00077162037	0.0010903098	0.0011978467	0.001255526	0.0046340097	0.0014462079	0.0015719517	0.0011742661	0.0007112515	0.001904296	0.0020466903	0.0014026694	0.00093759823	0.0016269839	0.0009792589	0.001419609
1232	0.0043542273	0.0030400364	0.003367058	0.0017511183	0.0011598213	0.005075762	0.003957668	0.001693949	0.0078102145	0.0014370106	0.0015662445	0.0032585994	0.0021270104	0.0024878525	0.0035548308	0.0059236856	0.0048938035	0.0036995967	0.008810409	0.0055828774	0.0028509302	0.011498298	0.0012676648	0.0019860093	0.003358791	0.0060823043	0.008163896	0.003449219	0.0038332695	0.0012683892	0.006898873	0.005889639	0.0014137856	0.0042413385	0.0030811063	0.0530307	0.0019133112	0.0028374656	0.0017144606	0.0038235702	0.0019636902	0.0020139124	0.0022900384	0.0027849735	0.007953082	0.003622889	0.004643884
643	0.001515414	0.0013493091	0.0015365581	0.0012725437	0.0010069698	0.0010660467	0.0010918486	0.0010774971	0.002508141	0.001073399	0.0012322277	0.0013879365	0.0016946729	0.0016636526	0.0013130121	0.0023907241	0.0035042176	0.0011565187	0.0011105507	0.0013124661	0.0013239691	0.0033826532	0.00112984	0.0012162684	0.00144058	0.0027034536	0.0015894341	0.0014005153	0.001495547	0.0009601873	0.0010760579	0.0011980166	0.0010222129	0.0016264673	0.0015415834	0.0064021307	0.0013703931	0.0017098493	0.0011679229	0.0010783388	0.0016074157	0.0017352435	0.001470977	0.0012359365	0.0022375071	0.0013654507	0.0018612464
754	0.0009306747	0.00082925626	0.00096627534	0.0008746236	0.0007258817	0.00062310736	0.0006389173	0.00069978967	0.0016312376	0.0007362947	0.0008683407	0.0008521567	0.0012270381	0.0011446533	0.00079242664	0.0016062377	0.002660186	0.0006769344	0.0006672124	0.00078390405	0.00081972295	0.002293288	0.0008288043	0.0007895709	0.00088753423	0.0018037811	0.000981425	0.0008579831	0.00091906387	0.0006563945	0.0006399885	0.00071788166	0.0006904061	0.0010131798	0.0009738694	0.00503345	0.00094190944	0.0011358942	0.0007803045	0.00062853494	0.0011689315	0.0012930011	0.0009850084	0.00075231976	0.0014832382	0.0008232998	0.0012027745
629	0.0029040019	0.0024485455	0.002897429	0.0021062384	0.0014360045	0.0020983766	0.0021702284	0.0016619401	0.0041349875	0.0015676126	0.0018470419	0.0025426266	0.0030355658	0.0034031447	0.0024915237	0.0053635393	0.0103101805	0.0020714202	0.0021324211	0.0024002749	0.0025109237	0.0052687307	0.0015874391	0.0019914876	0.0025442108	0.00480032	0.0028492785	0.0026096415	0.0027389263	0.0013993303	0.0021884004	0.0024738743	0.001510711	0.0030548149	0.0024896164	0.00853428	0.0019986448	0.002605314	0.0018402678	0.002093508	0.0022203363	0.0033749514	0.002533638	0.002266892	0.004977882	0.002354796	0.004172218
