	RSE	RRSE
118	3.0285318	1.7402678
40	5.522579	2.3500168
265	13.186893	3.6313763
564	10.50201	3.2406805
69	9.598576	3.0981567
41	3.1544266	1.7760706
980	7.0855923	2.6618776
744	26.873524	5.183968
4612	12.150792	3.4857986
1782	1.0608197	1.029961
417	3.3654754	1.8345232
638	12.525023	3.539071
4613	13.005355	3.6062937
147	28.963253	5.381752
616	3.853464	1.9630241
651	9.112479	3.0186884
2260	12.179286	3.4898834
856	41.425755	6.436284
684	1.104848	1.0511175
362	10.920142	3.3045638
1284	28.331778	5.32276
4614	3.3353755	1.8263011
1142	7.779363	2.789151
532	37.52339	6.125634
4615	21.403128	4.6263514
463	3.411802	1.8471065
4616	25.797422	5.0791163
4617	14.751211	3.8407307
305	5.990399	2.447529
1108	86.28595	9.289023
1022	27.466196	5.2408204
318	42.018967	6.482204
4618	55.019184	7.417492
1944	40.2567	6.3448167
390	32.98597	5.7433414
2667	12.54234	3.5415168
553	18.418001	4.29162
4619	30.876547	5.556667
1497	26.342253	5.1324706
522	15.175333	3.8955529
4620	35.68984	5.9740973
2652	11.980933	3.4613485
1008	7.2095337	2.6850574
4621	20.334284	4.509355
1151	60.157276	7.756112
970	6.5795465	2.5650628
4622	2.0746818	1.4403756
734	3.620922	1.9028721
4623	2.5803947	1.6063607
4624	44.392532	6.662772
1360	11.362472	3.3708265
1871	1.5478379	1.2441213
4625	1.1173956	1.0570694
1325	1.2384192	1.1128428
4435	1.3512212	1.1624204
4626	1.2995905	1.1399958
1568	2.7798095	1.667276
4627	0.9999979	0.9999989
