	RSE	RRSE
118	2.4780695	1.5741886
40	4.7515225	2.1797988
265	11.293782	3.3606224
564	3.103868	1.7617798
69	9.880829	3.1433785
41	5.1220927	2.263204
980	9.631495	3.103465
744	11.795492	3.4344566
4612	12.524049	3.5389333
1782	1.7194839	1.3112909
417	2.9461179	1.7164259
638	14.828301	3.8507533
4613	14.628455	3.8247163
147	32.684673	5.717051
616	4.714799	2.1713588
651	4.7230506	2.173258
2260	17.065172	4.1310015
856	43.83738	6.6209803
684	1.487252	1.2195294
362	10.768239	3.2814996
1284	27.175201	5.212984
4614	2.0268638	1.4236797
1142	8.171781	2.8586326
532	42.331726	6.5062838
4615	18.978085	4.3563843
463	2.3379383	1.5290319
4616	17.578983	4.19273
4617	21.741377	4.662765
305	2.521776	1.5880101
1108	60.86225	7.8014264
1022	35.846035	5.987156
318	21.840654	4.6733985
4618	61.588684	7.847846
1944	46.181988	6.795733
390	34.40905	5.865923
2667	9.6004505	3.0984595
553	14.527066	3.8114388
4619	33.19903	5.76186
1497	28.967735	5.3821683
522	9.988838	3.1605124
4620	54.13331	7.357534
2652	3.1828802	1.7840629
1008	4.2533584	2.0623672
4621	5.4653244	2.3378034
1151	70.13138	8.374448
970	3.723349	1.9295982
4622	1.5842799	1.2586818
734	2.4816322	1.5753198
4623	1.654714	1.2863569
4624	51.162853	7.1528215
1360	12.142948	3.4846733
1871	1.3867854	1.1776185
4625	1.0835927	1.0409576
1325	1.212161	1.1009818
4435	1.1667659	1.0801694
4626	1.3005106	1.1403993
1568	1.7607918	1.3269483
4627	0.9999985	0.9999992
