	RSE	RRSE
118	2.7668297	1.663379
40	2.981601	1.7267313
265	5.707395	2.3890154
564	60.331547	7.7673383
69	10.232963	3.1989002
41	9.850624	3.1385703
980	6.321505	2.5142603
744	16.383423	4.047644
4612	8.837334	2.9727652
1782	28.29189	5.319012
417	4.4686437	2.1139166
638	15.272177	3.9079633
4613	12.51015	3.536969
147	29.926525	5.4705143
616	45.474106	6.743449
651	31.213413	5.5868964
2260	8.953219	2.992193
856	33.64711	5.800613
684	8.540739	2.9224544
362	15.506472	3.9378257
1284	27.99206	5.2907524
4614	7.3760853	2.715895
1142	7.194916	2.682334
532	41.85454	6.4695086
4615	27.327248	5.227547
463	7.629744	2.7621992
4616	8.8800955	2.979949
4617	11.069704	3.3271165
305	25.914856	5.0906634
1108	62.66938	7.9163995
1022	28.441713	5.3330774
318	46.862297	6.8456044
4618	37.444645	6.119203
1944	35.7472	5.978896
390	31.454933	5.60847
2667	21.183432	4.602546
553	15.421493	3.9270208
4619	28.412271	5.330316
1497	21.893208	4.679018
522	99.685455	9.984261
4620	16.91802	4.113152
2652	17.322647	4.1620483
1008	26.286798	5.127065
4621	72.42204	8.510114
1151	44.763176	6.690529
970	13.706526	3.7022326
4622	3.9316833	1.9828472
734	4.1911254	2.0472238
4623	3.933738	1.9833653
4624	47.83886	6.916564
1360	38.12495	6.1745405
1871	4.774628	2.1850922
4625	1.275249	1.1292692
1325	1.5521696	1.2458609
4435	1.4934464	1.2220664
4626	2.3255386	1.5249717
1568	13.60707	3.6887763
4627	0.99999464	0.9999973
