	RSE	RRSE
118	3.8444104	1.9607168
40	2.8545768	1.6895493
265	9.425277	3.0700614
564	5.382666	2.3200574
69	14.070379	3.7510505
41	4.7819357	2.1867638
980	7.906292	2.8118129
744	7.485551	2.7359736
4612	14.700437	3.8341148
1782	1.1525426	1.0735654
417	2.6796434	1.6369616
638	11.295183	3.3608308
4613	14.003072	3.7420678
147	34.99264	5.9154577
616	1.667483	1.2913105
651	2.955338	1.7191097
2260	10.671524	3.2667298
856	26.975754	5.1938186
684	1.0130566	1.0065072
362	1.3338592	1.1549282
1284	1.1974113	1.094263
4614	1.1448292	1.0699669
1142	7.5664883	2.750725
532	2.1228158	1.4569886
4615	5.3463345	2.3122141
463	1.1884644	1.0901672
4616	13.408064	3.6617024
4617	8.273279	2.8763309
305	1.8510822	1.3605448
1108	37.054005	6.0872
1022	2.4104774	1.5525712
318	6.9575	2.6377072
4618	19.732538	4.442132
1944	37.936188	6.159236
390	32.56671	5.706725
2667	3.8787334	1.96945
553	9.004946	3.0008242
4619	29.982656	5.475642
1497	22.57306	4.7511115
522	3.5381908	1.8810079
4620	15.457776	3.9316378
2652	1.5867158	1.259649
1008	1.9236096	1.3869425
4621	3.3917606	1.8416733
1151	35.863605	5.988623
970	2.5036123	1.5822808
4622	1.3011853	1.1406951
734	1.5733696	1.2543403
4623	1.4667321	1.2110872
4624	45.09797	6.7155023
1360	2.8649938	1.6926292
1871	1.4561019	1.2066904
4625	1.0947485	1.0463023
1325	1.1101917	1.0536563
4435	1.0798831	1.0391742
4626	1.1478338	1.0713701
1568	1.7825549	1.3351235
4627	1.0	1.0
