	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
0	0.9166108	0.91318476	0.91328067	0.91555786	0.9173772	0.91755813	0.9168275	0.91523874	0.90143234	0.91409445	0.916864	0.9171105	0.91719794	0.9158456	0.91717935	0.91542757	0.9168842	0.91512597	0.91598946	0.9140097	0.9171042	0.9156541	0.90971863	0.9165295	0.91601235	0.91693234	0.91752	0.9132437	0.9173568	0.91526127	0.9149659	0.9171545	0.9155798	0.91663015	0.91735643	0.91638786	0.9170303	0.9173492	0.9153446	0.9153473	0.9170303	0.9140973	0.915771	0.91576076	0.90316486	0.9169788	0.9132455
1	0.09617383	0.11054549	0.10480176	0.107829124	0.095070064	0.09520167	0.099585705	0.10143197	0.16397308	0.10755268	0.103214756	0.105340056	0.10157158	0.101215415	0.09888334	0.09960901	0.10072215	0.1009856	0.10452732	0.10474643	0.09971311	0.094812945	0.11434198	0.09931694	0.102396816	0.099217616	0.10225582	0.10044326	0.09864418	0.10179312	0.09865439	0.10618402	0.09921283	0.09660973	0.08674757	0.10196227	0.084549695	0.08686844	0.10066523	0.096994296	0.084549695	0.10873916	0.09959289	0.10160952	0.1502071	0.09580599	0.10767754
2	-0.5435385	-0.5025357	-0.61787	-0.5691856	-0.54553443	-0.5652722	-0.5435334	-0.60046107	-0.3875658	-0.51066256	-0.5576183	-0.57602644	-0.5798242	-0.5240844	-0.5577854	-0.6047661	-0.5486752	-0.59762615	-0.54669446	-0.51197857	-0.5724534	-0.57399046	-0.6502845	-0.53850895	-0.5346426	-0.56563735	-0.566347	-0.64126766	-0.5587598	-0.60935515	-0.6067788	-0.57638985	-0.5908034	-0.55134535	-0.61527675	-0.5420122	-0.613139	-0.6154121	-0.5858529	-0.56967527	-0.613139	-0.514867	-0.5923074	-0.54161966	-0.4306339	-0.555482	-0.5054189
3	0.8961445	0.8949882	0.889069	0.88979703	0.89992017	0.8988364	0.8943104	0.88858676	0.89992523	0.89616334	0.89167565	0.894326	0.89532274	0.89794147	0.8955323	0.89041495	0.8965025	0.8912427	0.88255006	0.887545	0.8925029	0.893167	0.88318926	0.89480853	0.88859767	0.8954869	0.896269	0.8856228	0.8960609	0.892131	0.89340127	0.8941888	0.89352846	0.89872766	0.88591814	0.889867	0.88985866	0.885807	0.88482773	0.8910796	0.88985866	0.88960737	0.8888574	0.88976127	0.89787334	0.8978573	0.896065
4	-0.95144373	-0.95048827	-0.9513489	-0.95068717	-0.95192754	-0.9520209	-0.9519821	-0.9521458	-0.9361915	-0.95111513	-0.9518173	-0.95153826	-0.95210403	-0.95093614	-0.95158076	-0.95234835	-0.9510233	-0.95131445	-0.95269483	-0.9519086	-0.95245576	-0.95111436	-0.95267993	-0.95237213	-0.95238084	-0.95142615	-0.9516107	-0.9528207	-0.9518725	-0.95187867	-0.9524575	-0.95154047	-0.95124316	-0.9517379	-0.9557969	-0.9522284	-0.9550212	-0.95580757	-0.9526667	-0.9512209	-0.9550212	-0.952328	-0.9520504	-0.95174456	-0.9462052	-0.9529712	-0.9479991
5	0.94293183	0.94188416	0.9399837	0.9403451	0.94464475	0.94416785	0.9426133	0.94090253	0.9393976	0.9426953	0.9416401	0.9420635	0.9428689	0.9431701	0.9427784	0.9410618	0.94278556	0.9408988	0.9393436	0.93966794	0.9423272	0.94163686	0.93848324	0.9430106	0.94076025	0.942586	0.9429516	0.939237	0.9431194	0.94118696	0.94251704	0.94197744	0.9416464	0.94407874	0.9426237	0.94123095	0.943297	0.94259804	0.9404545	0.94126284	0.943297	0.9407489	0.94089967	0.940952	0.94181937	0.9445699	0.94087803
6	-0.60378665	-0.54043406	-0.6429265	-0.6150312	-0.60994935	-0.6277628	-0.6037678	-0.6398256	-0.35510442	-0.5558429	-0.6130177	-0.62859	-0.6340741	-0.58678776	-0.61748517	-0.64710766	-0.60994506	-0.6383178	-0.588131	-0.5532275	-0.6256775	-0.6249294	-0.6502497	-0.5962867	-0.5863416	-0.623054	-0.62455356	-0.66177106	-0.6201019	-0.64840883	-0.6480889	-0.62862307	-0.63626117	-0.6094179	-0.648598	-0.59619564	-0.65521026	-0.6485012	-0.6221329	-0.6181421	-0.65521026	-0.55398375	-0.63571554	-0.5942001	-0.41495574	-0.6124914	-0.55308163
7	0.6380836	0.6347447	0.64943314	0.6491739	0.6359212	0.6397306	0.6358174	0.6451403	0.670185	0.63178754	0.64250225	0.6497472	0.6448586	0.6342671	0.6428647	0.64406246	0.6430126	0.6492498	0.6352531	0.628146	0.63893324	0.6434238	0.6410673	0.63049084	0.63291276	0.6449587	0.64613885	0.64502704	0.6403904	0.6489489	0.6419938	0.65017027	0.6482749	0.63803345	0.62670755	0.63542336	0.6284128	0.6267102	0.636833	0.6413325	0.6284128	0.6259124	0.64402974	0.636744	0.63879585	0.6316795	0.64476514
8	0.6083399	0.60410464	0.6154884	0.6151698	0.6067884	0.6088351	0.60927755	0.61695826	0.5796796	0.60572594	0.6120916	0.61075354	0.610764	0.60740745	0.6096935	0.61724	0.609243	0.6153949	0.6167295	0.607818	0.613002	0.61412317	0.61173713	0.6083225	0.6112019	0.6108886	0.609168	0.6179632	0.6094758	0.6151733	0.6156969	0.6107893	0.61429876	0.60905117	0.6204601	0.6115432	0.61801904	0.62053096	0.6184782	0.6143941	0.61801904	0.60910565	0.6164003	0.6119187	0.60262996	0.6090015	0.60485566
9	0.7438559	0.74234515	0.7338127	0.739823	0.7441335	0.74013156	0.74270105	0.73401624	0.74212044	0.74215424	0.7413442	0.73657125	0.73570216	0.74314016	0.74186844	0.7280349	0.7424808	0.7340485	0.7440801	0.74157536	0.73784727	0.7388287	0.73894846	0.7421144	0.74320364	0.7398861	0.7392915	0.7310131	0.74062717	0.72948545	0.73246336	0.73590505	0.7346752	0.7428901	0.7382805	0.7430107	0.7364303	0.73827124	0.7385861	0.7402346	0.7364303	0.7394077	0.73561424	0.74332607	0.7385469	0.7425015	0.7448372
