	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
0	0.58166003	0.65830636	0.20629387	0.42505482	0.7165358	0.6728698	0.72464013	0.5823288	-0.33177906	0.93831515	0.67694867	0.7593503	0.84738386	0.88679254	0.6139657	0.46228126	0.47197917	0.3987317	0.8275514	0.59471405	0.8764151	0.38290793	0.0818617	0.7115269	0.74885947	0.7657417	0.84582096	0.3497434	0.6952499	0.61979216	0.4285393	0.74067736	0.90872836	0.77252287	0.836352	0.75902295	0.8336243	0.8364493	0.85369563	0.64782697	0.8336243	0.5190637	0.84192616	0.6112918	0.85970545	0.69406044	0.26675978
1	0.94104755	0.9424469	0.94589853	0.9224425	0.9403505	0.9420832	0.93995494	0.9420612	0.73525673	0.923713	0.94097024	0.9392162	0.9344039	0.93763787	0.9418677	0.93319297	0.9438351	0.9444899	0.9363923	0.9403831	0.9307154	0.9409646	0.93646514	0.94026953	0.93950415	0.9393158	0.9343262	0.9389732	0.9411576	0.9384299	0.935817	0.9397176	0.9289053	0.9383084	0.961014	0.93899214	0.96081287	0.9610333	0.93261415	0.946356	0.96081287	0.9375616	0.9333053	0.9417737	0.9335345	0.94263023	0.91733146
2	0.5502519	0.5886443	0.2972066	0.3521906	0.5875068	0.58984363	0.5730175	0.4322344	0.8809412	0.54521513	0.5905542	0.556523	0.5208204	0.5602882	0.43120456	0.4153921	0.5744369	0.33798203	0.52421534	0.52757955	0.51997155	0.34070626	0.3754365	0.5846091	0.56587356	0.5514052	0.519973	0.2967968	0.59120625	0.48026702	0.35276964	0.57171494	0.53463495	0.541598	0.61431634	0.55406785	0.6118336	0.6143726	0.50621223	0.45098242	0.6118336	0.49252486	0.50074065	0.5706351	0.5172156	0.5982615	0.6458948
3	0.55467874	0.5076058	0.6639522	0.67926776	0.45918244	0.4953946	0.45220658	0.5195625	0.80873865	0.07776762	0.49693698	0.42130768	0.28330714	0.25721723	0.49926674	0.65141237	0.6357252	0.60022235	0.3203554	0.5460967	0.21976137	0.6154974	0.6752591	0.46593037	0.43061626	0.41228232	0.28076333	0.6516534	0.47812322	0.52043635	0.61381316	0.438569	0.16406478	0.4027608	0.3313851	0.42650688	0.33464476	0.33160847	0.25227275	0.4858713	0.33464476	0.64065117	0.2763867	0.5441379	0.26834133	0.47892517	0.6440739
4	0.11993294	0.11645318	0.01868665	0.6142825	0.010152922	0.091875024	-0.019662138	-0.016413828	-0.7222828	-0.3033913	0.053757135	-0.085022576	-0.16112086	-0.26332057	-0.0422826	0.506075	0.06427523	0.061504904	-0.14036353	0.024108578	-0.19838598	0.11677886	-0.13320224	0.011511918	-0.05922891	-0.082330145	-0.1537538	0.28247714	0.056675617	-0.06536419	0.28322095	-0.04563011	-0.27009746	-0.11150068	0.091760464	-0.10327876	0.0945313	0.092282206	-0.17954394	-0.078728266	0.0945313	0.52963656	-0.17179218	0.17499046	-0.20334765	0.09811244	-0.581067
5	-0.4081148	-0.4040756	-0.21670547	-0.29808384	-0.38019305	-0.399161	-0.36718228	-0.28705835	-0.85815245	-0.10042752	-0.40327257	-0.33839747	-0.22488897	-0.22665176	-0.2743248	-0.33463097	-0.46481252	-0.23917793	-0.25145766	-0.3885747	-0.18239711	-0.2569459	-0.2632758	-0.38215724	-0.35002896	-0.32857257	-0.22308104	-0.22409055	-0.391478	-0.3353918	-0.27119303	-0.35878804	-0.14932516	-0.3170665	-0.2623337	-0.34062138	-0.2630549	-0.26232573	-0.19361186	-0.26453677	-0.2630549	-0.37885514	-0.20635828	-0.41030604	-0.2115799	-0.39223382	-0.4924008
6	-0.17610894	-0.18420807	-0.09716853	-0.076469444	-0.19176523	-0.18663141	-0.19341509	-0.16855656	0.21496591	-0.20226637	-0.18511844	-0.19822058	-0.20538644	-0.20807308	-0.17129016	-0.112454966	-0.15335058	-0.13464703	-0.20509489	-0.17634903	-0.20582356	-0.1300236	-0.052921478	-0.1899348	-0.19678001	-0.19915156	-0.20541777	-0.10538192	-0.1881489	-0.17134002	-0.12804152	-0.19570883	-0.20241351	-0.19974682	-0.22210751	-0.1968095	-0.22144753	-0.22201408	-0.20553392	-0.17419688	-0.22144753	-0.11334322	-0.20457627	-0.17342095	-0.2053441	-0.18766193	-0.027204776
7	0.3555904	0.37377906	0.14736924	0.40660554	0.3737146	0.37343404	0.37240306	0.284505	0.31096673	0.463999	0.3732702	0.3748512	0.38540342	0.4221875	0.28685066	0.38833365	0.33504412	0.21933664	0.38005444	0.34040082	0.3947146	0.23846808	0.080913454	0.37467992	0.37432352	0.37494695	0.381458	0.25405732	0.37467423	0.31854284	0.2912576	0.37399226	0.42426345	0.37284917	0.34335843	0.37574807	0.34296358	0.34355018	0.3757078	0.28300136	0.34296358	0.42850223	0.3729552	0.37316972	0.3937104	0.37699008	0.11476733
8	-0.2736274	-0.27695578	0.00232445	-0.63781995	-0.19771166	-0.25785878	-0.17252685	-0.070679285	-0.4048804	-0.012788409	-0.24007568	-0.12065812	-0.030842325	-0.023853702	-0.049132552	-0.55159104	-0.27047154	-0.063319005	-0.046140485	-0.19190392	-0.0077062426	-0.12794341	0.06856168	-0.20255935	-0.14095023	-0.11551081	-0.02865511	-0.25365275	-0.23359619	-0.09545749	-0.2931872	-0.153468	-0.007974992	-0.09301057	-0.12108883	-0.114300825	-0.12374602	-0.121608615	-0.0072626784	-0.01965771	-0.12374602	-0.604644	-0.011145148	-0.32346374	-0.017999062	-0.25867903	0.14193267
9	0.7028558	0.71716475	0.3108773	0.85373163	0.70664793	0.71370304	0.69834024	0.54900175	0.73259854	0.7052422	0.7139065	0.69143826	0.6695873	0.70541334	0.54897267	0.80971223	0.70787376	0.43360332	0.67248106	0.6698711	0.66531426	0.48565897	0.2253199	0.7069096	0.695325	0.68821263	0.66479486	0.5338613	0.711762	0.62061954	0.5931389	0.69806457	0.6751734	0.6816341	0.57536227	0.69254386	0.57429755	0.57534075	0.6439437	0.5393973	0.57429755	0.8508999	0.6464661	0.7260607	0.67244196	0.7156109	0.35026345
10	0.62686807	0.5931231	0.7560204	0.60660505	0.55762583	0.58543503	0.55536044	0.6448849	0.23193589	0.24025163	0.5799978	0.5329238	0.44370806	0.38910338	0.6304707	0.6310621	0.6574748	0.71605444	0.4721337	0.6270626	0.39232808	0.71308726	0.7342187	0.56118935	0.53967935	0.5307021	0.44587076	0.71611875	0.5713521	0.6141851	0.6882859	0.54440635	0.32886264	0.5217582	0.60179764	0.53165776	0.60363567	0.60201234	0.4278087	0.6246112	0.60363567	0.59822726	0.44393665	0.6127466	0.4210206	0.57544255	0.5522561
11	-0.53287816	-0.5506745	-0.39478728	-0.5918741	-0.55420554	-0.5510781	-0.55538404	-0.4996013	-0.12000473	-0.6708004	-0.5487994	-0.56374055	-0.5929057	-0.6279466	-0.50476384	-0.57809806	-0.5052333	-0.4540362	-0.58417815	-0.5218148	-0.6079471	-0.4635056	-0.31283343	-0.55392754	-0.5607636	-0.56556386	-0.59007967	-0.4939319	-0.55274075	-0.51280403	-0.5127957	-0.5587631	-0.6404227	-0.56673104	-0.5890014	-0.56397676	-0.58825016	-0.58913547	-0.5950344	-0.51135916	-0.58825016	-0.5952681	-0.58925223	-0.5478475	-0.60407114	-0.5558887	-0.31388122
12	-0.8735943	-0.86972994	-0.92720115	-0.74157757	-0.8576353	-0.86802316	-0.8541667	-0.8909972	-0.032731067	-0.6304811	-0.86265814	-0.8424954	-0.8045748	-0.7639552	-0.88734806	-0.80960196	-0.88172483	-0.9138146	-0.8195384	-0.87336093	-0.77485687	-0.90297	-0.9228525	-0.85666424	-0.8472195	-0.8427674	-0.80866927	-0.8848536	-0.8627187	-0.8676582	-0.8736668	-0.84982115	-0.714537	-0.8366189	-0.925336	-0.8385533	-0.92507786	-0.9253379	-0.7985373	-0.8944863	-0.92507786	-0.80128837	-0.8051208	-0.86847246	-0.7843646	-0.8679174	-0.8312448
