	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
0	0.91906077	0.91704565	0.91506684	0.9200093	0.919103	0.9177528	0.91699266	0.91492796	0.91750646	0.9187367	0.9182352	0.91552013	0.9195635	0.91827786	0.91680896	0.90952086	0.89448446	0.9148418	0.91318804	0.9177848	0.91837126	0.912785	0.91898984	0.9203093	0.91447175	0.91682255	0.9164529	0.91613287	0.91863716	0.91978955	0.9156594	0.91656613	0.9189871	0.9192388	0.9163826	0.9122723	0.9131102	0.910653	0.9210207	0.9165431	0.91150606	0.91967255	0.91935706	0.9180423	0.9178558	0.91610515	0.9127558
1	0.095190935	0.10218624	0.12351511	0.099502005	0.10513357	0.08843392	0.09847453	0.09684095	0.093232766	0.10446914	0.10440685	0.12334591	0.11399101	0.11270362	0.09691631	0.106406435	0.14911704	0.104250036	0.08644846	0.082158655	0.10519489	0.09942115	0.102989234	0.10428414	0.09780632	0.09976604	0.084235035	0.12378802	0.10905107	0.104742415	0.11608991	0.08769977	0.1028339	0.10487422	0.100979775	0.07466763	0.08605181	0.082068905	0.11058799	0.0996393	0.079532295	0.107224055	0.11038576	0.095747165	0.11772959	0.09612138	0.119079754
2	-0.5290164	-0.5032922	-0.63425326	-0.48903057	-0.6401745	-0.49696144	-0.51545084	-0.6220232	-0.55521953	-0.629087	-0.575354	-0.63541895	-0.57312596	-0.5390375	-0.5490894	-0.6100031	-0.3393412	-0.5942558	-0.535276	-0.4188108	-0.48450354	-0.44853294	-0.64134204	-0.56166106	-0.613915	-0.56180674	-0.42410362	-0.6388442	-0.5931625	-0.6060182	-0.60358715	-0.53138894	-0.617577	-0.59872854	-0.5997362	-0.40329963	-0.69532025	-0.6876002	-0.5812121	-0.50015754	-0.7167755	-0.48781118	-0.6220508	-0.5841521	-0.54619694	-0.5847389	-0.592361
3	0.89253116	0.8902656	0.8949205	0.89584374	0.89912915	0.89041924	0.8908944	0.8950293	0.89306504	0.8983169	0.8951731	0.8953829	0.8961094	0.8933885	0.8923101	0.8854028	0.8626091	0.89336056	0.88716733	0.8898897	0.88937885	0.88550675	0.898562	0.8957443	0.8923357	0.8903664	0.88707846	0.8963765	0.8956371	0.89758134	0.8944321	0.8906075	0.897734	0.8978491	0.8945605	0.8806795	0.89714617	0.89457476	0.8975801	0.88882434	0.89700454	0.8949145	0.89826196	0.8951677	0.8902801	0.89359754	0.88931304
4	-0.95225626	-0.95052916	-0.951744	-0.95665026	-0.95249975	-0.951787	-0.9512932	-0.9485806	-0.95085293	-0.9526839	-0.95099306	-0.95178	-0.952508	-0.95211345	-0.951039	-0.94374573	-0.9484971	-0.9501514	-0.9492279	-0.9550318	-0.95168155	-0.9488837	-0.95223963	-0.9528796	-0.94824386	-0.94930226	-0.95148647	-0.9525754	-0.9521499	-0.9527475	-0.95302266	-0.9513673	-0.9524784	-0.9540865	-0.949853	-0.94599104	-0.9467637	-0.94370395	-0.9527107	-0.95068526	-0.9446357	-0.9561889	-0.9533285	-0.95138484	-0.9512152	-0.9514522	-0.9491593
5	0.942519	0.94142824	0.9421646	0.9402676	0.94302005	0.9425651	0.9421417	0.9406413	0.9408605	0.94327635	0.9423	0.94251156	0.9437649	0.9431607	0.94205236	0.93918955	0.9249934	0.9417541	0.9394097	0.938694	0.9414839	0.9373278	0.94246405	0.9438638	0.94089574	0.9404836	0.93930894	0.94310415	0.94330025	0.9431103	0.9439242	0.94198835	0.94298816	0.9446603	0.9410087	0.93486035	0.938978	0.9370018	0.9441463	0.9413613	0.93758845	0.9410911	0.9437556	0.94261855	0.94523907	0.9413687	0.93973356
6	-0.58344626	-0.52886087	-0.5553799	-0.60798365	-0.6484133	-0.6096737	-0.57158655	-0.61529404	-0.6429054	-0.63819206	-0.582577	-0.5603775	-0.5632726	-0.5385421	-0.60417515	-0.5028298	-0.39991006	-0.56881475	-0.61585027	-0.6202365	-0.5151137	-0.5238453	-0.6490558	-0.59375244	-0.6237422	-0.52928185	-0.59120655	-0.54438114	-0.55844486	-0.6232999	-0.486497	-0.62963074	-0.63313985	-0.5796151	-0.58511335	-0.65086883	-0.65894824	-0.65745234	-0.547374	-0.5623549	-0.6821855	-0.5834378	-0.6179638	-0.629294	-0.5012308	-0.60545707	-0.4932272
7	0.6232592	0.61787885	0.6500528	0.6523661	0.6524341	0.6259214	0.6223056	0.62627923	0.6407001	0.6509379	0.63369656	0.65250105	0.6423488	0.6323182	0.6282105	0.5949566	0.661456	0.6268935	0.612687	0.6341994	0.6211213	0.6271637	0.65092856	0.6401148	0.6282404	0.62767816	0.6197279	0.6482927	0.6310192	0.64646643	0.62384224	0.62246174	0.6472216	0.63775057	0.626986	0.6261791	0.61428475	0.60547376	0.6322675	0.6245165	0.6072972	0.6519176	0.65219986	0.6308603	0.6250837	0.631138	0.62671506
8	0.61519766	0.61444753	0.6083333	0.5965147	0.6136633	0.6110956	0.61190945	0.6197361	0.61528915	0.6144414	0.61625963	0.6104183	0.6155541	0.6147847	0.6144656	0.62279844	0.54642296	0.6143194	0.61230093	0.5958066	0.6121784	0.6099057	0.6143602	0.6131768	0.61701286	0.624529	0.6070284	0.6093351	0.61665654	0.613836	0.61264247	0.61361223	0.61456877	0.61655	0.6184642	0.6145026	0.62739706	0.6313292	0.61882335	0.6117013	0.6317511	0.5998537	0.6138096	0.6166514	0.6153515	0.61425173	0.6131849
9	0.75519323	0.7545686	0.7402399	0.75273407	0.73806506	0.7546092	0.7537744	0.74175423	0.74759585	0.7398851	0.7467964	0.74076664	0.74930066	0.7524454	0.7483852	0.7382302	0.73737186	0.7478681	0.7514285	0.7571928	0.75616735	0.7536072	0.73818994	0.7483479	0.73928094	0.75102323	0.7581768	0.74233353	0.75248456	0.7430704	0.75541615	0.7517687	0.74127764	0.7515595	0.7467286	0.7544195	0.73662215	0.7361873	0.7546754	0.75348777	0.7329845	0.7536033	0.74278706	0.7473847	0.7474779	0.7480563	0.74760413
10	-0.19847353	-0.32199085	0.040890172	-0.07216957	0.009517169	-0.12544043	-0.18685535	-0.17621672	-0.0047880467	-0.0102373725	-0.21717204	0.038085375	-0.18911444	-0.25357273	-0.14309862	-0.28309032	0.011470375	-0.11491197	-0.026031284	-0.04936152	-0.32702345	-0.22248684	0.012819134	-0.15776777	-0.103115305	-0.18618241	-0.17689325	0.047986194	-0.13898231	-0.08291501	0.021437244	-0.06518656	-0.047203597	-0.05713168	-0.16179791	-0.008395026	-0.10660472	-0.15821785	-0.2793187	-0.22404672	-0.12066585	-0.11584851	0.02524341	-0.111084096	-0.16661762	-0.08626888	-0.13089298
11	-0.6539007	-0.624989	-0.60928	-0.42004666	-0.6218285	-0.6855492	-0.65487057	-0.5652594	-0.64197224	-0.6203438	-0.60866225	-0.6076051	-0.61226416	-0.61922187	-0.64010847	-0.54400456	-0.37756288	-0.6052686	-0.6599429	-0.49102747	-0.64492565	-0.5499872	-0.62454736	-0.64768356	-0.60035336	-0.6250619	-0.6084947	-0.61296237	-0.61456	-0.6292194	-0.6340306	-0.67166317	-0.62405235	-0.601607	-0.58498883	-0.6591361	-0.51194215	-0.47295153	-0.597981	-0.65367943	-0.47485095	-0.45224085	-0.6323984	-0.6315044	-0.6555447	-0.60869384	-0.5772086
12	0.8970116	0.89547503	0.8954822	0.89808744	0.8969053	0.8996638	0.89661664	0.89260536	0.8966568	0.8975148	0.8964373	0.8961307	0.89940166	0.89775246	0.89687836	0.89203674	0.8823471	0.89597315	0.89344364	0.8967277	0.896456	0.8940918	0.89681095	0.89982826	0.8950433	0.8981348	0.89602834	0.89659095	0.8982856	0.8971568	0.89806473	0.89684397	0.89708036	0.8993052	0.8937647	0.8933124	0.8872015	0.88456595	0.899291	0.8958495	0.8840342	0.89873284	0.8986911	0.8966101	0.90448684	0.89538646	0.8934087
13	-0.8968919	-0.8987956	-0.69371825	-0.95058805	-0.55955267	-0.9191505	-0.90829873	-0.8261188	-0.86366695	-0.6289324	-0.7790696	-0.70152634	-0.7669026	-0.83553857	-0.8752988	-0.9240184	-0.95915544	-0.888284	-0.955881	-0.9818736	-0.87380755	-0.9498236	-0.5746931	-0.76550055	-0.8463445	-0.87957656	-0.9693067	-0.7121126	-0.8706073	-0.65960765	-0.9230468	-0.9279086	-0.6589202	-0.8669397	-0.85168916	-0.97206795	-0.8456219	-0.9041574	-0.83842313	-0.9076783	-0.85965174	-0.9368631	-0.6669645	-0.8514771	-0.8950745	-0.87628573	-0.8830766
14	-0.7929808	-0.7887191	-0.8027514	-0.80538654	-0.8174279	-0.7950467	-0.790467	-0.7923534	-0.79889894	-0.81549525	-0.8031106	-0.8045297	-0.8068188	-0.7977178	-0.79520994	-0.7532333	-0.75231105	-0.78800285	-0.7703584	-0.7886668	-0.79377013	-0.78145206	-0.8153044	-0.8105277	-0.79027665	-0.7854151	-0.78257793	-0.80294824	-0.79406947	-0.8141834	-0.77861124	-0.7869106	-0.81359494	-0.8002867	-0.79100025	-0.77027786	-0.7768726	-0.76318514	-0.8012771	-0.79044205	-0.7690343	-0.80382854	-0.8128725	-0.797695	-0.78709793	-0.79321873	-0.7780697
