	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
0	0.98920697	0.9990156	-0.17452347	0.48788786	-0.07529349	0.94429255	0.98426235	0.9580249	0.36023122	0.21581882	0.982361	-0.14017949	0.96541363	0.9937536	0.9519627	0.9929438	-0.34384316	0.91171217	0.78337663	0.59126383	0.9992008	0.98927176	-0.03674247	0.9449044	0.8040813	0.98642117	0.97985864	-0.19452824	0.9493187	0.7614011	0.46692792	0.85898894	0.551805	0.7484127	0.95952106	0.56729925	0.8438175	0.9387357	0.9965098	0.9933131	0.8624589	0.76015234	-0.09951447	0.8905871	0.9327223	0.87369597	0.9456495
1	0.9420568	0.92477804	0.958748	0.9161429	0.9678405	0.9367108	0.9356287	0.94690883	0.9538336	0.9653628	0.9458598	0.9587018	0.9475124	0.937837	0.94438976	0.88415104	0.80012405	0.93846375	0.93244493	0.89520407	0.930559	0.9037026	0.96543276	0.9526287	0.9423675	0.8904483	0.9076304	0.9594277	0.94436765	0.96361023	0.9390144	0.9418568	0.9642946	0.95017433	0.94682974	0.91582507	0.9530499	0.9407033	0.94019914	0.9321431	0.95150447	0.9167944	0.9634503	0.9511024	0.90986586	0.94711	0.92990565
2	0.5141488	0.40826595	0.5415091	-0.41416514	-0.111428276	0.6226557	0.62621915	0.4144475	0.62087494	-0.049579777	0.09912894	0.5139526	0.17465144	0.3060838	0.512009	0.8577565	0.40435517	0.73987335	0.9070545	0.23834577	0.17438246	0.6097138	-0.070126355	0.024053948	0.5655575	0.7134327	0.61443776	0.6081919	0.65901655	-0.12245877	0.94652283	0.76938164	-0.051739622	0.59896547	0.5578976	0.93035275	0.6793113	0.82782453	0.2803417	0.52666336	0.72863287	-0.31164318	0.24382542	0.49264532	0.7505811	0.52232826	0.76895803
3	0.21984026	-0.113610774	0.69670856	0.8361906	0.7233438	0.43196267	0.24622217	0.21899411	0.6881846	0.68779993	0.22627646	0.69264567	0.3434619	0.13354233	0.36121616	-0.26656926	0.8778273	0.31697777	0.490275	0.81783736	-0.059159335	0.3693332	0.6965038	0.43457744	0.3753598	-0.1358746	0.47952768	0.70016915	0.30531827	0.5844666	0.5422808	0.48551032	0.63359165	0.5633804	0.2794075	0.7063229	0.22916156	0.031034458	-0.01576137	0.15220678	0.122965686	0.7778822	0.72473097	0.4268102	0.27465513	0.46583658	0.2672926
4	-0.14203754	-0.20250401	-0.37484106	0.9995001	0.14372794	-0.038619053	-0.19340552	0.17789215	0.028281387	0.19468297	-0.010966445	-0.3320873	-0.21537533	-0.28915235	0.0085013155	-0.4807614	0.99881226	-0.1731405	-0.0141862435	0.9989948	-0.223775	0.67945045	0.18576764	-0.034233544	0.0936579	-0.13186866	0.87855023	-0.4501071	-0.23377429	0.12743427	-0.7043495	0.011855621	0.16757332	0.16992535	-0.078932054	-0.0026348785	0.28985608	0.30267572	-0.13567033	-0.15230349	0.41743195	0.9976658	-0.09106456	0.061312255	-0.5662145	0.31964278	-0.26139805
5	-0.35704514	-0.014056113	-0.11148571	0.10727009	-0.07190132	-0.66814256	-0.41656	-0.006868149	-0.65110487	-0.075615056	0.09767969	-0.10389054	0.032744795	0.023449318	-0.39291492	-0.16268799	-0.29056948	-0.28039762	-0.79658794	-0.49834335	0.052148823	-0.29009047	-0.08884151	-0.107960954	-0.35090494	-0.16196683	-0.60934854	-0.09467611	-0.19038405	-0.0018799595	-0.47153062	-0.72141254	-0.06460216	-0.2188521	-0.09819789	-0.94247246	-0.062592566	-0.1885918	0.1988509	-0.3611755	-0.06806563	0.10856211	-0.2209327	-0.38201994	-0.45088306	-0.29020107	-0.05707673
6	-0.37259066	-0.34343928	0.010213474	0.10211883	-0.11843757	-0.391052	-0.3395098	-0.21398553	-0.28451997	-0.12357249	-0.22526225	0.0050834725	-0.19023347	-0.25635368	-0.30507994	-0.226109	0.3067714	-0.17694137	-0.37641776	-0.11160511	-0.35171565	-0.1816022	-0.117111444	-0.24779135	-0.23134446	-0.1579024	-0.3362472	0.027929563	-0.20340145	-0.18638922	-0.052938063	-0.38770774	-0.1630477	-0.11693416	-0.21735354	-0.48485595	-0.19939306	-0.25165078	-0.25135544	-0.36863664	-0.22657731	0.07297458	-0.102904364	-0.29337487	-0.21022587	-0.20596302	-0.08083066
7	0.53592527	0.49962232	0.13104534	0.46861634	-0.028721787	0.6106502	0.5580809	0.20469293	0.4779273	0.037790492	0.1940133	0.13956925	0.1697675	0.30399808	0.43098268	0.3968764	0.37512726	0.41523686	0.7282265	0.7369866	0.48963594	0.64931375	-0.037195783	0.25369027	0.26511392	0.2755875	0.7590197	0.18051621	0.41378316	0.10763877	0.6235911	0.62161815	0.08771765	0.39818275	0.3516273	0.82094914	0.16909572	0.28302416	0.2904988	0.56015295	0.1311498	0.41979766	0.10612375	0.3646467	0.4616332	0.41400334	0.4052634
8	-0.06021997	0.108539335	0.095148765	-0.9982392	0.22567819	-0.29670125	-0.13136183	0.0736521	-0.2785483	0.12651923	0.27110833	0.084990636	0.30305088	0.2498139	-0.103744306	0.13234667	-0.999202	-0.1363802	-0.63931507	-0.99867946	0.16066639	-0.8226194	0.20913196	0.20483057	-0.018196521	0.10196565	-0.93167645	0.06895867	-0.045385625	0.20922509	-0.37165138	-0.42451516	0.15129414	-0.426852	0.019370377	-0.7399272	-0.054352943	-0.15977794	0.26531732	-0.07663396	-0.070541136	-0.99399966	0.11432236	-0.05755434	0.062494278	-0.3943524	-0.23022929
9	0.906108	0.81992453	0.08533505	0.999886	-0.12429268	0.9773877	0.92862624	0.3310293	0.9294663	0.12346255	0.26108664	0.11897037	0.21876493	0.50811046	0.86360484	0.43615514	0.9999414	0.77301395	0.99294114	0.99998975	0.81827486	0.9943815	-0.12520772	0.54635924	0.5905159	0.48327786	0.9994384	0.14469041	0.7326315	0.19062907	0.91550964	0.9787395	0.20583436	0.8644511	0.5944767	0.9992396	0.08740131	0.37052846	0.3542241	0.92617804	-0.05368004	0.99947006	0.23739576	0.7779297	0.8033761	0.88839597	0.7207626
