	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
118	0.50128704	0.37117055	0.75767314	0.579479	0.52030003	0.59213793	0.47931758	0.6505002	0.18655033	0.38911486	0.5223392	0.6317161	0.63255525	0.4534249	0.5540513	0.6870701	0.5390823	0.6882946	0.38922992	0.34324342	0.56143606	0.6001125	0.83263767	0.4507299	0.40624633	0.5891509	0.59876555	0.7976281	0.55317134	0.7368241	0.70921195	0.6336118	0.67788637	0.53991085	0.5657337	0.44044375	0.6137582	0.5651085	0.5265347	0.55844	0.6137582	0.35033047	0.61878234	0.44646028	0.1938192	0.5171258	0.43705446
40	0.15191753	0.17978653	0.063313246	0.14723948	0.12474753	0.103723355	0.17168112	0.111055665	0.085081816	0.17186499	0.16809197	0.10462871	0.09924026	0.15352309	0.13531172	0.08682343	0.13621676	0.08851397	0.29377353	0.25847477	0.14158309	0.12187329	0.04023746	0.17509817	0.24031976	0.11952909	0.11236618	0.053739697	0.13173084	0.06542233	0.07070623	0.10401774	0.08669156	0.120563984	0.15520714	0.21726845	0.1190352	0.1558661	0.18850291	0.14901422	0.1190352	0.23448792	0.1273768	0.21355224	0.11888515	0.13094202	0.15811528
265	0.05010588	0.10299008	0.005703859	0.020470444	0.05623844	0.035020333	0.051927153	0.014276822	0.15309775	0.10122205	0.033456802	0.019828632	0.022510763	0.07321526	0.03465576	0.0129364785	0.03910416	0.011677898	0.0382644	0.08081944	0.030931756	0.024307119	0.001814663	0.06703978	0.055019807	0.028163733	0.027369507	0.003051758	0.0373679	0.008460662	0.012774955	0.019440927	0.014366242	0.0484389	0.023332108	0.04865754	0.022404667	0.02326157	0.025148124	0.028272657	0.022404667	0.092566945	0.017441478	0.046780724	0.2457358	0.05725151	0.06623226
564	0.057166215	0.046798646	0.046640284	0.054722995	0.056342103	0.05611352	0.060648292	0.06388523	0.007889487	0.0510668	0.060092114	0.051108927	0.05540599	0.052179366	0.05627496	0.05970209	0.05281217	0.05280148	0.06846533	0.057044517	0.0658304	0.058914553	0.04056674	0.06332071	0.06336227	0.054732036	0.052740976	0.047918092	0.05807215	0.048516016	0.056595188	0.050754063	0.051948525	0.056403596	0.1047391	0.06358287	0.09208219	0.104933664	0.08036472	0.06363439	0.09208219	0.0594271	0.065628804	0.06209073	0.020130778	0.06523067	0.039760403
69	0.12550879	0.13951565	0.058103953	0.10189633	0.12772955	0.112762064	0.1228038	0.078958966	0.17528422	0.13678715	0.112516835	0.100913405	0.09897522	0.13872287	0.11640074	0.07580021	0.12391167	0.079026274	0.09949861	0.12112231	0.10295839	0.100501746	0.032101836	0.12352455	0.11623662	0.11006347	0.1106931	0.04251169	0.1162697	0.06845403	0.07296896	0.100606605	0.08554862	0.121836655	0.069488876	0.116189495	0.07311592	0.06934325	0.08576247	0.10216088	0.07311592	0.12046212	0.08554589	0.116725095	0.12986183	0.116777204	0.151172
41	0.05234885	0.066366106	0.039197266	0.046006776	0.055042055	0.05102764	0.050244015	0.041463103	0.12764159	0.06353628	0.046869528	0.047430184	0.047516458	0.057618707	0.049544614	0.041596085	0.051941358	0.04274946	0.039969705	0.051680967	0.0463055	0.046841793	0.03200372	0.052329566	0.046499867	0.048902623	0.04950441	0.031747513	0.049768437	0.040852938	0.043356594	0.04739459	0.04493788	0.055262197	0.037207372	0.046630632	0.039181273	0.03715178	0.04103141	0.046442457	0.039181273	0.05491105	0.04193729	0.047324628	0.09872922	0.05383155	0.06566518
980	0.0066434983	0.0079723885	0.00259608	0.0065429527	0.0052741077	0.004318221	0.0076720724	0.0048547625	0.0034122232	0.007583013	0.0075573367	0.0044081793	0.00415815	0.006657377	0.005854298	0.0036701492	0.005861225	0.0037258242	0.014678585	0.012352957	0.0062517957	0.0052734786	0.0016141724	0.007839038	0.011405731	0.005101533	0.0047425553	0.0022141095	0.005677995	0.0026638273	0.002897511	0.0043797954	0.003608907	0.0050930316	0.007245711	0.0101464875	0.0053035356	0.0072830804	0.008902083	0.0066482835	0.0053035356	0.011013135	0.0056463704	0.009945671	0.0050666635	0.005625665	0.006832279
744	0.0076747397	0.0076352004	0.005203896	0.008054776	0.0067726304	0.0063250437	0.008264365	0.00722006	0.003280034	0.0075703464	0.008464966	0.006532393	0.006366497	0.0073381765	0.007381019	0.006208907	0.007258757	0.0061920728	0.01150229	0.009767236	0.007866521	0.0072296076	0.004130912	0.008239097	0.009923521	0.006958129	0.0066794506	0.0048759957	0.007264202	0.005194796	0.005456534	0.006511556	0.0060132537	0.006753048	0.009144791	0.009523636	0.0077124676	0.009171754	0.009760911	0.008139028	0.0077124676	0.009246389	0.0077357525	0.009447445	0.0045023053	0.007158007	0.0072262897
4612	0.0036392831	0.003852921	0.003040322	0.0034337346	0.0037632023	0.003671645	0.0034849052	0.0031440835	0.005126004	0.0037773568	0.0034024268	0.0035598422	0.003520171	0.0037937944	0.0035923498	0.0031787707	0.0037139182	0.0032881366	0.0027980942	0.0032149423	0.00335341	0.0034675964	0.0024766698	0.0034710548	0.0031597456	0.0035972674	0.0036403427	0.0025876504	0.003582691	0.003181796	0.0032409201	0.0035604497	0.0034140593	0.0037761396	0.002667738	0.0032386542	0.002859608	0.0026633998	0.002953941	0.0033784783	0.002859608	0.0032914125	0.0031711455	0.0032907014	0.003910855	0.0035946597	0.0041947
1782	0.012002739	0.028123645	0.0027253544	0.007421094	0.011831582	0.00806373	0.012179315	0.0045411754	0.16854824	0.024198756	0.009368635	0.006382963	0.006221731	0.016687565	0.009112221	0.003954735	0.01047891	0.0042459145	0.011589035	0.021751693	0.007675406	0.0069005163	0.0013104507	0.014126626	0.014230085	0.0078228805	0.0077082706	0.0015812371	0.009109969	0.0032021762	0.003810848	0.006334426	0.004800529	0.0110247005	0.0045836293	0.012529273	0.0043168045	0.004579695	0.00680199	0.00787096	0.0043168045	0.022624008	0.00525428	0.012572695	0.10569711	0.011148204	0.022541119
