	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
118	0.62745667	0.59912884	0.80499744	0.54871285	0.5764481	0.59459144	0.5755387	0.6800514	0.056983322	0.34203878	0.5892952	0.55972654	0.5049871	0.45012176	0.6695794	0.600043	0.6440495	0.75812614	0.5242246	0.6334805	0.46916452	0.74874413	0.7943413	0.5779982	0.56457186	0.55943227	0.5087195	0.7453324	0.5849868	0.6372553	0.70754623	0.56759894	0.41027442	0.5541016	0.6003651	0.5569967	0.6018111	0.6003844	0.4992964	0.6634369	0.6018111	0.5609192	0.5106275	0.6107369	0.48483402	0.58753383	0.5599345
40	0.0886571	0.105181895	0.036164362	0.06908325	0.12931095	0.110280156	0.13530453	0.094758675	0.008097281	0.35880432	0.11412931	0.15571412	0.21937545	0.26050517	0.10426104	0.070080936	0.06759535	0.057904612	0.20081328	0.09561111	0.25239146	0.056610342	0.027717773	0.12806103	0.14823931	0.15840358	0.2166295	0.05313702	0.11915481	0.108850606	0.06402479	0.14339726	0.30212238	0.16576608	0.13598509	0.15781467	0.13513844	0.13596496	0.23025806	0.11145309	0.13513844	0.07651098	0.22052336	0.09309282	0.23809046	0.1151621	0.052597605
265	0.012394807	0.011944048	0.0043349573	0.102324106	0.008357981	0.010945981	0.0075174645	0.0057147075	0.0063091996	0.003398314	0.009925833	0.006014345	0.0043777763	0.0034890801	0.0052091917	0.058806963	0.011281349	0.005936585	0.0046790894	0.0086689005	0.003920158	0.008180364	0.002780479	0.008471185	0.0065637226	0.0059625497	0.0044079544	0.015577007	0.009774945	0.0059659528	0.017818032	0.00690086	0.003393316	0.0054248697	0.005696613	0.0057656635	0.0057602325	0.005704274	0.0039663604	0.004341827	0.0057602325	0.06507655	0.004088933	0.01509241	0.003955907	0.010960911	0.001181691
564	0.042372946	0.049018763	0.027033722	0.039502606	0.047488466	0.04900498	0.045686103	0.039688576	0.0024660593	0.044366565	0.046170637	0.04343065	0.048021648	0.040398195	0.0402822	0.042025577	0.03235536	0.034580734	0.047097944	0.038472507	0.049315616	0.03403472	0.023892276	0.04661883	0.044745486	0.044359736	0.04934891	0.035048436	0.048669282	0.03610672	0.039851263	0.04513486	0.04514816	0.04286729	0.08924944	0.041471235	0.08879216	0.0892761	0.049450476	0.041522756	0.08879216	0.046012416	0.047867242	0.04701794	0.04457569	0.05199135	0.015709678
69	0.12620796	0.12891895	0.05004518	0.13491945	0.1271574	0.12837712	0.124728106	0.08771525	0.13040951	0.103559166	0.13024676	0.12148869	0.10660162	0.11350479	0.08717208	0.12980019	0.13245767	0.06494218	0.10928928	0.11944196	0.102644086	0.07194985	0.047086623	0.12746294	0.12302269	0.11953408	0.1054415	0.07245028	0.12820388	0.10652662	0.0871153	0.1242856	0.10229082	0.117879525	0.08346895	0.12242501	0.08339895	0.08345007	0.09969906	0.084307775	0.08339895	0.14464994	0.10121922	0.12996598	0.10663671	0.12745541	0.08257981
41	0.05160577	0.052406132	0.04010101	0.05319474	0.053288285	0.05251531	0.05284813	0.044385545	0.1451201	0.06266539	0.053804845	0.05271527	0.05147513	0.05794314	0.04440657	0.051173277	0.057118986	0.039785713	0.050835274	0.05118543	0.05309756	0.041268226	0.05122743	0.053485684	0.05283287	0.052029397	0.050924663	0.041514736	0.053083505	0.049848802	0.043298792	0.0530396	0.058670316	0.05219761	0.040420085	0.05336503	0.04038195	0.04042065	0.051148675	0.04484415	0.04038195	0.054818008	0.05060347	0.052382383	0.05326828	0.05238912	0.09069952
980	0.0036282626	0.004417882	0.0015434893	0.0030702092	0.0054173875	0.0046341326	0.0056246747	0.0040355544	0.0006006513	0.013150732	0.0047721327	0.0063786823	0.0088826595	0.0097589325	0.004466696	0.0029797996	0.0026161657	0.0024839144	0.008169291	0.003897337	0.010120582	0.0023826805	0.0012900054	0.0053546554	0.006116948	0.0064966986	0.008839625	0.0022452998	0.005015821	0.0045163697	0.0027423282	0.005933912	0.011616365	0.0067695756	0.0062020705	0.006426559	0.0061733415	0.00620204	0.00941613	0.004790655	0.0061733415	0.003311346	0.009020545	0.0038967275	0.00943417	0.004889412	0.0028002877
744	0.006848569	0.0074227904	0.0051620156	0.0057079582	0.008228262	0.007611031	0.008387893	0.0076481234	0.0022560984	0.011101705	0.0077269073	0.0088739395	0.0102568995	0.0101840645	0.008016693	0.0057790265	0.005923032	0.0062359762	0.0099230595	0.007214806	0.010769081	0.0060214535	0.005093208	0.00817148	0.008711693	0.008954489	0.010287962	0.0056284815	0.007911369	0.0078951735	0.006129662	0.008590953	0.010990758	0.009137555	0.00894968	0.008885965	0.008929283	0.008947719	0.010593996	0.008276507	0.008929283	0.0058777044	0.010417923	0.006954629	0.010392483	0.00778717	0.0071130814
4612	0.004657906	0.00474043	0.003329617	0.0036495186	0.0047787284	0.004756647	0.0046740253	0.003942744	0.013466886	0.0036034554	0.0048376583	0.0045170654	0.004034064	0.0039814617	0.003918077	0.0038019808	0.0051031974	0.0034145538	0.004118046	0.0046063066	0.0039244243	0.0034923975	0.004420912	0.004763247	0.0045960993	0.004449192	0.004044405	0.00316749	0.0047845915	0.004381249	0.0034953682	0.0046507698	0.0037613725	0.004402903	0.0037954429	0.0045227013	0.0037887485	0.0037934822	0.0039178394	0.0039016025	0.0037887485	0.004067187	0.0039405604	0.004660224	0.0039499057	0.0047484357	0.0081676375
1782	0.010748086	0.010289301	0.010662723	0.0058268635	0.012819721	0.0107593145	0.013563381	0.011627824	0.42809412	0.022533897	0.012211482	0.015409168	0.015715351	0.021862209	0.012150901	0.0060816584	0.014823377	0.0091670295	0.015272035	0.0131218145	0.016751124	0.008869345	0.019969732	0.012947367	0.014612526	0.014908684	0.015179456	0.0067847627	0.011640229	0.015491876	0.006880534	0.014305979	0.020903032	0.016011564	0.005311448	0.016507417	0.005302932	0.00530482	0.01579986	0.01272272	0.005302932	0.0060926466	0.015804097	0.009551842	0.017959999	0.010307193	0.13238335
417	0.007096173	0.0072403247	0.004751351	0.008570295	0.0071661854	0.007216443	0.007025177	0.005807506	0.017166784	0.0070857145	0.0072783856	0.006844198	0.0065424675	0.0066958885	0.00578246	0.00785082	0.007384965	0.0050969706	0.0065318276	0.006809608	0.0066102315	0.005414083	0.005583381	0.007168462	0.006932904	0.006774988	0.006526664	0.00560784	0.0072267507	0.006438174	0.0061171325	0.0069923033	0.0067943023	0.006723858	0.0055454657	0.0068539046	0.0055438313	0.0055445596	0.006441825	0.005670492	0.0055438313	0.008377793	0.00641286	0.0073208995	0.0065546725	0.0072306395	0.008814408
638	0.0030252396	0.0034360003	0.0009478993	0.007405811	0.0033259294	0.0033984596	0.0031821479	0.0018669015	0.011605274	0.0051968177	0.0033763235	0.0030664748	0.0032245484	0.0036271182	0.0018911947	0.005402324	0.0027394732	0.0013246376	0.0030845976	0.002609288	0.0035213286	0.0015408563	0.0009779066	0.003326012	0.0031337298	0.003044086	0.0031907281	0.0019927686	0.003412362	0.0022816733	0.0024463292	0.003169747	0.0041673486	0.0029880807	0.0024247528	0.003050878	0.002423494	0.0024261586	0.003190457	0.0018502536	0.002423494	0.006697011	0.0030813608	0.0035392898	0.0033315131	0.0035215754	0.0020879898
4613	0.00039601713	0.0005205031	0.00022665632	0.00014321394	0.0007949458	0.00057547557	0.0008664654	0.00061386125	0.0002946947	0.0053114127	0.0006225099	0.0011207658	0.0021516783	0.0027695382	0.00072519056	0.0001646359	0.00027804912	0.0003321845	0.0018128969	0.00049774564	0.0028637962	0.00027740348	0.00026392174	0.0007751598	0.0010252027	0.0011531117	0.0021375618	0.0001947685	0.00067147106	0.0006997595	0.00023720236	0.0009654128	0.0039438717	0.0012711083	0.0010770077	0.0011468742	0.0010629336	0.001075932	0.0024908467	0.0008486194	0.0010629336	0.00018113323	0.00226825	0.00040001053	0.0024670425	0.00061948877	0.0011439063
147	0.0010027038	0.0010199269	0.0011811544	0.000980382	0.0010179318	0.0010214275	0.0009982967	0.0010223048	0.0030463838	0.0009340811	0.0010190228	0.00096667476	0.00096494815	0.0008847841	0.001018632	0.00095661764	0.0010226516	0.001059275	0.00095866167	0.0009940531	0.0009814613	0.0010409021	0.0016781176	0.0010121831	0.0009825815	0.0009644925	0.0009781162	0.0010017751	0.0010240542	0.0010000825	0.0010086481	0.0009904956	0.0009516789	0.00095833524	0.0010606531	0.0009562892	0.0010597862	0.0010602999	0.0009900297	0.0010201718	0.0010597862	0.0009643811	0.0009770389	0.001012183	0.0009383916	0.0010319275	0.002133428
616	0.0053392462	0.0055212653	0.0029293604	0.0060843267	0.0052575967	0.005460374	0.005010214	0.0036666535	0.03780613	0.004154697	0.0054839524	0.0046525677	0.004053319	0.0041505992	0.0035892075	0.005732966	0.006003917	0.0030939241	0.0041085724	0.004881163	0.0040179836	0.0033876023	0.004080016	0.0052501257	0.004816599	0.0045628473	0.0040537366	0.0034871432	0.005409193	0.0042574573	0.003965639	0.004924542	0.004050914	0.004439255	0.003827455	0.004631027	0.0038204824	0.0038265889	0.0039025708	0.003517111	0.0038204824	0.0065045925	0.0038813364	0.005629595	0.003976376	0.005489364	0.0083678765
651	0.002200513	0.002260988	0.0017256216	0.0027834328	0.0022794646	0.0022620182	0.002240579	0.0019078968	0.010328664	0.0026905756	0.0022918265	0.0022072638	0.0022345723	0.002321405	0.0019129254	0.002482128	0.0023043652	0.0017320205	0.00218851	0.0021388887	0.0023371885	0.0018141635	0.0022971078	0.0022782127	0.0022272835	0.002188517	0.0022311173	0.0018917212	0.0022830907	0.00208885	0.0019987074	0.0022401526	0.00249852	0.002187869	0.0017968061	0.0022125286	0.0017955668	0.001796457	0.002254922	0.001897739	0.0017955668	0.0026291008	0.0022172735	0.0022742127	0.0022670496	0.0022771796	0.004066877
2260	0.0002511348	0.00026993096	0.00017838387	0.00036599502	0.00028774297	0.00027345202	0.00028709348	0.00023773899	0.0010064846	0.0004998376	0.00027717563	0.00029546866	0.00034727185	0.0003605116	0.00024549555	0.00030200163	0.00023000981	0.00019956633	0.0003282751	0.00024879831	0.00038448707	0.00020597443	0.00021479884	0.00028620067	0.00029354126	0.00029619428	0.00034735267	0.00021747108	0.00028174036	0.00025819102	0.00023765747	0.00029173592	0.00042922396	0.000300959	0.00024614247	0.00029575167	0.00024577422	0.00024606424	0.00036178637	0.00024467558	0.00024577422	0.0003191638	0.0003500511	0.00026420152	0.00035864374	0.00027975417	0.00039167487
856	0.00010924153	9.795402e-05	9.366781e-05	0.00054606114	6.996333e-05	9.031916e-05	6.248938e-05	5.8646565e-05	0.004147648	2.4538922e-05	8.467863e-05	4.883157e-05	3.2209202e-05	2.5790525e-05	5.2088635e-05	0.0003424347	0.00013144975	7.763858e-05	3.4823905e-05	8.232082e-05	2.8856763e-05	9.773662e-05	0.00012927833	7.086646e-05	5.3770545e-05	4.7500132e-05	3.2652693e-05	0.00014897884	8.1105056e-05	5.9549366e-05	0.00015104454	5.70623e-05	2.52795e-05	4.361437e-05	4.3092117e-05	4.7314763e-05	4.354064e-05	4.311797e-05	2.9892612e-05	4.438508e-05	4.354064e-05	0.00036657785	3.0737898e-05	0.00012206835	2.9064122e-05	8.834574e-05	0.00010171004
684	0.0014164353	0.0014311473	0.00086211256	0.0014015575	0.0016092617	0.0014628957	0.0016259867	0.0011724455	0.057308204	0.0025500678	0.0015804834	0.0017129589	0.0017297219	0.002172761	0.0012027081	0.0012524864	0.0017219811	0.0008796782	0.0016773273	0.0014991264	0.0018536147	0.0009319852	0.0013781306	0.001616592	0.0016814462	0.0016684408	0.0016904805	0.00086167146	0.0015352195	0.0015464362	0.0009556516	0.0016730488	0.0022174695	0.0017251605	0.0007425757	0.0017812524	0.00074130873	0.0007419072	0.0017130828	0.0012041425	0.00074130873	0.0013582701	0.0016944689	0.0013901605	0.0018826011	0.0014394538	0.006563898
362	0.00083949004	0.0008577014	0.00097289385	0.00052903476	0.0010005712	0.00088760926	0.0010249484	0.000946083	0.014195333	0.0016595278	0.000950386	0.0011004324	0.0012135941	0.0014079618	0.0009810486	0.00054596405	0.00096755405	0.00083445857	0.0011617964	0.0009459782	0.0013236579	0.00078658125	0.0017631241	0.0009984927	0.0010726956	0.0010853636	0.0012029258	0.0006412599	0.0009401844	0.0010739447	0.00064864435	0.0010598284	0.0015280738	0.0011321676	0.0007206298	0.0011324722	0.00071832363	0.0007199958	0.0012656467	0.0010280701	0.00071832363	0.000558034	0.0012359365	0.0007972806	0.0012975782	0.000883666	0.005952689
1284	0.00040214497	0.00038370944	0.0003074772	0.0006620946	0.00037105614	0.00037899776	0.0003606857	0.000295269	0.021374168	0.00036403464	0.00039124562	0.0003444416	0.0003016947	0.00032656608	0.0002873818	0.0005271588	0.000499707	0.00027800343	0.00030334713	0.00038368045	0.0003051337	0.0003101218	0.00048281346	0.00037384962	0.00035089962	0.00033519647	0.0002984815	0.00033216816	0.0003772059	0.00035367146	0.00035040692	0.00035659826	0.0003299835	0.0003337833	0.00018662715	0.0003501675	0.00018702331	0.0001865337	0.00029259917	0.0002716376	0.00018702331	0.0005591329	0.00029346367	0.00040566045	0.00030892473	0.0003703639	0.0011714152
4614	0.0004064273	0.00041926609	0.000299233	0.0004801497	0.00042506028	0.00042040923	0.00041612136	0.00034568147	0.0033529245	0.00048115148	0.0004258867	0.0004074779	0.0004082385	0.00041178253	0.0003462234	0.00042888083	0.00042314356	0.0003046072	0.00040134683	0.00039467408	0.0004251314	0.00031838272	0.00041145418	0.0004235035	0.000412693	0.00040368683	0.00040917908	0.00031704397	0.0004249516	0.00038191385	0.00034665698	0.00041582002	0.00044371898	0.0004026723	0.00033267363	0.0004072044	0.0003321946	0.00033251639	0.00040980347	0.00034028335	0.0003321946	0.00045735636	0.00040351375	0.00041781887	0.00040909255	0.00042349557	0.00077173224
1142	4.920137e-05	5.324317e-05	3.358315e-05	8.3259736e-05	5.341527e-05	5.324792e-05	5.1858853e-05	4.1762312e-05	0.00043032673	7.341572e-05	5.3010444e-05	5.054547e-05	5.5103e-05	5.3649488e-05	4.228037e-05	6.622692e-05	4.5352932e-05	3.6554382e-05	5.287045e-05	4.6013032e-05	5.9742673e-05	3.8602517e-05	4.40165e-05	5.3079308e-05	5.139171e-05	5.0506373e-05	5.551387e-05	4.264625e-05	5.3843367e-05	4.4693916e-05	4.7340814e-05	5.1742703e-05	6.408056e-05	5.021688e-05	4.755442e-05	4.9980834e-05	4.7526788e-05	4.754806e-05	5.6769666e-05	4.1441024e-05	4.7526788e-05	7.258674e-05	5.4971464e-05	5.3428048e-05	5.5082735e-05	5.4777487e-05	7.742312e-05
532	0.00016171605	0.00015719952	0.00013195327	0.00029903027	0.00014431673	0.00015378231	0.00013782222	0.00011981825	0.0042379475	0.00011863435	0.00015356162	0.00012663446	0.0001110255	0.00010663371	0.00011550508	0.00023659936	0.00018324004	0.00012100444	0.00011220312	0.00014708395	0.00011096299	0.00013441003	0.0001951592	0.00014476402	0.00013120116	0.00012433107	0.000111372974	0.00015104304	0.00015033399	0.00013139429	0.00015973032	0.00013422623	0.000111834495	0.000121539866	9.490611e-05	0.00012607106	9.515675e-05	9.488057e-05	0.000108909386	0.00010807975	9.515675e-05	0.00024964917	0.00010876267	0.00016836052	0.000108876244	0.00015249642	0.00032102733
4615	0.00017267527	0.00017927702	0.00013354716	0.00025753546	0.00017889513	0.0001790041	0.00017479977	0.00014963475	0.001219262	0.00021261825	0.00017957967	0.00017047583	0.00017553296	0.00017257118	0.00015001878	0.00021507267	0.00017055435	0.00013708684	0.00017136513	0.00016489407	0.00018467403	0.00014422595	0.00017497028	0.0001783643	0.00017288604	0.0001695883	0.00017625722	0.00015404473	0.00018017588	0.00016045412	0.0001657924	0.00017413571	0.00019361619	0.00016892688	0.00014703328	0.00016967709	0.00014704905	0.0001469993	0.0001781805	0.00014631392	0.00014704905	0.00022805095	0.00017483512	0.0001812683	0.00017560234	0.00018131587	0.00028881384
463	0.00055857433	0.00056581415	0.00050675304	0.0005983985	0.00057989446	0.00056869054	0.0005720316	0.000510812	0.0042792223	0.0006658831	0.0005796452	0.0005657527	0.00056959176	0.0005807206	0.00051137136	0.0005517424	0.0006007138	0.00047648445	0.0005595977	0.0005564921	0.0005937784	0.00048767423	0.00073785294	0.00057846715	0.0005700608	0.00056025095	0.0005703838	0.00047313896	0.0005762976	0.0005536955	0.0004958978	0.000573005	0.0006234921	0.0005623319	0.00045759013	0.00056758715	0.0004570234	0.00045736425	0.00057642796	0.0005066903	0.0004570234	0.0005719327	0.00056797644	0.0005621563	0.0005748244	0.00056972424	0.0013300059
