	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
118	0.42155105	0.27707016	0.8068381	0.19646384	0.90133995	0.41301897	0.39817435	0.5784085	0.59591997	0.8611036	0.5758433	0.80291396	0.61020714	0.43864533	0.5092467	0.31348562	0.034866583	0.5211796	0.40173382	0.12866646	0.28114095	0.22520244	0.89597374	0.6441218	0.61064833	0.45424318	0.22271784	0.79241496	0.5331091	0.8092676	0.48398688	0.45446935	0.82849413	0.5883584	0.54481834	0.21819821	0.5944922	0.4493102	0.43924165	0.35762644	0.5365506	0.25490108	0.841965	0.59371316	0.43137917	0.5585141	0.47647136
40	0.26557204	0.45685223	0.03795422	0.056872476	0.0287787	0.18569736	0.2565884	0.17129217	0.07689377	0.041240253	0.23022343	0.038904607	0.19934127	0.32334748	0.18667595	0.336943	0.012983304	0.15129381	0.096088685	0.04633766	0.4753842	0.25770098	0.02946109	0.1719239	0.12359009	0.24172154	0.20354466	0.037982117	0.17312649	0.0764118	0.07163223	0.12463049	0.05863991	0.10203338	0.18005906	0.06706707	0.089575745	0.11870155	0.33324677	0.31094125	0.08386218	0.10034806	0.038263034	0.14034171	0.23505941	0.12449385	0.16803655
265	0.024376629	0.02030553	0.0021230516	0.4900669	0.00027637134	0.039271586	0.031195583	0.012965783	0.029649748	0.0007772833	0.0054583964	0.002370613	0.0048733028	0.010817524	0.023192566	0.03256115	0.690333	0.028278489	0.08120087	0.5452786	0.01332177	0.15885372	0.0003354572	0.004315448	0.01663452	0.019916827	0.1729774	0.002537917	0.01879683	0.0010914578	0.03877911	0.04904741	0.0011473462	0.02551398	0.018093267	0.20615809	0.019683333	0.052098233	0.009003693	0.029573016	0.026310988	0.33899394	0.0013346224	0.01633782	0.019822398	0.02928761	0.029599383
564	0.04173036	0.039022595	0.02779496	0.038041394	0.020156233	0.027681012	0.0371348	0.09532409	0.035144888	0.02630468	0.0521267	0.02925443	0.04398178	0.04367439	0.045981765	0.116741985	0.0028851265	0.06456329	0.03481464	0.015411677	0.028853355	0.032470517	0.02128487	0.035081845	0.07300219	0.05121953	0.02267354	0.028668024	0.059727628	0.03003858	0.038374994	0.03480706	0.030235764	0.054977402	0.07587675	0.0110698305	0.17677505	0.24828331	0.064320765	0.03453147	0.24908933	0.044252995	0.024286848	0.054688808	0.03694542	0.05831152	0.063377015
69	0.13999201	0.091242746	0.040396784	0.10695876	0.016801065	0.22810325	0.16032839	0.058368497	0.16532949	0.026904894	0.055541076	0.04157561	0.056076635	0.077175	0.13380781	0.062141433	0.067277476	0.11116348	0.26217854	0.16719332	0.08879393	0.16267961	0.018609533	0.06903217	0.086257815	0.10548105	0.25123364	0.04411848	0.09716549	0.03349746	0.15461057	0.23017475	0.03298238	0.108858794	0.07925937	0.3970891	0.045155488	0.04970049	0.05549972	0.15080489	0.03743226	0.12421507	0.03787981	0.1072581	0.12968063	0.121344864	0.09499869
41	0.041411497	0.03250453	0.056290492	0.04253817	0.019797936	0.04290689	0.04548741	0.038866807	0.050990585	0.026090967	0.033875678	0.056100104	0.039538056	0.04042674	0.044903163	0.053655308	0.040093075	0.062886916	0.05856451	0.030180153	0.030992528	0.04944658	0.02087798	0.034975737	0.046077803	0.057046063	0.037148055	0.06322287	0.059270665	0.026879607	0.12719338	0.04893753	0.02758497	0.066698946	0.0487158	0.03419206	0.04005853	0.039555743	0.036804248	0.040990613	0.03491347	0.05221007	0.035143483	0.04259209	0.067723215	0.05513652	0.087933294
980	0.012446066	0.023976194	0.0014242801	0.0023080937	0.0011014433	0.008123731	0.0119020045	0.008105671	0.0030389319	0.0016064551	0.010922347	0.0014638788	0.009095268	0.015756888	0.008365455	0.018375887	0.0005147107	0.00670363	0.0039991504	0.001852451	0.0246811	0.012213987	0.0011280517	0.0076006847	0.0054869447	0.0113405865	0.009229887	0.0014141231	0.0077291555	0.0031634346	0.0027954995	0.005263253	0.0023620592	0.0041913656	0.008306446	0.0027083938	0.0041532116	0.005913133	0.016786793	0.014913064	0.0040348084	0.004213514	0.0014392884	0.0061398083	0.010719643	0.0053370027	0.007561419
744	0.010090399	0.012900544	0.0037892216	0.0027943775	0.003104597	0.007277613	0.009544962	0.0099867415	0.0048877313	0.0038851637	0.010841852	0.003850414	0.009832365	0.012040559	0.008662628	0.014433907	0.0005516639	0.0084180655	0.005136323	0.0018787798	0.012653207	0.0077786325	0.0031642362	0.0086154025	0.007880006	0.010568796	0.0060416893	0.0037973213	0.00910854	0.005617749	0.0050217384	0.0061167753	0.004819129	0.006497799	0.009710395	0.002675647	0.0076210354	0.008844393	0.013266124	0.010350203	0.007565962	0.004419957	0.0036241207	0.007840594	0.009808175	0.007252729	0.0091305375
4612	0.0032631808	0.0023147021	0.0034125932	0.0022954792	0.0017667611	0.0038710006	0.0035124102	0.0026363903	0.0042303237	0.0021862	0.0025151258	0.0034059577	0.0027643547	0.0027664183	0.0035326905	0.002653337	0.0014677629	0.0038762703	0.004636068	0.0020978511	0.0022966699	0.0030988045	0.0018532007	0.0028555144	0.0032938959	0.00358591	0.0030986352	0.0036430408	0.003642462	0.0022744678	0.0059337467	0.0042115645	0.0023135922	0.004070252	0.003151241	0.0036131279	0.0024452754	0.0022619716	0.0023468302	0.0032110573	0.002084131	0.00284749	0.002734842	0.0033566311	0.0041015167	0.0038238992	0.004264321
1782	0.011360768	0.0141357	0.0031564247	0.023084454	0.00051379675	0.013397575	0.014541284	0.0044375868	0.0076332903	0.0009951892	0.0046587395	0.003203447	0.005405434	0.010119943	0.009122178	0.0143204145	0.102794394	0.011073789	0.015147488	0.025006158	0.013989745	0.03972239	0.0005640737	0.0043703723	0.0052472837	0.0136433905	0.02839567	0.0037330533	0.010201148	0.0014720018	0.024580874	0.011525586	0.0013260172	0.00976765	0.0073731034	0.020908387	0.0027287956	0.0039812583	0.0072677047	0.01540266	0.0021951962	0.02866568	0.0016307835	0.0057676095	0.019352691	0.008776878	0.019524377
