	RSE	RRSE
1	2.7144365	1.6475548
13	3.576291	1.8911084
125	12.046686	3.4708335
8	10.457657	3.23383
4628	30.424942	5.515881
437	14.206038	3.76909
199	60.26483	7.7630424
179	9.644928	3.1056285
4629	5.9125867	2.431581
845	8.7222805	2.9533508
1119	31.677204	5.6282506
42	71.98861	8.484611
88	5.973093	2.4439912
4630	13.327339	3.650663
52	2.3002672	1.5166632
435	1.696733	1.302587
358	20.8783	4.569278
70	10.337203	3.215152
148	13.376693	3.657416
769	34.93413	5.91051
93	4.42989	2.1047304
4631	9.974075	3.158176
693	6.180834	2.4861283
625	13.234418	3.637914
612	3.733665	1.9322693
471	25.713858	5.0708833
608	53.15104	7.290476
482	3.4265537	1.8510953
4632	18.582222	4.31071
4633	19.685139	4.436794
4634	19.533365	4.4196568
4635	9.39911	3.0657969
838	4.654431	2.157413
224	15.931263	3.9913986
184	1.6095498	1.2686803
484	4.0864234	2.0214903
4636	25.74257	5.073714
4637	8.673221	2.9450333
4638	3.8156734	1.9533749
282	34.104755	5.8399277
205	15.100168	3.8858936
739	1.888235	1.3741306
4639	13.305257	3.6476371
4640	10.299901	3.2093458
4641	11.871286	3.4454734
767	71.69968	8.4675665
227	38.807236	6.2295456
3297	19.977837	4.4696574
231	13.680128	3.6986656
4642	39.008377	6.245669
4643	20.868963	4.568256
3169	32.972633	5.7421803
4644	2.5494554	1.5967014
504	6.3401356	2.5179627
591	14.394913	3.7940629
3948	43.02195	6.559112
4645	15.714503	3.9641523
4646	17.932798	4.2347136
255	26.28624	5.127011
410	12.761442	3.5723162
4647	20.225842	4.497315
4648	121.070465	11.003202
4649	24.896315	4.9896207
1074	20.104616	4.483817
279	47.20506	6.870594
653	2.0077872	1.416964
4650	3.4773612	1.8647684
4651	3.621908	1.9031311
4652	10.691879	3.2698438
4653	3.8717399	1.9676738
302	43.471134	6.593264
4654	21.775618	4.6664352
2251	29.048569	5.3896723
4655	17.160673	4.1425443
4656	9.727925	3.1189623
771	71.74771	8.470402
4657	22.172382	4.708756
1865	70.36319	8.388277
338	49.30393	7.0216756
4658	8.548141	2.9237204
4659	1.9684098	1.4030002
352	33.38672	5.7781243
4660	24.888004	4.9887877
4661	4.3835354	2.0936894
4662	11.979373	3.461123
4663	16.07906	4.00987
2164	36.758266	6.0628595
4664	19.245024	4.386915
4665	10.482258	3.2376316
4666	25.88601	5.0878296
4667	5.0524683	2.2477696
4668	25.666512	5.0662127
383	8.231456	2.8690515
4669	34.27544	5.854523
388	22.077675	4.6986885
4670	2.0129879	1.4187981
4671	64.07444	8.004651
826	12.844048	3.5838592
2822	25.839828	5.083289
1589	27.448105	5.239094
4672	25.130518	5.013035
1904	6.8669686	2.62049
4673	21.297855	4.6149597
2129	5.5301685	2.351631
4674	3.156449	1.7766398
4675	1.5643212	1.2507282
585	21.039537	4.5868874
1226	36.15672	6.013046
4676	2.9564457	1.7194318
4677	29.243406	5.407717
1072	24.449785	4.9446726
1229	32.15757	5.6707644
511	3.8894274	1.9721631
805	31.432032	5.6064277
488	2.4439116	1.5633014
2200	1.3496547	1.1617464
4678	4.729024	2.1746318
597	8.039641	2.835426
4679	27.22021	5.217299
538	38.468945	6.202334
4680	1.7848092	1.3359675
4681	1.8779513	1.3703836
4682	19.277752	4.3906436
2100	1.3025428	1.14129
4683	4.5230985	2.1267576
576	9.418996	3.0690382
4684	11.66719	3.415727
3065	0.99999964	0.9999998
4685	4.437797	2.106608
4686	3.4766018	1.8645648
2423	1.4552207	1.2063253
4687	2.5722072	1.6038102
4688	2.698805	1.642804
4689	2.432326	1.5595917
4690	2.3939142	1.5472279
4691	2.9914935	1.7295934
2020	13.879655	3.7255409
4692	47.044453	6.858896
3680	38.547024	6.208625
4693	13.218786	3.6357648
4694	3.3060863	1.8182646
1110	31.52606	5.614807
661	34.983654	5.914698
4695	109.611435	10.469548
4696	4.7917566	2.1890082
2515	4.2334313	2.0575304
4697	1.3121326	1.1454836
914	9.218174	3.0361445
1065	4.3163815	2.0775902
683	0.9999997	0.9999998
4698	17.790178	4.2178407
3314	3.5997474	1.8973
4699	1.4196883	1.1915067
1024	3.000738	1.7322638
2732	76.129906	8.725245
4700	140.69162	11.86135
1887	11.222608	3.350016
1680	2.539992	1.5937352
4701	13.662497	3.6962814
4702	2.120692	1.4562596
3724	56.56703	7.521106
4703	4.7525344	2.1800308
737	6.4597564	2.541605
2110	0.9999995	0.99999976
