	RSE	RRSE
1	2.0675898	1.4379116
13	1.4699136	1.2124
125	8.783743	2.963738
8	7.086379	2.6620255
4628	13.806579	3.7157204
437	7.497472	2.738151
199	32.552452	5.705476
179	9.802505	3.1308951
4629	4.613862	2.1479902
845	7.952273	2.8199775
1119	11.324356	3.365168
42	25.602982	5.059939
88	2.9346597	1.7130848
4630	8.035227	2.8346477
52	4.186478	2.0460885
435	2.053704	1.4330751
358	17.392248	4.1704016
70	9.199889	3.0331318
148	17.793915	4.218283
769	35.955044	5.9962525
93	5.3799815	2.3194788
4631	10.113785	3.1802177
693	7.1793275	2.6794267
625	18.086084	4.252774
612	3.3390944	1.8273189
471	33.7073	5.8057985
608	46.93046	6.850581
482	4.474711	2.1153512
4632	9.18344	3.030419
4633	49.944813	7.0671644
4634	11.542095	3.3973658
4635	4.4090366	2.0997705
838	3.497193	1.8700783
224	22.57356	4.751164
184	1.7473624	1.3218783
484	2.8252647	1.6808524
4636	27.208914	5.2162166
4637	4.1854806	2.0458448
4638	2.3579667	1.5355672
282	78.460144	8.857773
205	38.794575	6.228529
739	1.5053664	1.2269337
4639	12.921618	3.5946653
4640	13.201071	3.6333277
4641	12.062008	3.47304
767	25.780735	5.077473
227	38.94187	6.240342
3297	10.114306	3.1802998
231	15.30366	3.9119892
4642	40.986225	6.4020486
4643	11.523352	3.3946064
3169	46.013767	6.7833447
4644	2.1091707	1.4522984
504	5.3584986	2.3148432
591	14.622679	3.823961
3948	43.520664	6.597019
4645	6.1634407	2.4826279
4646	19.335003	4.3971586
255	26.038963	5.1028385
410	3.7674928	1.9410031
4647	24.22908	4.922304
4648	50.922047	7.1359687
4649	29.198977	5.403608
1074	11.373003	3.3723884
279	43.626945	6.6050696
653	2.4076784	1.5516696
4650	2.689522	1.6399763
4651	1.5359589	1.239338
4652	6.164202	2.4827812
4653	2.6620014	1.6315641
302	44.608936	6.6789923
4654	23.006683	4.7965283
2251	28.889048	5.374853
4655	18.043192	4.247728
4656	3.1416876	1.7724806
771	48.96717	6.9976544
4657	24.990042	4.999004
1865	72.042496	8.487785
338	49.7201	7.051248
4658	3.7726097	1.9423207
4659	1.3334979	1.1547718
352	35.53288	5.960946
4660	18.100761	4.254499
4661	3.65682	1.9122814
4662	4.7005253	2.1680696
4663	6.5518074	2.55965
2164	38.697933	6.220766
4664	4.5732512	2.1385162
4665	11.433941	3.381411
4666	33.272457	5.768228
4667	1.883443	1.3723859
4668	11.26175	3.355853
383	4.0188684	2.0047116
4669	13.253633	3.640554
388	9.778414	3.1270456
4670	1.2790972	1.1309718
4671	77.24087	8.788678
826	6.272739	2.5045435
2822	26.698442	5.1670537
1589	27.722662	5.2652316
4672	27.942991	5.2861133
1904	2.2595375	1.5031757
4673	25.586596	5.0583196
2129	3.1944757	1.7873096
4674	1.5497079	1.2448727
4675	1.2269055	1.1076577
585	24.767479	4.9766936
1226	39.15842	6.257669
4676	1.8514265	1.3606713
4677	43.871384	6.6235476
1072	26.152414	5.113943
1229	18.663933	4.3201776
511	2.8663626	1.6930336
805	8.017457	2.8315115
488	1.4237047	1.193191
2200	1.053345	1.026326
4678	2.3119893	1.5205227
597	4.3908544	2.0954366
4679	11.655753	3.4140522
538	36.20933	6.017419
4680	1.4056236	1.1855899
4681	1.5513238	1.2455214
4682	6.1309414	2.4760737
2100	1.160289	1.0771672
4683	2.5301235	1.5906361
576	3.9787061	1.9946694
4684	2.283877	1.5112501
3065	0.9999971	0.9999985
4685	1.801148	1.3420686
4686	1.7926389	1.3388946
2423	1.0892752	1.0436835
4687	1.7841285	1.3357128
4688	1.6934565	1.3013288
4689	1.2995248	1.139967
4690	1.3934895	1.1804615
4691	1.5713385	1.2535304
2020	3.2197154	1.7943566
4692	52.27087	7.22986
3680	26.83894	5.180631
4693	4.9484177	2.224504
4694	1.9536614	1.3977344
1110	4.647424	2.1557884
661	39.135162	6.2558103
4695	14.256112	3.7757268
4696	2.00369	1.4155176
2515	2.427044	1.5578973
4697	1.0654087	1.0321864
914	3.2639725	1.8066467
1065	2.4181902	1.5550531
683	0.9999971	0.9999985
4698	2.2493608	1.499787
3314	2.3786457	1.5422858
4699	1.3797271	1.1746179
1024	1.5579365	1.2481732
2732	11.053928	3.324745
4700	74.437065	8.627692
1887	2.9484072	1.7170926
1680	1.5967413	1.2636223
4701	2.4705553	1.5718
4702	1.5436727	1.2424463
3724	14.498993	3.8077543
4703	1.933239	1.3904096
737	2.4404309	1.5621878
2110	0.9999973	0.9999986
