	RSE	RRSE
1	2.986098	1.728033
13	3.835366	1.9584091
125	8.567871	2.9270926
8	12.017901	3.4666846
4628	22.196844	4.711353
437	15.774477	3.9717095
199	27.087767	5.204591
179	20.294468	4.504938
4629	5.4845924	2.3419206
845	16.399273	4.0496016
1119	10.1375885	3.183958
42	34.066566	5.836657
88	3.680313	1.9184142
4630	12.058753	3.4725716
52	2.1219149	1.4566793
435	1.7177657	1.3106356
358	15.525376	3.9402254
70	10.7778845	3.2829688
148	16.93539	4.115263
769	35.88643	5.990528
93	6.305149	2.5110056
4631	10.033978	3.1676455
693	8.176272	2.8594182
625	18.15933	4.2613764
612	3.0335174	1.7416996
471	30.576715	5.5296216
608	40.452824	6.3602533
482	2.5926914	1.6101837
4632	20.03459	4.4760017
4633	61.15115	7.81992
4634	11.899058	3.4495013
4635	4.401722	2.0980282
838	6.7618437	2.6003544
224	37.756477	6.14463
184	1.5141741	1.2305179
484	4.0753717	2.018755
4636	27.846998	5.2770257
4637	5.4584346	2.3363292
4638	3.2336283	1.7982292
282	65.99144	8.123511
205	10.311778	3.2111957
739	1.7568948	1.3254791
4639	26.213152	5.1198783
4640	21.814123	4.6705594
4641	12.141606	3.4844809
767	53.69656	7.3277936
227	27.008604	5.1969805
3297	18.834959	4.3399262
231	13.073802	3.6157713
4642	53.656525	7.3250613
4643	11.924048	3.4531217
3169	36.843502	6.069885
4644	2.948543	1.7171322
504	7.1905813	2.681526
591	15.739392	3.9672904
3948	38.928883	6.2393017
4645	6.6227803	2.5734763
4646	18.652544	4.318859
255	36.428097	6.035569
410	11.777864	3.4318893
4647	36.13288	6.011063
4648	188.51326	13.730013
4649	23.99823	4.898799
1074	15.912839	3.98909
279	34.972317	5.9137397
653	2.3192744	1.5229164
4650	3.867174	1.9665132
4651	2.6048856	1.6139657
4652	6.898183	2.626439
4653	3.9527657	1.9881563
302	41.92151	6.4746823
4654	23.366535	4.8338943
2251	56.34331	7.506218
4655	17.004019	4.123593
4656	14.004109	3.7422066
771	75.811386	8.706973
4657	21.904484	4.6802225
1865	79.44352	8.91311
338	54.280327	7.3675184
4658	10.290498	3.2078805
4659	3.1070194	1.762674
352	31.628145	5.6238904
4660	30.17122	5.4928336
4661	5.109275	2.2603705
4662	31.274498	5.5923605
4663	11.330107	3.3660223
2164	36.611053	6.050707
4664	25.362564	5.036126
4665	12.623315	3.5529304
4666	27.072071	5.203083
4667	2.7966392	1.6723155
4668	29.039404	5.388822
383	7.4125624	2.7226021
4669	42.221382	6.4977984
388	13.42018	3.6633565
4670	1.8421088	1.3572431
4671	59.03507	7.6834283
826	15.0696945	3.8819704
2822	25.914587	5.090637
1589	22.52028	4.745554
4672	22.682295	4.7625933
1904	4.784525	2.1873558
4673	21.115416	4.5951514
2129	6.0173206	2.4530227
4674	4.5616307	2.1357975
4675	1.6633424	1.2897063
585	20.466267	4.523966
1226	34.4461	5.86908
4676	3.3458252	1.8291597
4677	29.737282	5.45319
1072	20.807716	4.5615478
1229	7.654523	2.766681
511	3.9712715	1.9928049
805	34.009605	5.8317757
488	1.6556638	1.286726
2200	1.206633	1.0984684
4678	4.0987997	2.0245492
597	6.773905	2.6026726
4679	19.616045	4.4290004
538	30.978897	5.565869
4680	2.1487575	1.4658641
4681	2.8639624	1.6923245
4682	15.3910055	3.9231372
2100	1.5300723	1.2369609
4683	4.469198	2.1140478
576	7.962348	2.8217633
4684	8.573606	2.928072
3065	0.99998784	0.9999939
4685	4.239665	2.0590446
4686	4.072098	2.0179439
2423	1.9916228	1.4112487
4687	5.2360516	2.288242
4688	1.5305957	1.2371725
4689	2.4600022	1.5684394
4690	2.6320667	1.6223645
4691	8.638216	2.9390843
2020	10.015842	3.1647816
4692	45.78564	6.7665086
3680	29.113323	5.395676
4693	17.61095	4.1965404
4694	8.45224	2.9072735
1110	15.438524	3.9291887
661	30.94505	5.5628276
4695	85.76731	9.261065
4696	5.5235963	2.3502333
2515	4.3957367	2.0966012
4697	1.5468411	1.2437207
914	12.68178	3.5611486
1065	4.1893964	2.0468016
683	0.9999927	0.99999636
4698	14.8579	3.8545947
3314	9.693812	3.1134887
4699	1.1576176	1.0759264
1024	2.274654	1.5081956
2732	43.658024	6.607422
4700	144.96031	12.039947
1887	13.63011	3.6918979
1680	2.1313565	1.4599166
4701	6.278736	2.5057406
4702	2.6070778	1.6146448
3724	40.13548	6.335257
4703	3.722711	1.9294329
737	11.447735	3.38345
2110	0.99999034	0.9999952
