	RSE	RRSE
1	1.9679018	1.4028193
13	2.6369777	1.6238774
125	11.275785	3.3579435
8	4.42505	2.1035802
4628	7.5105596	2.74054
437	9.569646	3.0934844
199	9.533828	3.0876896
179	21.019083	4.584657
4629	6.067836	2.4632978
845	9.617863	3.1012678
1119	14.625167	3.8242865
42	10.1667595	3.1885357
88	1.1206906	1.0586268
4630	4.202372	2.0499687
52	1.4757314	1.2147969
435	1.852502	1.3610665
358	9.790469	3.1289725
70	9.124838	3.0207345
148	16.49942	4.061948
769	31.931597	5.650805
93	2.8753614	1.6956891
4631	9.951735	3.154637
693	2.726532	1.6512214
625	17.858599	4.2259436
612	3.923192	1.9807049
471	17.917505	4.2329073
608	26.118889	5.1106644
482	1.2416713	1.1143031
4632	11.492255	3.390023
4633	5.7326307	2.3942912
4634	10.769147	3.281638
4635	7.1700625	2.6776972
838	5.8638997	2.421549
224	12.150274	3.4857244
184	1.0659689	1.0324577
484	2.2291265	1.4930259
4636	20.85757	4.567009
4637	3.9719303	1.9929702
4638	3.9918299	1.9979564
282	14.587392	3.8193445
205	1.5121913	1.2297119
739	2.115421	1.4544487
4639	10.113853	3.1802285
4640	5.3595796	2.3150766
4641	12.090797	3.4771824
767	47.333492	6.879934
227	2.7362761	1.6541693
3297	12.468342	3.531054
231	12.2626705	3.5018096
4642	23.705622	4.868842
4643	13.360028	3.6551373
3169	19.455025	4.410785
4644	3.236245	1.7989566
504	9.728608	3.1190717
591	13.982456	3.7393122
3948	23.972881	4.896211
4645	13.2011175	3.6333342
4646	12.690002	3.562303
255	12.9978695	3.6052558
410	11.606491	3.40683
4647	15.998264	3.999783
4648	61.26645	7.8272886
4649	12.6805725	3.5609791
1074	7.592494	2.755448
279	23.901867	4.8889537
653	1.7402403	1.3191817
4650	2.9087524	1.7055066
4651	4.141341	2.0350285
4652	7.15955	2.6757336
4653	4.5372386	2.1300795
302	41.087322	6.4099393
4654	12.458156	3.5296113
2251	15.863025	3.9828413
4655	16.52964	4.065666
4656	8.987186	2.9978635
771	31.547659	5.61673
4657	17.00063	4.123182
1865	37.591583	6.1311975
338	43.041187	6.5605783
4658	8.541419	2.9225707
4659	2.192779	1.4808035
352	30.452225	5.5183535
4660	14.530753	3.8119226
4661	5.0300374	2.2427745
4662	12.738526	3.5691073
4663	7.252337	2.6930163
2164	34.024147	5.833022
4664	8.7919855	2.9651282
4665	9.482597	3.0793827
4666	18.887802	4.3460097
4667	3.179756	1.783187
4668	27.660528	5.259328
383	4.203506	2.0502453
4669	27.792068	5.271818
388	8.826471	2.9709377
4670	1.271653	1.127676
4671	45.78192	6.766234
826	2.1023984	1.449965
2822	25.356089	5.035483
1589	17.517338	4.185372
4672	21.365984	4.6223354
1904	3.1775458	1.7825671
4673	17.35607	4.1660614
2129	5.585499	2.363366
4674	2.7115128	1.6466671
4675	1.5339755	1.2385377
585	14.299435	3.7814593
1226	32.222126	5.6764536
4676	3.408493	1.8462105
4677	21.49212	4.6359596
1072	14.700371	3.8341062
1229	1.3171928	1.1476902
511	1.2327721	1.1103027
805	9.451683	3.074359
488	1.6989564	1.3034402
2200	1.0678074	1.0333477
4678	3.2105255	1.791794
597	0.81658024	0.9036483
4679	10.574692	3.2518752
538	27.624699	5.2559204
4680	1.6930097	1.3011571
4681	2.447624	1.5644884
4682	6.922254	2.6310177
2100	1.3510435	1.162344
4683	3.424623	1.8505737
576	5.9638295	2.4420953
4684	3.4019365	1.8444339
3065	1.0000012	1.0000006
4685	2.3932867	1.5470251
4686	2.2784836	1.5094647
2423	1.7306441	1.3155395
4687	2.6752357	1.6356148
4688	1.3921311	1.1798861
4689	2.104122	1.4505591
4690	2.2476163	1.4992052
4691	4.451147	2.109774
2020	4.6261086	2.150839
4692	41.382824	6.432948
3680	12.231051	3.497292
4693	5.9667253	2.4426882
4694	5.1858487	2.2772458
1110	8.300005	2.8809729
661	29.180662	5.4019127
4695	27.674557	5.260661
4696	3.348988	1.830024
2515	3.226807	1.7963315
4697	1.3512949	1.1624521
914	6.1236806	2.4746072
1065	3.4530423	1.8582363
683	1.0000012	1.0000006
4698	5.948787	2.4390135
3314	5.3443465	2.3117843
4699	1.209774	1.0998973
1024	1.5447104	1.2428638
2732	21.29116	4.6142344
4700	60.88527	7.8029013
1887	6.46941	2.5435035
1680	1.3419788	1.1584381
4701	3.8624136	1.9653025
4702	1.9967183	1.4130528
3724	18.021055	4.2451215
4703	1.6501439	1.2845793
737	5.305137	2.3032882
2110	1.0000004	1.0000001
