	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
0	0.89386886	0.90008026	0.8925983	0.89181566	0.89379764	0.8943285	0.8979827	0.89804834	0.889138	0.89437747	0.8973646	0.8922917	0.8950436	0.89658046	0.8967667	0.8976981	0.893226	0.8956017	0.8992068	0.8972591	0.8998742	0.89959854	0.8929683	0.89906657	0.8948624	0.89568925	0.89835006	0.8944491	0.8986462	0.89331746	0.8982133	0.8954635	0.897223	0.89847684	0.89759487	0.8973968	0.89408123	0.8977228	0.89997816	0.89557785	0.89408123	0.89876187	0.8957563	0.89697284	0.9004418	0.8938228	0.89071405
1	-0.15092236	-0.15741846	-0.13033928	-0.15417553	-0.13861284	-0.15452844	-0.15368532	-0.14414611	-0.351423	-0.13909234	-0.15137279	-0.13943475	-0.13860074	-0.18175647	-0.16225931	-0.1284287	-0.16616255	-0.13102001	-0.14024924	-0.17192598	-0.12509634	-0.26180172	-0.15078726	-0.20421413	-0.15277162	-0.19900481	-0.1430818	-0.12312834	-0.14392021	-0.1337348	-0.24713205	-0.15417112	-0.15646128	-0.16452166	-0.11766253	-0.16331603	-0.12648949	-0.11726158	-0.11534891	-0.14232057	-0.12648949	-0.14980051	-0.12950511	-0.17288758	-0.38035715	-0.18533991	-0.19784874
2	-0.37769017	-0.30818075	-0.397573	-0.38108906	-0.3883334	-0.37498647	-0.3354181	-0.35121477	-0.32319403	-0.3839312	-0.35404932	-0.39231816	-0.38049063	-0.3394396	-0.35436615	-0.3708316	-0.36185676	-0.3840817	-0.34508473	-0.34337354	-0.33605015	-0.31479958	-0.3849365	-0.31820533	-0.36817053	-0.3488568	-0.35562626	-0.39966217	-0.34063312	-0.39404714	-0.35134083	-0.3641922	-0.3489001	-0.33566985	-0.42056867	-0.33967346	-0.42565188	-0.4200823	-0.34737748	-0.3733902	-0.42565188	-0.32614234	-0.38245535	-0.33548856	-0.29786417	-0.36729455	-0.33877712
3	0.8789028	0.8809383	0.87960345	0.8758434	0.8797942	0.87857306	0.8794999	0.88014215	0.85963124	0.87968034	0.8795213	0.8785139	0.87931734	0.87789726	0.8790262	0.8806711	0.8757767	0.88066566	0.88071376	0.8791131	0.8810998	0.879826	0.87932026	0.8792595	0.87800336	0.87758046	0.88006854	0.88176256	0.8799309	0.8806725	0.88141626	0.8782824	0.8796378	0.87975544	0.87167895	0.8789039	0.86868984	0.8717758	0.8812258	0.8805264	0.86868984	0.88015884	0.8804455	0.8783139	0.88088226	0.8770739	0.87181765
4	-0.90178007	-0.90358484	-0.90060633	-0.90126395	-0.9016554	-0.9023502	-0.90263677	-0.90312314	-0.91222763	-0.9019688	-0.9028403	-0.9010315	-0.90233386	-0.9028342	-0.9031094	-0.9034299	-0.9014134	-0.9023194	-0.90324163	-0.9032131	-0.9030872	-0.9045691	-0.9011299	-0.9037842	-0.902274	-0.9034432	-0.9034665	-0.9011235	-0.90315175	-0.9007915	-0.9042338	-0.9025289	-0.90286237	-0.9033248	-0.9086519	-0.90278214	-0.9073145	-0.90867114	-0.90377635	-0.90202665	-0.9073145	-0.9025554	-0.9022916	-0.90255874	-0.90635407	-0.9029107	-0.89965314
5	0.93009377	0.92997724	0.9308115	0.92780745	0.9312127	0.9301686	0.9297977	0.93137187	0.90553826	0.9311646	0.9299285	0.9301089	0.9307403	0.92804354	0.93012905	0.9322228	0.9266518	0.932163	0.93106323	0.92952156	0.9318673	0.9288299	0.9300814	0.928524	0.9291203	0.9280804	0.9308182	0.9325078	0.93092304	0.9314839	0.9312998	0.92936623	0.9299992	0.93026465	0.9288708	0.9293036	0.9265483	0.92892104	0.9329617	0.931394	0.9265483	0.92991555	0.9318141	0.9282289	0.931046	0.92840195	0.9212808
6	-0.71193993	-0.70510745	-0.71594	-0.70901006	-0.7148592	-0.7116076	-0.70656246	-0.71035516	-0.67296255	-0.71424717	-0.70889086	-0.71315014	-0.71330535	-0.7062427	-0.7098424	-0.713006	-0.70557255	-0.7159661	-0.7091763	-0.7079136	-0.70858425	-0.7078307	-0.71220183	-0.7057917	-0.70925605	-0.7074858	-0.7098166	-0.71828544	-0.708329	-0.7165476	-0.7133602	-0.70902723	-0.7081812	-0.7083388	-0.7202217	-0.7068581	-0.7200284	-0.72009367	-0.71020967	-0.7135338	-0.7200284	-0.70601624	-0.7152382	-0.7054114	-0.7089646	-0.70886385	-0.69773525
7	0.1474252	0.09209679	0.16821961	0.1447683	0.15592483	0.1408285	0.102332324	0.11194818	0.004866785	0.14491104	0.10818631	0.16407341	0.13130604	0.10928387	0.11784091	0.1188794	0.11847174	0.14015272	0.101093516	0.11188453	0.095607296	0.11347359	0.16938503	0.10431823	0.12127719	0.12281962	0.10571835	0.18032035	0.10154636	0.17022012	0.14873193	0.11744716	0.11350527	0.108593866	0.046027903	0.10625568	0.052077994	0.04556656	0.09988076	0.14232151	0.052077994	0.09672596	0.1333181	0.10435812	0.10927605	0.1414798	0.108390525
8	0.25486702	0.24217393	0.25479177	0.2620228	0.25286797	0.25562763	0.24825221	0.2463823	0.2857157	0.25248596	0.24736848	0.2572385	0.25089335	0.25493062	0.25209662	0.24262273	0.26165682	0.24753572	0.24042535	0.25249243	0.23831639	0.25648877	0.25485003	0.253119	0.2550473	0.2588077	0.24354896	0.24532358	0.2461074	0.25178373	0.25279328	0.25430858	0.24911436	0.24841799	0.2520794	0.25112012	0.26102355	0.25167304	0.23768114	0.2483407	0.26102355	0.24444479	0.24681242	0.25297427	0.2595365	0.26012662	0.2682434
9	0.7234303	0.72308064	0.7213222	0.7195884	0.724078	0.7249573	0.72281665	0.72528887	0.7201871	0.7236758	0.7215249	0.72168505	0.72094196	0.7240595	0.72609687	0.7224076	0.71775883	0.724008	0.72201717	0.72587246	0.7220818	0.7281162	0.7228045	0.7255103	0.7203895	0.7263924	0.72178435	0.7240404	0.72425216	0.72359866	0.7295831	0.7216499	0.72351635	0.72601056	0.7174194	0.7236917	0.7157659	0.71734	0.72289807	0.7244622	0.7157659	0.7221891	0.7215408	0.72258437	0.7272042	0.7252748	0.71141034
