	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
0	-0.072067074	-0.8672317	-0.19059756	0.07514761	0.09941705	0.00047654277	0.113784365	0.068930686	0.24139646	0.19385825	0.06300004	-0.058378	0.08597487	-0.011093018	0.1815953	0.34314856	-0.4169555	-0.03070899	0.052667484	0.102689706	0.3107656	0.13198042	-0.2511256	0.23402958	0.10438431	0.052627433	0.10284536	-0.24442531	0.025752451	0.07149113	0.063588455	0.117256775	0.3455777	0.14642493	0.14509147	0.23119129	0.13482867	0.14274448	0.21438412	-0.033342704	0.13482867	0.063607514	0.09935631	-0.1341772	0.17129417	-0.1642137	-0.4465015
1	0.69676477	0.6184019	0.67853504	0.65578586	0.68532014	0.6824219	0.65501523	0.696812	0.6867238	0.64704776	0.6836689	0.7276043	0.7100189	0.63718784	0.6612837	0.61681205	0.6849122	0.6806728	0.6490066	0.66322225	0.6064625	0.6840094	0.6372713	0.62575936	0.6815775	0.6786255	0.70530045	0.6407888	0.68478173	0.66716087	0.6809574	0.67222995	0.61586624	0.7182576	0.72914493	0.6356985	0.7280877	0.7291288	0.64814514	0.6795201	0.7280877	0.6123594	0.68702507	0.6982114	0.6398189	0.7145057	0.6032279
2	-0.933338	-0.72472906	-0.9606406	-0.93784225	-0.9420936	-0.9342957	-0.93568593	-0.94522846	-0.88566595	-0.93847686	-0.9384255	-0.93211144	-0.94066805	-0.9443622	-0.9410667	-0.9370107	-0.9288575	-0.9462828	-0.9320659	-0.93991816	-0.93907034	-0.940127	-0.96161586	-0.93570995	-0.9395743	-0.93469816	-0.9406128	-0.96134186	-0.94023	-0.94195545	-0.93852943	-0.94521284	-0.9304217	-0.95527107	-0.95834666	-0.94422126	-0.95737004	-0.958187	-0.9370977	-0.9461083	-0.95737004	-0.90687966	-0.94277596	-0.94257474	-0.91444427	-0.93399	-0.9223849
3	0.902846	0.67014706	0.9603574	0.90886617	0.9132977	0.8984288	0.8967808	0.9202576	0.5964636	0.90448606	0.90942854	0.90342754	0.9075102	0.93150705	0.9040945	0.8803134	0.90535915	0.9382703	0.89019156	0.91659856	0.88993686	0.90390617	0.96473515	0.89100254	0.9054602	0.89973795	0.9067422	0.9652684	0.9168455	0.9246056	0.91063726	0.92118675	0.8551831	0.9288464	0.9297411	0.9124501	0.929019	0.92964727	0.8968346	0.93868405	0.929019	0.8200302	0.91533774	0.9267136	0.803828	0.9023058	0.9184634
4	0.7712935	0.42734894	0.94958794	0.7606825	0.7499906	0.7385492	0.6979642	0.7724016	-0.0700654	0.72911876	0.75790256	0.73778945	0.73268306	0.8200944	0.6954781	0.60084146	0.7814481	0.846493	0.6771251	0.77356946	0.6359343	0.70093536	0.9703366	0.6619209	0.72413087	0.72273785	0.7288652	0.9687387	0.7822716	0.80173284	0.7580751	0.7745289	0.54543006	0.7610124	0.7990519	0.72447145	0.7990409	0.7992416	0.6868009	0.84833914	0.7990409	0.44691557	0.7584236	0.82075477	0.38064858	0.77741796	0.8117367
5	0.23878145	0.050640512	0.12571873	0.08322131	0.11754254	0.1886521	0.03439829	0.13851516	0.1775673	0.033796027	0.11503925	0.33711743	0.183065	0.0030114704	0.08869262	-0.044816073	0.14842196	0.12861416	0.003443987	0.08879043	-0.077150375	0.17881069	0.24440303	-0.012456666	0.10509312	0.18197127	0.16859676	0.17858303	0.12283422	0.09259364	0.13822371	0.07197805	-0.05148872	0.16364305	0.038471054	-0.00059856457	0.041819815	0.039356064	0.0464323	0.12828583	0.041819815	-0.045987386	0.120877564	0.15114261	0.116432555	0.26760837	-0.15968694
6	-0.92145646	-0.9400355	-0.94742835	-0.90536076	-0.91759247	-0.91585815	-0.9102544	-0.92433053	-0.8802314	-0.9026328	-0.91508234	-0.93154097	-0.9242318	-0.91122484	-0.90880615	-0.88775164	-0.94370586	-0.92409974	-0.91357994	-0.91095793	-0.88803434	-0.91543776	-0.9527424	-0.8946065	-0.9178673	-0.9140853	-0.9224479	-0.95134044	-0.919012	-0.9146101	-0.9157501	-0.9138963	-0.8819416	-0.9315821	-0.938661	-0.9001199	-0.9381654	-0.9386239	-0.9011772	-0.9238719	-0.9381654	-0.8960551	-0.9192107	-0.9314521	-0.8944638	-0.928266	-0.92955536
7	-0.6764039	-0.9675014	-0.18150029	-0.6305439	-0.63548434	-0.66385823	-0.7097977	-0.6140758	-0.9386246	-0.5515411	-0.6657181	-0.6671563	-0.6622985	-0.64701	-0.57455254	-0.5351703	-0.9097594	-0.5396743	-0.77784187	-0.5796864	-0.5563686	-0.55948514	-0.016737565	-0.59665346	-0.6859435	-0.624264	-0.65576893	-0.07352244	-0.6483044	-0.571732	-0.6265584	-0.6010979	-0.56497455	-0.561955	-0.48600212	-0.5490071	-0.49136165	-0.48644313	-0.5742234	-0.5369599	-0.49136165	-0.7452715	-0.60794294	-0.73227024	-0.64028764	-0.76096094	-0.8383421
8	0.57826495	0.16479643	-0.06739795	0.84517205	0.8258147	0.7534166	0.8496218	0.7417045	0.8296922	0.81804657	0.79598945	0.49015844	0.76311994	0.86663264	0.8883004	0.94005615	0.4478817	0.5641716	0.83822095	0.773636	0.9438905	0.84145737	-0.27370527	0.91353095	0.812943	0.78284776	0.7776814	-0.23500356	0.6952436	0.70065826	0.7605173	0.8584687	0.9227965	0.86369526	0.74635327	0.9196677	0.7324195	0.74311066	0.88391757	0.557319	0.7324195	0.91604316	0.7713858	0.51604897	0.92183346	0.57114714	0.80618584
9	-0.51123035	-0.63226223	0.048098046	-0.4027715	-0.41759235	-0.47879842	-0.43063998	-0.4026003	-0.7493488	-0.35478187	-0.450185	-0.51317066	-0.47896227	-0.3177442	-0.35406062	-0.31218392	-0.5938296	-0.31949753	-0.45296264	-0.38527033	-0.28755227	-0.38409552	0.1324981	-0.34327722	-0.4511083	-0.44109493	-0.4698038	0.12554157	-0.42487487	-0.37413475	-0.43193075	-0.3668099	-0.3493185	-0.3594209	-0.32738817	-0.29638892	-0.32892457	-0.32742357	-0.3656489	-0.31731558	-0.32892457	-0.40874165	-0.40437484	-0.44018993	-0.43602285	-0.57118493	-0.31079224
