	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
0	0.8956327	0.8963519	0.88481957	0.89835286	0.8888001	0.8936925	0.89436656	0.89395726	0.89287275	0.8892636	0.8936549	0.8843263	0.89448446	0.8953273	0.8929837	0.88873136	0.8903432	0.89183056	0.8927236	0.8967597	0.8942072	0.89120156	0.8881236	0.8928663	0.88942796	0.8955661	0.8961152	0.8857372	0.8941091	0.8911228	0.8931626	0.894943	0.8901389	0.89382917	0.893465	0.8956334	0.8911218	0.8930173	0.8984442	0.89472467	0.8912392	0.89845693	0.889585	0.8943556	0.89050514	0.8902058	0.87846893
1	-0.114624076	-0.103895396	-0.1535133	-0.49403822	-0.09403363	-0.14755061	-0.14070423	-0.12430174	-0.13421687	-0.10586981	-0.09755915	-0.15628543	-0.124247	-0.12601031	-0.1326176	-0.11593957	-0.5524617	-0.18236172	-0.19451728	-0.47751862	-0.09552033	-0.2731585	-0.09705768	-0.10861749	-0.13547686	-0.16011591	-0.26927286	-0.16758025	-0.13805649	-0.0921831	-0.2413178	-0.18408148	-0.101808265	-0.20226552	-0.13642308	-0.18599863	-0.119945556	-0.13563877	-0.10806815	-0.12117059	-0.11197657	-0.4459791	-0.13378984	-0.13051575	-0.1456092	-0.16910632	-0.16228779
2	-0.28068852	-0.27433056	-0.4229815	-0.31626502	-0.41204572	-0.25401208	-0.27801055	-0.41103718	-0.30277357	-0.3974772	-0.34559077	-0.4227271	-0.34559625	-0.33250836	-0.32791275	-0.40482825	-0.34791648	-0.37684867	-0.3035164	-0.20542572	-0.24254219	-0.23302062	-0.41418675	-0.3289006	-0.39620703	-0.3668408	-0.18901502	-0.42903337	-0.36341518	-0.3693698	-0.35215765	-0.32199633	-0.38518742	-0.38099638	-0.38246325	-0.13936217	-0.49467516	-0.49745473	-0.34874073	-0.25181165	-0.52981323	-0.3232255	-0.39698154	-0.36287108	-0.28357342	-0.36582252	-0.36515123
3	0.8759301	0.87435144	0.8716955	0.8795695	0.8739991	0.87452585	0.87487835	0.8779881	0.87787503	0.87379456	0.8740648	0.8708725	0.8759042	0.8755875	0.8750776	0.8739578	0.8693357	0.87613106	0.878564	0.8776359	0.8709582	0.8718773	0.872639	0.87385267	0.87434995	0.8712716	0.8759491	0.8731421	0.8775295	0.87393004	0.8799648	0.8790053	0.8739924	0.87944543	0.8783282	0.880495	0.88134605	0.8840105	0.8791257	0.8735315	0.8832716	0.8794337	0.87490743	0.8783638	0.8710692	0.87437123	0.8597618
4	-0.9038636	-0.90055007	-0.8977701	-0.90784454	-0.9032874	-0.90739197	-0.9020342	-0.89858276	-0.90555495	-0.90345204	-0.90171367	-0.8970698	-0.9045086	-0.9016952	-0.9016454	-0.89185447	-0.9034841	-0.89984626	-0.9008539	-0.90686363	-0.9021485	-0.9003688	-0.90243053	-0.9058458	-0.8993639	-0.90105	-0.905052	-0.8988858	-0.90046775	-0.90347475	-0.902775	-0.9035472	-0.9032428	-0.9050084	-0.8983315	-0.9080483	-0.891278	-0.88816375	-0.903021	-0.90216315	-0.8876936	-0.9073515	-0.90391874	-0.90245575	-0.9073017	-0.9009783	-0.88499814
5	0.92499286	0.9238378	0.925525	0.9322431	0.92966396	0.92583007	0.9242407	0.9263472	0.92627656	0.92938066	0.9266134	0.9253956	0.92804503	0.92590564	0.92562145	0.9228609	0.9218022	0.92513645	0.9216615	0.9283452	0.9235801	0.9210414	0.9282093	0.92879975	0.9251782	0.9209364	0.9235449	0.92757183	0.92664325	0.9289371	0.92816734	0.92506135	0.928959	0.92939895	0.92564595	0.91956776	0.9241146	0.9223041	0.92815477	0.9234057	0.92286325	0.9309787	0.9290478	0.92712504	0.92754203	0.924991	0.91221327
6	-0.71054876	-0.7036473	-0.7103962	-0.71829253	-0.7156091	-0.7077293	-0.7078884	-0.7111572	-0.72065365	-0.7152884	-0.7058309	-0.7095625	-0.7061776	-0.7032168	-0.71232325	-0.70158917	-0.6916954	-0.7072165	-0.71525705	-0.7215397	-0.6976388	-0.6990174	-0.7125489	-0.7071248	-0.7065687	-0.6940123	-0.7125611	-0.7168138	-0.7135227	-0.71358687	-0.72328806	-0.71436036	-0.71515244	-0.7157323	-0.71378994	-0.7232199	-0.71971244	-0.72130495	-0.71028465	-0.70426345	-0.72127753	-0.71293163	-0.71601856	-0.71526664	-0.69933486	-0.7064759	-0.67933565
7	0.120016836	0.08882352	0.17925598	0.1393216	0.19688872	0.16062582	0.12131689	0.07334641	0.16662595	0.19159962	0.12450233	0.18450277	0.13706017	0.1039775	0.11674517	-0.06389372	0.08379495	0.09497302	0.08676475	0.1389105	0.124889	0.107141286	0.18563722	0.16927788	0.08589639	0.07118855	0.11623913	0.18723482	0.102796234	0.18275295	0.1264937	0.108683445	0.1832932	0.12393336	0.08060168	0.13960794	-0.006572037	-0.06386123	0.092603885	0.12480054	-0.05690513	0.12443683	0.19350351	0.11452958	0.10312712	0.11606943	0.06779375
8	0.23308031	0.23082669	0.24824272	0.23235409	0.2374339	0.24351376	0.24170609	0.24615009	0.2475969	0.23645851	0.23242418	0.24166976	0.23561336	0.2362422	0.2439937	0.25328815	0.23981762	0.2506929	0.26049584	0.23579514	0.22404803	0.242624	0.2374871	0.23102139	0.2470198	0.24020648	0.23883998	0.24062257	0.24652384	0.23136364	0.25989917	0.25345734	0.23461498	0.24472399	0.24595322	0.26066604	0.2578319	0.26744464	0.23542994	0.23635721	0.2636802	0.2351822	0.24145214	0.2456741	0.23483297	0.2461422	0.23754257
9	0.7278468	0.7256892	0.7157957	0.73609793	0.72098935	0.73643285	0.72927755	0.7197749	0.7297984	0.72242826	0.72435635	0.71555	0.7246153	0.7226743	0.72618484	0.718869	0.7270245	0.7212031	0.727079	0.74252707	0.72514886	0.7257317	0.7206022	0.72812366	0.72118294	0.73817366	0.7379381	0.7176837	0.7214899	0.7229953	0.72876066	0.72726434	0.7225335	0.7262954	0.718154	0.73868626	0.7071501	0.70643204	0.7239216	0.72969663	0.7028516	0.7334897	0.72335947	0.7250557	0.7359323	0.7216598	0.69777113
