	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
0	0.38002223	0.57911325	-0.5960735	0.030326009	-0.17819175	0.13679358	0.1998158	0.23643592	-0.10668295	-0.14891405	0.3271068	-0.59887326	0.055576444	0.19029853	0.091995955	0.02374978	-0.8605399	-0.1831679	-0.07125292	0.15951051	0.58732605	0.25658464	-0.18384346	0.14154695	-0.12723006	0.11803134	0.41854212	-0.6815697	0.022722013	0.068504944	-0.67529285	-0.14421678	-0.042242516	-0.17092581	0.17495885	-0.069186196	0.16232798	0.25501996	0.42626682	0.37452	0.26970005	-0.058576327	-0.40836832	0.045824163	-0.32118064	0.017405307	-0.01055228
1	0.6877157	0.6051587	0.58608085	0.8508777	0.6557647	0.67386526	0.67701155	0.66545415	0.77016217	0.6511654	0.6043602	0.5766139	0.6074681	0.596719	0.66935277	0.54867405	0.8364404	0.63672036	0.78500795	0.88367367	0.5700924	0.7036034	0.64678264	0.5887958	0.64829075	0.4757219	0.8026932	0.5737487	0.66187716	0.6381747	0.6782968	0.7478667	0.64828897	0.6778888	0.676792	0.8629766	0.74965245	0.7772469	0.6033372	0.66496056	0.77552557	0.8204971	0.6568007	0.70819646	0.53444004	0.6642008	0.6304761
2	-0.9516261	-0.9385611	-0.93976456	-0.9213454	-0.96803373	-0.93651056	-0.942682	-0.9526355	-0.9617151	-0.9652973	-0.95401716	-0.9380211	-0.95291346	-0.94538206	-0.9450405	-0.8738976	-0.80061257	-0.9330362	-0.9380672	-0.9062349	-0.940885	-0.9075366	-0.96504873	-0.9535881	-0.93962926	-0.8769842	-0.92591095	-0.9372323	-0.94650716	-0.9652035	-0.9228746	-0.9496787	-0.9644666	-0.94707024	-0.95153403	-0.944659	-0.95885414	-0.9506847	-0.94854313	-0.94242185	-0.9594662	-0.9236974	-0.9600839	-0.95765483	-0.89988375	-0.94472605	-0.9300178
3	0.87426436	0.82263464	0.97560096	0.75292414	0.9856258	0.84277505	0.8511155	0.9507032	0.9308458	0.98096263	0.94313365	0.9750826	0.9491384	0.91548896	0.90934145	0.8416997	0.32705042	0.9221771	0.81435764	0.3507068	0.83287615	0.65799123	0.9842461	0.9506382	0.94744426	0.84751993	0.51575476	0.97395813	0.9277509	0.9740979	0.88423127	0.89018357	0.97670394	0.942045	0.93666863	0.55544335	0.9667754	0.9429527	0.91951877	0.8271951	0.96843237	0.79282546	0.97720027	0.9422745	0.8575664	0.9319773	0.91286737
4	0.59233856	0.33826074	0.96318954	0.2758005	0.9752757	0.6311277	0.5765995	0.8362381	0.8749535	0.9650708	0.8242308	0.9627144	0.8570631	0.704798	0.75081015	0.40479013	-0.20538534	0.7974287	0.5720167	-0.27349395	0.38494134	0.14398277	0.9728976	0.875673	0.8714837	0.6195946	-0.095626816	0.96161693	0.7910671	0.9424726	0.78114754	0.72754836	0.9526117	0.8655949	0.79922175	0.31618005	0.8736721	0.7491508	0.68946576	0.4830463	0.859867	0.35084775	0.9632142	0.8445465	0.6953302	0.8252192	0.73433584
5	-0.016262703	-0.12021613	0.049611725	0.97631615	0.26701424	0.029196057	0.0111139305	-0.014514589	0.40650114	0.22008891	0.020709025	-0.011164564	0.024329029	-0.1041276	-0.00093421893	-0.67480326	0.97167265	-0.1249419	0.15776351	0.9738463	-0.13740276	0.5697581	0.22740091	0.012757631	-0.17650305	-0.26287603	0.702666	-0.022545878	-0.015525976	0.17094593	-0.10385573	0.096921474	0.18938182	0.26282778	0.039470803	0.62146175	-0.061855085	-0.075663865	-0.10209643	-0.061583176	-0.0936365	0.94532216	0.22953795	0.10851228	-0.44071284	0.058895174	-0.06030137
6	-0.90318644	-0.8711243	-0.94125277	-0.9539461	-0.96204287	-0.8759789	-0.89148307	-0.92437404	-0.94140697	-0.9562325	-0.92257	-0.93669736	-0.93353033	-0.914498	-0.90753865	-0.79169166	-0.93873686	-0.8975815	-0.8912551	-0.9249754	-0.8760778	-0.8735367	-0.9579359	-0.9250972	-0.9084087	-0.7933867	-0.8808293	-0.9377153	-0.91699976	-0.9500522	-0.89267004	-0.9169387	-0.95195615	-0.93426245	-0.92367333	-0.8992679	-0.9382885	-0.9220248	-0.9091641	-0.8781953	-0.9383261	-0.95192796	-0.95455664	-0.9329498	-0.8375804	-0.91454536	-0.9016559
7	-0.89378905	-0.7391546	-0.36773282	-0.009701348	-0.025235329	-0.96068347	-0.93192834	-0.273165	-0.94913554	-0.2103751	-0.31803432	-0.41814575	-0.4023576	-0.5271947	-0.8374358	-0.5851195	-0.8349277	-0.7981944	-0.98616475	-0.92370975	-0.7216165	-0.87695104	-0.041508555	-0.5004767	-0.65538937	-0.5340514	-0.9788345	-0.56968784	-0.7436218	-0.25260803	-0.98415005	-0.9636665	-0.26802224	-0.6888302	-0.55156744	-0.9993916	-0.16376261	-0.36794868	-0.3785599	-0.9325058	0.048838142	-0.07899658	-0.54676694	-0.7792396	-0.9314115	-0.74552554	-0.5654125
8	0.9895059	0.999169	-0.40216187	0.45189866	-0.19575876	0.949506	0.9852981	0.94240075	0.33722275	0.12859969	0.9813659	-0.3769336	0.9629465	0.99364895	0.9433499	0.9905037	-0.1868922	0.8950173	0.7589947	0.6786737	0.99931085	0.9917258	-0.20063648	0.9450801	0.7169055	0.9755335	0.9851627	-0.38409343	0.9382931	0.72629815	0.5215319	0.86155397	0.47572824	0.7461844	0.95111746	0.6140531	0.6989519	0.8595972	0.99546605	0.9936873	0.67967266	0.73464686	-0.2194534	0.8687119	0.9436476	0.86627424	0.950544
9	-0.68175244	-0.4836757	0.16214992	-0.77595603	0.095939204	-0.7919971	-0.71120733	-0.06347924	-0.80531	0.0059680697	-0.10122817	0.17763163	-0.105800614	-0.19724055	-0.5389777	0.12271051	-0.8966892	-0.3212333	-0.89611083	-0.96555555	-0.46162668	-0.7763728	0.11108685	-0.17012037	-0.1678405	-0.003289146	-0.9473551	0.13251837	-0.37514165	-0.057319954	-0.7108758	-0.788135	-0.04835015	-0.38652235	-0.26858616	-0.99043196	-0.028975023	-0.20195794	-0.1380191	-0.7230924	0.03711442	-0.69754493	-0.15999877	-0.4912625	-0.41328606	-0.4158429	-0.20916918
10	-0.2895572	-0.5880062	0.009924656	0.63594383	0.20067771	-0.1910234	-0.3307764	-0.06412579	0.2502623	0.1101268	-0.34804583	-0.035289038	-0.33346775	-0.4801979	-0.15257624	-0.40195414	0.6365456	-0.22165786	0.24273455	0.6145464	-0.65655565	-0.36801356	0.19287054	-0.32510614	0.0074915783	-0.4568554	-0.017754765	-0.118291534	-0.19607878	-0.065664776	-0.25287428	0.031679388	0.03565565	-0.06416447	-0.13934284	0.37346506	0.3831035	0.4033254	-0.46094385	-0.40723577	0.5292333	0.46757683	0.12671009	0.015177692	-0.48857102	-0.11308467	-0.20301318
11	0.23161474	0.511667	-0.2365383	0.9991894	-0.20084737	-0.010468496	0.25891826	0.6845485	0.120085336	-0.1501563	0.3035191	-0.3249608	0.23311229	0.42355978	0.34060365	0.75978976	0.99947155	0.40304232	0.6299399	0.9987912	0.21288548	0.93522996	-0.18295251	-0.09542612	0.35035786	0.40419024	0.93322337	-0.4385397	0.40024033	-0.13079101	-0.26753736	0.46432093	-0.10677274	0.5483189	0.64396113	0.5244578	0.8676031	0.95681775	0.49896047	0.1384632	0.9445795	0.9975905	-0.2974515	0.41237432	-0.33856693	0.41944018	0.6567979
12	0.33704478	0.44603282	-0.024620177	0.452996	0.031073	0.11468698	0.28881344	0.01981499	0.1264611	0.047021	0.2675911	-0.06744541	0.3461904	0.43201604	0.13622235	-0.061654646	0.68415725	-0.039345637	-0.021992607	0.42087442	0.5381637	0.38428462	-0.013841898	0.22353415	-0.13937764	-0.08917885	0.38884085	-0.035649996	0.15281099	0.1729787	0.0050823283	0.11881647	0.097388685	0.11647848	0.12510312	0.23657629	-0.23234755	-0.2775647	0.3372162	0.34029663	-0.3369561	0.52292496	0.077724114	0.122800194	0.11961892	-0.0065327054	0.14017987
13	0.31748354	-0.0048810723	0.6789397	-0.080312595	0.73435485	0.5304976	0.34316388	0.44971994	0.7063134	0.70303595	0.35928616	0.6931245	0.3426442	0.11651039	0.4603264	0.12560661	-0.482284	0.51125336	0.5969191	0.030893533	-0.036267776	0.0497416	0.73710406	0.4871856	0.6093442	0.36664537	0.17534822	0.6892532	0.43238813	0.6090139	0.60847235	0.5459348	0.6586223	0.5179731	0.4156832	0.672497	0.5700843	0.4838891	0.16948174	0.28153384	0.5645314	-0.13473955	0.7113233	0.5385981	0.4516849	0.5468086	0.30490214
14	0.25444144	0.05223024	0.036320314	-0.13798746	-0.013580439	0.39521593	0.28501716	0.10934163	0.3811757	0.011220541	-0.040015962	0.048674412	-0.037759345	-0.012640289	0.25471157	0.3013418	0.17547551	0.24714206	0.5909324	0.23966572	-0.022994561	0.06878756	0.0016220676	-3.9123697e-05	0.2743599	0.076560915	0.36911628	0.06616261	0.18112992	-0.02734193	0.46058223	0.4522969	0.010541172	0.106139675	0.121949054	0.7302702	0.30092794	0.39383373	-0.026403693	0.27029932	0.3559399	-0.1268812	0.096871346	0.24864782	0.3142794	0.19536968	0.12795901
