	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
1	0.6649355	0.33499464	0.76917684	0.663961	0.7165742	0.6325069	0.4245038	0.48721054	0.15105696	0.6827417	0.51143163	0.73927253	0.65272117	0.45234975	0.51121515	0.5805802	0.5585785	0.676846	0.45957744	0.46529907	0.4057166	0.36200732	0.7295593	0.3722613	0.5851539	0.49932078	0.5047308	0.79349124	0.4293853	0.76577187	0.55246276	0.55847216	0.49507287	0.4303513	0.54254967	0.44476968	0.5809986	0.5399078	0.43722042	0.64497674	0.5809986	0.39214092	0.6651725	0.43430185	0.22715253	0.5991699	0.47096658
13	0.109453924	0.37868586	0.061116245	0.10210385	0.08652326	0.1267606	0.28956667	0.24759185	0.09035798	0.105386294	0.21498035	0.07193943	0.122543536	0.23116207	0.2076203	0.18583341	0.15647161	0.116117276	0.27469435	0.23423697	0.34163982	0.22665757	0.07521238	0.2827172	0.1542442	0.17954525	0.2303041	0.05560241	0.29658625	0.06318142	0.12852778	0.17273697	0.22584967	0.27716374	0.17987093	0.2596889	0.13949531	0.18239066	0.3217985	0.13181406	0.13949531	0.3259955	0.123459876	0.2559338	0.157666	0.12554297	0.18197952
125	0.0042265207	0.015539266	0.001564672	0.0043757656	0.0026320016	0.005329913	0.011984187	0.008684592	0.17378572	0.0033052892	0.008605806	0.0022336075	0.0038723913	0.015730718	0.010078382	0.004917755	0.00852233	0.003121361	0.008858663	0.013368627	0.008425219	0.053211376	0.0027440796	0.02662029	0.006471894	0.016320365	0.007946779	0.0011837622	0.010404834	0.001679313	0.022291195	0.007450184	0.009851745	0.0136000505	0.0048315204	0.012817939	0.00448068	0.004860586	0.006798786	0.0042958236	0.00448068	0.012301298	0.0032525049	0.014914647	0.22742206	0.008965744	0.017433045
8	0.037483126	0.043688744	0.028742366	0.03927772	0.03374861	0.0405304	0.048440896	0.04797444	0.0511883	0.037683718	0.048752036	0.03138964	0.04173665	0.047719594	0.047097556	0.046312932	0.04768641	0.038764782	0.048897766	0.04742969	0.048351172	0.03962302	0.029970756	0.044396367	0.04623489	0.04491223	0.049394213	0.024801508	0.0493039	0.028022887	0.034981012	0.04766624	0.047202263	0.046704635	0.08642027	0.04848106	0.083819926	0.08657204	0.049313996	0.038706392	0.083819926	0.047306444	0.04059207	0.048387904	0.027283534	0.04037465	0.049052924
4628	0.07828171	0.08547242	0.059162304	0.080190286	0.06846045	0.082097515	0.08829398	0.083237484	0.1817529	0.072420165	0.0878988	0.06604077	0.075174436	0.10156797	0.09107346	0.07449717	0.09476422	0.06959974	0.08211236	0.09635786	0.074249186	0.11920388	0.06988103	0.10559112	0.086394906	0.106015764	0.08342948	0.05350366	0.08311819	0.06055943	0.10524989	0.088057876	0.09023891	0.091504015	0.06543432	0.09295697	0.0684494	0.06533413	0.070177615	0.07649984	0.0684494	0.085822485	0.070238434	0.09799244	0.105878115	0.09458449	0.114253245
437	0.006113143	0.019538919	0.0033457782	0.005870087	0.0047484813	0.007111727	0.015466189	0.013096546	0.008473295	0.005770728	0.011679114	0.004008034	0.0066952803	0.013209722	0.011507802	0.009700234	0.009087009	0.006201996	0.014279133	0.013092872	0.017009815	0.014213171	0.0042106956	0.01623252	0.008643133	0.010689177	0.012239206	0.0029464292	0.015541637	0.0034427822	0.007987004	0.009642053	0.012310592	0.015006817	0.009995121	0.014244511	0.008098172	0.01011539	0.015853375	0.0071168966	0.008098172	0.017034186	0.0065782187	0.014313708	0.011626825	0.007436819	0.011214332
199	0.016688207	0.008249391	0.016514607	0.01790516	0.016317254	0.016372558	0.010715495	0.011365392	0.028248062	0.015765345	0.012997391	0.017196987	0.015252265	0.014203069	0.013819596	0.012171482	0.016843596	0.014466575	0.010413154	0.013440314	0.008102334	0.016795862	0.017723467	0.012763441	0.015519479	0.017445106	0.011916135	0.015319591	0.010036187	0.016505308	0.021944998	0.014873836	0.012880946	0.01144197	0.012462327	0.012140943	0.014931672	0.012345207	0.008125356	0.014782863	0.014931672	0.009484074	0.014189526	0.012813365	0.017829224	0.019108847	0.018278733
179	0.00034508918	0.00042732715	0.00023520718	0.00036276472	0.00028627014	0.00037408786	0.00043793593	0.00039895953	0.0014242743	0.00031152766	0.00042041903	0.00027338543	0.0003312383	0.0005238461	0.0004459291	0.000336457	0.00046100703	0.00029732523	0.00039229667	0.0004854785	0.00035329818	0.00075264927	0.00029252475	0.00058202696	0.00040412322	0.0005563278	0.00039678044	0.00020217743	0.00040799903	0.00023931431	0.0006025857	0.00041856858	0.00043548463	0.00045992734	0.00035890125	0.0004664114	0.00037427235	0.0003585236	0.00032917422	0.00033427414	0.00037427235	0.00042276844	0.00030263627	0.00050028827	0.001000962	0.00046406643	0.0006105776
4629	0.0060888687	0.005247421	0.0050074537	0.0064670765	0.0055554835	0.0063592787	0.0060826065	0.0060660644	0.011785875	0.0058613243	0.0065030316	0.005442776	0.0061449423	0.0069447425	0.006610469	0.005929436	0.0072397254	0.0056947246	0.005913462	0.0066760806	0.005255302	0.0072763814	0.0054491125	0.006588619	0.0067366213	0.0073674857	0.0062607387	0.0044123223	0.005898895	0.004957209	0.0072318767	0.0067654513	0.0064223604	0.006176378	0.008148084	0.0064499984	0.008685756	0.0081240665	0.0052311816	0.0058599305	0.008685756	0.0057151685	0.005799591	0.0066711907	0.00671105	0.007010075	0.008016417
845	0.001698978	0.006753451	0.00072624965	0.00169469	0.0011540401	0.002084776	0.0050679683	0.0038615584	0.01531172	0.0014520725	0.003599687	0.0009641001	0.0017205268	0.0052513913	0.003839172	0.0024127148	0.0030912466	0.0014697094	0.0041330145	0.004800747	0.0045143142	0.009883576	0.0010959943	0.007742173	0.002600706	0.004658948	0.0035517733	0.0005838112	0.004723995	0.0007639803	0.004400794	0.0029788613	0.003973029	0.005268358	0.0024304097	0.0049689687	0.002073403	0.0024553214	0.0038591593	0.0018712332	0.002073403	0.0054791784	0.0015564369	0.005390437	0.017536784	0.0027670623	0.005074055
