	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
1	0.7020584	0.14716455	0.8817235	0.628112	0.6332724	0.6451498	0.58063924	0.6765545	0.19611694	0.6438945	0.6401599	0.680879	0.64035237	0.64374125	0.59059227	0.5088002	0.61021936	0.7683948	0.555276	0.6795829	0.5161285	0.6205667	0.92533183	0.54825133	0.61548185	0.63883936	0.6362071	0.91785467	0.6887526	0.7179948	0.66512096	0.6384287	0.48949164	0.6400477	0.6724771	0.5873797	0.6747058	0.6731726	0.58714	0.7711785	0.6747058	0.38231394	0.66397613	0.7089931	0.38262448	0.6684783	0.54969084
13	0.08147391	0.020545822	0.015583847	0.16462469	0.15042521	0.13140775	0.18027611	0.11870912	0.264532	0.17269742	0.13695598	0.059373446	0.124230884	0.1603283	0.20851919	0.29677165	0.04861976	0.073055476	0.17734024	0.14096971	0.2893794	0.17755346	0.010543511	0.24546924	0.15106755	0.14739358	0.13138615	0.011477779	0.10689264	0.112571284	0.13246855	0.16283533	0.29936612	0.15735865	0.09965465	0.22751336	0.096401036	0.09880239	0.2137432	0.0718766	0.096401036	0.3032485	0.13369617	0.06110413	0.3296162	0.06941538	0.13333909
125	0.0041448213	0.03667352	0.0014544664	0.0034030636	0.0049553025	0.005142229	0.0039525717	0.004469496	0.04926241	0.002230412	0.004515321	0.014536979	0.0073538893	0.0018862323	0.0044139028	0.0030573157	0.0056094443	0.0018135908	0.0039863097	0.002179381	0.0025350219	0.006032245	0.0005509142	0.0031763415	0.0051079183	0.005258985	0.006864104	0.0005446358	0.0031229833	0.0016830105	0.0036035376	0.0035079736	0.0033877618	0.00674142	0.0078030475	0.0025544106	0.007895049	0.007825966	0.0034887276	0.0017444921	0.007895049	0.0076316646	0.0040125125	0.0038800312	0.015023058	0.007314249	0.001354764
8	0.02944026	0.010641593	0.030177006	0.03942834	0.047041513	0.03552309	0.04380176	0.045882046	0.050518785	0.04153978	0.044190444	0.04706531	0.05036371	0.034728974	0.044103555	0.044999734	0.026008645	0.033080373	0.041996554	0.035494383	0.04296068	0.043613587	0.013751888	0.0432575	0.04668108	0.03818015	0.05049047	0.01568178	0.038556628	0.033222523	0.038240258	0.04547788	0.047614194	0.05472105	0.09397159	0.042709514	0.093162335	0.09389033	0.043903496	0.03252342	0.093162335	0.03836316	0.044665743	0.036232755	0.041049067	0.032960843	0.023361325
4628	0.08789223	0.08758414	0.014725329	0.064687476	0.067423515	0.07927604	0.077265434	0.06496425	0.19605342	0.05663508	0.07550635	0.088408016	0.0801101	0.054580305	0.053629175	0.046714474	0.128259	0.05153544	0.088150285	0.06064862	0.04513105	0.0564315	0.009892888	0.05467812	0.07803954	0.070169	0.078195944	0.010939177	0.072317906	0.059950303	0.069898084	0.057641055	0.054861464	0.05217722	0.047743093	0.046089374	0.04841865	0.047814656	0.05643007	0.051189974	0.04841865	0.072365366	0.064897224	0.08168522	0.06561638	0.10597889	0.06656607
437	0.0054514483	0.0018898662	0.001202915	0.010774118	0.009736957	0.008797904	0.011210573	0.0077319825	0.014121877	0.009567356	0.008893438	0.0045178477	0.008045656	0.01137017	0.012880002	0.015001703	0.0042004287	0.0047569717	0.01138498	0.008309447	0.015351695	0.011476287	0.00077654613	0.013945163	0.0095735155	0.009705811	0.008382303	0.0008321722	0.0069087218	0.006599708	0.0083432775	0.010470684	0.014680261	0.010523603	0.005845597	0.013481064	0.0057124193	0.0058081374	0.012249828	0.004666838	0.0057124193	0.017291544	0.008378904	0.0046279994	0.018261828	0.005279225	0.011130981
199	0.013778643	0.03235633	0.0064629638	0.009605701	0.008797694	0.011363643	0.011124819	0.009003052	0.01620774	0.007721054	0.010093633	0.011865473	0.009266393	0.011081965	0.0073297042	0.005994811	0.034185354	0.009862579	0.014310638	0.0088503985	0.0065053855	0.007416106	0.005942793	0.007706539	0.010063076	0.0098073045	0.009042627	0.006496899	0.011108702	0.009362256	0.009820377	0.00807972	0.006775265	0.0063409097	0.004969239	0.00675725	0.0051410967	0.0049969675	0.007386457	0.009895227	0.0051410967	0.012741003	0.008738899	0.01645507	0.008528631	0.01661385	0.030386638
179	0.0035819965	0.0027123063	0.0016529422	0.0026698322	0.0034225746	0.0036148955	0.0030893283	0.0033757356	0.011427593	0.0018308739	0.0033725544	0.008544205	0.004623934	0.0019260194	0.002852062	0.0018392811	0.005070372	0.001966264	0.0032651254	0.0019412285	0.0017415673	0.0035338127	0.00078817824	0.002203398	0.0036804886	0.0035347955	0.0043587396	0.00080927263	0.002887771	0.0017295211	0.0028594835	0.0026587816	0.0020002248	0.0039291913	0.0033120406	0.0019664606	0.0034050904	0.0033295501	0.0023597537	0.001915841	0.0034050904	0.0028309678	0.003023274	0.0042462936	0.004095498	0.005599967	0.0012564453
4629	0.0046856566	0.010636536	0.006177999	0.004503278	0.0052262736	0.0047558863	0.005395718	0.005327883	0.009017431	0.0038573288	0.005264576	0.008296204	0.005946281	0.0043140375	0.0044297692	0.0038450083	0.008931913	0.0042428477	0.0060888953	0.0036924996	0.003912936	0.004552535	0.0029882826	0.004296733	0.0055532735	0.0046569323	0.005789147	0.0034471846	0.0049365275	0.003587352	0.004469535	0.0046932567	0.0042047016	0.005280308	0.008022381	0.0039240886	0.008195357	0.00805994	0.0041947416	0.0041828793	0.008195357	0.0059904703	0.004915202	0.007050583	0.005239214	0.006380091	0.0059280586
845	0.0027978946	0.003067155	0.00020630265	0.0035608322	0.003329934	0.0035875407	0.0044262987	0.0027043112	0.017345421	0.0029376808	0.00350828	0.0023390297	0.0033171906	0.0033018377	0.0033654494	0.0036181533	0.003758271	0.0016101684	0.0052455883	0.0027753804	0.0035856408	0.0031251314	0.00010900743	0.0038574443	0.0038055566	0.0034266456	0.0033578214	0.00012631422	0.002833733	0.0023438656	0.0031044297	0.0030887707	0.004242783	0.0026536968	0.001697283	0.003131801	0.0016929093	0.0016922918	0.0034868268	0.0015819133	0.0016929093	0.006934936	0.0028881992	0.0024152289	0.006057088	0.0032432107	0.0048851036
