	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
1	0.39567158	0.27199087	0.81393147	0.24689297	0.87409824	0.40105566	0.3770665	0.5801001	0.61175567	0.83705395	0.5440001	0.81145334	0.5690842	0.41889134	0.49911994	0.3098949	0.079584695	0.52026135	0.3401086	0.11489222	0.27029666	0.22031532	0.8694116	0.6134748	0.62211126	0.4638411	0.1827208	0.8087717	0.5431822	0.77343816	0.4650979	0.44648433	0.8034544	0.6008747	0.5390509	0.11604887	0.6245292	0.4761258	0.426415	0.33151636	0.57520235	0.28042433	0.827651	0.596458	0.41262883	0.56215626	0.48676193
13	0.3157848	0.50111604	0.031453617	0.06645958	0.028118227	0.22730269	0.2891895	0.1875527	0.07410603	0.042900033	0.263722	0.031884123	0.22722116	0.34793743	0.21445875	0.33383995	0.020464098	0.16523372	0.11543187	0.066234834	0.5256976	0.3193396	0.02823414	0.20052184	0.12305	0.24949138	0.24733773	0.029968778	0.19333875	0.08856812	0.07547585	0.14728595	0.063107714	0.12206777	0.20541738	0.052081935	0.09203288	0.12794499	0.36103863	0.35256445	0.086606234	0.099052414	0.03131099	0.1487711	0.25912347	0.15374163	0.20550169
125	0.0067210137	0.007783058	0.0012156027	0.38338855	0.00031486806	0.009148146	0.010277224	0.004665331	0.0023842505	0.0006147426	0.0035200343	0.0013033514	0.004688942	0.0079921195	0.0065232925	0.009150272	0.58663434	0.012394024	0.0153423045	0.39160165	0.006418232	0.08204953	0.0003391876	0.0030812079	0.0041144714	0.011312044	0.06832487	0.0014854897	0.006308948	0.0010036398	0.018721454	0.012646691	0.0008591062	0.010832559	0.0063665383	0.007314938	0.0027365584	0.0057866722	0.005911449	0.008700136	0.0024970544	0.29611227	0.0007728152	0.0042966786	0.009300132	0.008689103	0.01143444
8	0.033313833	0.035069134	0.023750369	0.015315018	0.016409684	0.023543794	0.033596456	0.07044989	0.021249883	0.019434886	0.04051445	0.02298336	0.037684795	0.045575675	0.04176793	0.15052663	0.011394974	0.056907117	0.03926499	0.007776599	0.02422903	0.025207061	0.0177663	0.027980631	0.05764034	0.06269171	0.01761394	0.022788621	0.051250536	0.023412984	0.03619255	0.04046658	0.022448217	0.04356198	0.062634245	0.00744938	0.13130979	0.20468417	0.05023498	0.028843815	0.1932755	0.02182621	0.018130573	0.044589087	0.03576219	0.046625372	0.06523491
4628	0.124532856	0.06807308	0.050350558	0.06966907	0.032426704	0.19937447	0.14735687	0.0508168	0.17803845	0.042090114	0.056327716	0.052018862	0.06343509	0.06373739	0.111670226	0.049240984	0.06566785	0.0951973	0.2853526	0.15952916	0.06842788	0.13607855	0.03331737	0.06867634	0.07702426	0.074169554	0.25679767	0.053518932	0.08444003	0.049940776	0.20454678	0.18337534	0.047504503	0.08790973	0.06732365	0.6743215	0.04028267	0.045464117	0.05147871	0.14495485	0.032361843	0.075130835	0.053427454	0.092592776	0.14250506	0.09502264	0.080852926
437	0.015544073	0.023043705	0.0018750922	0.0055334717	0.0014347853	0.012062699	0.015201088	0.01008599	0.004123057	0.0022017404	0.012538564	0.0019022465	0.011255194	0.017251655	0.011412907	0.01897043	0.0023788165	0.009925777	0.007713132	0.005508555	0.022970386	0.01938367	0.0014624181	0.009563068	0.007020939	0.013939217	0.0152124	0.0018139327	0.01047915	0.004285324	0.005303415	0.008950662	0.0031716651	0.0072763553	0.011145922	0.0036038808	0.005621674	0.008301405	0.017208554	0.017532492	0.005491367	0.00771825	0.0017286154	0.008036897	0.013703917	0.008899401	0.012373845
199	0.00993589	0.004749983	0.020541806	0.022268774	0.012700274	0.015299324	0.012108623	0.0105639845	0.024428902	0.0134570375	0.0077519114	0.020889565	0.009542981	0.007439993	0.013535238	0.0071776905	0.02142601	0.017452471	0.02913221	0.02018948	0.004190533	0.011588386	0.013223721	0.0096837655	0.016226694	0.011535528	0.014972805	0.022268038	0.013234793	0.011027575	0.036731735	0.022747207	0.012587579	0.019434541	0.011726378	0.023715196	0.014172058	0.013721572	0.006245447	0.009510198	0.013050614	0.020959657	0.018490357	0.015150898	0.013129766	0.017032914	0.014355958
179	0.000387397	0.00029119878	0.00022109508	0.0009773171	0.00011468358	0.00050088105	0.00047732584	0.00031371997	0.00037128053	0.00015250623	0.00025973425	0.00022688163	0.00029830023	0.0003339242	0.00041631324	0.00038765278	0.0010078226	0.00052402256	0.0007818455	0.0010640821	0.00025805223	0.0007703757	0.000120956116	0.00026247723	0.0003672557	0.00044505732	0.0008486482	0.00023671672	0.00039067288	0.00017933616	0.0007758998	0.00062531006	0.00017343726	0.00047806502	0.00036997808	0.00058268616	0.0002997445	0.00039821482	0.00027934296	0.0004222979	0.00028632968	0.0009803945	0.00018325991	0.00036362646	0.00047690605	0.0004628232	0.00051773246
4629	0.0048851646	0.0036122717	0.0049565476	0.005616892	0.0030845362	0.005138165	0.005498961	0.006761069	0.0055511245	0.0035797602	0.0044908393	0.004934621	0.004808311	0.0049065407	0.006158173	0.008807352	0.005129937	0.008155835	0.009138514	0.0041207685	0.0028416081	0.005237955	0.0032868574	0.00410938	0.0074978922	0.0070800846	0.0050042905	0.005064334	0.0066192537	0.0037147908	0.00948933	0.007998029	0.00381297	0.0073365094	0.006872754	0.0038663428	0.0101113	0.012972994	0.004638543	0.0045872848	0.011687078	0.006409437	0.004053918	0.00644618	0.0058441367	0.007197497	0.008166322
845	0.004205083	0.0055642743	0.00045055244	0.013145535	0.0001986726	0.00440384	0.0051557776	0.0023016897	0.0011965869	0.00035622588	0.002373885	0.00046990375	0.0025420466	0.0043514105	0.0032760955	0.0050323238	0.011449368	0.0038746714	0.004594475	0.016921978	0.0051207906	0.016014712	0.00020887128	0.0019184885	0.0018487931	0.004496767	0.014383817	0.00048440692	0.0029094112	0.000675745	0.0036156215	0.0041311365	0.0005223656	0.002927357	0.002943554	0.0028621077	0.001243825	0.0023139084	0.0036810995	0.005327033	0.0011632539	0.014182462	0.000353813	0.002098335	0.004570217	0.0030731717	0.004269701
