	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
1	0.47205395	0.32449597	0.8710332	0.29262018	0.93568045	0.47966024	0.44429964	0.62835616	0.68912345	0.9062084	0.62091565	0.86167705	0.64098984	0.5008307	0.5591772	0.25648436	0.046394896	0.5595064	0.44219086	0.11000099	0.34624434	0.19067983	0.9317542	0.6772604	0.6847054	0.4071583	0.15819754	0.8265816	0.5876622	0.8191737	0.5443538	0.5229029	0.8660439	0.66104907	0.59473383	0.34240493	0.67904073	0.564805	0.5094899	0.4056749	0.64964306	0.3014365	0.8783753	0.64613616	0.4374869	0.6202131	0.533938
13	0.26838967	0.43926984	0.0074624154	0.053926	0.011703063	0.18165864	0.24967258	0.17378713	0.03134675	0.024231004	0.2447651	0.007954463	0.21790037	0.30999145	0.18080197	0.23474716	0.0052973707	0.14209323	0.08487326	0.07483486	0.46003345	0.2618007	0.011563731	0.19333616	0.08748054	0.24099897	0.22025104	0.0077807745	0.18103963	0.09997482	0.052854463	0.11505899	0.054303512	0.09842911	0.18944263	0.061432354	0.07244285	0.1065629	0.32159844	0.30164626	0.06390963	0.0990399	0.010607795	0.12915903	0.17918274	0.13566427	0.20417927
125	0.0019294276	0.004238322	0.00019874719	0.53031254	0.00036322157	0.0009660808	0.0023474037	0.0045276987	0.0033677116	0.00039371403	0.001431566	0.00012089647	0.0012013935	0.0022767072	0.0023527166	0.0012423181	0.5595982	0.001593563	0.014072725	0.44165593	0.0014982946	0.1130463	0.0003466523	0.00034564247	0.0010061743	0.0011077671	0.15295911	8.0360194e-05	0.0023324848	0.00038279078	0.00027652274	0.005701947	0.00043579345	0.007883041	0.0055851634	0.03318811	0.007198498	0.011432278	0.0025626102	0.0013905579	0.008169007	0.4525918	0.00030455497	0.0034233201	8.717624e-05	0.0028724426	0.005418732
8	0.03038205	0.041355543	0.009487076	0.030007089	0.012078082	0.02511083	0.029465714	0.08856409	0.015864031	0.014557144	0.0366284	0.00906278	0.02679127	0.034366872	0.03979277	0.13171902	0.0039426135	0.048861228	0.06166762	0.024000408	0.024417143	0.031959698	0.0132930605	0.019865476	0.058811493	0.068683684	0.037462518	0.006695872	0.041444544	0.018332016	0.012274732	0.04005617	0.017952839	0.036711186	0.064060226	0.030443016	0.1573315	0.20259513	0.048683576	0.026706388	0.2135961	0.029158998	0.007806027	0.040831976	0.016920682	0.04678599	0.06568763
4628	0.13779725	0.07048469	0.01630772	0.027670993	0.010740527	0.2026879	0.15304242	0.01961129	0.18192495	0.016926391	0.021107078	0.0175655	0.024054457	0.031718854	0.10275294	0.023172788	0.07108252	0.066577196	0.25455174	0.22268572	0.06666096	0.115817875	0.010900761	0.03394911	0.047893792	0.029029267	0.24802855	0.023197135	0.06627787	0.020364055	0.15859216	0.18099897	0.020738335	0.057907473	0.039691765	0.4172227	0.01783993	0.03324441	0.023272231	0.16000585	0.012363286	0.027511496	0.035418563	0.08631958	0.1011011	0.07135149	0.03838305
437	0.010495068	0.017733775	0.00072696275	0.0026457957	0.0007172794	0.009084536	0.012614826	0.013640409	0.0018412699	0.0015949502	0.01625239	0.0007741301	0.015751807	0.018776154	0.011566664	0.018336264	0.0004740024	0.014642804	0.0052757873	0.003944986	0.015741382	0.026500637	0.0007352062	0.012518396	0.0073093665	0.028814068	0.013776433	0.0008021151	0.013533075	0.006164582	0.0043086493	0.007618742	0.0035024837	0.0113691995	0.015011242	0.0037732867	0.004704553	0.0061404286	0.018447226	0.011560928	0.0034810442	0.0058152215	0.0007310759	0.008718791	0.0118159335	0.012048416	0.018041076
199	0.010222573	0.006716	0.026515907	0.00095105235	0.0047416687	0.02136901	0.016002538	0.003280328	0.018842638	0.0064779045	0.0036009941	0.032622352	0.0057802587	0.0063114795	0.014319195	0.012872821	0.0096059665	0.025302917	0.019557491	0.005381199	0.006751852	0.010515556	0.005261028	0.007950868	0.01643232	0.015310327	0.008012341	0.052775793	0.012941913	0.0044743405	0.092446454	0.020656645	0.005716803	0.014430768	0.006205084	0.01815169	0.0024195241	0.0030986131	0.0035500196	0.013603865	0.0013102284	0.001188098	0.020985005	0.010977643	0.054983366	0.0146487	0.00938618
179	0.0018120758	0.0026676178	0.0007388492	0.006120872	0.0005127298	0.001681059	0.00254633	0.0026254829	0.004339846	0.0006453388	0.001313092	0.0006137762	0.0010192672	0.0014185343	0.002862187	0.0010770434	0.004938036	0.0032537344	0.007700616	0.0143902125	0.001149402	0.039618805	0.00054418156	0.00067754876	0.0018293902	0.0028756254	0.024962949	0.0005926918	0.002740308	0.0004999956	0.00089804153	0.0044265334	0.000628289	0.008643653	0.004262654	0.009159011	0.002236944	0.0031530121	0.0016456975	0.001575562	0.0014997188	0.006071348	0.0008588291	0.0033809054	0.00033418197	0.0047427183	0.0035573142
4629	0.00268866	0.0039698994	0.0049047414	0.002428976	0.0019620634	0.0027409212	0.0035006811	0.0062896195	0.0033958247	0.0020963515	0.0025608789	0.0047735637	0.0024827293	0.0035888562	0.004864177	0.017485892	0.0033740478	0.0092511745	0.0095909545	0.0030932657	0.002121205	0.0063028894	0.0022738501	0.0016779684	0.008782731	0.009874216	0.0043187486	0.0044990806	0.0053782947	0.0013142638	0.004474266	0.006436939	0.0017914921	0.007489992	0.0064988113	0.00449014	0.010029868	0.0118893925	0.0036619287	0.0025664945	0.009290516	0.00230517	0.0027188929	0.004868548	0.0031851681	0.0068052798	0.008585699
845	0.0076298662	0.0070406343	0.00020141913	0.00065036	0.000106715066	0.011829718	0.010533329	0.001441508	0.0023891106	0.00027839222	0.0016853812	0.00023993886	0.0019084197	0.0030449978	0.0064164023	0.0050771493	0.0011739976	0.0062702512	0.009059339	0.006925601	0.006167045	0.015531202	0.00011372385	0.0023943165	0.0025942624	0.0060117077	0.017285336	0.00033105936	0.0047097066	0.00080617244	0.007851952	0.008205508	0.0005604011	0.003248116	0.0028649524	0.008802391	0.00064561574	0.0014667196	0.0021762107	0.010823642	0.000395557	0.0010975213	0.00033908332	0.0038650683	0.012007695	0.004715327	0.0037209205
