	RSE	RRSE
3	1.330084	1.1532927
15	1.3884828	1.178339
44	4.1127186	2.027984
4596	4.728053	2.1744087
1886	10.553015	3.2485404
628	18.593884	4.3120627
1991	2.3173325	1.5222787
635	2.510855	1.5845678
4597	25.295147	5.029428
738	2.109269	1.4523323
4598	2.5127978	1.5851806
4599	6.2539644	2.5007927
4600	8.946301	2.991037
871	6.2759957	2.5051937
4189	4.209015	2.0515883
4601	1.5320153	1.2377461
1424	26.456985	5.1436353
4602	26.430637	5.1410737
4603	23.63079	4.861151
1083	14.187857	3.7666771
4604	18.844553	4.3410316
4605	9.035251	3.0058694
4606	8.782341	2.9635015
4607	2.17904	1.4761572
1848	6.883716	2.6236837
1989	21.260899	4.6109543
4608	4.26069	2.064144
3176	10.283784	3.2068338
1520	22.383036	4.7310715
4609	3.917416	1.9792464
4610	7.130421	2.6702847
4611	9.765561	3.1249897
