	RSE	RRSE
3	1.5158564	1.2312012
15	2.6156762	1.6173052
44	5.5841465	2.3630798
4596	1.1701553	1.0817372
1886	11.813979	3.437147
628	23.283094	4.825256
1991	2.7822278	1.6680012
635	5.8984275	2.4286678
4597	33.98519	5.829682
738	1.0999331	1.048777
4598	2.2104764	1.486767
4599	6.972527	2.6405542
4600	10.124492	3.1819007
871	8.502561	2.915915
4189	4.9147935	2.2169333
4601	1.7547638	1.324675
1424	25.880268	5.0872655
4602	30.099566	5.486307
4603	27.78708	5.271345
1083	15.800435	3.974976
4604	2.950674	1.7177526
4605	7.171179	2.6779056
4606	1.3503369	1.16204
4607	1.7145706	1.3094162
1848	2.8735023	1.6951407
1989	15.863153	3.9828575
4608	1.1059611	1.0516468
3176	1.2459136	1.116205
1520	14.933185	3.864348
4609	1.1687853	1.0811038
4610	1.0362856	1.0179812
4611	1.1383063	1.0669143
