	RSE	RRSE
3	2.8670123	1.6932254
15	4.293672	2.0721178
44	13.222397	3.6362615
4596	3.6510086	1.9107612
1886	12.829329	3.5818052
628	26.39817	5.137915
1991	5.1871514	2.2775319
635	12.354687	3.5149233
4597	37.574005	6.129764
738	1.7573388	1.3256465
4598	9.4957	3.0815094
4599	7.6195455	2.7603524
4600	24.440329	4.943716
871	14.792935	3.8461585
4189	12.927387	3.5954676
4601	4.348652	2.0853422
1424	73.10668	8.550244
4602	31.953243	5.65272
4603	31.276241	5.5925164
1083	29.332272	5.4159274
4604	4.0496173	2.012366
4605	42.148834	6.4922132
4606	2.1215339	1.4565486
4607	8.103984	2.8467498
1848	11.448955	3.3836303
1989	61.340984	7.8320484
4608	1.8086807	1.344872
3176	2.836562	1.6842096
1520	50.499603	7.1063075
4609	2.1402428	1.4629569
4610	1.4354848	1.1981171
4611	3.0204446	1.7379427
