	RSE	RRSE
3	1.3300656	1.1532847
15	1.3884549	1.1783272
44	4.1127067	2.027981
4596	4.728049	2.1744077
1886	10.553018	3.2485409
628	18.59387	4.312061
1991	2.3173327	1.5222788
635	2.5108633	1.5845704
4597	25.295082	5.029422
738	2.1092587	1.4523287
4598	2.5127866	1.5851772
4599	6.2539716	2.5007942
4600	8.946196	2.9910192
871	6.2760024	2.5051951
4189	4.2089233	2.0515661
4601	1.5320154	1.2377461
1424	26.45827	5.14376
4602	26.430601	5.14107
4603	23.630337	4.8611045
1083	14.187937	3.7666879
4604	18.842007	4.340738
4605	9.035363	3.005888
4606	8.783801	2.9637477
4607	2.178997	1.4761426
1848	6.8843174	2.6237984
1989	21.259277	4.6107783
4608	4.260795	2.0641694
3176	10.283876	3.2068484
1520	22.380564	4.73081
4609	3.917314	1.9792205
4610	7.1221533	2.6687362
4611	9.760437	3.1241698
