	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
0	0.92765	0.92793876	0.927417	0.92743987	0.92759556	0.9275901	0.9273709	0.9272877	0.9057674	0.92838955	0.9274582	0.9283726	0.92719954	0.9273044	0.9273293	0.92735445	0.92776114	0.92733157	0.92821103	0.9288927	0.92726487	0.92729884	0.92730093	0.9271551	0.9274862	0.9296746	0.92827034	0.9272078	0.92763466	0.9276676	0.9273112	0.9274724	0.92727894	0.9272861	0.9274066	0.9279815	0.92768115	0.927402	0.9281059	0.9283746	0.92768115	0.92746663	0.9273313	0.92763585	0.9280641	0.926902	0.9269532
1	0.011353552	0.013423475	0.009672911	0.011691008	0.011204095	0.011727157	0.010451119	0.0086924415	0.032735687	0.012926545	0.011119627	0.013713991	0.009494146	0.012056502	0.008599216	0.009857203	0.01265027	0.00900225	0.013164491	0.013864579	0.008315853	0.009236059	0.00851056	0.00913982	0.01127544	0.012839957	0.013286905	0.008090243	0.012746523	0.011389893	0.008564074	0.010208689	0.008834268	0.008995143	0.008531275	0.0128131015	0.009630785	0.008540495	0.012416507	0.011277369	0.009630785	0.011787265	0.009344561	0.011912845	0.01340004	0.0128983455	0.008424356
2	-0.54083264	-0.52881116	-0.5408027	-0.5366807	-0.54060966	-0.5393877	-0.540063	-0.53843683	0.0064965575	-0.5389416	-0.5395873	-0.5361783	-0.5387783	-0.53549033	-0.53823006	-0.54127043	-0.53647375	-0.53917295	-0.52323246	-0.54235303	-0.5376703	-0.5393624	-0.53863394	-0.53874874	-0.5391527	-0.52690107	-0.528115	-0.538806	-0.53212446	-0.54083914	-0.53760004	-0.5395407	-0.53902835	-0.53867155	-0.54251784	-0.5392984	-0.53983957	-0.5425093	-0.5326582	-0.5394347	-0.53983957	-0.53607404	-0.5394228	-0.53894526	-0.52293724	-0.5156622	-0.46481615
3	0.9395207	0.9366149	0.94140273	0.94060355	0.93977535	0.93908554	0.9400809	0.9428315	0.94320756	0.9372608	0.9391517	0.9370374	0.9410756	0.93989474	0.9430473	0.9408617	0.93804246	0.9422249	0.9356887	0.93704516	0.94304544	0.942464	0.94258034	0.94136584	0.93927455	0.93507457	0.935947	0.94243115	0.93757564	0.9395211	0.94309527	0.94126666	0.94264895	0.94233745	0.9414701	0.9380671	0.93954283	0.94147897	0.9372505	0.93774915	0.93954283	0.93850183	0.94230396	0.9386351	0.9360028	0.93671113	0.9348435
4	-0.84939045	-0.8481015	-0.8497119	-0.8491567	-0.84938407	-0.84905547	-0.84921414	-0.8497276	-0.8200081	-0.8494532	-0.84898305	-0.84916747	-0.84922165	-0.8487346	-0.8497947	-0.84951794	-0.848802	-0.84969807	-0.84784454	-0.8501599	-0.8496979	-0.8497142	-0.84973145	-0.8492629	-0.8490296	-0.8496249	-0.8482788	-0.8496409	-0.8481973	-0.84940994	-0.8497341	-0.8496208	-0.84972364	-0.84964347	-0.84990346	-0.84920454	-0.849288	-0.84989935	-0.8486915	-0.84961236	-0.849288	-0.848538	-0.849724	-0.84898084	-0.8477381	-0.8460133	-0.8436493
5	0.90975094	0.9083836	0.91026914	0.9094879	0.9097786	0.9095034	0.90973645	0.9105876	0.9037563	0.90948707	0.9094769	0.9091687	0.90989256	0.9090815	0.9106898	0.9101529	0.90899974	0.9104167	0.90824366	0.90992826	0.9105828	0.91053516	0.91051155	0.9099896	0.9094447	0.9093782	0.9085513	0.91043156	0.9085567	0.9097538	0.9106175	0.9100863	0.9105873	0.9103936	0.91063225	0.9094101	0.91002643	0.9106312	0.90882736	0.9096438	0.91002643	0.9089979	0.9104764	0.9093358	0.90808797	0.9070388	0.9076565
6	-0.79992276	-0.7972306	-0.8013238	-0.80005836	-0.80005753	-0.79945254	-0.80014956	-0.80230594	-0.8116322	-0.79882646	-0.7994485	-0.7983269	-0.8007838	-0.7993424	-0.8024919	-0.80092174	-0.7984881	-0.8018507	-0.7967849	-0.79930604	-0.8024639	-0.8020414	-0.80207264	-0.80101967	-0.7994748	-0.7982934	-0.7972309	-0.8019008	-0.7978042	-0.7999295	-0.8025036	-0.80102855	-0.80219585	-0.8018651	-0.80177724	-0.79893875	-0.8003825	-0.8017802	-0.7981318	-0.7993391	-0.8003825	-0.7986458	-0.80191344	-0.7990724	-0.7966889	-0.79553264	-0.7952154
7	-0.27955326	-0.2950143	-0.27567613	-0.27910796	-0.27903393	-0.28120878	-0.27848738	-0.27388197	-0.5849956	-0.28781006	-0.2808188	-0.289835	-0.27710187	-0.28101698	-0.27355102	-0.2763248	-0.2856304	-0.27484056	-0.3027577	-0.28701463	-0.27381822	-0.2740624	-0.27446875	-0.27656946	-0.2807913	-0.30676815	-0.29859874	-0.27470914	-0.289413	-0.27956167	-0.273726	-0.2765323	-0.27390453	-0.27478752	-0.27489272	-0.28429693	-0.28116512	-0.27486613	-0.29129177	-0.28653595	-0.28116512	-0.28438354	-0.27441564	-0.28254324	-0.30140492	-0.30119857	-0.35333848
8	0.43387753	0.43450227	0.43262887	0.43264157	0.43364352	0.43398923	0.43345463	0.43079853	0.48517963	0.43493858	0.43410447	0.43491423	0.4324279	0.43318233	0.43043926	0.4330045	0.4345086	0.43154755	0.43449453	0.43543094	0.43030363	0.43137774	0.43118942	0.43225962	0.43392515	0.4345528	0.43489143	0.43173525	0.4341998	0.43385693	0.43016154	0.4323544	0.43106988	0.4313392	0.43227106	0.4347216	0.43274143	0.4322697	0.43392345	0.4340859	0.43274143	0.43407357	0.43150374	0.43437308	0.43423405	0.43341652	0.43643954
9	0.7727606	0.7698576	0.77334315	0.771491	0.7727566	0.7723878	0.77269715	0.77371496	0.78056216	0.772515	0.77236116	0.77157354	0.77279043	0.7708785	0.7738816	0.7735336	0.7711443	0.7734303	0.7695979	0.7734502	0.77368826	0.7737444	0.7735063	0.7729313	0.7721517	0.77179456	0.77033526	0.77326506	0.77023304	0.77275	0.77374953	0.7728704	0.7738424	0.7734025	0.7747367	0.77219504	0.77400076	0.7747338	0.7707613	0.77277786	0.77400076	0.77124506	0.7736259	0.7720138	0.7691303	0.7667661	0.7688109
