	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
0	-0.854094	-0.84768647	-0.85610664	-0.8443115	-0.8483066	-0.85327786	-0.8514004	-0.8541572	-0.59564745	-0.85138845	-0.85053796	-0.8531639	-0.84948	-0.84696573	-0.8543339	-0.85606086	-0.8519742	-0.8555912	-0.8498928	-0.8551848	-0.85024995	-0.8551642	-0.85555744	-0.848373	-0.85073483	-0.85404056	-0.85268885	-0.85627514	-0.8493857	-0.8550897	-0.8479447	-0.8486288	-0.8516806	-0.8531869	-0.8561024	-0.855405	-0.8542295	-0.85614294	-0.85214335	-0.856165	-0.8542295	-0.8496157	-0.8538612	-0.85067403	-0.8474456	-0.8530095	-0.8089195
1	0.90600336	0.89851487	0.90824085	0.89434624	0.8992659	0.90508276	0.9029191	0.90607285	0.3118123	0.9029068	0.90191233	0.9049516	0.9006633	0.8976409	0.9062733	0.9081898	0.9035869	0.9076727	0.90115327	0.9072244	0.9015783	0.90720093	0.9076398	0.89934194	0.9021465	0.90594304	0.90440506	0.9084286	0.9005529	0.90711796	0.8988257	0.89965457	0.903245	0.90497684	0.9082362	0.907467	0.90614873	0.908281	0.9037803	0.9083052	0.90614873	0.9008233	0.90574294	0.90207326	0.8982224	0.9047751	0.8407058
2	-0.66108555	-0.652166	-0.66388124	-0.6474266	-0.65304214	-0.6599642	-0.6573991	-0.6611556	-0.2515796	-0.65737236	-0.65612346	-0.65981895	-0.654657	-0.65116936	-0.6614373	-0.6638162	-0.65811384	-0.6631519	-0.6552243	-0.66259736	-0.6557363	-0.66256624	-0.6631394	-0.653146	-0.6564306	-0.66105056	-0.65907776	-0.66432834	-0.6545736	-0.66245884	-0.65253747	-0.6535122	-0.65777946	-0.6597735	-0.66391957	-0.6629219	-0.6610964	-0.66400206	-0.6584265	-0.6640484	-0.6610964	-0.65485126	-0.6608214	-0.6563766	-0.6518334	-0.6595437	-0.590495
3	0.9860239	0.9854258	0.98622775	0.9851302	0.9854805	0.985943	0.9857644	0.98603046	0.9660469	0.9857628	0.98568785	0.9859319	0.98559046	0.98536015	0.98604697	0.98622394	0.98582107	0.9861744	0.9856281	0.98613346	0.9856592	0.9861316	0.9861678	0.9854876	0.9857033	0.9860174	0.9858905	0.9862361	0.9855787	0.9861242	0.985449	0.98550856	0.98579055	0.98593605	0.9862234	0.98615575	0.98604	0.9862268	0.98583394	0.98622984	0.98604	0.9856027	0.9859986	0.98569655	0.98540443	0.9859185	0.9824421
4	0.9956661	0.9953252	0.9957704	0.9951387	0.9953589	0.9956233	0.9955256	0.9956688	0.96170944	0.9955245	0.9954793	0.99561757	0.9954227	0.99528545	0.99567866	0.99576813	0.99555475	0.99574345	0.9954447	0.9957227	0.9954636	0.9957215	0.995742	0.995363	0.9954897	0.9956637	0.9955922	0.99578196	0.9954178	0.9957177	0.9953394	0.99537647	0.9955401	0.99561757	0.9957704	0.99573433	0.99566996	0.9957727	0.9955646	0.9957743	0.99566996	0.9954302	0.99565446	0.99548674	0.99531215	0.9956086	0.99270797
5	0.758138	0.752327	0.75979257	0.7490011	0.75291675	0.75743556	0.75579494	0.7581942	0.48676172	0.75578094	0.75501853	0.75734246	0.7540406	0.7516225	0.758338	0.75975263	0.75630486	0.7593777	0.75442284	0.75904155	0.75474393	0.7590249	0.75935507	0.7529879	0.7551866	0.75809175	0.7569403	0.75993764	0.75394255	0.75896394	0.7525785	0.75322056	0.75604546	0.75736415	0.7597945	0.75922334	0.75827104	0.7598264	0.7564543	0.7598428	0.75827104	0.75416845	0.75793725	0.75513405	0.75209445	0.7572121	0.70961857
6	-0.99163854	-0.9912589	-0.9917571	-0.99105203	-0.99129635	-0.99159086	-0.9914793	-0.99164206	-0.9560848	-0.99147886	-0.9914291	-0.99158365	-0.99136627	-0.9912154	-0.9916525	-0.99175465	-0.9915144	-0.9917266	-0.991391	-0.9917031	-0.9914124	-0.9917019	-0.99172413	-0.9912998	-0.99144083	-0.9916347	-0.9915561	-0.9917641	-0.99136025	-0.99169755	-0.9912742	-0.99131554	-0.99149597	-0.9915857	-0.99175537	-0.99171585	-0.9916464	-0.9917575	-0.9915231	-0.99175924	-0.9916464	-0.9913741	-0.9916244	-0.9914366	-0.99124426	-0.99157494	-0.9883844
7	-0.99459404	-0.99460465	-0.9945936	-0.99460953	-0.9946032	-0.9945947	-0.9946003	-0.9945935	-0.99009365	-0.9945994	-0.9946006	-0.9945953	-0.9946026	-0.9946049	-0.9945942	-0.994594	-0.99459666	-0.9945929	-0.9946015	-0.99459326	-0.9946	-0.9945934	-0.9945922	-0.99460465	-0.9945997	-0.9945954	-0.9945955	-0.99459875	-0.9946032	-0.99459326	-0.9946049	-0.9946027	-0.99459916	-0.99459296	-0.99459386	-0.9945942	-0.99458796	-0.9945948	-0.99459845	-0.9945957	-0.99458796	-0.99460274	-0.99459547	-0.9946009	-0.99460524	-0.99459386	-0.99439305
8	-0.96914226	-0.9668835	-0.9698499	-0.9656767	-0.9671018	-0.96885294	-0.9681903	-0.9691664	-0.85214525	-0.9681867	-0.96789825	-0.968812	-0.9675242	-0.96662384	-0.96922356	-0.9698356	-0.9684037	-0.9696693	-0.96767074	-0.9695263	-0.96779335	-0.9695195	-0.9696498	-0.96712554	-0.9679611	-0.9691178	-0.968658	-0.9698767	-0.9674822	-0.96949375	-0.9669743	-0.96721286	-0.9682895	-0.9688296	-0.9698387	-0.96960163	-0.96920925	-0.9698494	-0.96845096	-0.9698571	-0.96920925	-0.96757144	-0.96905196	-0.9679356	-0.96679765	-0.9687655	-0.95269525
9	0.9585765	0.9550679	0.9596154	0.9530602	0.9554198	0.9581435	0.9571537	0.9586082	0.4571192	0.95714223	0.95668864	0.9580856	0.95610213	0.954639	0.95870095	0.9595963	0.9574585	0.9593494	0.9563302	0.9591417	0.9565176	0.95913225	0.95931995	0.9554684	0.9567855	0.95855165	0.9578446	0.95970076	0.9560409	0.9590939	0.9552205	0.9555993	0.95730126	0.95809233	0.9596091	0.9592599	0.95862997	0.9596309	0.9575503	0.95964545	0.95862997	0.9561795	0.9584535	0.95675385	0.95493096	0.958001	0.9231936
