	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
0	0.9291717	0.9289423	0.9288173	0.9284867	0.9280213	0.9293813	0.9297406	0.9285601	0.92888504	0.92844325	0.92808825	0.92910326	0.92803293	0.9283738	0.92916775	0.926437	0.9228208	0.9290137	0.92969894	0.92978525	0.92865425	0.92834944	0.92731994	0.928295	0.92803	0.927647	0.9297222	0.9291562	0.9287115	0.92851937	0.9302138	0.9297867	0.92850894	0.92925453	0.92870957	0.9282083	0.92783254	0.92825675	0.92859674	0.92979074	0.92754877	0.9280503	0.9285699	0.9291183	0.92699665	0.9286419	0.92697847
1	0.009276936	0.009372655	0.00915314	0.009372853	0.010135203	0.009269342	0.009452349	0.009918205	0.007840163	0.009750177	0.009868888	0.009261819	0.009382866	0.009738996	0.009401253	0.0071987635	0.0067133876	0.009486025	0.009266454	0.008055562	0.010038148	0.0071486873	0.010196274	0.009422325	0.008685974	0.008007143	0.00798839	0.009126466	0.009532162	0.010013669	0.009033042	0.00880973	0.009848299	0.007597532	0.009195817	0.0044632377	0.010026614	0.009164406	0.009840783	0.00907539	0.009740271	0.00948244	0.009450016	0.009413872	0.006550009	0.009771082	0.010835975
2	-0.5417331	-0.54496	-0.5338456	-0.53601515	-0.5428726	-0.5557948	-0.5510677	-0.5497908	-0.5412398	-0.54501426	-0.5415091	-0.5441022	-0.51692456	-0.51227915	-0.5442168	-0.5073917	-0.30621278	-0.5535898	-0.56204194	-0.55609983	-0.5389484	-0.5346806	-0.54073745	-0.5439877	-0.5442097	-0.54311895	-0.55460197	-0.54164165	-0.5457812	-0.548707	-0.55647236	-0.5464124	-0.5478227	-0.53671366	-0.5481778	-0.522505	-0.5419819	-0.5437291	-0.5440111	-0.55342275	-0.53803265	-0.50335157	-0.53440267	-0.5449295	-0.5171362	-0.5460166	-0.5252713
3	0.93926996	0.9394888	0.93936414	0.9396782	0.93958086	0.9391891	0.9397762	0.9396528	0.9383065	0.93980724	0.93932164	0.9395945	0.93920887	0.9392532	0.93955463	0.93816215	0.93361145	0.93944734	0.93866557	0.9394639	0.93931854	0.93731964	0.9387377	0.9395977	0.9391856	0.9359491	0.9388937	0.9396001	0.93911576	0.93996197	0.9395057	0.9394388	0.93985	0.9396553	0.9392334	0.93465346	0.93902165	0.9389019	0.939745	0.93995494	0.9386776	0.939188	0.93943024	0.9397538	0.9382969	0.93923587	0.937835
4	-0.8507111	-0.85169464	-0.8523497	-0.85412234	-0.85478204	-0.84763527	-0.849697	-0.8534371	-0.8505919	-0.85462207	-0.85423356	-0.851818	-0.85392153	-0.8528536	-0.8511928	-0.8495475	-0.8561351	-0.8506808	-0.8447144	-0.8492936	-0.8514215	-0.84946954	-0.8544823	-0.85313165	-0.8515146	-0.8500833	-0.84801006	-0.85191	-0.85064256	-0.85457915	-0.84692603	-0.84835136	-0.85434324	-0.8517201	-0.8524985	-0.8440193	-0.8542027	-0.85328144	-0.8539112	-0.8500962	-0.8546629	-0.8541618	-0.8535652	-0.8519449	-0.84824234	-0.8517756	-0.8480289
5	0.91154903	0.91160756	0.9117451	0.91193295	0.9118121	0.911782	0.9118352	0.9118631	0.91056406	0.91227865	0.9116631	0.9117273	0.9115947	0.9115199	0.9117912	0.9119639	0.9098936	0.9118107	0.9106121	0.9117144	0.9114544	0.90982306	0.9112608	0.9121047	0.9118852	0.91018873	0.91105646	0.91186845	0.91109496	0.91210437	0.91162586	0.9117367	0.91215634	0.912277	0.9113487	0.90696275	0.91141737	0.91117734	0.9118761	0.91209793	0.9111031	0.9115366	0.91178024	0.9119495	0.91195977	0.911905	0.9096155
6	-0.80062056	-0.8002426	-0.8003057	-0.7995469	-0.7986295	-0.80166584	-0.8017293	-0.7995111	-0.7991279	-0.7994282	-0.79876494	-0.80059195	-0.7988267	-0.79942566	-0.8007328	-0.7991146	-0.79404885	-0.8006486	-0.80179316	-0.8017118	-0.7997455	-0.79809487	-0.79750186	-0.7996074	-0.7996677	-0.79857796	-0.8012231	-0.80077326	-0.8000099	-0.7994801	-0.802692	-0.8020047	-0.7995166	-0.8011582	-0.7994451	-0.79658645	-0.7981358	-0.7986167	-0.7995476	-0.8019472	-0.797402	-0.7988447	-0.79959327	-0.8006816	-0.7998073	-0.799844	-0.7986415
7	-0.29847983	-0.2871401	-0.2980558	-0.28041443	-0.26605523	-0.2964852	-0.2936818	-0.27023196	-0.30800158	-0.2694442	-0.2742303	-0.28984722	-0.29634413	-0.3036406	-0.29276475	-0.32964572	-0.45797879	-0.28855675	-0.31067696	-0.29657176	-0.28992763	-0.31874156	-0.26960793	-0.27721	-0.28976884	-0.30517274	-0.3062341	-0.2937511	-0.29116848	-0.26541528	-0.30723417	-0.30808884	-0.26766446	-0.29717708	-0.28319296	-0.37196124	-0.27716115	-0.2829718	-0.27447405	-0.29108214	-0.27915174	-0.30535552	-0.28687572	-0.28545424	-0.33029997	-0.29133555	-0.31001198
8	0.43494225	0.43400905	0.43444762	0.4334793	0.43183765	0.4346474	0.43335223	0.4327089	0.43790147	0.43248633	0.4328202	0.43382528	0.43508127	0.43528977	0.43353337	0.4365611	0.44546106	0.43228433	0.43418008	0.43487388	0.43375877	0.44062957	0.43061334	0.43295914	0.43269116	0.43265498	0.43651336	0.43404588	0.43446276	0.43178353	0.43391594	0.43433535	0.43238398	0.43397626	0.4343891	0.44774842	0.43279436	0.4346066	0.4327372	0.43312183	0.43382967	0.4354272	0.43379882	0.43329573	0.43610495	0.4328294	0.43434638
9	0.7722395	0.77257425	0.77222633	0.7732422	0.7728277	0.7724871	0.77259064	0.7728701	0.7714733	0.77327967	0.7727313	0.77222776	0.7733547	0.77373815	0.7725425	0.77209735	0.77353966	0.77209735	0.7706466	0.7720355	0.772512	0.7708838	0.7717546	0.773073	0.7721664	0.7686436	0.77150756	0.7722955	0.7714341	0.7730441	0.7719043	0.77243614	0.7731419	0.772888	0.7720175	0.7681246	0.77234757	0.77190226	0.77287257	0.7725573	0.7720941	0.77385336	0.7728161	0.7729038	0.7719438	0.77242607	0.7696801
