	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
0	-0.8465866	-0.8589803	-0.8562619	-0.874457	-0.88390136	-0.82944155	-0.8429482	-0.8749511	-0.83598495	-0.87920535	-0.87732166	-0.8571573	-0.8702652	-0.86383724	-0.8522368	-0.8317894	-0.800703	-0.84953713	-0.8006445	-0.8338993	-0.85922074	-0.8242506	-0.8812974	-0.8709037	-0.85631496	-0.8299729	-0.8205519	-0.85469705	-0.85261256	-0.88156956	-0.8142004	-0.8251072	-0.87927985	-0.84905124	-0.86307585	-0.7290922	-0.87516314	-0.867132	-0.8754007	-0.8448681	-0.87642866	-0.8695329	-0.8684251	-0.86044455	-0.81741285	-0.8538852	-0.84181935
1	0.89958173	0.91427547	0.9114447	0.9315743	0.9407586	0.87688154	0.8944999	0.9315533	0.88577944	0.9359305	0.9345584	0.91210586	0.92796063	0.92144287	0.90607405	0.8834642	0.851376	0.9017956	0.8337717	0.8823138	0.91506016	0.8707631	0.93869025	0.92746836	0.91069764	0.8873851	0.86400247	0.90919566	0.9067054	0.9381679	0.854615	0.87081444	0.9359201	0.9027607	0.9185886	0.71539384	0.9315717	0.9232946	0.93214256	0.8966503	0.9331299	0.9278826	0.92539227	0.9158496	0.86318016	0.9073273	0.895612
2	-0.61721295	-0.6327661	-0.62810963	-0.6528055	-0.6670392	-0.59837973	-0.6153125	-0.65471226	-0.6017658	-0.65994036	-0.6561156	-0.6305823	-0.6440916	-0.6368541	-0.6246776	-0.5800415	-0.5365982	-0.62126786	-0.5706089	-0.6038422	-0.6322975	-0.5857206	-0.66221803	-0.6463349	-0.62415564	-0.59624344	-0.58833706	-0.6272289	-0.62461126	-0.6642561	-0.58463925	-0.59429866	-0.66066784	-0.61917245	-0.6373429	-0.49270988	-0.652627	-0.64163303	-0.6548563	-0.61731106	-0.65325236	-0.6433487	-0.6442611	-0.6354319	-0.5652222	-0.6249325	-0.60876554
3	0.9883351	0.9905848	0.9901426	0.99300843	0.99422514	0.98468524	0.9877005	0.9930299	0.9857692	0.9935914	0.9933475	0.9902771	0.99243057	0.9915823	0.98940367	0.9847324	0.9783213	0.98875535	0.97692174	0.98555946	0.99068433	0.9828017	0.99387884	0.9924075	0.98988026	0.9851932	0.9822607	0.98984843	0.9894091	0.99391913	0.98095304	0.9837263	0.99361384	0.9887796	0.9911466	0.94465756	0.9929553	0.9917582	0.9931048	0.9880296	0.9930996	0.9924431	0.99212945	0.99086916	0.98100716	0.9895156	0.9874333
4	0.9987039	0.99903446	0.9989644	0.99935186	0.99950516	0.99812824	0.99861664	0.9993633	0.9983216	0.9994312	0.9993962	0.99899226	0.9992621	0.9991431	0.99886394	0.997951	0.99634767	0.99877685	0.9967795	0.9982977	0.999038	0.99782425	0.99946016	0.99927396	0.998916	0.9981427	0.9977507	0.9989296	0.99887043	0.99947184	0.9975047	0.9979662	0.9994348	0.9987695	0.9991207	0.9893377	0.999351	0.99920017	0.99937004	0.99866813	0.9993688	0.99925476	0.9992369	0.99907416	0.9972671	0.99888194	0.99852854
5	0.73189676	0.73982614	0.7367995	0.74979186	0.7578847	0.72209245	0.7316682	0.7518921	0.723606	0.75440645	0.7508705	0.73903126	0.7430837	0.73941493	0.73600644	0.6990377	0.66436255	0.73484755	0.7095657	0.7260241	0.7385639	0.71418804	0.75380456	0.7457314	0.7326709	0.70810914	0.7179047	0.7371288	0.73563915	0.75701034	0.7164569	0.7204181	0.75506574	0.73235434	0.7428025	0.663625	0.75044996	0.74448377	0.7516797	0.7327221	0.7502665	0.74199814	0.7448964	0.7415916	0.691471	0.7364846	0.72258765
6	-0.99477994	-0.99587387	-0.9956378	-0.9969956	-0.99757206	-0.99300504	-0.99447024	-0.99703205	-0.9936422	-0.9972848	-0.9971652	-0.99572694	-0.9966966	-0.99625844	-0.99528956	-0.9929029	-0.98836267	-0.9950006	-0.98909545	-0.9934885	-0.99589497	-0.99221694	-0.99739116	-0.99673474	-0.9955429	-0.99289656	-0.99189186	-0.9955146	-0.99532795	-0.9974394	-0.99110943	-0.9924676	-0.9972989	-0.99498063	-0.99617875	-0.9725616	-0.9969954	-0.9964621	-0.9970605	-0.9946428	-0.99707115	-0.99665624	-0.99657816	-0.99599826	-0.9910508	-0.9953418	-0.994238
7	-0.99822354	-0.9986807	-0.9985898	-0.999124	-0.9993288	-0.9973914	-0.9980863	-0.99913114	-0.9976877	-0.99922585	-0.99918264	-0.9986207	-0.9990161	-0.99885863	-0.99844337	-0.9972776	-0.99550015	-0.9983105	-0.9954288	-0.99762535	-0.998694	-0.99700665	-0.99927086	-0.99901325	-0.9985222	-0.9974936	-0.99684906	-0.99853384	-0.9984514	-0.99928015	-0.9964873	-0.99717325	-0.9992297	-0.9983174	-0.99879587	-0.98485595	-0.9991192	-0.99890983	-0.9991432	-0.9981557	-0.99914604	-0.9990155	-0.99896795	-0.99873364	-0.99632436	-0.9984675	-0.9980149
8	-0.9695949	-0.9730407	-0.97222036	-0.976996	-0.9793082	-0.96470207	-0.9689299	-0.9771462	-0.9658954	-0.9781155	-0.97750676	-0.9725726	-0.97576827	-0.9743365	-0.9712518	-0.96313465	-0.95180935	-0.9703715	-0.9559186	-0.96599674	-0.9731037	-0.96177685	-0.97835976	-0.9759195	-0.97170997	-0.9619642	-0.96178836	-0.9718892	-0.97121733	-0.97881275	-0.96042824	-0.9635607	-0.97820854	-0.9701493	-0.9739435	-0.92437893	-0.9768948	-0.97481847	-0.9772716	-0.96940774	-0.9770609	-0.9756912	-0.9753766	-0.97353077	-0.9585225	-0.9713125	-0.9676111
9	0.96058935	0.9672057	0.965922	0.97467566	0.9785897	0.9498942	0.95828134	0.97475696	0.9545395	0.97660416	0.9759386	0.96626747	0.9729618	0.9700596	0.9635436	0.9513711	0.9346938	0.9616983	0.9289795	0.9528346	0.96740526	0.9474796	0.9776681	0.9728643	0.96539253	0.95409137	0.9441745	0.96497434	0.96384746	0.9775439	0.93932164	0.9470991	0.9766063	0.9620683	0.96924925	0.86506075	0.9747923	0.9712932	0.9749863	0.95929176	0.97546697	0.9728297	0.97201604	0.967909	0.94148374	0.9641573	0.9581111
