	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
3	0.88755506	0.8322248	0.90869206	0.8974167	0.89067096	0.88160163	0.89508456	0.92121005	0.16432747	0.85015625	0.8834664	0.8439542	0.9055294	0.88979065	0.9227602	0.9041156	0.8641612	0.9158695	0.80589485	0.84687275	0.92300916	0.9183727	0.91870457	0.9085335	0.8844102	0.78457373	0.81669474	0.9177078	0.8538778	0.8874749	0.9231678	0.9061891	0.9199486	0.9168495	0.91059136	0.8654454	0.8861091	0.91070616	0.8456293	0.85812205	0.8861091	0.8719565	0.91677946	0.8752731	0.8126326	0.82554394	0.67975026
15	0.09818485	0.14595772	0.07959023	0.08935848	0.09543574	0.10334995	0.09152026	0.06851883	0.26905334	0.13094252	0.10171007	0.13622269	0.08228753	0.095991135	0.06715553	0.08362747	0.11851541	0.07322851	0.16840614	0.13405736	0.066915594	0.07104018	0.070720434	0.07964521	0.10086574	0.18722716	0.1594241	0.07159255	0.12726316	0.09825705	0.06677906	0.081753954	0.06964414	0.07235194	0.07796931	0.11754862	0.09938579	0.07786801	0.13450997	0.123966634	0.09938579	0.1116446	0.072441615	0.108886704	0.16254783	0.15077016	0.26710668
44	0.0055276765	0.0080679525	0.0046151653	0.0051520495	0.0053971815	0.005802354	0.0052183582	0.0040808953	0.060464114	0.007126683	0.0057237153	0.0074297152	0.0047800094	0.0055027185	0.004011471	0.004811311	0.0065849586	0.004314238	0.009295686	0.007193062	0.004007161	0.004198938	0.0041932436	0.004648737	0.005687946	0.010085056	0.008733974	0.0042394553	0.0070952172	0.0055306363	0.0039990516	0.004736524	0.0041320925	0.004275497	0.004515477	0.006482637	0.005609771	0.0045105154	0.0074317358	0.006791496	0.005609771	0.0062653795	0.0042695925	0.006078401	0.009016846	0.008632385	0.016721213
4596	0.003260894	0.0058487854	0.0024969566	0.002952406	0.0031478629	0.0035107073	0.002994837	0.0020908017	0.43117252	0.0047918116	0.0034375535	0.005120242	0.0026346273	0.0032582171	0.0020397913	0.0026526856	0.004258191	0.0022661316	0.007325247	0.0048460877	0.00203766	0.002177392	0.0021749323	0.0025287464	0.0034077673	0.008317287	0.0066163563	0.0022087942	0.004789098	0.0032635985	0.002032155	0.002598715	0.002127652	0.0022376094	0.00241328	0.0041477974	0.0033402217	0.0024093825	0.0051405476	0.004452789	0.0033402217	0.0039514573	0.002231246	0.003764488	0.006988088	0.006570615	0.019955354
1886	0.00032703523	0.00046134964	0.00027811303	0.0003071428	0.00032011414	0.00034186678	0.0003108525	0.00024918895	0.0032355536	0.0004109497	0.00033787283	0.00042681216	0.00028747294	0.00032619978	0.0002453502	0.00028883643	0.00038327504	0.00026190808	0.0005251682	0.00041334273	0.00024524325	0.0002555569	0.0002553639	0.00028040016	0.00033591542	0.0005632254	0.0004955866	0.00025798497	0.00041069978	0.00032716975	0.00024473562	0.00028467536	0.00025197107	0.00025985166	0.00027284582	0.00037741193	0.00033202273	0.0002725772	0.00042790244	0.00039372343	0.00033202273	0.00036688914	0.00025939976	0.0003565179	0.0005109275	0.0004933842	0.00091149064
628	0.00035481737	0.00049004797	0.00030477322	0.0003347373	0.0003477858	0.0003699422	0.00033839414	0.00027492098	0.0029686524	0.0004392624	0.00036591903	0.0004552587	0.00031448677	0.0003542753	0.00027092473	0.00031578378	0.00041188073	0.00028808624	0.00055302936	0.0004413697	0.00027083635	0.0002815083	0.00028132577	0.0003072147	0.0003639506	0.0005892029	0.0005237274	0.00028406802	0.000439578	0.00035495133	0.00027030075	0.0003115595	0.00027779216	0.0002859767	0.00029921927	0.00040578216	0.0003597291	0.0002989444	0.0004565372	0.00042195202	0.0003597291	0.0003954294	0.00028548428	0.00038481082	0.00053917064	0.0005227395	0.0009255452
1991	0.001623362	0.0023837157	0.001352394	0.0015116433	0.0015845773	0.001705349	0.0015316682	0.0011944518	0.019637825	0.0021004905	0.0016820633	0.0021911776	0.0014016909	0.0016161271	0.00117392	0.0014107391	0.0019387541	0.001263411	0.0027539174	0.0021195575	0.0011727718	0.001229284	0.001227635	0.0013627793	0.0016713268	0.002991071	0.002584099	0.0012412968	0.002091928	0.0016242233	0.0011703346	0.0013883566	0.0012095863	0.0012520043	0.0013231707	0.0019079176	0.0016486295	0.0013217024	0.002192592	0.002000514	0.0016486295	0.0018437484	0.0012501638	0.001787598	0.0026697097	0.0025552094	0.0050226524
635	0.0008514058	0.0011483413	0.00073913805	0.0008066131	0.00083572575	0.0008850668	0.0008146402	0.0006715531	0.005466906	0.0010378958	0.0008760141	0.0010728659	0.00076097273	0.0008502015	0.0006624866	0.0007639502	0.0009777088	0.00070141326	0.0012838823	0.0010426516	0.0006622408	0.00068654836	0.0006860512	0.0007445701	0.0008716603	0.0013610281	0.0012209808	0.00069216016	0.0010384643	0.00085171056	0.00066106796	0.0007544959	0.0006780885	0.000696641	0.0007266031	0.0009643872	0.00086240715	0.0007259823	0.0010755317	0.0009998536	0.00086240715	0.00094139506	0.00069557014	0.0009179652	0.0012542414	0.0012188739	0.0020594061
4597	0.00023109347	0.00032526348	0.00019612403	0.00021656087	0.00022613186	0.00024155316	0.00021946299	0.00017529339	0.0017706205	0.00029064485	0.00023872116	0.00030166647	0.00020263686	0.00023006473	0.00017253868	0.00020382622	0.00027079217	0.00018441511	0.0003694292	0.00029274827	0.00017241416	0.00017992097	0.00017969648	0.0001975797	0.00023728657	0.00039632033	0.00034929812	0.00018157586	0.00028978716	0.00023119006	0.00017205284	0.00020071787	0.0001773242	0.0001829148	0.00019242319	0.00026689898	0.00023433504	0.00019223228	0.00030191834	0.00027830582	0.00023433504	0.00025906198	0.00018266359	0.00025197514	0.00035940084	0.00034619786	0.000623209
738	0.0005529174	0.0008744914	0.00044847257	0.000511666	0.0005378768	0.00058612204	0.00051767833	0.00039006112	0.021453217	0.0007464587	0.0005768461	0.0007862981	0.000468321	0.00055327103	0.0003824652	0.0004704527	0.0006818868	0.00041560867	0.0010423968	0.00075144693	0.00038230637	0.00040265813	0.00040243883	0.0004535025	0.0005728527	0.0011456121	0.00096213125	0.00040757068	0.0007483526	0.0005532438	0.00038138987	0.00046272483	0.0003954533	0.00041153576	0.00043664238	0.00066726306	0.000563788	0.00043609043	0.0007900878	0.0007051627	0.000563788	0.00064374256	0.00041046567	0.00061914633	0.0010051808	0.0009620653	0.0022829561
4598	0.00053319184	0.00076696795	0.0004507365	0.0005008587	0.0005215511	0.0005586546	0.0005059222	0.00040272882	0.0074235597	0.00067670044	0.00055171276	0.00070500013	0.00046680475	0.0005333423	0.00039635767	0.00046852813	0.0006301092	0.00042389354	0.0008800898	0.0006799387	0.0003962556	0.00041321112	0.0004130196	0.00045489662	0.0005485929	0.0009457337	0.00082655804	0.00041732547	0.0006783947	0.000533431	0.00039545214	0.0004621332	0.00040724516	0.00042054057	0.00044128977	0.00061926484	0.0005415903	0.00044084186	0.00070789654	0.00064695545	0.0005415903	0.0006020836	0.00041965093	0.0005836492	0.0008554566	0.0008274048	0.0016089171
