	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
15	1.4931018e-08	1.514909e-08	1.4865179e-08	1.5270643e-08	1.5127464e-08	1.4957926e-08	1.5020653e-08	1.4929082e-08	7.3106335e-08	1.5021083e-08	1.5050277e-08	1.4961579e-08	1.5086663e-08	1.5174713e-08	1.4922934e-08	1.4866484e-08	1.5001756e-08	1.4882059e-08	1.5072425e-08	1.4895094e-08	1.506004e-08	1.4895832e-08	1.4883025e-08	1.5124838e-08	1.5043504e-08	1.4932386e-08	1.4978026e-08	1.4858149e-08	1.508954e-08	1.4898247e-08	1.514002e-08	1.5116013e-08	1.5011116e-08	1.496138e-08	1.4864981e-08	1.4887766e-08	1.4928256e-08	1.4863507e-08	1.4995576e-08	1.4862656e-08	1.4928256e-08	1.5081945e-08	1.4938255e-08	1.504537e-08	1.5157646e-08	1.496726e-08	1.6981328e-08
44	9.714502e-09	9.732176e-09	9.709593e-09	9.743525e-09	9.730413e-09	9.716522e-09	9.721472e-09	9.714391e-09	2.3110486e-08	9.72149e-09	9.723771e-09	9.716781e-09	9.726832e-09	9.734571e-09	9.713854e-09	9.709593e-09	9.719951e-09	9.710871e-09	9.725607e-09	9.711742e-09	9.724569e-09	9.711815e-09	9.710982e-09	9.73006e-09	9.7233075e-09	9.714539e-09	9.718097e-09	9.708945e-09	9.727035e-09	9.711982e-09	9.731416e-09	9.729392e-09	9.720655e-09	9.7168e-09	9.709556e-09	9.7111865e-09	9.714613e-09	9.7094635e-09	9.71945e-09	9.709371e-09	9.714613e-09	9.726442e-09	9.715002e-09	9.723456e-09	9.732974e-09	9.7173185e-09	1.0007209e-08
4596	4.603314e-09	4.6106954e-09	4.601304e-09	4.6155875e-09	4.6099653e-09	4.604157e-09	4.6062034e-09	4.6032613e-09	1.1994618e-08	4.6062123e-09	4.6071262e-09	4.6042623e-09	4.608418e-09	4.6117505e-09	4.6030593e-09	4.6012865e-09	4.6055537e-09	4.6018305e-09	4.6078994e-09	4.6021817e-09	4.6074864e-09	4.602208e-09	4.6019006e-09	4.6097983e-09	4.6069593e-09	4.6033315e-09	4.6047806e-09	4.601102e-09	4.608524e-09	4.6022692e-09	4.6103787e-09	4.6095345e-09	4.605861e-09	4.604254e-09	4.601295e-09	4.6019446e-09	4.6033404e-09	4.6012687e-09	4.6053605e-09	4.6012336e-09	4.6033404e-09	4.6082422e-09	4.6035424e-09	4.6070294e-09	4.611047e-09	4.6044732e-09	4.7394124e-09
1886	2.0031719e-09	1.9999842e-09	2.0042727e-09	1.9986532e-09	2.000297e-09	2.0027364e-09	2.0017854e-09	2.0032063e-09	4.2084114e-09	2.001774e-09	2.0012931e-09	2.0026791e-09	2.0007969e-09	1.9997095e-09	2.0033057e-09	2.004219e-09	2.0020374e-09	2.0039899e-09	2.0009838e-09	2.0037452e-09	2.001167e-09	2.0037414e-09	2.0040012e-09	2.0002933e-09	2.0014344e-09	2.0031414e-09	2.0023965e-09	2.0044333e-09	2.0007662e-09	2.0036954e-09	2.00011e-09	2.000442e-09	2.0019078e-09	2.0026676e-09	2.004284e-09	2.0038713e-09	2.0032445e-09	2.0043223e-09	2.002156e-09	2.0043338e-09	2.0032445e-09	2.0008655e-09	2.003065e-09	2.0014153e-09	1.9998887e-09	2.0025912e-09	2.0091413e-09
628	7.0553724e-10	7.051417e-10	7.056987e-10	7.050678e-10	7.05178e-10	7.05474e-10	7.0534484e-10	7.0554534e-10	1.6605768e-09	7.053435e-10	7.052803e-10	7.0546324e-10	7.052251e-10	7.0512557e-10	7.055547e-10	7.056853e-10	7.053798e-10	7.0565837e-10	7.052453e-10	7.056167e-10	7.0526546e-10	7.056167e-10	7.056611e-10	7.0517e-10	7.053018e-10	7.0552786e-10	7.0543094e-10	7.057095e-10	7.052184e-10	7.056099e-10	7.0515516e-10	7.0519013e-10	7.0535966e-10	7.054673e-10	7.056974e-10	7.0563416e-10	7.0557227e-10	7.057028e-10	7.053933e-10	7.057028e-10	7.0557227e-10	7.052319e-10	7.055171e-10	7.052991e-10	7.0513634e-10	7.054592e-10	7.1474354e-10
1991	1.7827968e-09	1.7826064e-09	1.7829872e-09	1.7828954e-09	1.7826199e-09	1.7827356e-09	1.7826369e-09	1.782807e-09	4.2375774e-09	1.7826336e-09	1.7825758e-09	1.782722e-09	1.7825724e-09	1.782671e-09	1.7828172e-09	1.78296e-09	1.7826471e-09	1.782943e-09	1.7825655e-09	1.7828818e-09	1.7825758e-09	1.7828818e-09	1.7829532e-09	1.7825825e-09	1.7826098e-09	1.7827831e-09	1.7826846e-09	1.7830178e-09	1.7825758e-09	1.7828716e-09	1.7826064e-09	1.7826098e-09	1.7826369e-09	1.782722e-09	1.7829906e-09	1.7828988e-09	1.7828478e-09	1.7830009e-09	1.7826642e-09	1.7830009e-09	1.7828478e-09	1.7825724e-09	1.7827798e-09	1.7826098e-09	1.7826268e-09	1.782722e-09	1.8118599e-09
635	7.3849646e-09	7.3704562e-09	7.3899806e-09	7.364245e-09	7.3718622e-09	7.3829787e-09	7.3786426e-09	7.3851054e-09	1.5201103e-08	7.378586e-09	7.376476e-09	7.382697e-09	7.374197e-09	7.3691493e-09	7.385556e-09	7.3897692e-09	7.3798248e-09	7.388684e-09	7.375055e-09	7.387599e-09	7.375857e-09	7.387557e-09	7.388698e-09	7.3718764e-09	7.3770527e-09	7.3848234e-09	7.381458e-09	7.390643e-09	7.374042e-09	7.3873596e-09	7.3710327e-09	7.372523e-09	7.37922e-09	7.3826687e-09	7.390009e-09	7.3881625e-09	7.385274e-09	7.390178e-09	7.380332e-09	7.390234e-09	7.385274e-09	7.374492e-09	7.3844575e-09	7.376954e-09	7.3700206e-09	7.382317e-09	7.3891773e-09
4597	6.7635203e-10	6.7747274e-10	6.760528e-10	6.782265e-10	6.7735906e-10	6.764759e-10	6.7678435e-10	6.763443e-10	1.8323294e-09	6.767856e-10	6.7692635e-10	6.7649136e-10	6.7712264e-10	6.776304e-10	6.7631206e-10	6.7605155e-10	6.766888e-10	6.761315e-10	6.7704514e-10	6.761818e-10	6.7697925e-10	6.7618694e-10	6.761392e-10	6.7733186e-10	6.768992e-10	6.7635203e-10	6.7657135e-10	6.7601413e-10	6.7713685e-10	6.76196e-10	6.7742234e-10	6.7729183e-10	6.7673145e-10	6.7649525e-10	6.760502e-10	6.7614825e-10	6.7636236e-10	6.760451e-10	6.7665656e-10	6.760399e-10	6.7636236e-10	6.770968e-10	6.76383e-10	6.7690953e-10	6.7752437e-10	6.765262e-10	6.9771794e-10
738	6.0634514e-10	6.068229e-10	6.062434e-10	6.072178e-10	6.067732e-10	6.063914e-10	6.0651284e-10	6.06344e-10	1.5992381e-09	6.0651284e-10	6.0656835e-10	6.063948e-10	6.0665745e-10	6.069063e-10	6.063301e-10	6.062364e-10	6.064724e-10	6.062699e-10	6.066204e-10	6.062827e-10	6.0659266e-10	6.06285e-10	6.062769e-10	6.0675465e-10	6.065626e-10	6.063428e-10	6.064261e-10	6.06226e-10	6.066633e-10	6.0628846e-10	6.0679983e-10	6.0674077e-10	6.064897e-10	6.063983e-10	6.0624106e-10	6.062699e-10	6.063613e-10	6.062399e-10	6.0645966e-10	6.062364e-10	6.063613e-10	6.0664473e-10	6.063555e-10	6.065661e-10	6.0685074e-10	6.064122e-10	6.2134253e-10
