	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
3	0.8035597	0.85947514	0.85395306	0.9274509	0.9534606	0.7157915	0.774301	0.9227224	0.7637632	0.9388932	0.9377451	0.850416	0.92250264	0.8988583	0.82571495	0.77729386	0.76116663	0.8058997	0.599097	0.7344697	0.86450386	0.72312033	0.95195746	0.91192436	0.85099065	0.80428165	0.6800189	0.84016675	0.8302156	0.9434723	0.64575416	0.6965264	0.9374242	0.81975204	0.87812334	0.46675923	0.92851365	0.9003096	0.92605364	0.7817242	0.93673784	0.92544836	0.907646	0.8636174	0.7048736	0.83450496	0.8024435
15	0.17198937	0.12304652	0.12706687	0.06282863	0.04024419	0.25119075	0.19888149	0.06750089	0.20650111	0.053100433	0.053960696	0.13096467	0.066379726	0.0866689	0.15277599	0.19070552	0.16735838	0.17110062	0.35474324	0.23453401	0.11824387	0.24093014	0.041486748	0.0767914	0.13042669	0.17102405	0.28215745	0.13979375	0.14887303	0.049170498	0.31295466	0.26671103	0.054476395	0.15747721	0.10671819	0.45490807	0.06205831	0.08689589	0.0643471	0.19256638	0.0546809	0.06329519	0.08009409	0.11945303	0.25444102	0.14511448	0.17123643
44	0.00895757	0.006656502	0.0071293577	0.0038702888	0.0025785388	0.011674343	0.00975067	0.0039152917	0.010610822	0.0032406875	0.0033430175	0.007042572	0.0043457826	0.0055257715	0.008010052	0.011121432	0.019562045	0.008533715	0.015386791	0.011066052	0.0065610115	0.012434167	0.0026756919	0.0044612437	0.0070279175	0.009024956	0.013070673	0.007512017	0.0078185005	0.0029967707	0.014047864	0.01272282	0.0032800406	0.008399104	0.0058586625	0.022709494	0.0037694564	0.0050061652	0.0038390057	0.0094092535	0.003444784	0.0043688533	0.0047946773	0.006468886	0.013675187	0.00763916	0.009481958
4596	0.006818896	0.0043081986	0.0048651765	0.0019514374	0.0010641313	0.010194057	0.0076936516	0.0019398058	0.008881202	0.0014822092	0.0015593003	0.0047011436	0.002384981	0.0034277758	0.0057202964	0.009996616	0.031504553	0.0062223864	0.016154587	0.009348235	0.0042503597	0.011517682	0.0011261812	0.002373895	0.004680178	0.0068830047	0.012283865	0.0052076518	0.0054878816	0.0013136965	0.013887988	0.011876674	0.0015013225	0.006219678	0.0035368276	0.033588737	0.0018574557	0.0028156794	0.0019029385	0.0072547346	0.0016375408	0.0024574779	0.0026835566	0.0041285935	0.01375766	0.0053076036	0.0075750775
1886	0.00050251104	0.00038487656	0.0004111765	0.00023776818	0.00016500971	0.0006320872	0.0005390195	0.00023878718	0.00058693375	0.00020191203	0.00020843647	0.0004047502	0.00026622994	0.0003303123	0.0004540057	0.0006231045	0.0011189075	0.00047885484	0.00080762705	0.0006026945	0.0003810114	0.00067954056	0.00017117281	0.00026918473	0.00040516315	0.0005101303	0.00070066616	0.00042914646	0.00044479023	0.00018803346	0.00074438413	0.0006849072	0.00020387949	0.0004742985	0.0003432977	0.0011731226	0.0002322153	0.00029911654	0.00023520236	0.00052144297	0.00021491232	0.00026890772	0.0002882513	0.00037465594	0.00074520556	0.00043535192	0.0005356903
628	0.00052894134	0.00041262808	0.0004389833	0.00026296385	0.0001866696	0.0006528575	0.000563898	0.0002639521	0.00061138324	0.00022550255	0.00023245164	0.00043243385	0.00029259865	0.0003580613	0.00048116627	0.0006473163	0.0011263514	0.00050534745	0.00081592455	0.0006250057	0.00040892055	0.00070059084	0.0001932482	0.00029534148	0.00043291925	0.0005362959	0.0007180975	0.00045665307	0.00047239987	0.00021094245	0.0007578821	0.00070320704	0.0002275705	0.00050108164	0.00037094048	0.0011499727	0.00025728095	0.0003262044	0.00026028	0.0005467206	0.00023935977	0.00029540466	0.00031498715	0.0004022599	0.00076278375	0.00046268338	0.00056267483
1991	0.0026491045	0.001958297	0.0020998057	0.0011311299	0.0007514324	0.0034766737	0.0028891906	0.001144139	0.0031500694	0.00094533013	0.0009762147	0.0020735844	0.0012722779	0.0016219051	0.0023639605	0.0033106452	0.005877875	0.0025227596	0.00463333	0.0032889144	0.0019304116	0.0037066133	0.0007808719	0.0013058402	0.0020714146	0.0026788316	0.0039045187	0.0022140427	0.00230702	0.0008737195	0.00420876	0.0037968964	0.0009568703	0.0024792177	0.0017203931	0.0069482415	0.0011020968	0.001467444	0.0011217395	0.002785467	0.0010066068	0.001279325	0.0014045351	0.0019018454	0.0040929476	0.002253636	0.0028138142
635	0.0012304338	0.0009785674	0.0010368011	0.00064387725	0.00046726363	0.0014883474	0.0013039428	0.00064593693	0.0014039604	0.000557718	0.0005736331	0.0010219443	0.00071161	0.0008593582	0.0011278512	0.0014834849	0.0024936313	0.00117891	0.0018133592	0.0014305554	0.0009707987	0.0015893565	0.00048250193	0.00071732467	0.0010226506	0.0012448851	0.0016213363	0.0010748631	0.0011084075	0.0005239461	0.0017010353	0.0015935415	0.00056246115	0.0011712058	0.0008862123	0.0024579177	0.00063056685	0.00078647846	0.00063763675	0.0012672443	0.0005893072	0.0007183775	0.0007619027	0.000955966	0.0017198509	0.0010876716	0.0013034536
4597	0.0003555338	0.00027212867	0.00028861003	0.00016618724	0.00011545578	0.0004529916	0.00038423965	0.00016850454	0.00041531358	0.00014173091	0.00014599039	0.00028610043	0.00018401227	0.00022829215	0.00032142058	0.00043172407	0.0006870831	0.0003413004	0.00058239	0.000431257	0.000268464	0.0004795792	0.00011961966	0.00018945527	0.00028637526	0.0003603081	0.00050159596	0.00030296476	0.0003152913	0.00013222377	0.00053426664	0.00048785203	0.00014341185	0.0003343312	0.00024279796	0.0008240746	0.00016285572	0.00021056159	0.00016527719	0.00037205234	0.00015014634	0.00018426127	0.00020166293	0.0002648613	0.0005208777	0.0003082615	0.00037604853
738	0.0009780113	0.00068525254	0.00075530563	0.00036986664	0.00022958848	0.0013204027	0.0010674318	0.00036704706	0.0012032193	0.000297298	0.00031031953	0.0007331722	0.0004351049	0.0005777009	0.0008528957	0.0013320224	0.0033858381	0.0009079731	0.0018602192	0.001237693	0.0006791825	0.0014732932	0.00024073487	0.0004305309	0.0007320531	0.0009929601	0.0015245302	0.00079398765	0.0008275259	0.00027028882	0.0016628999	0.0014865486	0.00030017173	0.0009100871	0.00058832474	0.0032769016	0.00035630818	0.00049352914	0.00036200817	0.0010194468	0.00032356556	0.0004464344	0.0004749963	0.00066198537	0.0016895449	0.00080541114	0.0010715307
