	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
15	1.484713e-08	1.4372529e-08	1.4468163e-08	1.3850085e-08	1.3575569e-08	1.5611473e-08	1.4997807e-08	1.3842531e-08	1.5329944e-08	1.371609e-08	1.37625e-08	1.44404275e-08	1.3974455e-08	1.4171797e-08	1.4629525e-08	1.5523108e-08	1.6927164e-08	1.4759516e-08	1.7255097e-08	1.5415827e-08	1.4354229e-08	1.5896019e-08	1.363926e-08	1.3973789e-08	1.4500319e-08	1.531796e-08	1.6085666e-08	1.45324375e-08	1.4613601e-08	1.3647197e-08	1.6417545e-08	1.5827283e-08	1.3713945e-08	1.4748063e-08	1.4239997e-08	2.4394277e-08	1.3849133e-08	1.4100939e-08	1.3828176e-08	1.4925552e-08	1.380883e-08	1.3981067e-08	1.4037796e-08	1.4319582e-08	1.6279625e-08	1.4591681e-08	1.5006735e-08
44	9.242014e-09	9.129796e-09	9.139988e-09	9.024188e-09	8.998183e-09	9.467591e-09	9.299571e-09	9.038347e-09	9.363128e-09	9.0163415e-09	9.0054115e-09	9.147086e-09	9.015396e-09	9.053254e-09	9.193858e-09	9.277638e-09	9.539807e-09	9.236023e-09	1.0039596e-08	9.4186365e-09	9.114571e-09	9.51366e-09	8.987582e-09	9.039226e-09	9.130597e-09	9.241979e-09	9.621747e-09	9.166175e-09	9.185444e-09	9.0143475e-09	9.746201e-09	9.537388e-09	9.020574e-09	9.209601e-09	9.104337e-09	1.2732117e-08	9.0288355e-09	9.068168e-09	9.031575e-09	9.281249e-09	9.013488e-09	9.007318e-09	9.04968e-09	9.124033e-09	9.5233e-09	9.184218e-09	9.23678e-09
4596	4.350797e-09	4.2996984e-09	4.3031854e-09	4.2528976e-09	4.2440247e-09	4.4571173e-09	4.3794044e-09	4.260627e-09	4.4046193e-09	4.250951e-09	4.244243e-09	4.3076938e-09	4.2455306e-09	4.262838e-09	4.3292414e-09	4.3528803e-09	4.4677484e-09	4.348889e-09	4.7315725e-09	4.4342148e-09	4.2919965e-09	4.472924e-09	4.237222e-09	4.2580517e-09	4.296157e-09	4.3453565e-09	4.529449e-09	4.3161155e-09	4.3248094e-09	4.251381e-09	4.5913184e-09	4.4905843e-09	4.2534087e-09	4.334959e-09	4.287987e-09	6.0204695e-09	4.25465e-09	4.2709845e-09	4.2572155e-09	4.3707673e-09	4.246883e-09	4.241613e-09	4.2630983e-09	4.297837e-09	4.4695128e-09	4.323902e-09	4.3454724e-09
1886	1.8670796e-09	1.8544272e-09	1.8532709e-09	1.8458908e-09	1.8501276e-09	1.900755e-09	1.8778332e-09	1.8503358e-09	1.8811457e-09	1.8491997e-09	1.8440961e-09	1.8565753e-09	1.8378283e-09	1.8409226e-09	1.8622427e-09	1.8473982e-09	1.8687862e-09	1.8687007e-09	1.998375e-09	1.894432e-09	1.8508581e-09	1.9007007e-09	1.8444162e-09	1.8446026e-09	1.8483287e-09	1.8515114e-09	1.9252122e-09	1.8582157e-09	1.860386e-09	1.8517339e-09	1.9483257e-09	1.9121476e-09	1.8506181e-09	1.861632e-09	1.8522638e-09	2.480537e-09	1.8467641e-09	1.8475216e-09	1.8489352e-09	1.8754027e-09	1.8438674e-09	1.8355581e-09	1.8453697e-09	1.85511e-09	1.8872803e-09	1.8604286e-09	1.8595416e-09
628	6.6065786e-10	6.546982e-10	6.54662e-10	6.4995653e-10	6.5040917e-10	6.747028e-10	6.6474315e-10	6.5144706e-10	6.6733086e-10	6.5064487e-10	6.490435e-10	6.556767e-10	6.4769307e-10	6.493258e-10	6.5825423e-10	6.566541e-10	6.6797523e-10	6.6099193e-10	7.137096e-10	6.7195316e-10	6.5338834e-10	6.7605155e-10	6.4865735e-10	6.500408e-10	6.5328615e-10	6.5585554e-10	6.8481165e-10	6.565627e-10	6.575791e-10	6.5122097e-10	6.9365097e-10	6.7931527e-10	6.510968e-10	6.584966e-10	6.5360145e-10	9.056669e-10	6.5040173e-10	6.515316e-10	6.509304e-10	6.637005e-10	6.493097e-10	6.468523e-10	6.5042777e-10	6.5471817e-10	6.7280986e-10	6.576769e-10	6.5843503e-10
1991	1.6727617e-09	1.6570207e-09	1.6572894e-09	1.6440693e-09	1.6442261e-09	1.7089682e-09	1.6829834e-09	1.6474877e-09	1.6902215e-09	1.6451829e-09	1.641716e-09	1.6595132e-09	1.639291e-09	1.6438655e-09	1.6662752e-09	1.6672386e-09	1.7008905e-09	1.6731223e-09	1.807259e-09	1.7015168e-09	1.6539989e-09	1.7131064e-09	1.640464e-09	1.644753e-09	1.6543366e-09	1.6655126e-09	1.734431e-09	1.6619427e-09	1.6646615e-09	1.6463098e-09	1.7566475e-09	1.7205726e-09	1.6462282e-09	1.6673657e-09	1.6538317e-09	2.2895363e-09	1.6449351e-09	1.6484873e-09	1.6462187e-09	1.680238e-09	1.642239e-09	1.6374192e-09	1.6458482e-09	1.6568564e-09	1.7084891e-09	1.664633e-09	1.6687688e-09
635	6.9209323e-09	6.885369e-09	6.880026e-09	6.8666672e-09	6.8876678e-09	7.0259665e-09	6.9548216e-09	6.881785e-09	6.9641666e-09	6.8811152e-09	6.8629222e-09	6.8914128e-09	6.8372747e-09	6.8430803e-09	6.907731e-09	6.853935e-09	6.916406e-09	6.928289e-09	7.3431643e-09	7.006749e-09	6.873638e-09	7.025819e-09	6.8668635e-09	6.8604225e-09	6.8650303e-09	6.861679e-09	7.105018e-09	6.895594e-09	6.901844e-09	6.891255e-09	7.179356e-09	7.062364e-09	6.8858417e-09	6.9042403e-09	6.8807218e-09	8.956112e-09	6.8703616e-09	6.8675448e-09	6.8774675e-09	6.947821e-09	6.861666e-09	6.8289596e-09	6.860946e-09	6.888364e-09	6.9835604e-09	6.903029e-09	6.8942656e-09
4597	6.375615e-10	6.2938654e-10	6.300051e-10	6.2185707e-10	6.203265e-10	6.545009e-10	6.420021e-10	6.230419e-10	6.4637007e-10	6.2150374e-10	6.205099e-10	6.306543e-10	6.208473e-10	6.23546e-10	6.34087e-10	6.3898464e-10	6.5746997e-10	6.372624e-10	6.981706e-10	6.508485e-10	6.281896e-10	6.5746747e-10	6.193287e-10	6.228186e-10	6.291489e-10	6.367934e-10	6.66091e-10	6.320199e-10	6.3341854e-10	6.214966e-10	6.7572925e-10	6.597676e-10	6.2185945e-10	6.351062e-10	6.275561e-10	9.0775776e-10	6.2220823e-10	6.2488065e-10	6.2250977e-10	6.40648e-10	6.2102146e-10	6.2018335e-10	6.2353767e-10	6.290373e-10	6.575565e-10	6.333497e-10	6.3681405e-10
738	5.6963023e-10	5.630583e-10	5.6340743e-10	5.5723665e-10	5.564783e-10	5.8381083e-10	5.734752e-10	5.5836763e-10	5.7675725e-10	5.572271e-10	5.5617694e-10	5.6408916e-10	5.559786e-10	5.5806526e-10	5.668719e-10	5.693641e-10	5.837574e-10	5.6952815e-10	6.2118255e-10	5.808043e-10	5.6198324e-10	5.858857e-10	5.553713e-10	5.5782257e-10	5.624851e-10	5.6787286e-10	5.9360994e-10	5.6515315e-10	5.6627747e-10	5.573993e-10	6.0196514e-10	5.8827754e-10	5.5757154e-10	5.675448e-10	5.6163285e-10	8.02854e-10	5.5753646e-10	5.5944005e-10	5.579024e-10	5.723617e-10	5.565112e-10	5.5535543e-10	5.583591e-10	5.6286287e-10	5.851352e-10	5.662257e-10	5.685882e-10
