	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
0	0.9323572	0.93161887	0.93255216	0.9322805	0.9321741	0.9323581	0.93191713	0.9325019	0.93184835	0.93228227	0.9317748	0.93178296	0.93197465	0.9323325	0.9323336	0.93245596	0.9323344	0.93247724	0.9318082	0.9323471	0.93227744	0.9323281	0.932278	0.9323796	0.93173444	0.93156314	0.9313881	0.9324204	0.9319767	0.9324821	0.93243194	0.93251187	0.93213224	0.93244874	0.9324518	0.9321173	0.9319074	0.9324562	0.93248117	0.932273	0.9319074	0.931962	0.9324962	0.9318228	0.9318095	0.9319278	0.9316944
1	0.07290718	0.07248339	0.07313054	0.07196483	0.072300695	0.07262438	0.07187796	0.07320494	0.08159898	0.07252657	0.07206784	0.07218928	0.07160895	0.073395886	0.07256731	0.07342844	0.07312025	0.07317401	0.071998455	0.072600365	0.07363486	0.07254041	0.07288447	0.0729889	0.072189495	0.07290975	0.07300362	0.073377155	0.07213169	0.073539056	0.0729886	0.07326934	0.072401434	0.07332698	0.07308688	0.0723574	0.07193142	0.07310519	0.07321933	0.07343702	0.07193142	0.0715855	0.07320568	0.072431706	0.07228499	0.071759395	0.079887554
2	-0.17495401	-0.07185841	-0.18296733	-0.16323987	-0.1604083	-0.16930196	-0.1320988	-0.18199533	0.19827713	-0.16497864	-0.108711906	-0.10609672	-0.14013922	-0.18683258	-0.16769001	-0.18693163	-0.17904298	-0.18259177	-0.11475439	-0.1687035	-0.1861868	-0.1672495	-0.18226893	-0.17843172	-0.09812529	-0.059034914	-0.04381438	-0.18722944	-0.13442983	-0.18606551	-0.17703319	-0.18234415	-0.15199664	-0.1855238	-0.1847893	-0.15555635	-0.13003244	-0.18492977	-0.18239409	-0.18798293	-0.13003244	-0.13864772	-0.18289788	-0.112591766	-0.11033118	-0.124534346	0.14125201
3	0.9330729	0.9398764	0.93251336	0.9338649	0.9340658	0.9334657	0.9359507	0.93255985	0.95500636	0.93373626	0.9375356	0.9376794	0.9354177	0.9319843	0.933558	0.9320888	0.9326978	0.9324776	0.9371388	0.9334907	0.93209845	0.93358463	0.9323006	0.93276227	0.9382038	0.9406524	0.9416205	0.9320334	0.9357807	0.9322669	0.93291986	0.93254447	0.93460953	0.93220365	0.93225414	0.934346	0.93600494	0.9322462	0.9325065	0.9318117	0.93600494	0.93551916	0.9324696	0.93719864	0.9373678	0.93646014	0.9520908
4	-0.85983175	-0.86068827	-0.8600569	-0.8600956	-0.8598385	-0.8599137	-0.860099	-0.85995334	-0.8586868	-0.859896	-0.860344	-0.8603713	-0.85998327	-0.8598443	-0.85993093	-0.85994124	-0.8597938	-0.8599532	-0.86027545	-0.8599322	-0.859759	-0.8599371	-0.85986507	-0.8598376	-0.86045724	-0.86066294	-0.8606759	-0.8599485	-0.8601232	-0.8599359	-0.85991013	-0.8599633	-0.8599431	-0.8599329	-0.85996765	-0.85987306	-0.8603626	-0.8599696	-0.85994035	-0.8598212	-0.8603626	-0.86000115	-0.85996455	-0.8603434	-0.86039394	-0.8602344	-0.8598654
5	0.82692146	0.8258154	0.8269935	0.8264334	0.82668626	0.8268262	0.8262758	0.8269557	0.82949543	0.82670116	0.82616985	0.82609284	0.82640946	0.8264018	0.8267374	0.8267051	0.8267422	0.82683796	0.82622164	0.8267567	0.8265763	0.8267211	0.8262503	0.8268017	0.8260352	0.82565874	0.8255872	0.8266272	0.8262598	0.8269837	0.82690877	0.8269686	0.8264961	0.82673055	0.8266571	0.8264844	0.8257511	0.82666767	0.8268887	0.82620996	0.8257511	0.82639444	0.8268827	0.8260012	0.82601964	0.8262541	0.8269612
6	-0.6501314	-0.64623094	-0.65022814	-0.6491682	-0.6499167	-0.6501079	-0.6492554	-0.6502027	-0.5924728	-0.64999723	-0.6485125	-0.6483493	-0.649667	-0.6496341	-0.6500124	-0.64994884	-0.6499423	-0.6500866	-0.6487842	-0.6500285	-0.64962876	-0.64999926	-0.64949006	-0.6500676	-0.6479511	-0.6450482	-0.64334005	-0.64989084	-0.6492522	-0.6500867	-0.65014607	-0.6501675	-0.64971083	-0.64999145	-0.64989954	-0.64969736	-0.64788336	-0.6499125	-0.6501311	-0.64951825	-0.64788336	-0.6496247	-0.6501311	-0.64845353	-0.64838976	-0.6492439	-0.60815847
7	0.22764191	0.22831814	0.22788937	0.2276778	0.2274538	0.22760046	0.22770903	0.2278691	0.2230945	0.22758935	0.22810984	0.22820818	0.22731528	0.22803248	0.22762796	0.22804037	0.2277502	0.2278792	0.22800517	0.22763588	0.2280705	0.22762628	0.22777438	0.22765824	0.22824922	0.2283489	0.22805437	0.22798847	0.22786145	0.22809377	0.2277453	0.2279365	0.22773387	0.22795197	0.22791353	0.22758637	0.2283267	0.22792119	0.22788611	0.22805002	0.2283267	0.22733046	0.22789587	0.22829375	0.22826365	0.22771984	0.2263147
8	0.72169346	0.7240045	0.7207967	0.72186345	0.7224296	0.7217175	0.72329044	0.7209885	0.7188889	0.7219144	0.7237256	0.723608	0.72314423	0.7207263	0.7216901	0.7206368	0.7214423	0.7209133	0.7236369	0.72164285	0.7211393	0.72169465	0.72096354	0.7213988	0.7237564	0.7239637	0.72445625	0.720611	0.72304004	0.72090244	0.72136694	0.7209475	0.7223958	0.72074455	0.7207335	0.7224961	0.7229952	0.7207216	0.72097373	0.72058696	0.7229952	0.7231906	0.72088695	0.7234298	0.7235388	0.72328925	0.72087616
9	0.7345037	0.73165673	0.73458886	0.7333315	0.73410064	0.7345276	0.73311955	0.7345438	0.73150253	0.73429155	0.73251826	0.7325008	0.73344934	0.7329787	0.73435116	0.7337295	0.73401904	0.734265	0.73268545	0.73438185	0.73312	0.73431826	0.73287296	0.7342631	0.7322645	0.73134154	0.7306575	0.7335018	0.7332566	0.73420125	0.7345491	0.73452634	0.7338193	0.7338616	0.73372096	0.7337973	0.7318491	0.7337429	0.7343695	0.7325156	0.7318491	0.73339915	0.73435944	0.73261833	0.7325393	0.7331661	0.7295438
