	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
0	-0.22379236	-0.041393425	-0.11088081	0.099814825	-0.1331134	-0.25662777	-0.22338955	-0.2219158	0.30221486	-0.161071	-0.09692177	0.0076188445	-0.2228677	-0.16220582	-0.28108847	-0.15942128	-0.0047916025	-0.21008389	-0.13151175	-0.18916067	-0.31505907	-0.24096301	-0.293151	-0.19873697	-0.18458004	-0.09514289	-0.20726408	-0.3013965	-0.0048644305	-0.23940267	-0.2682285	-0.22248144	-0.27808854	-0.27423885	-0.17933135	-0.26858875	-0.13579391	-0.18064746	-0.079245254	-0.20449339	-0.13579391	-0.17166492	-0.2547913	-0.19765761	0.09110892	-0.1539522	0.101615444
1	0.30229717	0.008847885	0.109751225	-0.21437317	0.16108933	0.34259138	0.29395944	0.28559664	-0.52237177	0.1934479	0.0804707	-0.07848811	0.2942256	0.18399614	0.3821939	0.19172692	-0.066262074	0.2689036	0.14984328	0.23512733	0.42641014	0.31677416	0.40008673	0.25675535	0.23405324	0.07475421	0.26843458	0.41544262	-0.0901768	0.3160416	0.3602874	0.29039893	0.37741396	0.37084767	0.28207782	0.36207402	0.22552247	0.28360868	0.04700952	0.27129787	0.22552247	0.22336882	0.33791566	0.25734988	-0.22617029	0.19088562	-0.18362917
2	0.049399335	-0.113708496	0.0037561136	-0.18365745	-0.025347613	0.08882324	0.061344102	0.072692454	-0.37021667	0.021292113	-0.026943536	-0.11877031	0.06046952	0.012336462	0.10676639	0.024725918	-0.09523062	0.065685086	-0.009029262	0.052673046	0.12117576	0.08447344	0.10227206	0.044866573	0.028879497	-0.00399242	0.048199434	0.11120631	-0.05088384	0.07601395	0.09747168	0.05992359	0.10464778	0.100358814	-0.0471263	0.097465016	-0.084537566	-0.045840126	-0.0097411545	0.04240475	-0.084537566	-0.0034920801	0.094738945	0.036856513	-0.23654936	-0.036607772	-0.23090306
3	0.24678305	0.1978485	0.21576907	0.15670955	0.22362651	0.25948665	0.25043467	0.24848731	0.46227282	0.23391257	0.22972322	0.18930778	0.24979702	0.27591738	0.266386	0.23187608	0.19808768	0.2443789	0.22743407	0.2386321	0.30593342	0.25300676	0.2826438	0.24277271	0.24190442	0.21593334	0.24813038	0.28317723	0.19494595	0.25473666	0.26286238	0.25231495	0.26525852	0.26458287	0.213832	0.2624174	0.1973074	0.21443073	0.21127279	0.24131109	0.1973074	0.23688194	0.25701383	0.24406354	0.1697442	0.2464837	0.25697306
4	0.835539	0.72998774	0.79537076	0.68524307	0.79409295	0.8497919	0.8385619	0.8371836	0.3995813	0.8138491	0.77883923	0.7210539	0.83851063	0.8144744	0.85813814	0.8145083	0.73139036	0.8331325	0.80038786	0.8263535	0.8766909	0.8444937	0.86648315	0.82980347	0.8234352	0.7836088	0.8334786	0.8692381	0.72995627	0.8441844	0.8524433	0.8404821	0.85652685	0.85570973	0.81004214	0.85365903	0.79553	0.8104862	0.7731033	0.83028036	0.79553	0.8115064	0.847902	0.8287187	0.63164544	0.79445803	0.69251657
5	0.54652727	0.83871406	0.80330044	0.9554098	0.7342074	0.48214927	0.57904494	0.5886658	0.9899914	0.71869135	0.8157327	0.9038955	0.5794585	0.732011	0.36986732	0.72288287	0.90110606	0.61594707	0.76301616	0.6687793	0.20518789	0.53708667	0.31823114	0.63897115	0.6685534	0.8241985	0.62457407	0.2591372	0.9078511	0.53869855	0.42962745	0.59575033	0.38165337	0.40590298	0.5352296	0.4314878	0.64293414	0.53198504	0.8382872	0.6089436	0.64293414	0.6602405	0.4863755	0.6357713	0.9409647	0.6737044	0.9524999
6	-0.93626916	-0.83344764	-0.9040411	-0.7638321	-0.9021196	-0.9449672	-0.93805736	-0.93794495	-0.23826039	-0.9186524	-0.88249713	-0.8169843	-0.9384049	-0.9143428	-0.94859797	-0.92035663	-0.8284017	-0.9357481	-0.9066074	-0.9304575	-0.95769984	-0.9425635	-0.95365757	-0.93243414	-0.9261166	-0.8914834	-0.9340599	-0.9540104	-0.82875186	-0.94137794	-0.9462431	-0.93853337	-0.94792914	-0.9476173	-0.9240846	-0.9469236	-0.91198534	-0.92440057	-0.8818645	-0.9336284	-0.91198534	-0.91748774	-0.94456214	-0.9307119	-0.6803183	-0.9017131	-0.80777735
7	-0.8656635	-0.8036869	-0.8553701	-0.7876972	-0.84384954	-0.87319773	-0.8696614	-0.87167877	-0.6450692	-0.8585074	-0.8359646	-0.80509585	-0.8704032	-0.85139066	-0.87576324	-0.8618759	-0.8110158	-0.8713048	-0.85102105	-0.8687226	-0.8885557	-0.8737133	-0.88197714	-0.8678112	-0.8614978	-0.8474814	-0.867418	-0.8838734	-0.8203785	-0.87102455	-0.8734345	-0.86978275	-0.8749884	-0.87430423	-0.85373837	-0.8742582	-0.84654677	-0.8539145	-0.8432288	-0.8675755	-0.84654677	-0.85198325	-0.8741021	-0.86444694	-0.7476202	-0.8365656	-0.7958385
8	0.07458198	-0.12620987	-0.08537616	-0.30397782	-0.0311024	0.09581076	0.057133228	0.04946489	-0.6689058	-0.023911454	-0.11822961	-0.2117231	0.058592092	-0.066095844	0.13151947	-0.023390159	-0.21300517	0.038439073	-0.054294143	0.009719228	0.15873799	0.07472027	0.14405532	0.028978404	0.00865139	-0.116355926	0.03418439	0.15949097	-0.24062808	0.07291527	0.112858415	0.048583176	0.12809962	0.120937265	0.11952268	0.113616996	0.08058823	0.120390885	-0.13455902	0.04908645	0.08058823	0.016963074	0.09375428	0.029932924	-0.28922686	-0.0060782204	-0.3157989
9	0.21135609	0.1884615	0.24735509	0.24121557	0.20934555	0.21381903	0.21917431	0.2263321	-0.1913259	0.22624864	0.20874071	0.2160295	0.22040245	0.17792994	0.20578887	0.23327474	0.21821338	0.23047711	0.2223632	0.23501858	0.18095894	0.22337347	0.19514777	0.22547893	0.21826527	0.24028842	0.21976422	0.19344422	0.24226469	0.21700664	0.20871475	0.219107	0.20628524	0.20728825	0.20070612	0.21046443	0.20999362	0.20039462	0.24148305	0.22246152	0.20999362	0.20208664	0.21842907	0.21832542	0.17057514	0.16874464	0.12934713
