	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
0	0.9322421	0.93254256	0.9323912	0.93263155	0.93284917	0.93226045	0.93253624	0.9328905	0.9315598	0.93286026	0.9325503	0.93250483	0.93215984	0.93224436	0.93245924	0.93060786	0.92917436	0.9324869	0.9317422	0.93222344	0.93254906	0.93100995	0.9324365	0.9326143	0.9321471	0.9304208	0.9317774	0.93247855	0.932376	0.93298244	0.9320271	0.93210405	0.9329308	0.9322368	0.93246764	0.92824525	0.9324935	0.93232036	0.9327742	0.9325553	0.9322624	0.9320646	0.9324378	0.9326789	0.9305893	0.9323473	0.931746
1	0.07340789	0.074056104	0.07398561	0.07447126	0.07463107	0.074194156	0.07402163	0.07419656	0.07114902	0.07415753	0.07412345	0.073872015	0.07490027	0.07505414	0.07384549	0.07932927	0.075279295	0.0735682	0.072597496	0.07283733	0.0746357	0.07001423	0.07381188	0.075144775	0.07530864	0.068501964	0.07198306	0.07388505	0.073482744	0.074512765	0.07320155	0.073440745	0.074325725	0.0732584	0.0731609	0.06593899	0.073167466	0.07271927	0.074277975	0.074148804	0.072643034	0.07506979	0.0739518	0.07423322	0.07854701	0.07300968	0.07396954
2	-0.03038371	-0.09958778	-0.09366344	-0.21336035	-0.27464148	0.085035875	0.011102927	-0.20005326	0.00821879	-0.2349971	-0.23693039	-0.090776294	-0.20804003	-0.1634946	-0.05623198	-0.009265731	0.0020609668	-0.027112152	0.22552794	0.055837464	-0.10487841	0.052750368	-0.27251333	-0.18112065	-0.08998816	-0.04740651	0.114014216	-0.075883105	-0.06270481	-0.24808058	0.16039985	0.09806427	-0.23253451	-0.047720306	-0.12929323	0.3555413	-0.2157176	-0.1665751	-0.21012616	0.001103617	-0.23666291	-0.21419142	-0.17842668	-0.10496699	0.071607925	-0.06399181	-0.034638032
3	0.9384487	0.9386547	0.9386097	0.9387477	0.9387501	0.93845516	0.9385989	0.93876934	0.9378548	0.93874186	0.93865204	0.9386166	0.9386973	0.9387635	0.9385876	0.93892026	0.938	0.9385253	0.9378504	0.938276	0.9387941	0.9374855	0.9384367	0.9388425	0.93873036	0.9371344	0.93794227	0.938608	0.9385087	0.9388279	0.9381535	0.938308	0.9387883	0.9384295	0.93848914	0.9353907	0.93848586	0.9383755	0.93874866	0.9386272	0.9383278	0.93870324	0.9386181	0.9387238	0.93882203	0.9384175	0.9384272
4	-0.85943407	-0.8593818	-0.85964775	-0.859621	-0.8591887	-0.85869044	-0.8592245	-0.85916066	-0.85904944	-0.8591512	-0.8592616	-0.8594395	-0.86005896	-0.86041623	-0.8593813	-0.859319	-0.8635585	-0.8589219	-0.85841334	-0.8588676	-0.8596277	-0.85900915	-0.8590922	-0.8591303	-0.858895	-0.85915804	-0.8587112	-0.8594556	-0.85936725	-0.8591535	-0.8587766	-0.8591657	-0.8591393	-0.859405	-0.8591737	-0.85789484	-0.85914636	-0.8591607	-0.85933274	-0.8591205	-0.8591603	-0.86061555	-0.8596271	-0.8593925	-0.85905766	-0.85911685	-0.86024904
5	0.82707226	0.8270914	0.8270631	0.82681423	0.8265083	0.8273871	0.8271621	0.8268128	0.8268086	0.82668495	0.8268086	0.827048	0.8270722	0.82705265	0.82711005	0.8301199	0.827568	0.8272001	0.8266291	0.82702005	0.8272209	0.82668483	0.8263231	0.8273753	0.82801515	0.8264967	0.82684356	0.8270731	0.82704306	0.8266763	0.8269212	0.8270572	0.82671	0.8270369	0.8268813	0.8250664	0.8266374	0.8267374	0.82678854	0.8272492	0.8264979	0.82688016	0.8268616	0.8270684	0.8301669	0.827003	0.82721007
6	-0.652752	-0.65356624	-0.6487419	-0.64480317	-0.6486706	-0.6680989	-0.66294235	-0.6549824	-0.6473305	-0.6520747	-0.6449808	-0.6530483	-0.6316431	-0.63317126	-0.6552184	-0.62028015	-0.55008596	-0.66201323	-0.6738086	-0.6642068	-0.65086454	-0.6412937	-0.6424218	-0.6507489	-0.65027994	-0.6214358	-0.66244835	-0.65347445	-0.65347195	-0.6532859	-0.6697709	-0.6624892	-0.6536216	-0.6517023	-0.6523224	-0.63101155	-0.6469699	-0.64721763	-0.65049595	-0.66338176	-0.6411856	-0.6239786	-0.6437595	-0.65557116	-0.62947404	-0.6552913	-0.6351412
7	0.22662215	0.22773683	0.22775711	0.23019372	0.23138213	0.22392234	0.22513798	0.22964561	0.22715262	0.23054492	0.23112613	0.22758311	0.23070718	0.22927526	0.2268558	0.22923882	0.22915785	0.22634372	0.22155106	0.22482133	0.22767206	0.22709484	0.23202766	0.22970092	0.22855307	0.23053649	0.22422494	0.22726104	0.22718978	0.23062001	0.22256942	0.22383204	0.23034585	0.22707188	0.2287373	0.22419009	0.23079094	0.22993131	0.22999491	0.22540046	0.23172888	0.23063207	0.22972453	0.22761135	0.22790766	0.22741316	0.2272274
8	0.72284645	0.7225352	0.7227264	0.72270834	0.7224215	0.721518	0.7217451	0.72248125	0.7247805	0.7226696	0.723225	0.72262317	0.7232033	0.72264963	0.7224831	0.7234183	0.72552645	0.72249985	0.7212518	0.72249633	0.72240406	0.7257971	0.7233336	0.72253615	0.7229609	0.728235	0.72295815	0.72255373	0.7228492	0.72233325	0.72140735	0.7218697	0.7224547	0.72306883	0.72332454	0.7273022	0.72368425	0.7239766	0.7226084	0.7217926	0.72437656	0.723049	0.7231335	0.72225815	0.7237108	0.72320133	0.7232515
9	0.7303343	0.731323	0.7314163	0.7329818	0.7333328	0.72857934	0.7296695	0.73238873	0.72920907	0.7328143	0.7330806	0.731185	0.7335495	0.7331008	0.7307024	0.7334051	0.7339314	0.73000884	0.7255125	0.7286065	0.7320653	0.72844356	0.7330252	0.7326984	0.731814	0.72980917	0.7275164	0.7310068	0.7307115	0.7330258	0.7270025	0.7283119	0.73279124	0.7305216	0.73136854	0.7217049	0.73244876	0.7317833	0.73266757	0.72982377	0.732664	0.7339319	0.7324798	0.7313777	0.73232037	0.73048526	0.73122424
