	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
0	-0.060301736	-0.15867656	-0.15090929	-0.30097136	-0.3694146	0.07095413	-0.027640883	-0.28069106	0.048257478	-0.3185505	-0.3140021	-0.14521472	-0.29662943	-0.25724733	-0.10277889	-0.080635086	-0.04126394	-0.05670648	0.27255574	0.05913926	-0.17884369	0.13367894	-0.34280312	-0.26573187	-0.14623357	0.056934126	0.15330409	-0.12788461	-0.1014856	-0.3415625	0.1781218	0.095134266	-0.32006538	-0.07715145	-0.17224409	0.566799	-0.27213442	-0.20400782	-0.2934548	-0.039794665	-0.28242248	-0.3139314	-0.24843557	-0.17152202	0.036187474	-0.089734726	-0.074995354
1	0.033063192	0.1812027	0.17028745	0.41330284	0.5209405	-0.22187456	-0.06700646	0.38415438	-0.037131038	0.45141795	0.46128932	0.16222617	0.41176856	0.31890583	0.086628236	0.043880302	0.012162185	0.023215817	-0.49701136	-0.15878573	0.19092794	-0.12520069	0.52344567	0.35521308	0.17786425	0.114616886	-0.2763811	0.12971784	0.103086784	0.4729982	-0.37800446	-0.25046965	0.44545493	0.07250071	0.24796322	-0.66150665	0.42246318	0.32913274	0.40532058	-0.043680374	0.46575338	0.4214551	0.3486477	0.18961267	-0.13742532	0.10797426	0.05104038
2	-0.0716107	0.023999041	0.013181646	0.12756073	0.17749394	-0.102364026	-0.027141793	0.11259717	-0.2967009	0.12740389	0.09161139	0.008992431	0.10862152	0.12582676	-0.0152100185	-0.049129132	-0.1258751	-0.06470705	-0.26828587	-0.15817778	0.0704666	-0.41886428	0.07969949	0.10481653	-0.01477633	-0.5032722	-0.26867974	0.0011988749	-0.042656288	0.16845295	-0.18526085	-0.13524792	0.14295393	-0.07528354	-0.029327272	-0.775636	0.019758541	-0.05212721	0.11857389	-0.022841608	-0.021634351	0.14720319	0.05774748	0.053166416	-0.14684467	-0.08424523	-0.05996228
3	0.17639188	0.21198949	0.22849506	0.28961575	0.29336947	0.089770645	0.15109982	0.2423354	0.09883968	0.25993818	0.27184153	0.2087168	0.33001307	0.33460522	0.18930784	0.28159627	0.5040582	0.13695484	-0.008747653	0.08788895	0.23929153	0.0633089	0.27737504	0.25098038	0.19818617	0.097866885	0.044591535	0.20379496	0.18537672	0.2719023	0.049574178	0.10599485	0.26013413	0.17916021	0.19508876	-0.16134273	0.23644185	0.2062765	0.26313338	0.14969723	0.24220677	0.3750226	0.2658731	0.21630052	0.2032001	0.15929303	0.25333056
4	0.77272964	0.8082881	0.8044513	0.8557818	0.87817645	0.6986377	0.74779946	0.8526593	0.7559378	0.86561006	0.8656694	0.80414414	0.85121673	0.831911	0.7865067	0.7420656	0.72227347	0.7728499	0.5838986	0.72281516	0.80753237	0.7296811	0.87814355	0.8432815	0.80189747	0.7908744	0.68269163	0.79650503	0.79069936	0.8698026	0.6409108	0.68888205	0.8645912	0.782821	0.8245171	0.4557237	0.8596914	0.8411095	0.85577744	0.7540931	0.8675952	0.851643	0.8426933	0.8107294	0.6876309	0.7932635	0.76969916
5	0.90525687	0.78697294	0.7899738	0.26054096	-0.119797595	0.98153156	0.9501415	0.39502227	0.9359264	0.16485578	0.10711584	0.80638474	0.21787915	0.48268902	0.87456924	0.89342046	0.8076535	0.91858447	0.9971885	0.97173417	0.76863605	0.9600912	-0.14681515	0.47460824	0.8012992	0.82664454	0.98611575	0.83824795	0.86126155	0.08747234	0.99309677	0.98317707	0.19105524	0.88145345	0.69614583	0.9991521	0.253041	0.5245468	0.31215602	0.9438179	0.08038655	0.13657609	0.45324662	0.7788825	0.9648402	0.8615124	0.87773675
6	-0.89128864	-0.92247397	-0.9193384	-0.95488846	-0.96704435	-0.8202559	-0.87075657	-0.95271397	-0.8663384	-0.96004266	-0.9599421	-0.918861	-0.9526957	-0.9410719	-0.90464497	-0.8818677	-0.84758675	-0.8919585	-0.6588844	-0.8399195	-0.9237705	-0.83232945	-0.9659371	-0.9483386	-0.92009693	-0.89028823	-0.7886282	-0.91290754	-0.9070113	-0.9627572	-0.7441303	-0.8051802	-0.95971394	-0.8996207	-0.932305	-0.3474587	-0.95527226	-0.9428475	-0.95463985	-0.87711054	-0.95909256	-0.9532479	-0.94608927	-0.9247847	-0.827597	-0.9077191	-0.8901439
7	-0.8390679	-0.8563876	-0.8545743	-0.8791037	-0.8903245	-0.8091958	-0.83218944	-0.8776123	-0.8214455	-0.8834871	-0.8815738	-0.8544176	-0.8753242	-0.8690107	-0.8466661	-0.8131458	-0.8127283	-0.83898526	-0.76115566	-0.81668943	-0.8569853	-0.80355066	-0.88693935	-0.8715451	-0.84825367	-0.82251227	-0.79578793	-0.8511884	-0.8471495	-0.88664097	-0.7862668	-0.80582494	-0.8836045	-0.8426882	-0.8609199	-0.6499359	-0.87721777	-0.8667513	-0.87898165	-0.83421004	-0.87913036	-0.87734956	-0.87126255	-0.8587363	-0.78656524	-0.8462843	-0.83762515
8	-0.1390035	-0.046328727	-0.06540833	0.12806302	0.24858865	-0.33702943	-0.248827	0.13250242	-0.04906696	0.20023967	0.2210789	-0.05808791	0.10380946	-0.025696062	-0.11672291	-0.221122	-0.38134623	-0.12582196	-0.5021393	-0.2433144	-0.077181116	-0.05418354	0.3073801	0.092024304	-0.024104448	0.23411515	-0.29001358	-0.087253064	-0.08254892	0.20136924	-0.43917614	-0.36115807	0.18483926	-0.09615797	0.06896274	-0.34058273	0.22884007	0.1680421	0.14159814	-0.22573294	0.29866153	0.062959865	0.096732706	-0.05381812	-0.30898693	-0.03844755	-0.18014328
9	0.24639398	0.23558876	0.21665251	0.18304896	0.19230345	0.31832156	0.28223467	0.22756724	0.25947088	0.21351516	0.19129534	0.2351806	0.13392057	0.13476808	0.248216	0.13798352	-0.14210889	0.28502214	0.36060846	0.30703357	0.2194397	0.256459	0.18232122	0.21567866	0.23649701	0.1936182	0.31683505	0.23819196	0.24483743	0.21227813	0.3332755	0.29650152	0.21748464	0.24251907	0.23788968	0.3035274	0.208851	0.2204185	0.20806372	0.28425968	0.19193603	0.09464253	0.18929665	0.23904763	0.19138137	0.25888428	0.1725345
