	RSE	RRSE
2	1.5250888	1.2349448
6	10.410233	3.2264893
7	1.6424242	1.281571
16	2.6569965	1.6300296
18	1.987253	1.4096996
20	2.6858575	1.6388586
23	3.2608998	1.8057961
24	6.544197	2.558163
32	19.878653	4.458548
35	1.7717881	1.3310853
39	4.1083126	2.0268972
45	6.6825576	2.5850644
47	3.4364145	1.8537569
48	10.649229	3.2633157
49	8.5165	2.9183044
51	19.207457	4.3826313
54	13.414183	3.6625378
57	34.27644	5.8546085
60	3.510202	1.8735533
61	15.2795315	3.908904
71	10.225005	3.1976562
73	21.52853	4.6398845
77	38.844	6.232496
79	41.100273	6.4109497
82	13.623411	3.6909904
83	0.36624643	0.60518295
84	18.594727	4.3121605
86	6.439652	2.537647
89	16.81359	4.1004376
90	14.644484	3.826811
91	9.190311	3.0315526
92	31.627636	5.623845
96	8.034397	2.8345013
102	10.161078	3.1876447
105	11.554264	3.3991563
107	26.25704	5.124162
113	10.220148	3.1968966
119	10.103678	3.1786282
120	16.998652	4.122942
121	12.7483835	3.5704877
123	2.030952	1.4251148
124	4.3064413	2.0751967
126	8.880636	2.9800396
127	72.51664	8.51567
128	17.540298	4.188114
130	6.9343953	2.633324
134	10.519179	3.2433283
135	4.2252336	2.0555372
136	13.2698555	3.6427813
140	31.453932	5.6083803
143	8.5140295	2.917881
144	13.908304	3.729384
146	6.090055	2.4678037
149	33.898483	5.8222404
150	11.518317	3.3938646
152	20.264359	4.501595
153	8.013141	2.830749
155	66.02172	8.125375
159	11.818865	3.4378576
160	3.319382	1.821917
162	22.774462	4.7722597
164	3.7985024	1.9489747
165	34.18089	5.846442
166	19.51276	4.417325
171	9.415502	3.068469
173	3.1508167	1.775054
176	8.318657	2.8842082
180	2.2778363	1.5092503
182	32.646896	5.713746
186	6.382194	2.5263004
188	10.722311	3.274494
190	11.23221	3.351449
191	8.023141	2.832515
192	3.994678	1.998669
193	23.245346	4.821343
195	3.782277	1.9448078
196	15.450538	3.9307172
198	12.846025	3.5841353
201	18.553059	4.3073263
202	7.4154267	2.723128
203	13.998013	3.741392
206	7.559299	2.749418
207	9.481959	3.079279
208	2.443132	1.5630522
209	17.483076	4.181277
210	6.1318884	2.476265
211	9.124838	3.0207345
212	4.6694393	2.1608884
215	1.5819823	1.2577688
219	56.558002	7.5205054
221	9.987105	3.1602383
229	10.067025	3.1728575
230	4.8152065	2.1943579
232	8.685308	2.9470847
233	17.07019	4.1316085
234	1.974697	1.4052391
236	14.222144	3.771226
237	2.2073886	1.4857283
239	12.296754	3.5066729
245	22.629812	4.75708
247	28.42675	5.331674
249	26.962915	5.1925826
257	12.252262	3.500323
262	13.429993	3.6646955
263	59.247772	7.6972575
266	14.449743	3.8012817
267	35.773453	5.9810915
269	24.41327	4.9409785
275	19.100216	4.3703794
278	5.570085	2.3601027
281	10.50865	3.2417047
283	28.106976	5.3016014
284	17.060793	4.130471
285	27.138353	5.2094483
286	4.0134225	2.0033529
287	3.9478383	1.9869168
288	31.501637	5.612632
289	20.773996	4.55785
291	12.503276	3.5359972
293	10.813074	3.2883239
294	7.9751754	2.8240354
295	1.0661631	1.0325518
297	2.6115212	1.6160202
299	4.212425	2.0524194
300	34.794228	5.898663
301	2.2426727	1.4975556
304	2.890403	1.7001185
306	2.1798778	1.4764409
307	17.203365	4.147694
311	14.229462	3.7721958
312	19.574543	4.4243126
314	4.556444	2.134583
315	17.578215	4.192638
317	13.725028	3.7047305
321	6.674909	2.5835845
322	6.4124975	2.532291
323	17.986088	4.2410007
326	33.723217	5.8071694
327	12.599488	3.5495758
328	13.578868	3.6849515
329	31.591864	5.620664
330	24.766476	4.9765925
333	51.020187	7.142842
334	16.289644	4.036043
339	14.293911	3.7807288
340	2.520109	1.5874851
341	3.4178023	1.84873
343	6.611105	2.5712068
347	1.6451318	1.2826269
348	3.4301674	1.8520712
350	16.731861	4.09046
355	14.2115345	3.7698188
360	16.314764	4.039154
361	7.4904256	2.736864
363	4.5805025	2.1402109
364	3.9400964	1.9849676
367	32.822292	5.7290745
372	5.356622	2.3144379
373	12.694856	3.562984
379	28.476414	5.3363295
382	9.64456	3.1055691
385	2.814169	1.6775485
387	26.84791	5.181497
391	30.884706	5.557401
392	24.800043	4.9799643
393	45.716736	6.761415
394	19.668688	4.4349394
395	41.40173	6.4344177
396	9.565713	3.0928488
398	7.340185	2.7092776
401	13.840286	3.7202535
402	23.227173	4.8194575
404	3.17613	1.78217
407	3.813835	1.9529042
411	7.123818	2.669048
420	18.953737	4.353589
421	2.9923413	1.7298385
422	11.934228	3.454595
426	20.486118	4.5261593
428	13.069519	3.615179
429	4.2411227	2.0593987
432	20.969383	4.579234
433	22.278357	4.7199955
436	43.0388	6.560396
440	4.7866173	2.187834
441	16.610537	4.0756025
442	18.472227	4.297933
443	22.072561	4.6981444
446	126.67553	11.255022
450	7.3680086	2.7144077
452	10.307499	3.2105293
453	2.8276722	1.6815684
454	62.83156	7.926636
456	33.26402	5.7674966
457	25.073996	5.0073943
