	RSE	RRSE
2	1.6767035	1.2948759
6	1.6940774	1.3015673
7	0.38031223	0.6166946
16	2.0825741	1.4431126
18	1.4953096	1.2228285
20	1.6460596	1.2829885
23	2.2974694	1.5157405
24	6.0331717	2.4562516
32	16.51745	4.0641665
35	1.111632	1.0543396
39	1.539744	1.2408643
45	3.2876945	1.8132001
47	1.8166635	1.3478366
48	2.3558552	1.5348796
49	1.8010659	1.3420379
51	4.5390754	2.1305106
54	6.69971	2.5883799
57	35.84496	5.987066
60	2.018005	1.420565
61	7.0641303	2.657843
71	4.8681784	2.206395
73	16.646133	4.0799675
77	41.06999	6.408587
79	6.95295	2.6368446
82	7.294414	2.7008173
83	0.4685208	0.6844858
84	17.02337	4.125939
86	1.7310386	1.3156894
89	7.320556	2.7056527
90	3.4016714	1.844362
91	9.111842	3.0185828
92	32.54338	5.7046804
96	5.0411124	2.245242
102	12.845141	3.584012
105	6.292171	2.50842
107	6.785302	2.6048613
113	3.0099812	1.7349297
119	5.397992	2.323358
120	5.2727733	2.296252
121	7.622512	2.7608898
123	1.4515191	1.2047901
124	1.3436469	1.1591579
126	3.0172868	1.7370338
127	6.8714128	2.621338
128	10.117859	3.1808581
130	5.9314575	2.4354584
134	4.351626	2.086055
135	1.2914345	1.136413
136	6.6727433	2.5831654
140	13.379176	3.6577556
143	3.2112672	1.7920009
144	14.699938	3.8340497
146	9.598036	3.0980697
149	2.4863863	1.5768279
150	10.50774	3.2415645
152	15.496477	3.9365566
153	4.2659116	2.0654082
155	16.040447	4.0050526
159	8.335935	2.8872018
160	1.3094411	1.1443081
162	10.689831	3.2695308
164	1.4352579	1.1980225
165	22.334997	4.7259917
166	3.5702746	1.8895171
171	4.283238	2.0695984
173	2.1062026	1.4512762
176	4.0788226	2.0196095
180	1.2658422	1.1250966
182	26.551502	5.152815
186	4.840317	2.200072
188	2.647337	1.6270639
190	2.752171	1.6589669
191	4.163392	2.0404391
192	1.6557417	1.2867563
193	6.8274546	2.6129398
195	1.2145267	1.1020557
196	22.1017	4.7012444
198	13.869799	3.724218
201	7.8213453	2.7966669
202	2.1140022	1.4539609
203	11.448087	3.3835022
206	1.7975477	1.3407266
207	18.84725	4.341342
208	1.3102281	1.144652
209	5.082318	2.2543998
210	1.440164	1.2000684
211	5.825458	2.4135985
212	1.3379855	1.1567132
215	1.1305538	1.0632751
219	10.604596	3.25647
221	7.706944	2.7761383
229	4.333697	2.0817533
230	6.26033	2.5020652
232	2.7713828	1.6647471
233	8.007408	2.8297365
234	1.0875708	1.0428666
236	4.362902	2.088756
237	1.177185	1.0849816
239	4.92207	2.2185738
245	4.8783727	2.2087038
247	19.093475	4.369608
249	11.689636	3.419011
257	10.620846	3.2589638
262	9.271567	3.0449247
263	42.504173	6.5195227
266	2.1899526	1.4798489
267	9.931944	3.1514986
269	28.695198	5.35679
275	10.140098	3.184352
278	2.6543233	1.6292094
281	2.2111714	1.4870008
283	10.013092	3.164347
284	15.678574	3.9596179
285	9.257214	3.042567
286	1.1589013	1.0765228
287	1.5511746	1.2454616
288	7.0606556	2.6571894
289	7.1134295	2.6671014
291	5.019941	2.2405224
293	8.670485	2.9445686
294	6.1304636	2.4759774
295	0.7406719	0.86062294
297	1.3018862	1.1410023
299	2.5504334	1.5970076
300	7.704329	2.7756672
301	1.0663342	1.0326346
304	1.5997075	1.2647954
306	1.2703207	1.127085
307	25.385626	5.038415
311	13.739648	3.7067032
312	9.43537	3.0717049
314	2.9352148	1.7132468
315	17.544174	4.1885767
317	3.071709	1.7526292
321	2.2876477	1.5124972
322	6.2953267	2.509049
323	19.798872	4.449592
326	14.426701	3.7982497
327	3.218521	1.7940238
328	6.0031776	2.4501383
329	56.966076	7.5475874
330	24.453766	4.945075
333	55.482857	7.4486814
334	25.765594	5.075982
339	12.159204	3.487005
340	1.6639277	1.2899332
341	2.3766363	1.5416343
343	2.6804621	1.6372117
347	1.322156	1.1498504
348	2.3365178	1.5285672
350	4.6636844	2.1595566
355	13.209051	3.6344259
360	20.079622	4.481029
361	3.3242807	1.823261
363	4.1230173	2.0305214
364	2.6576588	1.6302327
367	35.779083	5.981562
372	7.6757445	2.7705133
373	12.455473	3.5292313
379	12.600219	3.5496788
382	2.7544827	1.6596634
385	2.1901805	1.4799259
387	21.896381	4.679357
391	1.4269633	1.1945558
392	50.34738	7.0955887
393	43.5509	6.5993104
394	19.669516	4.435033
395	65.259895	8.07836
396	5.0170417	2.2398753
398	3.3289418	1.8245388
401	11.188843	3.3449728
402	32.47499	5.6986833
404	3.362358	1.8336734
407	1.8536636	1.3614931
411	2.6875522	1.6393756
420	14.510657	3.8092856
421	2.9437053	1.7157229
422	20.667381	4.5461392
426	9.211042	3.0349698
428	109.72697	10.475064
429	2.7050474	1.6447028
432	3.513432	1.8744152
