	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
0	0.8144216	0.81310093	0.8098322	0.8156779	0.8135321	0.8133963	0.8152717	0.81883115	0.7926435	0.81347513	0.81828165	0.8122202	0.81868386	0.8085101	0.8082302	0.816276	0.81746	0.8208226	0.81609696	0.81901777	0.81554914	0.8143729	0.81485415	0.816346	0.8151237	0.8186083	0.8110294	0.81508934	0.8189464	0.81018	0.8181604	0.8114097	0.81114984	0.81364	0.8181918	0.81680274	0.7993075	0.8185449	0.8125969	0.8213116	0.7993075	0.81671464	0.80878776	0.81531066	0.8156832	0.8177194	0.7950495
1	0.0035148226	-0.011966472	0.01762762	-0.0051634833	0.010972625	0.021027759	0.011277542	0.037942637	-0.043833636	0.022444414	-0.010690938	0.013526015	-0.009029897	0.004286318	0.017774455	-0.019318894	-0.013881807	0.039503727	-0.0007431393	-0.006345589	-0.0050504	-0.008851794	-0.0053355554	0.010356423	0.009276489	0.031569634	-0.02148334	-0.021965638	0.031474497	0.016483113	0.032537878	0.008945494	0.01352432	0.011703932	-0.04560361	-0.007339545	-0.05122268	-0.04425291	0.0064789522	0.032006215	-0.05122268	-0.01305443	0.019334516	0.005064332	-0.015299319	-0.006409497	-0.050030112
2	-0.61627716	-0.61657894	-0.6563643	-0.6163692	-0.59615284	-0.57774097	-0.59882414	-0.5292796	-0.59751964	-0.5367153	-0.6002136	-0.6480971	-0.58636236	-0.57587606	-0.63096434	-0.6609526	-0.6145737	-0.5485881	-0.5867977	-0.6405373	-0.59048444	-0.63519806	-0.6381076	-0.62591004	-0.5932502	-0.53650576	-0.58719426	-0.6521894	-0.53362453	-0.5783328	-0.53344816	-0.60065717	-0.5478644	-0.6347033	-0.69951075	-0.6337316	-0.7136307	-0.69814116	-0.64219147	-0.5691337	-0.7136307	-0.60136396	-0.58254945	-0.5898413	-0.62835866	-0.6343692	-0.5933574
3	0.8841094	0.87602955	0.88293695	0.88418734	0.8795788	0.8836964	0.8798711	0.88968086	0.87483656	0.88893896	0.87993616	0.8882207	0.88215435	0.876889	0.88311553	0.8790692	0.87885725	0.892807	0.8805642	0.88324064	0.8802891	0.88403684	0.8818678	0.8810127	0.8794879	0.8921348	0.8837821	0.8811078	0.88961333	0.88053036	0.8896003	0.8791847	0.8854897	0.8833596	0.8760077	0.8840686	0.88269836	0.87620693	0.88901687	0.890896	0.88269836	0.8796502	0.88249826	0.87863934	0.8760065	0.87752503	0.88064224
4	-0.9497368	-0.949003	-0.94752264	-0.94186074	-0.94874763	-0.94252634	-0.9475648	-0.93380964	-0.94418234	-0.93350345	-0.94862854	-0.9504933	-0.9465086	-0.94469184	-0.9467366	-0.9475088	-0.94897896	-0.93209285	-0.94719315	-0.94334435	-0.9454191	-0.9454275	-0.94208884	-0.95163476	-0.9484803	-0.93237865	-0.9401456	-0.9429683	-0.9337547	-0.93999255	-0.93484896	-0.9480352	-0.9362842	-0.9523847	-0.94598174	-0.94484395	-0.9462717	-0.94600433	-0.9510224	-0.9345838	-0.9462717	-0.94958955	-0.9402444	-0.94810057	-0.95272136	-0.95171213	-0.9429986
5	0.91020215	0.9044965	0.91190344	0.91122985	0.90861076	0.9072228	0.90860623	0.9058785	0.90748984	0.9065623	0.90684086	0.9144136	0.90545	0.9074775	0.91080606	0.91061544	0.9083676	0.9092642	0.90661186	0.90910923	0.90600646	0.90957326	0.90854824	0.9124941	0.9082877	0.9078484	0.9012643	0.9094343	0.9055854	0.90783185	0.9058867	0.9090092	0.905999	0.9130541	0.91058844	0.909938	0.91175574	0.9106783	0.91403157	0.90932775	0.91175574	0.90691185	0.90778965	0.90831155	0.9098495	0.91061646	0.91060615
6	-0.5179927	-0.4587682	-0.5482247	-0.5135951	-0.49005678	-0.5211005	-0.5003175	-0.5461209	-0.33094987	-0.52917224	-0.47683582	-0.5657658	-0.48497525	-0.43948448	-0.52839565	-0.51369405	-0.4652489	-0.568361	-0.48292103	-0.54144996	-0.48057923	-0.5166062	-0.53398794	-0.5107827	-0.48746115	-0.5544408	-0.5369872	-0.52516395	-0.54342383	-0.4956346	-0.54227287	-0.4867442	-0.50522596	-0.5294927	-0.5448749	-0.5335035	-0.6180756	-0.54464954	-0.56898284	-0.56455237	-0.6180756	-0.45175424	-0.51522964	-0.46816847	-0.45594546	-0.48931518	-0.35603854
7	0.61266285	0.61077976	0.6157009	0.61025447	0.616514	0.6145058	0.61429244	0.60341334	0.6346208	0.6152886	0.6101567	0.6036952	0.6042954	0.6299861	0.62139356	0.6164386	0.6161017	0.5929846	0.61311156	0.60632515	0.61308	0.60187525	0.6170098	0.61547846	0.61543584	0.6071434	0.5765347	0.6151736	0.59610915	0.6260727	0.606879	0.6201852	0.617657	0.610381	0.5895518	0.61400336	0.54302055	0.59010917	0.5961104	0.59106475	0.54302055	0.61254704	0.62355745	0.6185969	0.61781245	0.61342335	0.62741303
8	0.24543035	0.33902127	0.23949648	0.3854333	0.26858756	0.29071802	0.28757527	0.3858236	0.33060172	0.34858942	0.3345825	0.21101014	0.359044	0.29828265	0.22583084	0.31342465	0.3405232	0.4526963	0.3081496	0.3614253	0.32988352	0.37438187	0.33071044	0.24679059	0.2868718	0.3936672	0.3541903	0.34623596	0.41375542	0.31128132	0.3662885	0.2575205	0.33166698	0.21846797	0.37008116	0.30482116	0.22661462	0.37190822	0.2056777	0.4562968	0.22661462	0.35609826	0.27619842	0.31276456	0.29476014	0.29062498	0.35836866
9	0.7608986	0.7532753	0.7569126	0.7765318	0.7682712	0.76248866	0.7687756	0.7484394	0.7643866	0.7626856	0.7568011	0.7561523	0.7492934	0.7684987	0.7587544	0.7692308	0.762241	0.7541157	0.75907975	0.7581283	0.75447494	0.76846564	0.7651634	0.7779226	0.7674036	0.7594744	0.73703486	0.7685959	0.7433106	0.7744611	0.7511164	0.77130497	0.7621573	0.7672797	0.7548286	0.76596636	0.7137706	0.75532585	0.75308836	0.75345224	0.7137706	0.75601983	0.77172655	0.76665235	0.76995665	0.77108794	0.7703888
