	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
0	0.88281244	0.83051014	0.77558655	0.88671935	0.8570924	0.90161186	0.84468645	0.88351053	0.792646	0.8590704	0.8569394	0.8897122	0.81885403	0.88490766	0.9113391	0.8784421	0.8970172	0.9209566	0.8468401	0.8071622	0.82440585	0.7763125	0.8676746	0.85025007	0.9127542	0.9038368	0.791514	0.8413918	0.8928826	0.8685633	0.9406889	0.9311114	0.8895618	0.898581	0.8747968	0.83511907	0.74820423	0.8752979	0.71599233	0.90654063	0.74820423	0.8062286	0.9527801	0.8431663	0.8175775	0.8451818	0.87029636
1	0.08376227	-0.35355067	-0.19894943	-0.09179792	0.088991724	-0.1497898	-0.22661664	0.0098786345	-0.43585044	-0.4927204	-0.23705906	0.056849662	-0.6082862	-0.01461809	0.09318965	0.22560675	0.013781233	-0.35901204	-0.24611425	-0.5673421	-0.27870354	-0.33246115	0.23177978	-0.23335634	0.04604628	-0.26224717	-0.77207863	0.05722129	-0.35304803	-0.20179288	0.046502113	0.120735176	-0.07145422	-0.009622038	0.04390246	-0.25617084	0.21669284	0.03464095	0.596991	-0.28081235	0.21669284	-0.6044593	0.11990138	-0.25604504	-0.29763207	-0.21848263	-0.15439916
2	-0.40388674	-0.26958144	-0.106003925	-0.34828916	-0.41791832	-0.4628506	-0.17161192	-0.5019078	-0.53564775	-0.29505265	-0.24521454	-0.37351462	-0.6245668	-0.21236706	-0.3671544	-0.46437064	-0.35294864	-0.5931677	-0.19785206	-0.15086888	-0.105733454	0.052672498	-0.37209228	-0.23354799	-0.31034294	-0.553268	-0.73538214	-0.52116144	-0.58153915	-0.14225419	-0.4439224	-0.40594152	-0.28892523	-0.38735992	-0.3659438	-0.42276603	-0.2372805	-0.3637201	-0.6156411	-0.27869764	-0.2372805	-0.30076218	-0.47390872	-0.224887	-0.118248396	0.022687415	-0.46757862
3	-0.40960822	-0.28691265	0.23222493	-0.46229813	-0.38746127	-0.7326267	-0.34109706	-0.6318813	0.15758325	-0.30710354	-0.23542231	-0.41487333	-0.06791889	-0.4506002	-0.5358853	-0.57909656	-0.49067283	-0.7972642	-0.2094872	0.14355172	-0.15126085	0.49818343	-0.3852044	-0.39100814	-0.62756324	-0.76585305	0.31262225	-0.16156664	-0.7280708	-0.39019713	-0.81217396	-0.6956255	-0.62394065	-0.5083857	-0.2284677	-0.40344498	0.46406114	-0.23641531	0.2607901	-0.55445623	0.46406114	0.086028375	-0.852207	-0.34753513	-0.10247878	0.10926458	-0.30987114
4	0.19750157	0.12734708	0.17274988	0.07231994	0.23932356	0.13746043	0.19476612	0.1759743	-0.24420024	0.19794257	0.07680761	0.16741465	-0.28270182	0.24785446	0.1815446	0.30527034	0.14183077	0.10525269	0.08087605	0.07321149	0.16783454	0.35276785	0.37453562	0.16221951	0.18451412	0.09634574	-0.5129046	0.15330644	0.070686765	0.26849657	0.20152703	0.19031453	0.21068488	0.12993185	0.14241122	0.08612968	0.25713634	0.14477795	-0.068388164	0.3174233	0.25713634	0.064222254	0.24178873	0.15667997	0.1875582	0.3581411	-0.047271375
5	0.52602077	-0.11399684	-0.37213737	-0.37783542	0.79071206	-0.15935284	-0.15693097	0.2679394	0.0011501196	-0.015371537	-0.056571282	0.36228266	-0.35942206	0.065792374	0.15963514	0.781083	0.13663986	-0.18005288	-0.062113598	-0.067352474	-0.117929436	0.12873505	0.8811758	-0.104790665	0.05902983	-0.26221827	-0.4848408	0.7086974	-0.284899	-0.22132617	0.079010814	0.11358187	-0.19957747	0.0038418425	-0.26726636	-0.033746365	0.88936365	-0.27239063	-0.5242574	0.16098991	0.88936365	-0.1946546	0.20310806	-0.12944692	-0.15845354	0.004524788	0.3493698
6	-0.36657038	0.24758276	-0.06170728	-0.08869093	-0.23602799	0.21911044	0.3824687	-0.051232383	0.1095317	0.377327	-0.20326258	-0.3940646	0.030442763	0.41737357	-0.45552698	-0.20633875	-0.31431285	0.14976165	-0.12604614	0.2859848	0.34188816	0.20318262	-0.3212818	0.30727366	-0.17029917	0.2259029	0.061022844	-0.19464616	0.24258709	0.4119383	-0.19133002	-0.4166936	0.34402442	-0.36691993	-0.5986846	0.062059723	-0.47938278	-0.59610975	0.23647171	0.23731007	-0.47938278	0.23197055	-0.34483063	0.3282388	0.4104746	0.6143102	0.22032148
7	0.005457198	-0.06168137	-0.5972343	-0.16746171	0.08819921	0.0986387	0.20776421	-0.13149743	0.19353151	0.03178762	-0.18542112	-0.013456784	-0.07721546	0.37839994	-0.080561765	-0.011589007	-0.028351646	-0.18877159	-0.1739669	0.036071166	0.16535035	0.3156198	0.037849065	0.11840648	0.11198666	-0.05538152	0.082626656	-0.013886824	-0.17810825	0.2449387	0.16209942	0.011734571	0.29739815	-0.13429497	-0.440607	-0.22006446	-0.33683503	-0.43940404	-0.6716719	0.005896023	-0.33683503	-0.024167985	0.1713893	0.12068521	0.2297768	0.45489115	0.16721818
8	0.2802285	0.024223313	-0.11756408	0.20829245	0.03344477	-0.07998975	-0.026383514	-0.0026901353	0.08444427	0.0110993255	0.3354492	0.34885588	0.17508872	0.07262275	0.4202223	-0.025895676	0.33017272	-0.04476739	0.29012108	0.19075987	0.061639573	0.04587338	0.023532564	-0.012414781	0.24279091	-0.10450927	0.22464955	0.030875681	-0.09276925	-0.065907784	0.16783632	0.344909	-0.1206573	0.33794105	0.41767436	0.0121934535	0.10380893	0.417896	0.05315018	0.16726592	0.10380893	0.29824156	0.21756859	-0.020068837	0.06301668	0.2726495	0.0018945908
9	0.25036716	0.71950215	0.91044354	0.8057065	0.18408561	0.69150794	0.85761195	0.2961142	0.60472244	0.7414732	0.57053715	0.3558905	0.33344442	0.8877505	0.39749423	0.12211142	0.49327347	0.34944287	0.6427232	0.7591196	0.842598	0.8144015	-0.037137374	0.79480606	0.67502517	0.57060266	0.3062232	0.012796372	0.45180318	0.9277308	0.6241401	0.525712	0.8843304	0.46188682	0.8344027	0.4735403	-0.072713934	0.837148	0.113377415	0.6655863	-0.072713934	0.57235205	0.55785674	0.80522585	0.84245706	0.9261976	0.67671305
