	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
0	0.7979757	0.81102365	0.8093232	0.80088717	0.80538267	0.80546325	0.8072807	0.80194837	0.81837726	0.8076709	0.81468666	0.8126742	0.79774415	0.8071889	0.81080705	0.79942346	0.7961968	0.80293775	0.8045576	0.79594344	0.79728967	0.8066549	0.80700827	0.8123893	0.8092691	0.8019879	0.8054506	0.80867636	0.8064808	0.8065782	0.8049649	0.8128634	0.80587274	0.81620824	0.8141529	0.80191374	0.7911822	0.81150085	0.8034586	0.8029741	0.7912147	0.8072471	0.81430167	0.81311965	0.80936337	0.80711925	0.7872343
1	0.03017504	0.020711815	-0.029944556	0.0017117864	0.007210105	-0.002411123	-0.017110929	-0.055736396	0.013162694	-0.04371505	-0.038418476	-0.04960027	-0.009968465	0.098958984	0.051675964	-0.0015725503	-0.014735191	-0.06776769	0.02099667	-0.006644068	-0.022929268	-0.028561173	0.028162895	0.019572252	0.0011239172	-0.003629696	-0.018128676	-0.055436444	-0.0041228905	-0.016934806	-0.040140193	0.07744818	-0.039350692	-0.0025905848	-0.030145414	0.035303168	-0.05739941	-0.041864656	-0.05673941	-0.027688125	-0.06219376	0.01828793	0.0011117285	0.08936502	-0.023558866	0.02198194	-0.015528239
2	-0.57253927	-0.58986473	-0.7240294	-0.633208	-0.5896719	-0.5286427	-0.51808727	-0.66144395	-0.60602665	-0.5655518	-0.5714299	-0.7318965	-0.6166773	-0.55603105	-0.6325381	-0.34903103	-0.649037	-0.6086282	-0.68811667	-0.51642925	-0.4991199	-0.62886703	-0.56930935	-0.5105647	-0.5030049	-0.5824907	-0.6330875	-0.7355197	-0.56846094	-0.51423705	-0.5955547	-0.57299554	-0.5667355	-0.60590684	-0.6436196	-0.7042119	-0.7489635	-0.7395868	-0.5870356	-0.5024427	-0.75813025	-0.6419097	-0.40898833	-0.5515471	-0.6458247	-0.5796713	-0.65650123
3	0.88073874	0.87403107	0.8810002	0.881446	0.8804199	0.8766788	0.87886906	0.88562924	0.8901713	0.8782946	0.88193196	0.8810468	0.885179	0.8822842	0.88129544	0.8749853	0.8758743	0.88388634	0.8849952	0.88202417	0.8761061	0.8805197	0.88125986	0.88200974	0.880826	0.88336205	0.8817933	0.8796606	0.87901914	0.8804589	0.8868913	0.8814902	0.8781143	0.8887174	0.8785882	0.88914293	0.8818361	0.88049966	0.8780285	0.8749564	0.8818023	0.88395596	0.88647395	0.88316184	0.88079774	0.88136446	0.86112446
4	-0.94670045	-0.94970036	-0.93805337	-0.9461599	-0.9386125	-0.9507166	-0.949669	-0.94225454	-0.94590575	-0.95159304	-0.94554365	-0.94596225	-0.9496312	-0.9520391	-0.94779724	-0.9453071	-0.9503353	-0.94985974	-0.94575644	-0.94375217	-0.947636	-0.9471816	-0.94096124	-0.95273477	-0.9493596	-0.9481863	-0.9470842	-0.9447594	-0.94996035	-0.952165	-0.94669014	-0.95178264	-0.951566	-0.9503133	-0.93772125	-0.94966424	-0.9214001	-0.9358131	-0.94639593	-0.94797635	-0.92020696	-0.95179147	-0.9485544	-0.95090413	-0.9517251	-0.94784486	-0.9354169
5	0.91043407	0.9061015	0.905143	0.9046859	0.9106823	0.9044966	0.90531784	0.91026646	0.9095251	0.9018436	0.9067302	0.9046257	0.89919454	0.9097501	0.9103039	0.90286475	0.9028422	0.9115351	0.9081377	0.9011826	0.90723455	0.9063367	0.911981	0.9096038	0.90989786	0.9150763	0.9042358	0.9004584	0.90476894	0.90410495	0.90382326	0.90814054	0.9019966	0.91578203	0.903112	0.91634953	0.9031883	0.9013044	0.90334016	0.90327233	0.9027321	0.9081599	0.90879416	0.908299	0.90806574	0.9096692	0.89662415
6	-0.49352056	-0.3893666	-0.61600405	-0.44201258	-0.5876211	-0.4401223	-0.4539489	-0.6062851	-0.6815897	-0.47015047	-0.57863605	-0.5367672	-0.4817194	-0.4510665	-0.49413788	-0.49453175	-0.18841419	-0.47766677	-0.47166234	-0.45216995	-0.4135791	-0.3863786	-0.5668484	-0.48893997	-0.51375544	-0.54359376	-0.3833196	-0.50965685	-0.4722695	-0.48690772	-0.5154572	-0.4532504	-0.46575078	-0.5985752	-0.5135256	-0.485289	-0.6395004	-0.5252843	-0.47879818	-0.45799774	-0.63475204	-0.3952558	-0.63123995	-0.49949464	-0.39680257	-0.50038666	-0.38275412
7	0.632291	0.6202157	0.65677655	0.63276136	0.6300853	0.6416746	0.6420581	0.62761956	0.62961143	0.6616712	0.62323743	0.6660336	0.650279	0.6446982	0.63192326	0.6463457	0.6686296	0.65562266	0.57760257	0.6265622	0.6510193	0.62140477	0.6309351	0.6546041	0.64314896	0.6348563	0.60850924	0.65637434	0.66825366	0.6651976	0.64009	0.63662714	0.6633316	0.6468575	0.5796544	0.62923187	0.5676298	0.57161325	0.65624976	0.6365237	0.55377835	0.65803933	0.67008287	0.63458896	0.63313526	0.633226	0.5615406
8	0.201369	0.22790544	0.4985917	0.3505689	0.178419	0.3905378	0.28229117	0.1878473	0.49477413	0.41734213	0.3067179	0.49006975	0.39037216	0.25631395	0.20947611	0.39706576	0.44966653	0.34325334	0.28395775	0.44603223	0.29097432	0.40349835	0.1930661	0.38052458	0.2778722	0.28289056	0.39699787	0.4853455	0.34745246	0.3949764	0.3044687	0.2905057	0.41100585	0.27339908	0.43877113	0.3476047	0.20872925	0.36601916	0.40152568	0.2811093	0.22828166	0.3271421	0.30890045	0.27562988	0.33937773	0.19000041	0.37268338
9	0.75663626	0.75245684	0.7160726	0.75137186	0.74474424	0.75306565	0.76162046	0.7341894	0.75085795	0.7525419	0.74346286	0.72610146	0.7390014	0.75672287	0.74615264	0.7488367	0.75286055	0.7616431	0.7470173	0.76071465	0.7549892	0.7504184	0.7519012	0.7596832	0.7596338	0.76325816	0.75502485	0.72239155	0.7484749	0.75897443	0.7486682	0.75744593	0.7518701	0.7531308	0.71123767	0.7668951	0.69405943	0.69464827	0.7414392	0.7579648	0.6866188	0.75897354	0.7566314	0.7581388	0.7494139	0.753677	0.71455526
