	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
0	0.8910375	0.9407057	0.5231788	0.8727993	0.8621334	0.8526438	0.9476377	0.87093943	0.86685973	0.90705574	0.9275062	0.7155645	0.8977717	0.9242973	0.9221103	0.730356	0.7576576	0.8503086	0.82576424	0.72718257	0.90124303	0.83629364	0.8754275	0.87574506	0.92836976	0.8173761	0.8370212	0.7914225	0.89220864	0.9088843	0.96106005	0.92919266	0.8987322	0.8872689	0.8727586	0.89824706	0.77641195	0.8689814	0.8410124	0.9416091	0.77567834	0.9126422	0.943735	0.935472	0.9145539	0.9431727	0.8338119
1	-0.27498847	0.46462	-0.92879313	-0.58544946	0.49856105	-0.11229039	-0.07535825	-0.018186156	-0.25484264	0.17128576	0.2367715	-0.78653103	-0.23542936	0.31489486	-0.1955241	-0.84794855	-0.63518965	-0.89612174	-0.08720395	-0.419452	0.18166502	0.34635687	0.5470243	-0.1298514	-0.37292883	-0.21904512	0.05613614	-0.84457755	-0.19625069	0.29667562	-0.98870116	0.1143007	0.19229868	-0.5564764	0.14061953	-0.26514417	0.27756134	-0.033733625	-0.1172445	-0.090542674	0.20358759	-0.36575785	-0.80753493	0.28434527	0.053432457	0.11668838	0.41333777
2	-0.61299455	0.032014795	0.4361898	-0.37131187	-0.441368	-0.5184704	-0.052597247	-0.1399652	-0.5106904	-0.16275175	-0.02320553	0.46606913	0.158329	-0.7361815	-0.64002466	-0.8326869	-0.3016489	-0.2961623	-0.5794422	-0.14480484	-0.21441765	-0.00026132818	-0.5181559	-0.6734941	-0.727279	-0.11898504	-0.103069015	0.45080203	-0.3107132	-0.30839598	-0.14838941	-0.6798164	-0.14015357	-0.56113786	-0.4447165	-0.6752734	-0.27265355	-0.39461735	-0.03553807	-0.03879008	-0.3529124	-0.3325124	-0.74353004	-0.74812	-0.27467203	-0.6039134	-0.3844266
3	-0.8224867	-0.16474119	0.5458394	-0.118973926	-0.6559702	-0.68910414	-0.5737724	-0.21311456	-0.38341385	-0.8007889	-0.4424955	0.48185194	-0.27512583	-0.90198284	-0.76915944	0.26306912	0.5291551	-0.37930834	0.055744946	0.34137818	-0.7625055	0.17407182	-0.76436204	-0.91170406	-0.9731275	0.107162654	0.40262488	0.49073508	-0.70021105	-0.9013649	-0.025654042	-0.833432	-0.7910727	-0.6364625	-0.3705811	-0.4650818	0.4597299	-0.17768748	-0.5632654	-0.598103	0.52241504	-0.23603746	-0.93410116	-0.92075396	-0.541862	-0.9387702	0.17279404
4	0.16803104	0.03477611	0.41602832	0.3986101	0.36565593	0.0071168477	0.31426454	0.17552806	0.12192458	0.42639264	0.14314517	0.5132262	0.08396168	0.25048962	0.18521777	-0.8428968	0.38236216	-0.24131733	-0.057402655	-0.162107	-0.12350341	-0.019418875	0.36662704	-0.04103301	-0.097086586	0.10835396	0.098812744	0.6315311	0.013154896	0.3298284	0.716234	0.24070737	0.38062492	0.13095522	-0.043695975	-0.039607745	0.36644542	0.13382529	-0.08499387	0.22693262	0.331864	0.56998765	0.23213518	0.3135876	0.28542802	0.2168071	-0.030790567
5	0.48169044	0.22069898	-0.051246982	0.04657063	0.96711624	-0.37536874	0.16487554	0.8242455	-0.61282456	-0.4177805	0.21317312	-0.18006808	-0.37253973	-0.1641464	0.5404921	-0.72051483	-0.4277121	0.00088258844	0.15558863	-0.5689574	0.15843846	-0.37454015	0.95119876	-0.5308926	0.17186454	0.563778	-0.4038291	-0.29147798	-0.27518645	-0.42996597	0.17632054	-0.16497019	-0.42828035	0.48208	-0.46087193	-0.22990857	0.9650595	-0.2070538	-0.26020327	0.23759453	0.9520421	0.023903552	-0.050780848	-0.101033956	0.07634577	0.53852457	0.16257668
6	-0.0029607015	-0.53800917	0.7286679	0.16624403	-0.31901076	0.3404559	0.14908737	-0.5815141	-0.37746233	0.12710664	-0.653622	0.6607408	-0.09615374	-0.2986444	-0.33363375	0.28353766	0.8416732	0.75213164	-0.6967954	0.14239699	0.06392964	-0.17351483	-0.27906826	0.23050274	0.08637902	0.04415535	-0.20531325	0.78407174	0.18150607	0.19303216	0.9657552	-0.36672997	0.1939299	-0.40529865	-0.49392837	-0.44186532	-0.7219178	-0.75193113	0.19439928	0.1804631	-0.7356563	0.0039448417	0.40085983	-0.4661187	-0.04685652	-0.527753	0.30736488
7	0.08773194	0.18836282	-0.9610133	0.056951042	-0.11507115	0.35399935	0.09908703	-0.439807	-0.8908852	0.12209498	-0.40702656	-0.76154643	-0.41430187	0.41810045	0.16104831	0.155955	0.88912225	-0.16059215	-0.2587519	0.0016572195	0.27294728	0.23663568	-0.026746636	0.14117002	0.26964572	-0.39771166	0.31349862	-0.67462164	0.052507367	0.07489954	-0.24632964	0.2834242	0.13049181	-0.33484763	-0.46675092	-0.115526944	-0.48218635	-0.44004884	-0.029539913	0.085008256	-0.5159404	0.36272436	-0.5952906	0.21485503	0.3573734	0.2585888	0.14779842
8	0.34441	0.62701917	-0.6478438	0.3338978	-0.31164256	-0.13197733	0.40047437	0.40622765	-0.14314905	-0.3621378	0.44478408	-0.5678872	0.37851962	0.5524572	0.106789514	-0.0017027579	0.51423645	-0.17043045	0.6467489	0.30449292	0.22926965	0.3498058	-0.3108927	-0.29261526	-0.4778951	0.46633297	0.5409077	-0.5174904	0.024676053	-0.26981518	0.14978783	0.3914122	-0.28947556	0.19913319	0.2064462	0.16586873	0.22042789	0.49623495	-0.005284103	0.3865586	0.22478522	0.5149466	-0.27708653	0.36826888	-0.17788395	0.24814208	-0.02936022
9	-0.11292234	-0.08117094	0.9477921	0.7597836	-0.11177649	0.98624575	0.4666565	-0.19766603	0.87319106	0.9992106	0.12088884	0.9983948	0.7872434	0.63025194	0.72809523	0.014367661	0.9330266	0.90178347	0.3247925	0.7210187	0.5388158	0.83224493	0.008841773	0.9734853	0.8645307	0.05092581	0.81851614	0.9990156	0.929138	0.9955406	0.63034654	0.9081812	0.9988663	0.3413643	0.9462143	0.8834082	-0.14792459	0.9600022	0.9487325	0.32514092	-0.08854192	0.8873578	0.116658546	0.81348956	0.9922666	0.5450155	0.926395
