	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
2	0.26396033	0.06553026	0.254248	0.18139003	0.28270784	0.3039366	0.27330154	0.22349739	0.05278805	0.28651518	0.1634801	0.21400504	0.13367449	0.27284378	0.2812249	0.2156041	0.15283193	0.14127366	0.22597308	0.18977287	0.20135227	0.07100557	0.2520663	0.28840512	0.26271245	0.23261532	0.09143471	0.2155071	0.16585754	0.32107943	0.24695224	0.3046388	0.284998	0.26641482	0.11685189	0.25590566	0.054179627	0.118026644	0.19417247	0.12258336	0.054179627	0.09460684	0.3457705	0.231153	0.17526421	0.20587018	0.07956376
6	0.08780768	0.06201259	0.109507605	0.18473274	0.099239886	0.10685649	0.106465146	0.1028696	0.10163128	0.12282999	0.10907057	0.062403124	0.10042687	0.1404464	0.099271424	0.16540164	0.12551899	0.11899485	0.107756026	0.1702359	0.124038406	0.083231516	0.18887846	0.09119485	0.103099436	0.12210561	0.0659185	0.20748936	0.10254208	0.14884259	0.104072705	0.106743865	0.12855254	0.073893026	0.15539552	0.14704342	0.028879413	0.15692925	0.050299935	0.12454215	0.028879413	0.09100707	0.12364734	0.1184473	0.107831895	0.1064561	0.1669437
7	0.09864401	0.007978922	0.22209047	0.019901214	0.040436953	0.05595726	0.033528823	0.0218752	0.009267583	0.03841695	0.016937977	0.29063174	0.015236368	0.024595495	0.21024361	0.03880534	0.014532427	0.013960123	0.026363363	0.035323277	0.023864733	0.013367241	0.054499663	0.051611353	0.029718054	0.026600994	0.03514071	0.04046703	0.016507115	0.035675447	0.028186314	0.050554935	0.038309596	0.123223774	0.01897284	0.06472294	0.39584094	0.018458644	0.28199035	0.012460021	0.39584094	0.009339014	0.0738266	0.01936406	0.017614082	0.023606244	0.016366541
16	0.07774185	0.047925476	0.06845886	0.055420294	0.05948571	0.06550017	0.062268354	0.06935963	0.014708937	0.057638127	0.057080355	0.08613148	0.06050246	0.034296647	0.060566485	0.06703181	0.04941309	0.06594071	0.058480993	0.07517685	0.05604279	0.07035876	0.063194185	0.07080208	0.05800292	0.0652816	0.09682585	0.06204088	0.068894625	0.045072086	0.069114275	0.055284616	0.052693356	0.08492209	0.08544898	0.07301953	0.13796173	0.08444411	0.09925864	0.06692223	0.13796173	0.044864956	0.053010643	0.04779457	0.048807964	0.062808976	0.018066594
18	0.02818155	0.033664305	0.02770656	0.08287609	0.028953366	0.04276146	0.035763804	0.10919107	0.013737459	0.07135519	0.044892795	0.022682514	0.05865864	0.026412606	0.022523377	0.04491332	0.042161804	0.19244675	0.039146375	0.08120777	0.046457596	0.06986949	0.058536857	0.026037462	0.032931965	0.117028706	0.07839802	0.061847232	0.13371946	0.040713772	0.091379456	0.02559731	0.054997128	0.023062818	0.07457107	0.048828505	0.025096357	0.075569615	0.022379966	0.19102974	0.025096357	0.041457456	0.034357935	0.035470694	0.026361328	0.03208728	0.023891034
20	0.034676973	0.019355796	0.040863555	0.034929857	0.026505155	0.041316684	0.02647758	0.067110375	0.02033371	0.060315724	0.0260469	0.042305686	0.03383009	0.02535774	0.04104679	0.022120273	0.022629045	0.07852252	0.029055698	0.03528915	0.031531025	0.031803817	0.033422988	0.022006987	0.02559658	0.07152399	0.056626473	0.028045319	0.07144611	0.03291402	0.06391244	0.026203701	0.049933854	0.030418063	0.016055131	0.033037625	0.03394909	0.016152978	0.042056695	0.06809521	0.03394909	0.024191013	0.03890152	0.024259783	0.01626336	0.018070491	0.032821514
23	0.06200108	0.06784069	0.039698377	0.03697607	0.06297232	0.04228445	0.061952066	0.02656423	0.027622506	0.02384535	0.060594875	0.044885322	0.051124834	0.04058443	0.037648607	0.066561416	0.059679367	0.018945709	0.05694078	0.04666891	0.05075298	0.056725994	0.03994884	0.08132916	0.06245933	0.021472057	0.04341087	0.04446109	0.025041224	0.034125615	0.02782317	0.058382764	0.028264087	0.074868955	0.081637986	0.0495792	0.04810222	0.08038796	0.05166633	0.02190502	0.04810222	0.054829273	0.033804707	0.05544453	0.080257125	0.08650571	0.0215544
24	0.021004796	0.07766447	0.005900932	0.0391937	0.05092266	0.02525442	0.053158164	0.024370676	0.07244988	0.020416014	0.07469699	0.0042225793	0.05868975	0.07219742	0.007276486	0.042055745	0.08495081	0.0162071	0.06082955	0.025815198	0.05702087	0.035421092	0.020983486	0.045337275	0.062017463	0.017944327	0.015637137	0.028277265	0.023943452	0.037038367	0.023321263	0.043744963	0.027372986	0.01842745	0.045599937	0.02235471	0.0010045096	0.046283856	0.0045190537	0.018375888	0.0010045096	0.083728455	0.019450111	0.0815125	0.10541201	0.080319285	0.049060367
32	0.013302823	0.01307144	0.009074011	0.013733678	0.015037062	0.01449578	0.015137903	0.016176546	0.010557182	0.014944761	0.015540928	0.008622182	0.015717084	0.01471446	0.009747689	0.0128304195	0.014795845	0.013719305	0.015859375	0.012868804	0.015586055	0.013012152	0.011945215	0.014034141	0.0154654905	0.014892804	0.013572261	0.01199996	0.01579425	0.013954991	0.015987553	0.014259816	0.015129497	0.012434858	0.011107672	0.012677464	0.0048342184	0.01115162	0.009015082	0.0133297825	0.0048342184	0.014401539	0.012840592	0.015548506	0.014388902	0.0145371	0.011615656
35	0.023393827	0.050119102	0.020037131	0.029784255	0.018947376	0.018804051	0.01919943	0.024640942	0.060045846	0.019357335	0.0322356	0.021618508	0.04096707	0.017743357	0.01809359	0.025066746	0.032270167	0.033415046	0.024855925	0.030581878	0.02890215	0.062444925	0.021585617	0.017551806	0.019849032	0.023172677	0.06461903	0.024865827	0.03296488	0.015071264	0.022955403	0.01734192	0.020114684	0.021377183	0.035236195	0.0228466	0.049260005	0.0347842	0.0243339	0.03802197	0.049260005	0.04512036	0.014655611	0.02147507	0.025606135	0.023292001	0.06260423
39	0.02609522	0.012521083	0.018892849	0.02494149	0.03605689	0.0325143	0.034864634	0.025037324	0.015568974	0.031877786	0.025832027	0.013930043	0.020750664	0.045482215	0.02262758	0.026881551	0.026048085	0.015607194	0.032117702	0.021231936	0.029523687	0.010398384	0.02698509	0.032968663	0.0357335	0.024843868	0.010242968	0.025644401	0.01963744	0.04139739	0.027091814	0.03795599	0.0348475	0.024051066	0.014831052	0.026572593	0.0027666662	0.015041284	0.01261205	0.014109668	0.0027666662	0.017989658	0.036245544	0.036307123	0.02984034	0.029598348	0.019838544
45	0.01857412	0.011598801	0.014214471	0.021039985	0.021849578	0.022706676	0.022084892	0.023788916	0.011519548	0.02563786	0.019701475	0.011830013	0.018668242	0.02443373	0.015630864	0.019175004	0.019051628	0.019112416	0.022130063	0.018982243	0.021786263	0.012188626	0.020419339	0.019737795	0.022174874	0.023944572	0.013915491	0.019952439	0.021424085	0.024975374	0.024298798	0.02191438	0.025624948	0.016553529	0.014181134	0.020104412	0.004619597	0.014313973	0.011433738	0.017655592	0.004619597	0.015377774	0.02278689	0.022478262	0.018450309	0.019024706	0.015586031
47	0.0082328245	0.027530296	0.0040701833	0.011254754	0.012042695	0.008638379	0.011268809	0.0097145485	0.073201425	0.008800744	0.018158883	0.0033783037	0.019211989	0.018892987	0.0050499886	0.008780645	0.019843606	0.008430642	0.015116408	0.0075981463	0.016090356	0.01678154	0.0063728755	0.009020566	0.013222243	0.0080262115	0.011140214	0.0072611533	0.011120747	0.010112828	0.009300523	0.011121048	0.010860376	0.0068437965	0.006523015	0.0067636063	0.0014116789	0.006570536	0.0035126593	0.008904646	0.0014116789	0.028037196	0.007303282	0.016992075	0.018804332	0.013160341	0.054579444
48	0.011303954	0.022180611	0.00837853	0.0124619575	0.009532332	0.010558921	0.009597159	0.017088028	0.020099064	0.012418249	0.014531128	0.010012888	0.019632306	0.00834227	0.008274428	0.009061149	0.01328113	0.020955194	0.01223742	0.012250502	0.013489671	0.027258545	0.008673233	0.00833439	0.009939131	0.015363793	0.032950934	0.008965024	0.021636235	0.0077877585	0.015594128	0.008448843	0.011754918	0.010197701	0.010460868	0.009671453	0.016269494	0.010391286	0.011699081	0.021495622	0.016269494	0.019691015	0.007894807	0.010227157	0.010202856	0.009755758	0.020246012
49	0.016034443	0.05167779	0.009655196	0.015848702	0.015613138	0.013183141	0.015292688	0.017439703	0.047031835	0.012063748	0.025022477	0.011455327	0.031062037	0.013631946	0.009780752	0.013907526	0.02425956	0.019088821	0.019449616	0.015145469	0.020608842	0.04698924	0.010117289	0.014415075	0.016567748	0.013909836	0.039120276	0.011130425	0.0221395	0.009994209	0.01595539	0.013422056	0.012922784	0.015587089	0.016423685	0.012010276	0.016158797	0.016283475	0.013716675	0.021210061	0.016158797	0.03927438	0.009239002	0.017663669	0.02163431	0.01893164	0.03412107
51	0.01676464	0.03086602	0.009724224	0.016902775	0.018535217	0.016149607	0.018301185	0.019900026	0.027257815	0.015776744	0.024095088	0.010470618	0.026792398	0.017628958	0.010485861	0.015018433	0.022966633	0.018377995	0.021502098	0.015398622	0.021680444	0.027382385	0.012033149	0.016793132	0.01955134	0.016665079	0.026146611	0.012737596	0.022070512	0.013951012	0.018893817	0.016566154	0.016649863	0.015764596	0.014920808	0.013744676	0.008614557	0.014904696	0.011903033	0.018947907	0.008614557	0.0289937	0.012490934	0.020530175	0.021685597	0.019927168	0.024120415
54	0.006486865	0.010647975	0.0029884884	0.006542809	0.00919195	0.0054454566	0.009402954	0.0038664641	0.0060847476	0.003585007	0.010746581	0.00278591	0.008605302	0.00817916	0.0030907523	0.010085253	0.011303956	0.0026875085	0.009461438	0.006486674	0.008694022	0.00729172	0.0055469964	0.010437707	0.009942369	0.0031320879	0.004787898	0.006989551	0.0037048764	0.005786489	0.00397466	0.008383865	0.0045099533	0.00676088	0.013132074	0.0063725924	0.0020150396	0.013043861	0.0031420367	0.0031314983	0.0020150396	0.009959719	0.004403145	0.010333225	0.014809366	0.014035939	0.0048412383
