	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
2	0.20486318	0.15150784	0.034612685	0.17842662	0.1708161	0.34081915	0.15095553	0.3251482	0.031194558	0.16237134	0.12962458	0.20551044	0.04854724	0.16792354	0.24059626	0.2341355	0.2284321	0.38197508	0.12004082	0.051447682	0.10361409	0.022659335	0.160277	0.17858449	0.27546135	0.35954022	0.0079217	0.12596644	0.33443022	0.15279275	0.37848988	0.30539474	0.24161023	0.2378107	0.10290409	0.20617665	0.029649453	0.1043283	0.017839383	0.25934905	0.029649453	0.062835105	0.40171015	0.16197233	0.09392633	0.043444823	0.12879112
6	0.024087971	0.16715342	0.34732676	0.14626817	0.020547593	0.1414389	0.29141957	0.041141115	0.03742136	0.1546071	0.06460751	0.032849118	0.013927863	0.19301872	0.03614772	0.017520847	0.052517217	0.034004733	0.08516072	0.11203326	0.24633569	0.41407448	0.011064165	0.22214454	0.099364266	0.0902047	0.0037727803	0.012831022	0.057983417	0.36585936	0.07729087	0.05419026	0.30602485	0.05042321	0.15174975	0.07999461	0.009652647	0.15347424	0.007841736	0.09639504	0.009652647	0.05678697	0.05858722	0.2365145	0.2657502	0.18801749	0.05618943
7	0.13148914	0.007931087	0.0027043526	0.0014775026	0.3801617	0.0058335867	0.006793836	0.06008633	0.02493955	0.011995877	0.0051695076	0.056538947	0.003386654	0.01947789	0.01279738	0.3512406	0.016628768	0.0033485983	0.005404247	0.007882366	0.0076032467	0.04454217	0.4602283	0.0087875975	0.010200657	0.0033687728	0.0016975326	0.3429471	0.0030657828	0.005115186	0.010121348	0.010712437	0.006103289	0.0077313767	0.0035733217	0.0148463175	0.4587446	0.0033803051	0.0052731745	0.0102074025	0.4587446	0.002888266	0.016042937	0.008218394	0.006332059	0.0077429987	0.08694381
16	0.07492995	0.05480782	0.06612037	0.045257967	0.06545663	0.036213398	0.027224889	0.07752946	0.0139454	0.05207899	0.07730929	0.07214726	0.024319256	0.016689671	0.073306665	0.067553446	0.064468324	0.0683705	0.07211896	0.038038805	0.029947558	0.019273747	0.07402353	0.036036607	0.045166943	0.0462605	0.005511927	0.07669558	0.058272384	0.02290311	0.041621737	0.05714232	0.020307582	0.07494344	0.062353887	0.082404405	0.12066581	0.06284903	0.013276237	0.066458255	0.12066581	0.04372734	0.045172624	0.034560073	0.02472664	0.010104273	0.026976045
18	0.022371061	0.059615083	0.18976557	0.08453691	0.014081784	0.046262126	0.043385956	0.046765823	0.011498103	0.041013792	0.050824683	0.02682145	0.022347827	0.02430366	0.036831032	0.01849581	0.036043372	0.056078285	0.05256183	0.028540853	0.040626265	0.023791883	0.015263667	0.04660321	0.034056995	0.05924428	0.005869779	0.021228166	0.06938788	0.04510035	0.027573802	0.03361405	0.03953682	0.050613727	0.10168922	0.07378849	0.030533008	0.101571985	0.23086688	0.037933186	0.030533008	0.034255356	0.022494433	0.04745852	0.03877694	0.01740123	0.01560236
20	0.034791157	0.03296281	0.024621552	0.025010154	0.036010515	0.03537427	0.029430108	0.05333873	0.046314027	0.031297125	0.01768009	0.029809505	0.03692558	0.03339803	0.019774444	0.03849291	0.025105376	0.021974225	0.018022925	0.020148814	0.025059102	0.017921304	0.031491533	0.032451347	0.022716438	0.033267505	0.024699315	0.05850462	0.03353999	0.027397895	0.021380626	0.020233935	0.034645226	0.022949735	0.026430659	0.048583165	0.030605853	0.025668234	0.21579549	0.018910544	0.030605853	0.018931799	0.019746648	0.03284565	0.025535733	0.013854059	0.04806454
23	0.092683695	0.020493872	0.0095990095	0.037820145	0.04234662	0.018282186	0.013802641	0.03751079	0.010049343	0.019231286	0.06406795	0.10416628	0.015414408	0.017782738	0.11062906	0.038636327	0.08519679	0.022768104	0.053274903	0.021151736	0.0170943	0.007894332	0.04534347	0.017582554	0.058981176	0.01683373	0.004901263	0.037715808	0.016854648	0.011671952	0.053342614	0.09022415	0.0118934605	0.08597191	0.079228066	0.027401842	0.04182617	0.079047084	0.0065692062	0.036980763	0.04182617	0.02863733	0.07038333	0.016047807	0.014418264	0.012194291	0.018980412
24	0.0550579	0.015587976	0.0012858752	0.03365709	0.015392266	0.009154131	0.015794951	0.01103303	0.008723394	0.017735459	0.07492948	0.07772808	0.0071836645	0.06767281	0.09723909	0.012853905	0.08089908	0.016900279	0.07271379	0.03813748	0.030667095	0.00444454	0.011195395	0.018321054	0.071405105	0.006719857	0.0020065682	0.008600062	0.006764473	0.011556344	0.052405708	0.080323964	0.008007088	0.061816122	0.02415399	0.008111388	0.0052335644	0.024295852	0.0016178141	0.04926426	0.0052335644	0.033145547	0.059912488	0.016226467	0.02342159	0.09675574	0.06424613
32	0.009854167	0.028189473	0.0048129563	0.0076377606	0.011292784	0.016376777	0.026510587	0.014270679	0.003731829	0.049119875	0.014233463	0.009126892	0.003965286	0.025134634	0.0075861965	0.010960387	0.009854628	0.027178392	0.016888613	0.030184165	0.029368432	0.014178345	0.00920948	0.026955836	0.011821931	0.01753759	0.0007173558	0.007404286	0.021110717	0.024368016	0.0107459	0.007235952	0.015500643	0.008205177	0.0022739614	0.017240973	0.0037058194	0.0023495166	0.00034287228	0.05251371	0.0037058194	0.021894148	0.00851912	0.02651017	0.027519306	0.032388344	0.01704362
35	0.02466748	0.03715654	0.042446382	0.033989463	0.018842967	0.017711196	0.026449775	0.020488268	0.1440674	0.032940857	0.034375306	0.026420815	0.08637747	0.026066842	0.020070378	0.012186765	0.025225794	0.017533286	0.034856755	0.05574229	0.03552021	0.07530761	0.012109768	0.02825647	0.018440926	0.018444803	0.10630813	0.041064136	0.021127323	0.02076639	0.014033221	0.017070074	0.016725164	0.026183162	0.04954227	0.037002295	0.04267433	0.048447773	0.104430474	0.014672288	0.04267433	0.055441447	0.01211249	0.030566419	0.03825877	0.03326567	0.058669657
