	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
2	0.26328275	0.10746485	0.06346828	0.11980288	0.19434503	0.17937115	0.20306882	0.13523561	0.13620612	0.21037214	0.17783858	0.06087266	0.10318914	0.32168388	0.27430946	0.0037759608	0.004178323	0.11117693	0.07146237	0.030211497	0.20044947	0.052023735	0.25004506	0.28027642	0.47589895	0.12348317	0.03274093	0.05534964	0.20907904	0.29937938	0.1182884	0.29741544	0.20536412	0.2502885	0.11630262	0.14190017	0.044583786	0.09162569	0.15452954	0.20122573	0.037174582	0.14030372	0.36911783	0.38965893	0.1923542	0.43428212	0.05845171
6	0.05066023	0.02506295	0.28366822	0.1484454	0.03024935	0.29683074	0.037743915	0.025652295	0.12553532	0.46749854	0.02490583	0.544022	0.13061178	0.107630596	0.110260874	0.0029635988	0.087718874	0.12146096	0.05144979	0.04181315	0.06401565	0.09832402	0.039025504	0.24975537	0.09106151	0.03251127	0.07490133	0.5831982	0.16575472	0.31155673	0.0571853	0.16287683	0.45723665	0.050687976	0.19627042	0.21701147	0.022383612	0.18889008	0.20440575	0.033949614	0.02390137	0.18869069	0.028160881	0.112377055	0.35589588	0.052304663	0.17722654
7	0.12723465	0.0056266272	0.025837714	0.012612411	0.47282535	0.039612066	0.0076663243	0.22683682	0.014289314	0.023586836	0.0054296996	0.031164	0.009483568	0.043660503	0.18824151	0.0012666986	0.00059906073	0.05222596	0.028634084	0.0008643609	0.017994804	0.0016950638	0.38254774	0.036374558	0.033030443	0.048436496	0.0016316327	0.023557017	0.027735068	0.024668755	0.02681394	0.048877183	0.026097126	0.07426061	0.011652236	0.05270542	0.46888947	0.03619593	0.016210163	0.008036792	0.42193174	0.013906706	0.034212902	0.04782058	0.046178132	0.044679273	0.06649988
16	0.06546663	0.02982809	0.063137025	0.038719956	0.063640185	0.016700495	0.044197492	0.17331275	0.10072395	0.011995551	0.10736108	0.020586995	0.04973786	0.03332933	0.048679776	0.012507264	0.000785439	0.054008152	0.072325245	0.020513315	0.03403429	0.016754234	0.05675886	0.021023622	0.037574045	0.11371955	0.015643198	0.016868247	0.04081949	0.017000271	0.09133679	0.030169949	0.0125213405	0.13953106	0.0604353	0.047961786	0.14852238	0.08699397	0.04233274	0.047360923	0.15618557	0.024154013	0.10355771	0.03982495	0.018334989	0.05365675	0.024963524
18	0.016011963	0.006779016	0.19877747	0.039103355	0.012617444	0.05207304	0.016622826	0.0169612	0.30010504	0.04830023	0.030466527	0.09748482	0.061427847	0.023777327	0.01878158	0.018792838	0.003952203	0.038716853	0.026424956	0.04654165	0.018297797	0.024223158	0.014952615	0.057954475	0.024644427	0.033964902	0.022408115	0.08211397	0.045565404	0.052446336	0.036769368	0.03164768	0.04742128	0.041034076	0.11666527	0.05072366	0.018685045	0.07294814	0.06342754	0.01692295	0.022580646	0.024031244	0.055387847	0.03313566	0.0256498	0.011531282	0.03725732
20	0.04379273	0.006431147	0.037321307	0.02252273	0.046165347	0.08764014	0.012124049	0.020381922	0.04771626	0.03120024	0.005838063	0.030630708	0.024979388	0.04960986	0.0443646	0.062959105	0.0064069265	0.046737652	0.022594599	0.017181328	0.029772596	0.0072778054	0.05714372	0.074921675	0.023677763	0.042039998	0.008551023	0.023927849	0.04268284	0.042892348	0.02674929	0.055746388	0.034449674	0.031041859	0.02447168	0.041286364	0.021818824	0.018152757	0.030128788	0.012831028	0.023407193	0.020330105	0.057811957	0.04801857	0.028768223	0.0117583405	0.069027014
23	0.05424864	0.10679387	0.017746467	0.054465663	0.019190049	0.0065530078	0.0625965	0.10126875	0.018332575	0.0048880414	0.11720165	0.006982007	0.046610896	0.03518467	0.041076075	0.003181053	0.00241285	0.03278318	0.11380545	0.021003174	0.035772678	0.038924333	0.018293547	0.0073414524	0.023751235	0.06900762	0.037120346	0.007298826	0.02851787	0.0063208877	0.07612959	0.026017958	0.0052440036	0.07380884	0.04002395	0.045043334	0.052752454	0.0805808	0.027682798	0.060772195	0.054644167	0.046163633	0.021077424	0.029040774	0.0190682	0.075083196	0.016930914
24	0.018000022	0.27264985	0.0050083757	0.080350965	0.0012988555	0.008878162	0.20962223	0.007306122	0.009126494	0.009855398	0.18900421	0.0029767475	0.072173074	0.032829784	0.008843592	0.0023311756	0.01828023	0.021242466	0.03866165	0.0907911	0.098245256	0.20328441	0.0019519572	0.010212072	0.036034677	0.024616	0.1307906	0.0039350805	0.03952457	0.014015968	0.04709981	0.02308402	0.009768119	0.021425035	0.044832863	0.019556072	0.00071538874	0.023308178	0.05197439	0.20023201	0.0007201541	0.092517056	0.017349923	0.023002218	0.025135998	0.063421644	0.008261233
32	0.014197794	0.011646597	0.006588926	0.013610363	0.0061009373	0.010480082	0.016302967	0.009229226	0.010137111	0.006766546	0.013402443	0.004157012	0.0141673675	0.015154698	0.010335129	0.0059302994	0.0018499477	0.013641402	0.011183478	0.011051491	0.018011399	0.008851729	0.0073893317	0.011214462	0.012884285	0.01574143	0.008078882	0.0039385254	0.0154452175	0.009688423	0.01588064	0.013444408	0.0071120863	0.01438911	0.011046973	0.010832568	0.0036865785	0.0086095985	0.014075711	0.016916197	0.003686821	0.012571535	0.018703189	0.013734593	0.008787077	0.012145383	0.0077121933
35	0.02254215	0.014856107	0.044433154	0.03940083	0.011312739	0.026914543	0.011343699	0.023906328	0.018672248	0.008899283	0.0070499484	0.030590538	0.040565815	0.017824203	0.020814152	0.059371524	0.04203376	0.061404295	0.069129065	0.033158544	0.022500334	0.025722595	0.011569426	0.013970293	0.00530481	0.04315718	0.03723938	0.029560197	0.027408443	0.008458242	0.040843703	0.020372024	0.01033032	0.018683389	0.03608727	0.051713895	0.037203744	0.052150853	0.030666186	0.011543454	0.049409058	0.032612436	0.0073696836	0.01205006	0.025422042	0.0057211746	0.12460966
