	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
660	0.84296894	0.8606831	0.80382913	0.8523291	0.863196	0.82554865	0.83994853	0.80061114	0.8682434	0.8546216	0.80110604	0.8183879	0.86463076	0.8589917	0.8162598	0.8788021	0.82881147	0.79408014	0.8106867	0.8277591	0.878115	0.843966	0.8616234	0.83576864	0.8574557	0.8597719	0.81405526	0.84186804	0.8244584	0.8391957	0.8714976	0.8445264	0.8638464	0.80340356	0.860594	0.83781004	0.8425856	0.8605939	0.86072826	0.8548311	0.8425856	0.8429691	0.8080453	0.83564967	0.8357688	0.8042605	0.840759
1042	0.13323098	0.11827786	0.16652805	0.12524214	0.11588795	0.1487936	0.13580163	0.1694775	0.111254394	0.12271163	0.16923015	0.15449579	0.114065915	0.119578354	0.15556195	0.10263607	0.1446656	0.17527461	0.16041413	0.14643598	0.10283872	0.13199274	0.117118046	0.1388061	0.12026217	0.118795134	0.15772049	0.13406935	0.1490119	0.13616022	0.108567715	0.1313886	0.115008175	0.16790573	0.117682375	0.1377589	0.13351616	0.11768249	0.11765989	0.12234992	0.13351616	0.1332309	0.16243657	0.13892362	0.13880594	0.16733326	0.13528067
806	0.008364515	0.007454421	0.010296953	0.0079210065	0.007411766	0.009007187	0.008517969	0.010368367	0.007243408	0.008003589	0.010307158	0.009479493	0.0075634867	0.007568634	0.009799065	0.0066106403	0.009282898	0.010623838	0.010059817	0.009051325	0.0067609875	0.00847514	0.00750714	0.008875939	0.007856675	0.0075790854	0.009805624	0.0084482655	0.009287859	0.008659643	0.0070629516	0.008460463	0.007459651	0.009916107	0.0076815644	0.008592373	0.008408981	0.007681564	0.007645892	0.008018529	0.008408981	0.008364509	0.01027165	0.008915836	0.008875924	0.009879891	0.008391732
539	0.006651497	0.005619082	0.008934335	0.006092198	0.0055577746	0.0074609993	0.0068293745	0.00908215	0.005386793	0.0061584236	0.009004883	0.0079765245	0.0055604405	0.0058293897	0.008337791	0.004820878	0.007592169	0.009427489	0.008588155	0.0074189296	0.0048931334	0.0066471086	0.0056712683	0.007274335	0.006071741	0.005782864	0.008343015	0.006767442	0.0076823095	0.00690943	0.005223129	0.0066661662	0.005646483	0.008792804	0.0058339867	0.006863257	0.006665578	0.0058339834	0.005802009	0.006103745	0.006665578	0.0066514886	0.008781623	0.007189632	0.0072743227	0.0086638	0.006757482
4587	0.0005220902	0.00048344422	0.0005973576	0.00050783256	0.00048342373	0.00053380243	0.0005272243	0.0005983307	0.00048317946	0.0005128712	0.0005915119	0.0005598824	0.0005031775	0.00048231726	0.0005823548	0.00043609593	0.000569243	0.00060047384	0.000593014	0.0005476791	0.00045707772	0.0005332887	0.000491818	0.0005475924	0.00050373864	0.0004875712	0.00058503356	0.0005249035	0.00055933336	0.0005398433	0.00046884432	0.0005365781	0.0004892557	0.00056695315	0.00049802964	0.0005322334	0.0005258567	0.0004980296	0.0004952147	0.00053108577	0.0005258567	0.0005220895	0.00060544757	0.00055267074	0.0005475912	0.00055994693	0.0005225115
516	0.0009952034	0.0009233362	0.0011320504	0.00096468354	0.00092341163	0.0010173672	0.0010056079	0.0011321559	0.0009238181	0.0009815124	0.0011199454	0.0010638591	0.00095955067	0.00092571357	0.0011068372	0.00084380683	0.0010800047	0.0011379033	0.0011238944	0.0010401526	0.0008782803	0.001014804	0.0009384958	0.0010443402	0.0009651639	0.0009335957	0.0011072819	0.0010003529	0.001061735	0.0010269114	0.0008996185	0.0010205014	0.0009391027	0.001076603	0.00095321174	0.0010111325	0.0010010771	0.0009532112	0.0009474347	0.0010050167	0.0010010771	0.0009952026	0.001146001	0.0010510542	0.0010443383	0.0010654068	0.0009953262
1232	0.0026382504	0.0023579577	0.003217247	0.0025061616	0.0023437026	0.002815205	0.0026807606	0.0032418352	0.00230029	0.0025193214	0.003212387	0.0029640342	0.0023948057	0.0023836645	0.0030695363	0.0020777343	0.0029173088	0.0033046969	0.00314801	0.0028412202	0.002141312	0.0026701116	0.002381371	0.0027909477	0.0024691692	0.002389091	0.0030857045	0.0026589707	0.0029129558	0.0027269623	0.002233208	0.0026750371	0.0023607733	0.0031035244	0.0024190324	0.0027085748	0.0026486418	0.0024190324	0.002408623	0.0025622414	0.0026486418	0.0026382483	0.0032149255	0.0028052994	0.0027909444	0.003071207	0.0026517198
643	0.0011177106	0.0010423709	0.0012560596	0.0010885476	0.0010435008	0.0011411294	0.0011276912	0.0012590775	0.0010413437	0.001097787	0.0012458402	0.001187718	0.001076157	0.0010439237	0.0012284792	0.0009554856	0.0012028875	0.0012622408	0.0012474396	0.0011633952	0.000991515	0.0011377232	0.0010588717	0.0011639672	0.0010804685	0.0010516507	0.0012354824	0.0011221524	0.0011864039	0.001148417	0.001014729	0.0011427405	0.0010527797	0.001205038	0.0010688801	0.0011365179	0.0011227035	0.00106888	0.0010647348	0.0011313703	0.0011227035	0.0011177098	0.0012693608	0.0011729988	0.0011639653	0.0011895038	0.0011190102
754	0.0006271735	0.0005785932	0.0007153799	0.0006092895	0.00058117247	0.0006425447	0.00063367875	0.0007165737	0.00058099953	0.0006163247	0.00070813147	0.0006715402	0.0006027797	0.0005824196	0.0006985426	0.0005294828	0.0006819944	0.00071944937	0.0007101396	0.00065640657	0.00055054936	0.0006414565	0.0005908506	0.00065730046	0.0006057707	0.00058708474	0.0007012965	0.00063004397	0.0006707416	0.0006464447	0.0005645895	0.0006434337	0.0005879204	0.000681308	0.0005980802	0.0006386533	0.00063084747	0.00059808017	0.00059618993	0.0006350145	0.00063084747	0.00062717334	0.0007245454	0.00066297187	0.00065729936	0.000671043	0.0006277617
629	0.0018155745	0.001606113	0.0022391106	0.0017071845	0.0015981749	0.0019334417	0.001847655	0.0022536824	0.0015765412	0.0017401886	0.0022293164	0.0020481865	0.0016330908	0.0016399599	0.0021439546	0.0014236382	0.0020214547	0.0023003318	0.0021892765	0.0019536763	0.0014681325	0.0018315059	0.0016286115	0.0019482675	0.0017142203	0.0016394142	0.0021401036	0.0018366529	0.0020094623	0.0018805447	0.0015330364	0.0018443952	0.001629381	0.0021564055	0.0016691515	0.001854544	0.0018203945	0.0016691505	0.0016557721	0.0017545306	0.0018203945	0.0018155712	0.0022369348	0.001941383	0.0019482631	0.0021303962	0.0018255688
