	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
660	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7927126	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.79267	0.79267	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926695	0.7926701	0.7926701	0.7926701
1042	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.16180068	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.16184467	0.16184467	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.1618451	0.16184461	0.16184461	0.16184461
806	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01574764	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.015738895	0.015738895	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.01573892	0.015738886	0.015738886	0.015738886
539	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.01659073	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595565	0.016595565	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.016595613	0.01659556	0.01659556	0.01659556
4587	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076773483	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.0007677613	0.0007677613	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776295	0.00076776097	0.00076776097	0.00076776097
516	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279647	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.001327916	0.001327916	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279197	0.0013279156	0.0013279156	0.0013279156
1232	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037843056	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851601	0.0037851601	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851701	0.0037851585	0.0037851585	0.0037851585
643	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016141945	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016141968	0.0016141968	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016142003	0.0016141962	0.0016141962	0.0016141962
754	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010443254	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444311	0.0010444311	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444339	0.0010444307	0.0010444307	0.0010444307
629	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030064369	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.003007547	0.003007547	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075524	0.0030075447	0.0030075447	0.0030075447
4588	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.0001352567	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528051	0.00013528051	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528095	0.00013528053	0.00013528053	0.00013528053
4589	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011482016	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485944	0.0011485944	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485975	0.0011485945	0.0011485945	0.0011485945
4590	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.409668e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410408e-05	3.410408e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.410409e-05	3.4104083e-05	3.4104083e-05	3.4104083e-05
4591	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.6814443e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.6822108e-05	4.6822108e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682225e-05	4.682211e-05	4.682211e-05	4.682211e-05
4592	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.5646626e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.56526e-05	5.56526e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.565267e-05	5.5652552e-05	5.5652552e-05	5.5652552e-05
