	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
660	0.74313754	0.80795753	0.80109334	0.9080439	0.9518394	0.66487384	0.7133192	0.90189254	0.70659935	0.92832035	0.92638713	0.79648995	0.8996263	0.86170256	0.766144	0.7177225	0.7169053	0.7440494	0.5702639	0.67912894	0.8149424	0.67464584	0.9493837	0.8839776	0.79676265	0.7489983	0.63641995	0.78400815	0.7726652	0.9358771	0.60671747	0.64712554	0.92581964	0.760433	0.83412224	0.461254	0.9099889	0.8664598	0.9066511	0.7203417	0.92409337	0.90313125	0.8764738	0.8129049	0.6526743	0.7763863	0.74100024
1042	0.22665192	0.16941065	0.17526372	0.0805886	0.04197752	0.2962109	0.2537188	0.08622435	0.25854194	0.06277294	0.06440101	0.17960359	0.08772345	0.12117306	0.20651689	0.24606717	0.24142887	0.22642936	0.38049766	0.28398257	0.1630547	0.28602913	0.044112958	0.10190382	0.1790178	0.22038418	0.3214682	0.19062747	0.20066427	0.05614815	0.34821254	0.31204662	0.06501489	0.21120076	0.14622459	0.4662438	0.07891627	0.11741517	0.08195582	0.24754132	0.066356406	0.08451741	0.10847869	0.16509204	0.3030698	0.19746156	0.22767466
806	0.011029349	0.008515237	0.00885967	0.004466397	0.0024686325	0.013710741	0.011894946	0.0046643526	0.012495924	0.0035317487	0.00364648	0.008949226	0.004940412	0.0065782075	0.0100951195	0.0129448725	0.014688716	0.010803752	0.01654907	0.013097804	0.008298681	0.013859223	0.0025935527	0.005491244	0.009053702	0.011163762	0.014632916	0.009440345	0.00987437	0.0031729622	0.015443801	0.0142632285	0.0036320381	0.010433731	0.0074816025	0.02242723	0.0043636304	0.006222013	0.004478837	0.011629606	0.0037732825	0.0048269057	0.005830614	0.008300189	0.015344672	0.009702237	0.011391096
539	0.008423546	0.005539322	0.0058815964	0.0020345803	0.00083937263	0.01232657	0.009667793	0.0021825903	0.010334578	0.0014327863	0.0014996096	0.006001589	0.0023535874	0.00365264	0.007302221	0.010621847	0.012403751	0.008206611	0.017875338	0.011419078	0.0053043826	0.0122710075	0.00090231997	0.0027862275	0.006080052	0.008481752	0.013904248	0.0065383567	0.007031574	0.0012233085	0.015546863	0.013288934	0.001495754	0.007662941	0.004510123	0.030647028	0.001965275	0.00337398	0.0020499881	0.009307309	0.0015738249	0.0022672832	0.0030515785	0.005324514	0.014370739	0.0068429587	0.008799512
4587	0.00062254485	0.0005035984	0.0005218852	0.0002929547	0.0001752715	0.0007313514	0.0006541793	0.00030251083	0.00069157314	0.00023860809	0.00024605886	0.0005243322	0.00032210554	0.00041023793	0.00057801855	0.0007319843	0.00084424205	0.0006079664	0.00081816764	0.00070469547	0.00049401016	0.0007538221	0.00018320837	0.00034960054	0.0005329749	0.0006358236	0.00076536846	0.000547946	0.00056882383	0.0002169924	0.000786034	0.00074963097	0.0002441595	0.0005966951	0.0004528133	0.0010466916	0.00028718065	0.00038914607	0.00029258511	0.00064274046	0.0002544517	0.00031632697	0.00036813607	0.0004923142	0.00082865806	0.00055998866	0.0006440712
516	0.001015855	0.0008347894	0.00086327316	0.0005037662	0.00031098726	0.0011764277	0.0010626965	0.00051884487	0.0011188893	0.00041541745	0.00042769205	0.0008667247	0.0005508057	0.00069078186	0.0009484712	0.0011808273	0.0013560669	0.0009931022	0.0013032827	0.0011374049	0.0008203442	0.001211611	0.00032435768	0.00059392507	0.0008794987	0.0010387927	0.0012268361	0.00090281863	0.00093452464	0.00038003208	0.0012567928	0.0012044525	0.00042445114	0.0009769788	0.00075609476	0.0016349738	0.00049427507	0.0006566004	0.00050302775	0.0010453941	0.00044129833	0.000541972	0.0006238104	0.00081736146	0.0013223632	0.0009210161	0.0010503676
1232	0.0033842495	0.002543464	0.0026573485	0.0012523191	0.0006551448	0.0043000514	0.0036759917	0.0013129005	0.0038887134	0.0009685652	0.0010032187	0.0026866798	0.0013993509	0.0019149893	0.003068326	0.0040399986	0.004645393	0.0033068606	0.005266369	0.0040894346	0.0024720943	0.0043612695	0.0006914574	0.0015706053	0.0027220345	0.0034296217	0.0046186224	0.002849779	0.0029951795	0.00086129666	0.004890392	0.004487529	0.0009985506	0.0031838778	0.002206533	0.007328951	0.0012212071	0.0018023215	0.0012558664	0.0035857973	0.001042174	0.0013639871	0.0016773802	0.002472475	0.0048710676	0.002937432	0.003505338
643	0.0013474762	0.0011414364	0.0011771227	0.0007394044	0.00048288004	0.0015117556	0.0013900927	0.0007561834	0.001462908	0.0006229735	0.00064019475	0.0011779555	0.00080345245	0.0009781428	0.0012702658	0.0015592687	0.0018130421	0.0013157992	0.0016165096	0.00146801	0.0011265331	0.0015666027	0.0005015667	0.0008532745	0.0011964992	0.0013848746	0.0015592853	0.0012196655	0.0012555768	0.00057517446	0.0015792868	0.0015369053	0.0006344238	0.0013066471	0.0010489731	0.0019745026	0.0007265335	0.0009307824	0.0007366463	0.0013711803	0.00065903395	0.0007937268	0.0008912484	0.0011204191	0.001702178	0.0012392332	0.0013947248
754	0.00075052824	0.0006255614	0.00064621924	0.00038992238	0.0002466092	0.0008551828	0.00077903725	0.00040011943	0.0008216441	0.00032445978	0.00033394137	0.00064759573	0.00042562783	0.00052654673	0.0007037364	0.0008745775	0.0010124427	0.0007328623	0.0009282573	0.00082841894	0.0006160842	0.00088544964	0.00025681852	0.00045548132	0.00065825006	0.0007703491	0.0008866845	0.00067267293	0.00069460826	0.00029791903	0.00090188364	0.00087187777	0.00033099583	0.0007247478	0.0005705267	0.001152434	0.00038286208	0.0005005534	0.00038880386	0.0007674263	0.00034439383	0.00041955602	0.0004771462	0.0006130784	0.0009666163	0.00068492716	0.0007769415
629	0.0023470568	0.0018981426	0.0019660883	0.0011042833	0.00066216325	0.0027674926	0.0024750412	0.001141615	0.0026030045	0.0009007363	0.00092790433	0.0019770323	0.0012107623	0.0015426734	0.0021804145	0.0027309365	0.0031293237	0.0022958135	0.0031320648	0.0026678874	0.0018612315	0.0028352742	0.0006919149	0.0013161583	0.0020036665	0.002393868	0.0029026542	0.0020661526	0.0021442277	0.000820111	0.0029962067	0.002845186	0.00092189404	0.002248021	0.0017055871	0.003994223	0.0010821524	0.0014644024	0.0011039736	0.002430848	0.00095796096	0.0011891967	0.0013864402	0.0018565089	0.0031023999	0.0021115942	0.0024258848
