	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
660	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1042	1.0491134e-18	1.0492255e-18	1.0492375e-18	1.0494655e-18	1.0495818e-18	1.0489213e-18	1.0490013e-18	1.0494416e-18	1.0489893e-18	1.0495297e-18	1.0494816e-18	1.0491974e-18	1.0494536e-18	1.0494095e-18	1.0491614e-18	1.0489773e-18	1.0496097e-18	1.0491174e-18	1.0486612e-18	1.0489373e-18	1.0492414e-18	1.0489373e-18	1.0495818e-18	1.0494015e-18	1.0491774e-18	1.0489493e-18	1.0488132e-18	1.0491814e-18	1.0491494e-18	1.0495217e-18	1.0487412e-18	1.0488932e-18	1.0495136e-18	1.0491774e-18	1.0492734e-18	1.0482733e-18	1.0495057e-18	1.0493575e-18	1.0494416e-18	1.0490133e-18	1.0495217e-18	1.0495057e-18	1.0493896e-18	1.0492454e-18	1.0487973e-18	1.0492574e-18	1.0491134e-18
806	2.2550218e-23	2.2551853e-23	2.2552284e-23	2.2556585e-23	2.2558737e-23	2.2544542e-23	2.2547121e-23	2.2555983e-23	2.2550133e-23	2.2557705e-23	2.255693e-23	2.2551509e-23	2.2556155e-23	2.2555209e-23	2.2550734e-23	2.2540758e-23	2.2558737e-23	2.2549617e-23	2.254136e-23	2.2546864e-23	2.2551681e-23	2.2550477e-23	2.255934e-23	2.2553918e-23	2.25491e-23	2.2548584e-23	2.2545317e-23	2.2551165e-23	2.2550993e-23	2.2557446e-23	2.2542391e-23	2.2545402e-23	2.2557274e-23	2.2551422e-23	2.2553918e-23	2.2541877e-23	2.2558478e-23	2.2555983e-23	2.2556155e-23	2.2547121e-23	2.2559511e-23	2.255736e-23	2.2555468e-23	2.255194e-23	2.2537835e-23	2.2553316e-23	2.2549961e-23
539	4.4393493e-25	4.439654e-25	4.439739e-25	4.440518e-25	4.440924e-25	4.4383163e-25	4.43879e-25	4.440433e-25	4.439281e-25	4.440738e-25	4.4406026e-25	4.439603e-25	4.440433e-25	4.4402806e-25	4.4394336e-25	4.4375206e-25	4.4408397e-25	4.4392477e-25	4.4377405e-25	4.4387566e-25	4.439637e-25	4.439315e-25	4.441043e-25	4.44006e-25	4.439112e-25	4.4391797e-25	4.4384347e-25	4.4395184e-25	4.4394843e-25	4.440704e-25	4.437927e-25	4.4384855e-25	4.440687e-25	4.439569e-25	4.4400267e-25	4.437639e-25	4.4408565e-25	4.440416e-25	4.4404497e-25	4.43879e-25	4.441043e-25	4.44067e-25	4.4403314e-25	4.439688e-25	4.436962e-25	4.439908e-25	4.4392985e-25
4587	1.2204967e-28	1.2206271e-28	1.2206457e-28	1.2209623e-28	1.2211207e-28	1.220115e-28	1.2202918e-28	1.2209251e-28	1.2204315e-28	1.2210462e-28	1.220981e-28	1.2205991e-28	1.2209344e-28	1.2208693e-28	1.2205339e-28	1.2198265e-28	1.2211394e-28	1.2204688e-28	1.2198637e-28	1.2202454e-28	1.2206271e-28	1.2204315e-28	1.221158e-28	1.2207854e-28	1.2204222e-28	1.2203571e-28	1.220115e-28	1.2205712e-28	1.2205433e-28	1.2210275e-28	1.2199382e-28	1.2201615e-28	1.2210183e-28	1.2205805e-28	1.2207388e-28	1.2196961e-28	1.2210835e-28	1.2208972e-28	1.2209344e-28	1.2202918e-28	1.2211394e-28	1.2210183e-28	1.2208785e-28	1.2206363e-28	1.2196125e-28	1.2207202e-28	1.220478e-28
516	9.678197e-28	9.679231e-28	9.679452e-28	9.681667e-28	9.68285e-28	9.675317e-28	9.676757e-28	9.6813725e-28	9.678012e-28	9.682295e-28	9.681852e-28	9.679046e-28	9.681483e-28	9.681003e-28	9.678603e-28	9.673324e-28	9.68285e-28	9.677975e-28	9.673472e-28	9.676536e-28	9.679157e-28	9.6781225e-28	9.683145e-28	9.680302e-28	9.677754e-28	9.677717e-28	9.675612e-28	9.678861e-28	9.678676e-28	9.682148e-28	9.674137e-28	9.675724e-28	9.682037e-28	9.678972e-28	9.68019e-28	9.673103e-28	9.682591e-28	9.681224e-28	9.681446e-28	9.676757e-28	9.683071e-28	9.682074e-28	9.681113e-28	9.679267e-28	9.671738e-28	9.679858e-28	9.678233e-28
1232	8.574967e-27	8.575752e-27	8.576014e-27	8.577912e-27	8.5788284e-27	8.572481e-27	8.573659e-27	8.57765e-27	8.574804e-27	8.5784356e-27	8.578043e-27	8.5756214e-27	8.57765e-27	8.577323e-27	8.575229e-27	8.570618e-27	8.5789594e-27	8.574771e-27	8.5709776e-27	8.573463e-27	8.575752e-27	8.574902e-27	8.5792206e-27	8.576668e-27	8.574477e-27	8.574836e-27	8.572678e-27	8.575425e-27	8.575294e-27	8.5783046e-27	8.571501e-27	8.572874e-27	8.578239e-27	8.575556e-27	8.576603e-27	8.57065e-27	8.5786975e-27	8.577585e-27	8.577683e-27	8.573659e-27	8.579155e-27	8.578239e-27	8.577421e-27	8.575883e-27	8.569212e-27	8.5764064e-27	8.574967e-27
643	4.366917e-28	4.367383e-28	4.3675e-28	4.3685667e-28	4.369133e-28	4.3655343e-28	4.3661674e-28	4.3684333e-28	4.366767e-28	4.3689e-28	4.36865e-28	4.3673004e-28	4.368483e-28	4.3682667e-28	4.3671e-28	4.3646686e-28	4.3692e-28	4.3667837e-28	4.3646185e-28	4.366051e-28	4.367367e-28	4.3667837e-28	4.36925e-28	4.367933e-28	4.3667004e-28	4.3664337e-28	4.365601e-28	4.3672166e-28	4.3671333e-28	4.3688166e-28	4.364935e-28	4.365701e-28	4.3687665e-28	4.3672503e-28	4.3678666e-28	4.3643354e-28	4.369e-28	4.3683664e-28	4.368483e-28	4.3662007e-28	4.3692167e-28	4.3687833e-28	4.368283e-28	4.3674333e-28	4.363853e-28	4.3677e-28	4.3668834e-28
754	1.8372287e-28	1.8374249e-28	1.837453e-28	1.8379087e-28	1.838133e-28	1.8366751e-28	1.8369554e-28	1.8378526e-28	1.8371867e-28	1.8380279e-28	1.8379367e-28	1.8373899e-28	1.8378596e-28	1.8377754e-28	1.8373059e-28	1.8362408e-28	1.8381611e-28	1.8371797e-28	1.8363179e-28	1.8368923e-28	1.8374179e-28	1.8371867e-28	1.8381961e-28	1.8376352e-28	1.8371095e-28	1.8371306e-28	1.8367032e-28	1.8373549e-28	1.8373198e-28	1.8380068e-28	1.8364369e-28	1.8367591e-28	1.8379928e-28	1.837369e-28	1.8376072e-28	1.8361847e-28	1.838077e-28	1.8378176e-28	1.8378666e-28	1.8369484e-28	1.8381751e-28	1.8380068e-28	1.8377965e-28	1.837439e-28	1.8359186e-28	1.8375582e-28	1.8372357e-28
629	8.379908e-27	8.380675e-27	8.380803e-27	8.382658e-27	8.383617e-27	8.377415e-27	8.378566e-27	8.382402e-27	8.3797166e-27	8.383201e-27	8.382786e-27	8.380483e-27	8.3824976e-27	8.3820816e-27	8.380132e-27	8.3757214e-27	8.383745e-27	8.3797166e-27	8.375977e-27	8.378438e-27	8.380611e-27	8.37978e-27	8.383873e-27	8.381506e-27	8.379396e-27	8.379396e-27	8.3776705e-27	8.380324e-27	8.380227e-27	8.383073e-27	8.376456e-27	8.377798e-27	8.3829776e-27	8.380483e-27	8.381442e-27	8.375753e-27	8.383425e-27	8.38237e-27	8.382465e-27	8.378597e-27	8.383873e-27	8.3830415e-27	8.3822095e-27	8.380707e-27	8.374412e-27	8.3811864e-27	8.379812e-27
4588	1.9265736e-29	1.9267795e-29	1.9268383e-29	1.9273529e-29	1.927603e-29	1.9259712e-29	1.926265e-29	1.9272793e-29	1.9265297e-29	1.9274853e-29	1.9273822e-29	1.9267354e-29	1.927294e-29	1.9272059e-29	1.9266472e-29	1.9256332e-29	1.9276175e-29	1.9265297e-29	1.9255303e-29	1.9261769e-29	1.9267942e-29	1.9265002e-29	1.927647e-29	1.9270589e-29	1.9265002e-29	1.9263827e-29	1.9259859e-29	1.9266913e-29	1.926662e-29	1.9274558e-29	1.9256773e-29	1.9260299e-29	1.9274412e-29	1.926706e-29	1.927e-29	1.9253541e-29	1.9275146e-29	1.9272354e-29	1.927294e-29	1.9262798e-29	1.9276323e-29	1.9274412e-29	1.9272059e-29	1.926809e-29	1.925266e-29	1.9269119e-29	1.926559e-29
4589	1.1103766e-28	1.1104952e-28	1.110529e-28	1.1108256e-28	1.1109867e-28	1.109987e-28	1.1101733e-28	1.1107832e-28	1.1103257e-28	1.1109189e-28	1.1108511e-28	1.1104782e-28	1.1108002e-28	1.1107324e-28	1.1104189e-28	1.1097837e-28	1.1109951e-28	1.1103511e-28	1.1097329e-28	1.1101224e-28	1.1105036e-28	1.1103173e-28	1.1110206e-28	1.1106561e-28	1.1103257e-28	1.1102495e-28	1.1100038e-28	1.1104528e-28	1.1104274e-28	1.1108935e-28	1.109826e-28	1.1100378e-28	1.1108849e-28	1.1104612e-28	1.1106223e-28	1.1096313e-28	1.1109443e-28	1.1107578e-28	1.1107918e-28	1.1101733e-28	1.1110036e-28	1.1108935e-28	1.1107409e-28	1.1105122e-28	1.1095636e-28	1.1105883e-28	1.1103681e-28
4590	1.6194687e-29	1.6196293e-29	1.6196665e-29	1.6201112e-29	1.6203214e-29	1.6189251e-29	1.6191722e-29	1.6200495e-29	1.6194069e-29	1.6202349e-29	1.6201484e-29	1.6195923e-29	1.6200742e-29	1.619963e-29	1.6195181e-29	1.6186659e-29	1.6202967e-29	1.6194192e-29	1.6185423e-29	1.6191103e-29	1.6196293e-29	1.6193946e-29	1.6203586e-29	1.6198518e-29	1.6193946e-29	1.6192217e-29	1.6189375e-29	1.6195551e-29	1.6195304e-29	1.6201979e-29	1.6186659e-29	1.6189746e-29	1.6201856e-29	1.6195675e-29	1.6198023e-29	1.6184435e-29	1.6202719e-29	1.62e-29	1.6200742e-29	1.6191845e-29	1.6203586e-29	1.6201856e-29	1.6199754e-29	1.6196418e-29	1.6183448e-29	1.6197405e-29	1.6194316e-29
4591	7.356375e-30	7.357217e-30	7.357498e-30	7.359519e-30	7.3605296e-30	7.3538505e-30	7.355141e-30	7.3592386e-30	7.356151e-30	7.3600805e-30	7.359631e-30	7.357049e-30	7.359351e-30	7.3589016e-30	7.356656e-30	7.352392e-30	7.360586e-30	7.356263e-30	7.352111e-30	7.354804e-30	7.3572736e-30	7.356151e-30	7.360698e-30	7.358396e-30	7.356038e-30	7.3556456e-30	7.353906e-30	7.3569365e-30	7.356712e-30	7.359968e-30	7.3526724e-30	7.3541304e-30	7.3598555e-30	7.356993e-30	7.358059e-30	7.351438e-30	7.360249e-30	7.35907e-30	7.359294e-30	7.355141e-30	7.360642e-30	7.359912e-30	7.358957e-30	7.357329e-30	7.350877e-30	7.357778e-30	7.356375e-30
