	RSE	RRSE
118	6.4239483	2.534551
40	5.0723433	2.2521863
265	21.472958	4.633892
564	96.55994	9.826491
69	24.103954	4.909578
41	22.08089	4.699031
980	9.446848	3.0735724
744	5892.8774	76.76508
4612	22.736868	4.768319
1782	116.70827	10.80316
417	4.220069	2.0542805
638	15.624782	3.9528193
4613	12.639361	3.555188
147	30.982256	5.5661707
616	32.1695	5.6718163
651	30.270657	5.501878
2260	15.143972	3.8915257
856	45.281578	6.729159
684	11.089897	3.3301497
362	574.5763	23.970322
1284	55.71017	7.4639244
4614	3.056293	1.7482257
1142	8.027242	2.8332388
532	51.44044	7.1721992
4615	805.7722	28.386127
463	4.216787	2.0534816
4616	31.702505	5.630498
4617	20.602016	4.5389442
305	20.496159	4.5272684
1108	283.29028	16.83123
1022	28.175886	5.3080964
318	340.58124	18.454844
4618	137.40169	11.721847
1944	40.908722	6.3959928
390	33.625237	5.798727
2667	6440.209	80.250916
553	55.501778	7.4499516
4619	32.06969	5.6630106
1497	29.389664	5.4212236
522	32.644226	5.7135124
4620	54.598602	7.3890867
2652	8.619527	2.935903
1008	12.851446	3.5848913
4621	189.5856	13.769009
1151	57.718533	7.5972714
970	9.759382	3.124001
4622	2.9496388	1.7174512
734	6.618561	2.5726564
4623	4.513306	2.1244543
4624	49.302544	7.021577
1360	34.188732	5.847113
1871	1.625854	1.2750899
4625	1.1934156	1.0924356
1325	1.3039615	1.1419114
4435	1.7582486	1.3259896
4626	2.0963287	1.4478704
1568	3.0395954	1.7434435
4627	0.9999999	0.99999994
