	RSE	RRSE
118	30.442484	5.517471
40	31.631195	5.6241617
265	48.771606	6.983667
564	1.0668755	1.0328966
69	7.4717674	2.7334533
41	5.4237943	2.3289042
980	13.959261	3.7362094
744	47.65511	6.903268
4612	9.626094	3.1025946
1782	18.352962	4.2840357
417	2.0280352	1.424091
638	26.250057	5.123481
4613	12.566668	3.5449495
147	32.0491	5.6611924
616	4.5210986	2.1262875
651	6.8655653	2.6202223
2260	14.413229	3.796476
856	56.99884	7.5497575
684	7.7205405	2.7785861
362	28.830425	5.369397
1284	23.066998	4.8028116
4614	3.8969362	1.9740659
1142	8.01612	2.8312752
532	44.116234	6.6420054
4615	63.720383	7.982505
463	6.9792624	2.6418293
4616	47.725117	6.9083366
4617	31.014513	5.5690675
305	10.597485	3.2553778
1108	373.5532	19.327524
1022	22.894844	4.784856
318	32.903152	5.736127
4618	199.5982	14.127923
1944	34.035294	5.8339777
390	33.860455	5.8189735
2667	29.069654	5.3916283
553	78.16528	8.841113
4619	27.252777	5.2204194
1497	25.45744	5.0455365
522	320.23932	17.895231
4620	26.649193	5.162286
2652	60.404655	7.772043
1008	5.0764103	2.253089
4621	100.93804	10.046793
1151	36.22154	6.018433
970	16.403473	4.05012
4622	4.521158	2.1263015
734	8.565698	2.9267213
4623	7.31669	2.7049382
4624	35.616596	5.967964
1360	53.208775	7.2944345
1871	3.4068694	1.8457707
4625	1.7382156	1.3184141
1325	2.2328172	1.4942614
4435	2.2614744	1.50382
4626	3.4704156	1.8629051
1568	16.69296	4.085702
4627	0.9999949	0.99999744
