	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
118	0.5883847	0.38243365	0.48869643	0.6403162	0.48563954	0.600499	0.5318687	0.46232983	0.5167981	0.62724245	0.5331266	0.55129766	0.47581732	0.5798804	0.5597977	0.4839989	0.52754945	0.524093	0.59420866	0.5354463	0.44821936	0.5520445	0.47297025	0.5597977	0.6267028	0.49284765	0.50095737	0.5146787	0.5595654	0.58059466	0.57028556	0.5506494	0.5398474	0.46878004	0.51456106	0.6058103	0.5549509	0.51456106	0.3971947	0.45416337	0.5549509	0.5860452	0.5130331	0.5595653	0.5597975	0.51794016	0.5447452
40	0.1255109	0.4122517	0.1432778	0.10133145	0.3083269	0.15274309	0.118115656	0.10345305	0.22302625	0.15383999	0.17515603	0.18039392	0.31016505	0.15635833	0.1365894	0.11421002	0.19458564	0.1308094	0.1441524	0.1659878	0.252027	0.22755262	0.27415362	0.1365894	0.12677833	0.17002574	0.13428122	0.2505629	0.14751256	0.09543995	0.15095511	0.18473351	0.1794793	0.106395386	0.17672311	0.118566856	0.16351683	0.17672311	0.33518228	0.16581468	0.16351683	0.13427591	0.17404294	0.14751801	0.13658942	0.14294212	0.15242012
265	0.021690266	0.0007421376	0.032314025	0.018145882	0.0021183963	0.011645506	0.036108136	0.058936093	0.0071864733	0.010191514	0.012885211	0.009826411	0.0039546285	0.013341828	0.017309347	0.053375427	0.00987704	0.027614005	0.01279224	0.021081302	0.007983454	0.0054025785	0.0046599847	0.017309347	0.014813562	0.028131818	0.03358371	0.0062232045	0.017808441	0.03983952	0.017091444	0.009497366	0.01570423	0.05565304	0.0049558524	0.024251089	0.0054168226	0.0049558524	0.0039045578	0.028599465	0.0054168226	0.018308168	0.015396835	0.017806824	0.01730939	0.029553382	0.024236737
564	0.04199262	0.069950946	0.040667057	0.04941635	0.05523309	0.046940185	0.039221577	0.03648128	0.0532946	0.040347338	0.052439865	0.053342756	0.04942607	0.0442246	0.049061563	0.0343112	0.05317918	0.044941504	0.051845074	0.0363489	0.050201897	0.046610907	0.05477117	0.049061563	0.043595944	0.036829688	0.039476108	0.044203363	0.045903	0.036089037	0.042692572	0.053005643	0.042373993	0.03597665	0.10654184	0.038050313	0.08929767	0.10654184	0.056815755	0.041293338	0.08929767	0.04459806	0.052456357	0.045903683	0.049061514	0.037826102	0.03686025
69	0.105885506	0.053079225	0.14549056	0.082855046	0.06745685	0.08873922	0.13296628	0.16436324	0.0947132	0.07866321	0.1126395	0.097208254	0.069568485	0.0988092	0.11619821	0.14986703	0.10497684	0.1353642	0.093215734	0.12220317	0.12509839	0.083491564	0.09170675	0.11619821	0.08792117	0.13420811	0.14387636	0.09020773	0.108743005	0.109985024	0.10951707	0.09580802	0.09990649	0.15161473	0.0822267	0.10455002	0.078946084	0.0822267	0.09890945	0.15885736	0.078946084	0.10435501	0.12008617	0.10874127	0.11619826	0.13743417	0.114022665
41	0.05690048	0.022455413	0.070573874	0.05363745	0.03003906	0.046660352	0.06839068	0.08163379	0.046611425	0.042430684	0.051575497	0.049977593	0.03513985	0.051446695	0.059056524	0.077461146	0.0497182	0.06592962	0.048752178	0.0565794	0.051479824	0.035136446	0.04341525	0.059056524	0.048774693	0.06414358	0.070271336	0.03934878	0.05791245	0.07009371	0.051398598	0.048995845	0.059055608	0.08845724	0.05103957	0.05241936	0.049746804	0.05103957	0.0429828	0.069809034	0.049746804	0.054193005	0.057580415	0.0579107	0.059056606	0.063366294	0.062064283
980	0.0066513503	0.018123664	0.0073792115	0.005506035	0.014092042	0.007983188	0.0062769093	0.0055233883	0.010784963	0.008094875	0.008845743	0.008921202	0.014837235	0.007996376	0.006773846	0.006365143	0.00956496	0.0065528555	0.007465484	0.008478623	0.011499328	0.011388693	0.012462386	0.006773846	0.0067507876	0.008922756	0.0070384042	0.01242121	0.0075830803	0.0052409573	0.007866068	0.009100957	0.009127556	0.0055617583	0.0082555525	0.0065190117	0.007754809	0.0082555525	0.014820448	0.008343469	0.007754809	0.0070105917	0.00864202	0.0075833285	0.006773847	0.007550001	0.008007407
744	0.0073340307	0.013570059	0.0073678656	0.007026782	0.011657605	0.008422275	0.006804696	0.006020066	0.0099345045	0.008331771	0.00878641	0.009056391	0.011472585	0.008270796	0.007587093	0.0066071134	0.009261107	0.0070828563	0.008200227	0.007912515	0.009824823	0.010040474	0.010707139	0.007587093	0.0076150415	0.008053788	0.0071999673	0.010325276	0.007996858	0.006280983	0.00794965	0.009129448	0.008728442	0.006155677	0.010102637	0.007067313	0.009564	0.010102637	0.011402784	0.0077589266	0.009564	0.0076233703	0.008588521	0.007997028	0.0075870906	0.007433651	0.007826281
4612	0.0038281188	0.002116219	0.0045540696	0.0034567807	0.002576144	0.0033982852	0.004373447	0.0049326983	0.0034454418	0.0031491187	0.0038098567	0.003553262	0.0027061838	0.0036241834	0.003961155	0.0048520556	0.0036497805	0.004260222	0.0034945619	0.003975556	0.0038511544	0.0030287805	0.0032486205	0.003961155	0.0034221997	0.0043269335	0.0045715636	0.0032106903	0.0038882468	0.0041281707	0.0037603343	0.0034965489	0.0037818237	0.0048883744	0.003360129	0.0037420327	0.003298317	0.003360129	0.0032845498	0.0046986947	0.003298317	0.0037414501	0.0040078587	0.003888187	0.0039611575	0.004366317	0.004038387
1782	0.011304342	0.0024149695	0.019371092	0.0100152455	0.003362177	0.0076351026	0.017677926	0.028356614	0.007754733	0.0057409666	0.010666807	0.00889261	0.0048315525	0.0087926835	0.012208672	0.023473483	0.009305267	0.01687171	0.008901428	0.011195449	0.009909725	0.0046325405	0.0066508045	0.012208672	0.00801317	0.015550844	0.018794889	0.005658116	0.011732026	0.01592808	0.009856813	0.0085802525	0.011017846	0.02824956	0.011164206	0.010140233	0.009323648	0.011164206	0.007461028	0.019658608	0.009323648	0.010511245	0.013071795	0.01173138	0.012208703	0.015374386	0.01268012
417	0.007548271	0.0031752866	0.009471759	0.0067726034	0.0041600377	0.006337257	0.0091000805	0.010791259	0.0062645054	0.0057613975	0.0072186315	0.00660862	0.0049313684	0.00682885	0.007601886	0.010451367	0.0067786053	0.008694288	0.0066038324	0.00784417	0.0069892355	0.0051940433	0.0057105096	0.007601886	0.0064778454	0.008953942	0.009435221	0.005689275	0.007608576	0.008668652	0.007230498	0.0065027955	0.007533355	0.010776682	0.0061329557	0.0073724324	0.0059326976	0.0061329557	0.005792698	0.009610033	0.0059326976	0.0072690076	0.0078093247	0.007608396	0.0076018907	0.008854571	0.008195653
638	0.0048617646	0.0018994962	0.0075966483	0.0038411368	0.002417979	0.003806516	0.0067230654	0.0090504885	0.0041065374	0.003255984	0.0048838304	0.004202315	0.0034920133	0.004253081	0.004780941	0.008814858	0.004501278	0.0062298058	0.0039851433	0.005672092	0.0050559407	0.0030789804	0.0037998008	0.004780941	0.0037440765	0.0074523413	0.007347707	0.0037709859	0.0050993077	0.0058982596	0.00472648	0.004148605	0.0054325676	0.008992906	0.0036171672	0.004676631	0.0032807805	0.0036171672	0.004370513	0.008035676	0.0032807805	0.0046187616	0.0055746306	0.005099151	0.0047809514	0.0067100977	0.0060349857
4613	0.0007352683	0.010764879	0.00089422206	0.0006315344	0.0044225804	0.0011082522	0.0006409454	0.0005315125	0.002288902	0.0010052243	0.0014647146	0.0015982239	0.0037981817	0.0010934535	0.0009432992	0.0005986408	0.0017806168	0.00079739763	0.0010712032	0.00097556	0.002684742	0.0021032214	0.003395642	0.0009432992	0.0007850402	0.0010638045	0.0008033373	0.0023971868	0.0010213506	0.00045445986	0.00096187287	0.0016383713	0.0013261709	0.000561663	0.0030005006	0.0006099235	0.0022697467	0.0030005006	0.005206631	0.0011466518	0.0022697467	0.00084537745	0.0014425319	0.00102142	0.0009432989	0.0008282368	0.00090366334
